municipality,attempted_rows,retained_sources,excluded_or_deferred,retained_bytes,global_analysis_readiness
Franklin,7,7,0,4592942,false
Franklin Lakes,1,1,0,59257,false
Franklin Park,6,6,0,5415050,false
Frannie,2,1,1,19047,false
Fraser,1,1,0,51936,false
Frederica,2,2,0,343382,false
Frederick,1,1,0,1322848,false
Fredericktown,1,1,0,240881,false
Fredonia,2,2,0,303338,false
Freehold,4,4,0,6298834,false
Freeman,1,1,0,163817,false
Freeport,3,3,0,3299106,false
Fremont,3,3,0,14125430,false
Friendsville,3,3,0,2876060,false
Froid,2,2,0,94250,false
Fromberg,1,1,0,4546788,false
Front Royal,2,2,0,177070,false
Fruit Heights,1,1,0,1220406,false
Fruitland,3,3,0,257648,false
Fruitland Park,1,0,1,0,false
Fruitport charter,2,2,0,2676851,false
Fulton,2,2,0,7513240,false
Fultondale,2,0,2,0,false
Gadsden,1,1,0,28240,false
Gaffney,1,1,0,91546,false
Gaines charter,1,1,0,20562254,false
Gainesville,2,1,1,85669,false
Galena,3,3,0,606610,false
Gambell,1,1,0,803316,false
Gardena,2,2,0,3109484,false
Gardendale,1,0,1,0,false
Garfield charter,1,1,0,1455652,false
Garland,2,2,0,1064762,false
Garretson,2,2,0,949845,false
Garrett,2,2,0,255527,false
Garrettsville,2,2,0,2387795,false
Gate City,2,1,1,2167243,false
Gatesville,4,2,2,156356,false
Gearhart,1,1,0,9915,false
Genesee,1,1,0,74259,false
Genesee charter,2,2,0,174795,false
Geneseo,1,1,0,1727191,false
Geneva,3,3,0,3299527,false
Genoa,6,6,0,3898477,false
Genoa City,1,1,0,137784,false
Gentry,3,3,0,1791193,false
Gibsonburg,1,1,0,228593,false
Gibsonville,5,5,0,1373885,false
Glade Spring,3,3,0,5309162,false
Gladstone,2,2,0,10546526,false
Glasgow,2,2,0,114271,false
Glassboro,1,1,0,106444,false
Glen Carbon,4,4,0,40478332,false
Glen Dale,2,2,0,70285,false
Glen Ridge,2,2,0,199742,false
Glen Rock,3,3,0,1506290,false
Glen Ullin,1,1,0,2178433,false
Glenarden,1,1,0,180744,false
Glenburn,1,1,0,143395,false
Glencoe,6,6,0,22925723,false
Glenolden,1,1,0,1794348,false
Glenville,1,1,0,80933,false
Glenwood,1,1,0,541994,false
Glocester,3,3,0,7739668,false
Gloucester City,1,0,1,0,false
Godfrey,2,1,1,1424705,false
Gold Bar,2,2,0,592365,false
Gold Beach,3,3,0,12085581,false
Goldendale,1,1,0,1915440,false
Goldsboro,2,0,2,0,false
Goodland,1,1,0,7129800,false
Goodlettsville,2,2,0,185106,false
Gordon,1,1,0,182406,false
Gordonsville,2,2,0,1037822,false
Gorham,2,2,0,1971766,false
Goshen,8,8,0,7012767,false
Gosnell,1,1,0,4751993,false
Gothenburg,3,3,0,11169317,false
Grafton,1,0,1,0,false
Graham,2,2,0,16805631,false
Grain Valley,4,4,0,25877479,false
Gramercy,1,1,0,214688,false
Granbury,2,2,0,304265,false
Granby,1,1,0,9838404,false
Grand Blanc,3,2,1,243096,false
Grand Blanc charter,1,1,0,3009669,false
Grand Chute,5,5,0,1017131,false
Grand Haven,2,2,0,3717433,false
Grand Haven charter,1,1,0,1341122,false
Grand Island,1,1,0,62530,false
Grand Isle,2,2,0,996213,false
Grand Ledge,2,2,0,818290,false
Grangeville,2,2,0,313863,false
Granite Falls,1,1,0,2012735,false
Grant,2,0,2,0,false
Grantham,3,3,0,13772558,false
Grantsville,3,2,1,18405742,false
Granville,2,1,1,46003,false
Gray,2,2,0,3158792,false
Great Bend,4,2,2,349162,false
Great Neck,2,2,0,1077940,false
Greene,1,1,0,100042,false
Greenland,1,1,0,304796,false
Greensburg,2,2,0,1176071,false
Greenville,1,1,0,2261324,false
Greenwich,3,3,0,1602588,false
Greenwood,5,4,1,8587786,false
Greenwood Village,2,1,1,95181,false
Gregory,2,2,0,343224,false
Gretna,4,4,0,700091,false
Gridley,1,1,0,2012522,false
Griffin,1,1,0,568020,false
Grinnell,1,0,1,0,false
Grosse Pointe Farms,3,3,0,5674788,false
Grosse Pointe Park,2,2,0,4419673,false
Grosse Pointe Woods,1,1,0,197523,false
Groton,1,0,1,0,false
Grottoes,4,4,0,939111,false
Grove City,2,2,0,400091,false
Grovetown,5,5,0,5494834,false
Grundy Center,3,3,0,2593346,false
Guadalupe,6,6,0,28923426,false
Guernsey,3,3,0,232009,false
Guilford,2,2,0,3879680,false
Gulf Breeze,1,1,0,1774967,false
Gulf Shores,3,1,2,10061109,false
Gulfport,1,0,1,0,false
Gunnison,1,0,1,0,false
Gustavus,1,1,0,346218,false
Guymon,1,0,1,0,false
Gwinner,3,3,0,196056,false
Gypsum,3,2,1,15110753,false
Hackettstown,1,1,0,44844,false
Haddonfield,1,1,0,2918552,false
Hailey,2,2,0,1198137,false
Haledon,1,1,0,12154351,false
Hales Corners,3,3,0,424644,false
Haleyville,2,0,2,0,false
Halfmoon,1,1,0,9997610,false
Hallowell,1,1,0,1089247,false
Halstead,1,1,0,12909333,false
Hamburg,5,2,3,10603484,false
Hamilton,3,2,1,3364218,false
Hampden,3,3,0,7348471,false
Hampton,2,2,0,754856,false
Hanahan,1,0,1,0,false
Hancock,1,1,0,167617,false
Hanover,8,8,0,31137601,false
Hanover Park,2,2,0,14704985,false
Harborcreek,2,0,2,0,false
Hardwick,2,2,0,351270,false
Harlan,1,1,0,429259,false
Harlem,1,1,0,228879,false
Harlowton,2,2,0,248447,false
Harper Woods,2,2,0,4593542,false
Harpswell,1,1,0,1430970,false
Harrah,3,3,0,43323562,false
Harriman,1,1,0,567559,false
Harrington,1,1,0,337381,false
Harrisburg,2,2,0,637671,false
Harrison,3,3,0,8988242,false
Harrisonville,1,1,0,982872,false
Hartford,1,1,0,5305001,false
Hartford City,1,1,0,129869,false
Hartland,3,3,0,2649851,false
Hartselle,2,2,0,299034,false
Harvey,4,4,0,4789161,false
Harwich,1,1,0,276184,false
Haskell,3,3,0,135847,false
Hastings,3,3,0,25827637,false
Hastings-on-Hudson,1,1,0,128590,false
Hatch,2,2,0,526870,false
Hatton,1,1,0,33196,false
Haughton,2,1,1,34695688,false
Hauser,2,2,0,206765,false
Havelock,2,2,0,16878990,false
Haverford,1,0,1,0,false
Hayden,2,2,0,733631,false
Haymarket,1,1,0,75321,false
Hazel Park,2,2,0,12554344,false
Hazen,2,2,0,323299,false
Healdsburg,1,1,0,46884072,false
Heavener,1,1,0,78597,false
Heber,3,1,2,114740,false
Hebron,9,9,0,35782776,false
Helena-West Helena,1,1,0,159163,false
Hellertown,4,4,0,6822370,false
Helper,1,0,1,0,false
Henderson,2,2,0,663662,false
Hendersonville,3,3,0,21047253,false
Henlopen Acres,1,1,0,425412,false
Henniker,1,0,1,0,false
Henryetta,3,3,0,172197,false
Herington,1,1,0,858672,false
Herkimer,2,2,0,543382,false
Hermantown,2,2,0,7374973,false
Hermon,1,1,0,1153849,false
Hermosa Beach,1,1,0,19,false
Herrin,4,4,0,47319328,false
Heyburn,2,2,0,340037,false
Hialeah,1,0,1,0,false
Hiawatha,3,3,0,2381505,false
Hickman,1,0,1,0,false
Hickory Hills,4,4,0,1502472,false
High Springs,2,2,0,2276074,false
Highgate,3,3,0,5739857,false
Highland,7,2,5,8483291,false
Highland Beach,3,3,0,4488055,false
Highland Heights,2,2,0,704822,false
Highland Park,2,2,0,4146731,false
Highland charter,2,2,0,17116381,false
Hightstown,2,2,0,8750111,false
Hillsboro,2,2,0,3533531,false
Hillsborough,2,2,0,5247773,false
Hillsdale,1,1,0,588922,false
Hillsville,1,1,0,551998,false
Hilltown,3,3,0,845357,false
Hilton,3,3,0,1788128,false
Hilton Head Island,2,1,1,139269,false
Hinesburg,2,2,0,457751,false
Hinsdale,4,4,0,75568431,false
Hinton,2,2,0,732387,false
Hobart,3,3,0,910706,false
Hobbs,1,1,0,1199365,false
Hoisington,2,2,0,583964,false
Holbrook,3,3,0,269324,false
Holdenville,1,1,0,550512,false
Holdrege,1,1,0,793315,false
Holladay,2,0,2,0,false
Hollister,2,1,1,360850,false
Holliston,1,1,0,2850,false
Holly,3,3,0,129071,false
Holly Springs,2,2,0,6493776,false
Holmdel,2,2,0,2988229,false
Honea Path,1,1,0,93982,false
Honey Creek,1,1,0,844965,false
Hooksett,2,2,0,1811279,false
Hooper,1,1,0,1058774,false
Hope Mills,3,3,0,12338508,false
Hopewell,2,2,0,30157578,false
Hopkinton,3,3,0,3012377,false
Hoquiam,2,2,0,2762884,false
Horicon,2,2,0,1303728,false
Hornell,1,1,0,102378,false
Horseheads,2,2,0,675553,false
Horsham,1,1,0,191629,false
Hot Springs,4,4,0,270261,false
Houlton,4,4,0,5808939,false
Houston,2,2,0,1070049,false
Howard,2,1,1,25917,false
Howards Grove,3,3,0,314839,false
Howell,2,1,1,9421239,false
Howland,1,1,0,1631473,false
Hudson,2,2,0,3689182,false
Hudson Falls,2,2,0,1027037,false
Hueytown,3,1,2,30374616,false
Hugo,1,1,0,71211,false
Hulett,5,5,0,669910,false
Humble,2,2,0,27618561,false
Humboldt,1,1,0,65627,false
Huntersville,1,1,0,44484095,false
Huntertown,2,2,0,163120,false
Huntingburg,1,1,0,225651,false
Huntingdon,2,2,0,2148694,false
Huntington,2,2,0,737616,false
Huntington Woods,1,1,0,16206,false
Huntley,3,3,0,3116074,false
Hurley,2,2,0,640481,false
Huron charter,1,1,0,189403,false
Hurricane,1,0,1,0,false
Hurstbourne,2,2,0,2014661,false
Huslia,1,1,0,1893170,false
Hutto,2,2,0,112630,false
Huxley,1,1,0,30393551,false
Hyde Park,5,2,3,1119908,false
Hyrum,1,1,0,215267,false
Idaho Falls,1,1,0,1189865,false
Imperial,1,0,1,0,false
Imperial Beach,1,1,0,123415,false
Independence,1,1,0,183524,false
Independence charter,1,1,0,905325,false
Indian Harbour Beach,1,1,0,17661762,false
Indian Head,2,2,0,94922,false
Indian River Shores,3,3,0,31390270,false
Indianapolis city (balance),2,2,0,5004105,false
Indiantown,1,0,1,0,false
Indio,2,2,0,302694,false
Ingleside,1,1,0,34524425,false
Inglewood,2,2,0,792539,false
Inkom,3,3,0,457923,false
Inman,1,1,0,914686,false
International Falls,3,3,0,339754,false
Inver Grove Heights,3,2,1,1555885,false
Ione,1,1,0,5592115,false
Iowa,3,3,0,517895,false
Iowa Falls,3,3,0,213045,false
Ipswich,3,3,0,172577,false
Iron Mountain,4,4,0,7097913,false
Irondale,4,3,1,3757388,false
Ironwood,1,1,0,48977,false
Irrigon,2,2,0,178110,false
Irvine,1,0,1,0,false
Isanti,2,2,0,14362983,false
Island Lake,2,2,0,486908,false
Isle of Palms,2,2,0,542936,false
Ivins,1,0,1,0,false
Jackson,10,10,0,17333984,false
Jacksonville,4,1,3,1611351,false
Jaffrey,3,3,0,20710432,false
James Island,1,1,0,71265,false
Jamestown,2,2,0,6938463,false
Jasper,9,8,1,955136,false
Jay,1,1,0,99737,false
Jeanerette,2,1,1,690498,false
Jeannette,5,5,0,17622512,false
Jefferson,9,9,0,15327395,false
Jefferson City,2,2,0,117900,false
Jeffersonville,2,2,0,1594393,false
Jemez Springs,1,1,0,6298102,false
Jena,2,1,1,96521,false
Jenks,1,1,0,13261169,false
Jennings,1,1,0,82756,false
Jerome,3,3,0,500464,false
Jesup,3,3,0,677975,false
Johns Creek,1,1,0,1564704,false
Johnson,4,4,0,2614228,false
Johnson Creek,1,1,0,748169,false
Johnston,3,3,0,10368415,false
Johnstown,4,4,0,2391668,false
Joliet,3,2,1,1213625,false
Jonesborough,1,1,0,2665428,false
Joplin,3,1,2,302820,false
Jordan,2,1,1,157053,false
Junction City,6,6,0,8869527,false
Jupiter,1,1,0,152704,false
Kachemak,3,3,0,983126,false
Kadoka,4,4,0,150301,false
Kake,1,1,0,1650179,false
Kalamazoo,1,0,1,0,false
Kalamazoo charter,1,1,0,1812365,false
Kamas,2,0,2,0,false
Kanab,3,1,2,82228,false
Kankakee,1,1,0,84943,false
Kansas City,3,2,1,31105824,false
Kasson,1,1,0,9711630,false
Keansburg,2,2,0,862577,false
Kearney,1,1,0,8988481,false
Kechi,1,1,0,8762602,false
Keedysville,3,3,0,1012914,false
Kemmerer,3,3,0,805472,false
Kendallville,2,2,0,61307,false
Kenmare,1,1,0,502704,false
Kennebunk,1,1,0,803379,false
Kenneth City,1,1,0,2704644,false
Kennett,2,2,0,2538275,false
Kensington,1,1,0,3192939,false
Keokuk,3,2,1,12380650,false
Kernersville,2,2,0,215509,false
Kettle Falls,3,3,0,1331937,false
Kewanee,2,2,0,8405079,false
Kewaskum,1,1,0,6427837,false
Key Biscayne,1,0,1,0,false
Kiel,2,2,0,753884,false
Kilgore,2,2,0,3593070,false
Kill Devil Hills,1,1,0,102961,false
Killdeer,3,3,0,2366767,false
Killingly,4,4,0,10961319,false
Kimberly,3,3,0,21138094,false
Kinder,1,1,0,118811,false
Kindred,2,2,0,2006144,false
King,2,2,0,300628,false
King Cove,1,1,0,69457,false
Kingman,2,2,0,24578231,false
Kingsburg,2,2,0,1510707,false
Kingsford,1,1,0,117340,false
Kingsland,1,1,0,19559,false
Kingston,1,1,0,7058100,false
Kingstree,1,1,0,273132,false
Kingsville,3,3,0,23956913,false
Kingwood,1,1,0,55433,false
Kinnelon,3,2,1,1302781,false
Kinston,2,2,0,67851466,false
Kirtland,1,1,0,4813377,false
Kittery,1,1,0,13806,false
Kitzmiller,5,5,0,14566066,false
Kivalina,1,1,0,1754377,false
Knightdale,2,2,0,226092,false
Knoxville,2,1,1,216839,false
Kokomo,1,1,0,18153004,false
Kotlik,1,1,0,707437,false
Kotzebue,2,1,1,1930710,false
La Barge,1,0,1,0,false
La Center,3,3,0,851256,false
La Crescent,1,1,0,10387638,false
La Follette,1,1,0,326075,false
La Grange,3,2,1,9155357,false
La Marque,1,1,0,3114392,false
La Mesa,3,2,1,196603,false
La Palma,3,3,0,1331445,false
La Pine,1,1,0,5154410,false
La Porte,1,1,0,206170,false
La Verkin,1,0,1,0,false
LaBelle,2,2,0,29442222,false
LaGrange,2,0,2,0,false
LaSalle,7,7,0,21504161,false
Lacey,1,1,0,308376,false
Ladysmith,3,3,0,400022,false
Lafayette,6,5,1,64084037,false
Laguna Beach,1,0,1,0,false
Laguna Woods,1,1,0,1974516,false
Lake,4,4,0,7101034,false
Lake Arthur,2,2,0,258497,false
Lake City,5,4,1,1582022,false
Lake Elmo,3,1,2,1737,false
Lake Forest,3,3,0,8230095,false
Lake Hallie,2,2,0,313821,false
Lake Jackson,3,3,0,35607049,false
Lake Mills,1,0,1,0,false
Lake Norden,1,1,0,227590,false
Lake Park,2,2,0,722852,false
Lake Station,1,0,1,0,false
Lake View,2,2,0,10350636,false
Lake Villa,1,1,0,212,false
Lake Zurich,1,1,0,116337,false
Lakemore,1,1,0,412720,false
Lakeview,1,1,0,51657,false
Lakeway,2,2,0,23923411,false
Lakewood,4,4,0,10274158,false
Lakota,2,2,0,387690,false
Lamar,1,0,1,0,false
Lancaster,6,6,0,5747103,false
Landover Hills,3,3,0,447719,false
Landrum,2,2,0,368265,false
Lanett,1,1,0,141946,false
Langdon,2,2,0,282808,false
Lansing,2,2,0,2777119,false
Lantana,1,1,0,2926859,false
Lapeer,2,2,0,30709055,false
Las Vegas,3,3,0,5378334,false
Latrobe,4,4,0,6916039,false
Lauderdale-by-the-Sea,2,2,0,89948614,false
Laurel,2,0,2,0,false
Laurens,1,1,0,238720,false
Laurinburg,2,2,0,893145,false
Lawrence,2,2,0,794639,false
Lawrenceburg,4,4,0,2366402,false
Lawrenceville,4,0,4,0,false
Le Sueur,2,0,2,0,false
Lead,1,1,0,368223,false
Leander,1,1,0,172916,false
Leavenworth,2,2,0,4275544,false
Lebanon,2,2,0,188623,false
Ledgeview,1,0,1,0,false
Ledyard,3,0,3,0,false
Lee's Summit,1,0,1,0,false
Leeds,3,3,0,75786,false
Leipsic,2,2,0,265471,false
Leitchfield,1,1,0,1026729,false
Leland,3,3,0,389446,false
Lemmon,1,1,0,79245,false
Lemon,2,2,0,3491975,false
Lemont,3,3,0,17141549,false
Lennox,2,2,0,1296796,false
Lenoir,2,2,0,17730420,false
Lenoir City,4,4,0,2912235,false
Leonia,1,1,0,1428785,false
Lewisburg,8,8,0,1795436,false
Lewiston,3,2,1,390958,false
Lewistown,2,2,0,500321,false
Lewisville,2,2,0,12045873,false
Lexington,4,4,0,36989450,false
Libby,1,1,0,3541217,false
Liberty,8,6,2,3674655,false
Lighthouse Point,3,3,0,253141,false
Lilburn,2,1,1,102630,false
Lima,1,1,0,93049,false
Limerick,2,2,0,2913740,false
Limestone,1,1,0,190506,false
Limon,1,1,0,3029989,false
Lincoln,4,4,0,17265946,false
Lincoln Park,3,3,0,3317221,false
Lindenhurst,3,3,0,15939085,false
Lindon,1,0,1,0,false
Lisbon,6,6,0,9050599,false
Lisle,1,1,0,89032,false
Litchfield,3,3,0,1972673,false
Litchfield Park,2,2,0,48345,false
Little Canada,2,0,2,0,false
Little Compton,3,3,0,5363915,false
Little Egg Harbor,3,3,0,584903,false
Little Falls,2,2,0,36613791,false
Little Ferry,1,0,1,0,false
Little Flock,2,2,0,3517352,false
Little Rock,6,6,0,5399430,false
Little Silver,1,1,0,623152,false
Littleton,2,2,0,2678655,false
Live Oak,4,4,0,4820145,false
Livingston,2,2,0,11387603,false
Loch Lynn Heights,2,2,0,350004,false
Lock Haven,4,4,0,13856479,false
Locust,2,2,0,1832693,false
Logansport,3,3,0,875719,false
Loganville,1,1,0,308469,false
Lonaconing,2,2,0,96077,false
London,2,2,0,21881057,false
Lone Tree,2,2,0,4983074,false
Long Branch,1,1,0,88177,false
Lonoke,3,3,0,403431,false
Lonsdale,4,4,0,433942,false
Los Alamitos,1,1,0,1104808,false
Los Banos,2,2,0,27571961,false
Loudon,3,3,0,4657327,false
Louisa,1,1,0,828154,false
Louisburg,1,1,0,903674,false
Lovelock,3,3,0,1504140,false
Lovettsville,3,2,1,8887075,false
Lowell,3,3,0,808148,false
Lower Moreland,2,2,0,280120,false
Lower Paxton,1,1,0,344642,false
Lower Salford,2,2,0,189767,false
Loxley,1,1,0,7054157,false
Lucedale,2,2,0,169119,false
Ludington,1,1,0,5665399,false
Ludlow,15,15,0,13437297,false
Lufkin,1,1,0,4592115,false
Lumberton,2,2,0,340119,false
Luray,5,5,0,5999142,false
Lutcher,1,0,1,0,false
Luverne,1,0,1,0,false
Lynchburg,1,1,0,167234,false
Lyndhurst,2,2,0,11702638,false
Lyndon,2,2,0,281419,false
Lyon charter,3,3,0,1151617,false
Lyons,1,1,0,220066,false
Lysander,2,1,1,822614,false
Mableton,3,3,0,4626378,false
Mabton,1,1,0,1359074,false
Macclenny,2,0,2,0,false
Macomb,3,3,0,1563491,false
Macomb City,1,1,0,146021,false
Madawaska,2,2,0,592881,false
Madison,5,3,2,265256,false
Magdalena,2,0,2,0,false
Magnolia,3,3,0,90627,false
Maize,1,1,0,4860,false
Malad City,2,2,0,423807,false
Malone,2,1,1,200733,false
Malta,4,4,0,34295421,false
Malverne,2,1,1,872923,false
Manassas Park,2,1,1,4221665,false
Manchester,5,5,0,7444508,false
Mandeville,1,0,1,0,false
Manistee,2,2,0,20815287,false
Manitou Springs,2,2,0,1220784,false
Mannford,2,2,0,220580,false
Mannington,1,0,1,0,false
Manokotak,1,1,0,945074,false
Manor,2,2,0,6959706,false
Manorhaven,2,2,0,1016755,false
Mansfield,5,5,0,5455413,false
Maple Grove,1,1,0,288371,false
Mapleton,2,2,0,18761261,false
Maplewood,3,2,1,22614664,false
Maquoketa,2,1,1,78445,false
Marblehead,3,3,0,1666995,false
Mardela Springs,2,2,0,171494,false
Margaret,3,3,0,279947,false
Marianna,1,1,0,41489,false
Marietta,1,0,1,0,false
Marion,8,8,0,2102723,false
Marlboro,1,1,0,449188,false
Marlow,2,2,0,249501,false
Marple,1,1,0,102195,false
Marriott-Slaterville,2,0,2,0,false
Marshall,4,4,0,13439419,false
Marshfield,6,6,0,58537312,false
Martinsville,3,3,0,1938079,false
Marysville,6,6,0,21638972,false
Mason,2,2,0,958000,false
Massena,3,1,2,1145572,false
Matawan,2,2,0,948979,false
Matteson,4,4,0,3234607,false
Matthews,1,1,0,501077,false
Mauldin,2,2,0,2801732,false
Maumelle,1,1,0,1169747,false
Maurice,1,1,0,10586,false
Mauston,1,1,0,399937,false
Mayfield,7,6,1,11454671,false
Maysville,1,0,1,0,false
Mayville,3,3,0,798510,false
Maywood,1,1,0,1327081,false
McAlester,2,2,0,5311375,false
McCleary,1,1,0,673905,false
McCordsville,3,1,2,242997,false
McDonough,2,2,0,286194,false
McKenzie,1,1,0,1683172,false
McMinnville,2,2,0,8214043,false
McPherson,1,1,0,138648,false
Mead,2,2,0,962165,false
Mebane,2,2,0,41646818,false
Medford,5,5,0,4277474,false
Medical Lake,2,2,0,4471957,false
Medicine Lake,1,1,0,6635,false
Medina,5,5,0,2556590,false
Medway,3,3,0,6064999,false
Meeteetse,1,1,0,282486,false
Melrose,1,1,0,5807408,false
Melvindale,2,2,0,4272352,false
Mendota,2,2,0,9761308,false
Mendota Heights,2,2,0,7317001,false
Menno,1,1,0,505989,false
Mercedes,1,1,0,21578955,false
Meredith,1,1,0,27348477,false
Meridian,1,1,0,198308,false
Merrimack,4,3,1,2462780,false
Mesilla,2,2,0,737124,false
Mexico,2,2,0,15263788,false
Miami,6,5,1,11194219,false
Miami Shores,1,0,1,0,false
Middle,3,3,0,1250158,false
Middleborough,4,4,0,14627898,false
Middlebury,1,1,0,721977,false
Middlefield,1,1,0,260523,false
Middleport,1,1,0,114358,false
Middletown,3,1,2,2011123,false
Midlothian,3,3,0,2233873,false
Midway,2,2,0,1362297,false
Midwest,2,0,2,0,false
Mifflin,2,2,0,14628787,false
Milan,2,2,0,11124694,false
Milbank,2,2,0,356544,false
Milford,9,8,1,17034948,false
Mill Valley,1,1,0,112657,false
Millbrook,4,3,1,564828,false
Millbury,1,1,0,289739,false
Milledgeville,2,1,1,161004,false
Miller,1,1,0,2167957,false
Millersburg,2,2,0,2238300,false
Millersville,4,4,0,726394,false
Millington,2,1,1,38466,false
Millinocket,2,2,0,5841330,false
Mills River,2,2,0,12554274,false
Millville,7,7,0,6302110,false
Milnor,2,2,0,1741571,false
Milton,10,8,2,2351732,false
Milwaukee,1,1,0,38412,false
Minden,4,4,0,1124574,false
Minneapolis,1,1,0,187920,false
Minnetrista,1,1,0,892046,false
Minooka,2,2,0,1028605,false
Mint Hill,2,2,0,17427674,false
Minto,1,1,0,81823,false
Mission,1,1,0,185734,false
Mission Hills,2,2,0,327599,false
Moberly,1,1,0,193710,false
Mobridge,2,2,0,7389020,false
Mohall,2,2,0,39128,false
Mokena,4,4,0,10285854,false
Mona,1,1,0,165061,false
Monaca,1,1,0,211248,false
Moncks Corner,2,2,0,518680,false
Monclova,3,3,0,6690886,false
Mondovi,2,2,0,1103927,false
Monessen,4,4,0,4880899,false
Monkton,1,0,1,0,false
Monmouth,2,2,0,10853926,false
Monroe,5,5,0,64261672,false
Monroe charter,1,1,0,3537437,false
Mont Belvieu,1,1,0,47404,false
Montebello,3,2,1,6435471,false
Monterey Park,1,1,0,115698,false
Montesano,4,4,0,7215326,false
Montevallo,1,1,0,2647306,false
Montevideo,4,0,4,0,false
Montgomery,1,1,0,106415,false
Monticello,5,3,2,3734466,false
Montpelier,1,1,0,150659,false
Montrose,1,1,0,814011,false
Montvale,1,1,0,95244,false
Montville,1,1,0,1633,false
Moorcroft,1,1,0,42719,false
Moorefield,1,1,0,388070,false
Mooresville,2,2,0,227889,false
Mora,3,3,0,45816184,false
Morehead City,1,1,0,42487,false
Moreland Hills,2,2,0,155838,false
Moreno Valley,2,2,0,527186,false
Morganfield,1,1,0,507000,false
Moriarty,1,1,0,841858,false
Morrilton,1,1,0,431194,false
Morris,1,1,0,2335362,false
Morris Plains,3,3,0,433090,false
Morro Bay,3,3,0,61802644,false
Morton,6,6,0,40038400,false
Mosinee,1,1,0,104025,false
Mosquero,3,3,0,1126874,false
Moultrie,5,4,1,39171032,false
Mound,1,1,0,244340,false
Mounds View,1,1,0,7162254,false
Moundsville,1,0,1,0,false
Mount Airy,1,0,1,0,false
Mount Angel,2,2,0,1419204,false
Mount Carmel,4,4,0,898684,false
Mount Healthy,1,1,0,584633,false
Mount Holly,2,2,0,957714,false
Mount Joy,2,2,0,3659734,false
Mount Kisco,2,2,0,3459319,false
Mount Pleasant,3,1,2,63844,false
Mount Vernon,6,6,0,12199162,false
Mount Washington,1,1,0,112834,false
Mountain Grove,1,1,0,79775,false
Mountain Home,2,2,0,3258291,false
Mountainair,1,1,0,341330,false
Moxee,3,3,0,2921873,false
Mulvane,1,1,0,3838364,false
Mundy,2,2,0,36052,false
Munford,2,2,0,5167275,false
Munster,5,5,0,2276781,false
Murphy,1,1,0,1948,false
Muscle Shoals,3,3,0,2094441,false
Muskegon Heights,2,1,1,177189,false
Mustang,5,2,3,5649808,false
Myrtle Beach,2,2,0,11914365,false
Myrtle Creek,2,2,0,3908471,false
Nantucket,1,1,0,112446,false
Naples,3,3,0,2578270,false
Narragansett,5,5,0,24152689,false
Narrows,2,2,0,138836,false
Nazareth,2,2,0,134654,false
Nederland,1,1,0,2768819,false
Negaunee,1,0,1,0,false
Neligh,2,0,2,0,false
Nenana,3,3,0,1810038,false
Neodesha,1,1,0,193225,false
Neosho,3,3,0,7683232,false
Nephi,1,1,0,56485,false
Neptune Beach,4,3,1,47649279,false
Nether Providence,3,3,0,4144528,false
Nevada,1,1,0,9127778,false
New Baltimore,2,1,1,13573336,false
New Bern,2,2,0,56779596,false
New Boston,1,0,1,0,false
New Brighton,3,3,0,286798,false
New Canaan,5,5,0,5658054,false
New Castle,6,6,0,9783912,false
New Concord,2,2,0,327681,false
New England,2,2,0,6796066,false
New Gloucester,2,2,0,20265324,false
New Hampton,2,2,0,18276871,false
New Haven,2,2,0,1044044,false
New Hyde Park,2,2,0,1891543,false
New Lebanon,1,1,0,281769,false
New Llano,2,2,0,18612374,false
New London,5,5,0,31645766,false
New Market,4,3,1,585775,false
New Meadows,2,2,0,6076412,false
New Milford,3,2,1,9419980,false
New Paltz,2,2,0,171253,false
New Prague,2,2,0,5916464,false
New Richmond,1,1,0,55627,false
New Rockford,2,2,0,87802,false
New Salem,2,2,0,309224,false
New Shoreham,2,2,0,19105196,false
New Underwood,1,1,0,32477,false
New Whiteland,2,2,0,1502506,false
Newark,4,4,0,10144868,false
Newberry,1,1,0,624867,false
Newcastle,2,2,0,2438387,false
Newman,3,3,0,336335,false
Newnan,3,3,0,26918534,false
Newport,4,4,0,3451859,false
Newton,6,5,1,10776941,false
Newtown,2,2,0,4058862,false
Niagara Falls,1,1,0,1151483,false
Nibley,2,1,1,164290,false
Niles,3,3,0,2274468,false
Nitro,1,1,0,381666,false
Nixa,3,3,0,6362798,false
Noble,3,3,0,301576,false
Noblesville,1,1,0,2136606,false
Nogales,4,4,0,20287554,false
Nolensville,1,1,0,705887,false
Nome,2,2,0,1022710,false
Normandy Park,1,1,0,613256,false
Norridgewock,2,2,0,12363760,false
North Andover,2,2,0,83363,false
North Aurora,4,4,0,28292851,false
North Bay Village,1,1,0,447686,false
North Bend,2,2,0,170406,false
North Berwick,1,1,0,800595,false
North Bonneville,3,1,2,58412,false
North Branford,4,4,0,23814004,false
North Chevy Chase,2,2,0,2217283,false
North East,1,1,0,4142331,false
North Fayette,2,0,2,0,false
North Fond du Lac,2,2,0,3823864,false
North Haledon,1,1,0,204698,false
North Hampton,2,2,0,2472852,false
North Haven,1,0,1,0,false
North Hempstead,1,1,0,10470,false
North Kingstown,3,3,0,8530425,false
North Logan,2,0,2,0,false
North Manchester,2,2,0,341251,false
North Myrtle Beach,2,0,2,0,false
North Ogden,4,2,2,2522908,false
