source_domain,attempted_rows,retained_sources,excluded_or_deferred,retained_bytes,global_analysis_readiness
0201.nccdn.net,2,2,0,2913740,false
091e191e-1212-4dbc-881d-f10214ff8c16.filesusr.com,1,1,0,238720,false
1275a347-08b5-49ef-b3e1-1e8ed6d0f1a3.filesusr.com,2,2,0,12762420,false
1drv.ms,1,0,1,0,false
3349ced6-11bd-45a0-a79a-4789af9e4dcb.filesusr.com,1,1,0,207315,false
4.files.edl.io,4,4,0,7228010,false
48516061.fs1.hubspotusercontent-na1.net,1,1,0,1583142,false
7ec5af11-b772-4a01-a45f-dd4265018271.filesusr.com,1,1,0,71354,false
81b0a71b-a7a1-414b-af62-5cf86951dfc5.filesusr.com,2,2,0,255527,false
abbevillecitysc.com,2,2,0,326540,false
aberdeenintranetnc.municipalone.com,1,1,0,164958,false
abilenetx.gov,1,1,0,100713,false
abseconnj.gov,4,4,0,2885312,false
acluct.org,12,0,12,0,false
adamstwp.org,2,2,0,205125,false
addisla.org,3,0,3,0,false
afscme2975.org,1,1,0,60729,false
afscme500.org,1,1,0,53889,false
afscmemn.org,6,6,0,8540121,false
aftonwyoming.gov,2,2,0,623802,false
agendaonline.net,1,0,1,0,false
airmont.org,1,1,0,95219,false
alachua.novusagenda.com,2,0,2,0,false
alamosa.novusagenda.com,1,0,1,0,false
alamotexas.org,2,2,0,13873992,false
albertonmontana.com,3,3,0,222581,false
albiaiowa.org,3,3,0,755285,false
alburghvt.org,3,3,0,715347,false
alcester.sdcity.gov,1,1,0,164306,false
aleknagikak.gov,1,1,0,113505,false
aleutianseast.org,1,1,0,294722,false
alexandriaky.gov,1,1,0,5693315,false
allencounty.in.gov,1,1,0,238319,false
allendalemi.gov,2,2,0,23670371,false
allenstownnh.gov,1,1,0,2715216,false
almacity.com,3,3,0,26247079,false
alpena.mi.us,2,2,0,13086321,false
alpha.creativecirclecdn.com,1,1,0,4945198,false
alvin.gov,2,2,0,14936229,false
amerywisconsin.org,2,2,0,3030913,false
amherst.ny.us,3,3,0,6284250,false
amherstindy.org,1,1,0,103718,false
amherstnh.gov,2,2,0,34800752,false
amherstva.gov,2,2,0,3650120,false
amitytownshippa.com,1,1,0,146532,false
andalusiaal.gov,1,1,0,326946,false
andoverks.civicweb.net,2,2,0,202577,false
angolain.org,2,2,0,9497052,false
annatexas.gov,1,1,0,106612,false
annistonal.gov,3,3,0,48767402,false
antiochca.gov,1,1,0,1840804,false
antwerptownshipmi.gov,2,2,0,198325,false
anyflip.com,1,1,0,103364,false
apachejunctionaz.gov,1,1,0,98820,false
apea-aft.org,1,1,0,833629,false
api.agendas.revize.com,1,1,0,823720,false
apnm.org,1,1,0,516195,false
app.lla.la.gov,5,5,0,11616784,false
app.lla.state.la.us,8,8,0,85383298,false
applecreektownship.org,1,1,0,13342,false
arcadia-fl.gov,1,1,0,120430,false
archdale-nc.gov,2,2,0,417403,false
archive.lib.msu.edu,23,23,0,100562972,false
archivesindex.sc.gov,1,0,1,0,false
arden.delaware.gov,3,3,0,876877,false
ardmorecity.org,2,0,2,0,false
arklegaudit.gov,1,1,0,45,false
arlingtonvermont.org,2,2,0,517571,false
armoursd.com,1,1,0,58370,false
ashlandcitytn.gov,1,1,0,1780436,false
assets-global.website-files.com,1,1,0,136071,false
assets.caboosecms.com,4,4,0,559136,false
assets.locable.com,2,2,0,37530758,false
assets.nationbuilder.com,3,3,0,6593702,false
assets.newlouisiana.org,1,1,0,582261,false
assets.simpleviewinc.com,1,1,0,1061331,false
athenstx.gov,2,2,0,9089151,false
atkinsonne.com,2,2,0,347673,false
attallacity.org,1,1,0,226864,false
atu757.org,2,0,2,0,false
auburn.ca.gov,1,1,0,123082,false
auburn.ne.gov,1,1,0,1770455,false
augustaks.org,2,2,0,20603476,false
aurora-il.legistar.com,2,0,2,0,false
austellga.gov,2,2,0,98608,false
austin-ar.com,1,1,0,230114,false
avonindiana.gov,2,0,2,0,false
aws.state.ak.us,1,1,0,6214,false
aztecnm.gov,2,2,0,848120,false
b860633f-5969-426d-b701-88ff5ee4d400.filesusr.com,1,1,0,1325505,false
ballotpedia.s3.amazonaws.com,2,2,0,35663351,false
baltimoreohio.org,2,2,0,338155,false
bandon-or.gov,1,0,1,0,false
barboursville.community.diligentoneplatform.com,1,1,0,36252,false
barharbormaine.gov,1,1,0,452750,false
barnstead.org,2,0,2,0,false
barnunnwy.gov,3,3,0,1077758,false
barrington-il.gov,3,3,0,9731661,false
barrington.nh.gov,4,4,0,2074047,false
barringtonboro.com,2,2,0,488297,false
bartonvt.com,1,1,0,4880272,false
batesville.ms,2,2,0,8327197,false
batesvilleindiana.us,2,2,0,222222,false
batesvillepolicear.gov,1,1,0,41460,false
baxterspringsks.gov,2,2,0,189252,false
bayharborislands-fl.gov,1,1,0,108012,false
bcato.org,5,5,0,41632804,false
bcutah.gov,3,3,0,3931072,false
beachnd.com,1,1,0,303645,false
bearriverwy.gov,1,1,0,460540,false
beaverfallspa.org,1,1,0,183743,false
beaverton.k12.or.us,2,2,0,307000,false
beavervalleyfop.org,3,3,0,1217543,false
bedfordma.gov,1,1,0,5478800,false
beebeark.org,2,2,0,2512078,false
beevilletx.gov,3,3,0,1817631,false
belgrademaine.gov,2,2,0,15995397,false
belleairfl.legistar.com,1,0,1,0,false
bellefonte.net,2,2,0,49934914,false
belleplaine.granicus.com,1,0,1,0,false
bellevillewi.gov,3,3,0,6994005,false
bellevueky.org,1,1,0,2808742,false
bellmawr.com,2,2,0,236004,false
belmontnh.gov,2,2,0,1594655,false
beltontexas.gov,3,3,0,19213778,false
benbrook-tx.gov,1,1,0,2588157,false
bennettsvillesc.com,3,3,0,700391,false
benningtonne.com,3,3,0,1883861,false
benton.ky.gov,4,4,0,766910,false
bentonchartertwp.org,3,3,0,10170830,false
bentonil.com,2,2,0,7625967,false
benwoodwv.gov,1,1,0,133947,false
berkeleyheights.gov,3,1,2,4038,false
berkeleymo.us,3,3,0,900130,false
berlinct.gov,3,3,0,5115050,false
berlinnj.org,1,1,0,341472,false
bernardsville.gov,2,2,0,2258383,false
berthold-nd.gov,1,1,0,31195,false
berwynheights.granicus.com,1,0,1,0,false
bestiowatown.com,2,2,0,4496084,false
bethel-oh.gov,2,2,0,86167,false
biglakemn.org,1,1,0,23753567,false
bigstonegap.org,1,1,0,203088,false
blades.delaware.gov,2,2,0,897451,false
bloximages.chicago2.vip.townnews.com,1,1,0,3536230,false
bloximages.newyork1.vip.townnews.com,1,1,0,71196,false
boerne.legistar.com,1,0,1,0,false
bogotaonline.org,1,1,0,9236216,false
bolivarwv.org,1,1,0,23931,false
bonnersprings.org,1,0,1,0,false
boonegov.com,1,1,0,1802547,false
booneville-ms.gov,1,1,0,213853,false
boonvillemo.portal.civicclerk.com,1,0,1,0,false
boothbayharbor.org,1,1,0,107973,false
