retained_source_id,candidate_id,lane_id,priority_tier,quality_label,source_url_or_locator,source_title,municipality,state,unit_type,occupation_group,bargaining_unit_name,contract_or_document_period,inferred_cycle_start,inferred_cycle_end,source_family,target_mechanism_family,same_city_match_status,overlapping_cycle_status,verification_status,verification_reason,source_review_download_status,download_status,content_type_hint,file_extension,file_size_bytes,file_sha256,local_retained_path,duplicate_file_group_id,extraction_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness,source_review_timestamp,file_integrity_status,readiness_status,readiness_reason,page_count,pdf_encrypted_or_locked,pdf_has_text_layer_hint,pdf_version_hint,bounded_text_probe_pages,bounded_text_signal_character_count,html_text_readiness_hint,html_probe_bytes,html_visible_text_character_count,html_link_count,html_script_count,readiness_review_status,readiness_notes
RS429-254976629ddc0d74ccc7,TS4L-b5eba08724e81c214d1d,lane_1,tier_b,verification_ready_medium,https://cdnsm5-ss13.sharpschool.com/UserFiles/Servers/Server_60720/File/Departments/Business/Contracts/ESP%20Contract%202021%20-%202026.pdf,"ESP Contract 2021 - 2026 (Tinley Park ESP Council of AFT, Local 604) - Collective Bargaining Agreement",Tinley Park,IL,non_safety_comparator,Educational support professionals (ESP),"Tinley Park ESP Council of AFT, Local 604",2021-2026 (as indicated by filename/title),2021-01-01,2026-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"same-city match (Tinley Park, IL district bargaining context)",unknown (target expected period unclear),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,retained_downloaded_source,downloaded_retained,application/pdf,.pdf,2237198,418bec2fd8576de6b6c721b8e5924eb5c8057ad773010d5b414eef29483448d7,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-254976629ddc0d74ccc7.pdf,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:20Z,integrity_pass,ocr_later_or_defer,bounded_first_pages_do_not_show_usable_text_layer,38,false,false,1.3,3,0,not_applicable,0,0,0,0,reviewed_local_file_metadata_only,"No URL open, download, OCR, rendering, saved page text, evidence extraction, rating, ingestion, codification, model analysis, or causal work occurred."
RS429-33a929bbb1d73dab1241,TS4L-76ec9b2dbf03157e90cf,lane_1,tier_b,verification_ready_medium,https://www.wilmingtoncitycouncil.com/wp-content/uploads/2019/11/4748-Resolution-Approving-Collective-Bargaining-Agreement-with-Local-Union-1102-for-7-18-to-6-30-22-W0108344x920B6.pdf,"Resolution Approving Collective Bargaining Agreement with Local Union 1102 (July 1, 2018–June 30, 2022) — City of Wilmington, Delaware (PDF)",Wilmington,DE,non_safety_comparator,white-collar employees (as described for AFSCME Local 1102),AFSCME Local 1102 (Delaware Public Employees Council 81),"July 1, 2018 through June 30, 2022 (per resolution synopsis/title)",2018-07-01,2022-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city,unknown,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,retained_downloaded_source,downloaded_retained,application/pdf,.pdf,3417469,c49a367c7b8a7d567ffd34a9adb484b80e1f1a07e6ac830b1137d5a43ac0909b,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-33a929bbb1d73dab1241.pdf,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:14Z,integrity_pass,ocr_later_or_defer,bounded_first_pages_do_not_show_usable_text_layer,57,false,false,1.4,3,0,not_applicable,0,0,0,0,reviewed_local_file_metadata_only,"No URL open, download, OCR, rendering, saved page text, evidence extraction, rating, ingestion, codification, model analysis, or causal work occurred."
RS429-457c325232d270b4f8c4,TS4L-4d77853982adfb6e38d9,lane_1,tier_a,verification_ready_high,https://www.maine.gov/mlrb/sites/maine.gov.mlrb/files/inline-files/schools.presqueisle_0.pdf,Maine Labor Relations Board: Presque Isle — schools collective bargaining agreement / contract document (period not yet confirmed),Presque Isle,ME,non_safety_comparator,Schools (non-safety public employees; specific job groups not yet identified),Presque Isle schools bargaining unit (name not yet extracted),period not yet confirmed (filename does not show 2024-2026),,,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city_match_expected,unknown_overlap,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,retained_downloaded_source,downloaded_retained,application/pdf,.pdf,1573241,fa13e9b5d2c18822c58174b37ea324be3b98eabe8c7c2718e824a763ba81ce5c,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-457c325232d270b4f8c4.pdf,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:04Z,integrity_pass,ocr_later_or_defer,bounded_first_pages_do_not_show_usable_text_layer,24,false,false,1.4,3,0,not_applicable,0,0,0,0,reviewed_local_file_metadata_only,"No URL open, download, OCR, rendering, saved page text, evidence extraction, rating, ingestion, codification, model analysis, or causal work occurred."
RS429-67fb23baabac726cc643,TS4L-1171084bf3acbe24f755,lane_1,tier_a,verification_ready_high,https://www.orangecityfl.gov/files/teamsters-contract.pdf,"COLLECTIVE BARGAINING AGREEMENT (Orange City) — Teamsters contract (Fiscal Years 2023/24, 2024/25, 2025/26)",Orange City,FL,non_safety_comparator,Non-safety (bargaining unit referenced as “Teamsters”),Teamsters (Orange City bargaining unit),"Fiscal Years 2023/24, 2024/25, 2025/26",2023-10-01,2026-09-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"same-city (Orange City, FL)",overlaps expected fiscal years (2023/24–2025/26),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,retained_downloaded_source,downloaded_retained,application/pdf,.pdf,1566004,e083d7f66b5df690e850a4d901d76b58817373bb62ee1e2a151da69f62cfbdbc,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-67fb23baabac726cc643.pdf,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:02Z,integrity_pass,ocr_later_or_defer,bounded_first_pages_do_not_show_usable_text_layer,36,false,false,1.4,3,0,not_applicable,0,0,0,0,reviewed_local_file_metadata_only,"No URL open, download, OCR, rendering, saved page text, evidence extraction, rating, ingestion, codification, model analysis, or causal work occurred."
RS429-7e46e02bbbc0921aa433,TS4L-910e7bcdeae0cbacf46a,lane_1,tier_a,verification_ready_high,https://seiu73.org/wp-content/uploads/2021/08/Lake-in-The-Hills-Public-Works-January-1-2023-December-31.-2026.pdf,"Agreement by and between the Village of Lake in the Hills and SEIU Local 73 (Public Works) (Jan 1, 2023 – Dec 31, 2026) [PDF]",Lake in the Hills,IL,non_safety_comparator,Public Works (laborers/utilities/water operations) – SEIU Local 73 bargaining unit,"S.E.I.U., Local 73 (Public Works employees bargaining unit)","January 1, 2023 – December 31, 2026",2023-01-01,2026-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city_match,overlaps_2020-2023,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,retained_downloaded_source,downloaded_retained,application/pdf,.pdf,16959858,8c100394b6467bb7eb79eb8e88815bee8a0d84fa5ce7d2a414d02a732f94913f,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-7e46e02bbbc0921aa433.pdf,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:07Z,integrity_pass,ocr_later_or_defer,bounded_first_pages_do_not_show_usable_text_layer,106,false,false,1.6,3,0,not_applicable,0,0,0,0,reviewed_local_file_metadata_only,"No URL open, download, OCR, rendering, saved page text, evidence extraction, rating, ingestion, codification, model analysis, or causal work occurred."
RS429-83b318c4ca1aae0db067,TS4L-a1f72c7eaac5c376d84f,lane_1,tier_a,verification_ready_high,https://readingea.com/forms/REA%20Contract%20Document.pdf,COLLECTIVE BARGAINING AGREEMENT by and between the School District of Reading and the Reading Education Association (Contract Document),Reading,PA,non_safety_comparator,Education (professional/teaching unit),Reading Education Association,"September 1, 2012 through August 31, 2019",2014-01-01,2019-08-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"City/School District of Reading, PA (match)",Overlaps 2014-2019 window,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,retained_downloaded_source,downloaded_retained,application/pdf,.pdf,5904782,79e49dadb4c23c5dc6cd5f6887e92fd89c8055b8e9b7e608935250ac94ad8b99,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-83b318c4ca1aae0db067.pdf,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:07Z,integrity_pass,ocr_later_or_defer,bounded_first_pages_do_not_show_usable_text_layer,43,false,false,1.4,3,0,not_applicable,0,0,0,0,reviewed_local_file_metadata_only,"No URL open, download, OCR, rendering, saved page text, evidence extraction, rating, ingestion, codification, model analysis, or causal work occurred."
RS429-a1041591353e2f23459e,TS4L-a9b0c5cebd4af19c46d1,lane_1,tier_a,verification_ready_high,https://www.maine.gov/mlrb/sites/maine.gov.mlrb/files/inline-files/schools.rsu1_.2024-2027.pdf,Maine Labor Relations Board: RSU 1 (2024-2027) — schools collective bargaining agreement / contract document,Presque Isle,ME,non_safety_comparator,Schools (non-safety public employees; specific job groups not yet identified),RSU 1 schools bargaining unit (name not yet extracted),2024-2027 (as listed in locator/filename),2024,2027,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city_match_possible_via_locality_context (not yet established),overlapping_expected,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,retained_downloaded_source,downloaded_retained,application/pdf,.pdf,1314602,7966627ca8a2d029be2e6d62e3383adfd95326cee309475c4e93bbecb4831879,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-a1041591353e2f23459e.pdf,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:07Z,integrity_pass,ocr_later_or_defer,bounded_first_pages_do_not_show_usable_text_layer,22,false,false,1.4,3,0,not_applicable,0,0,0,0,reviewed_local_file_metadata_only,"No URL open, download, OCR, rendering, saved page text, evidence extraction, rating, ingestion, codification, model analysis, or causal work occurred."
RS429-bd959d6f7902a64eede8,TS4L-0ffd423d1376a86041e9,lane_1,tier_a,verification_ready_high,https://seiu73.org/wp-content/uploads/2021/08/Lake-in-the-Hills-Public-Works-Jan-1-2018-Dec-31-2022.pdf,"Agreement by and between the Village of Lake in the Hills and SEIU Local 73 (Public Works) (Jan 1, 2018 – Dec 31, 2022) [PDF]",Lake in the Hills,IL,non_safety_comparator,Public Works (laborers/utilities/water operations) – SEIU Local 73 bargaining unit,"S.E.I.U., Local 73 (Public Works employees bargaining unit)","January 1, 2018 – December 31, 2022",2018-01-01,2022-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city_match,overlaps_2020-2023,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,retained_downloaded_source,downloaded_retained,application/pdf,.pdf,5506793,7afdae0cfce96ac2c9f5a5483042bdb604bd0d78fcae6232fb602f45a605eb5c,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-bd959d6f7902a64eede8.pdf,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:02Z,integrity_pass,ocr_later_or_defer,bounded_first_pages_do_not_show_usable_text_layer,104,false,false,1.4,3,0,not_applicable,0,0,0,0,reviewed_local_file_metadata_only,"No URL open, download, OCR, rendering, saved page text, evidence extraction, rating, ingestion, codification, model analysis, or causal work occurred."
RS429-d6aea680b9eb217a999e,TS4L-ddc756009a04bb40d91c,lane_1,tier_b,verification_ready_medium,https://resources.finalsite.net/images/v1715777944/pfsdcom/x0w2yxfdlh3gfufus2pa/AgreementSY24-25FINAL.pdf,Agreement SY24-25 FINAL (Post Falls Education Association),Post Falls,ID,non_safety_comparator,Educators (contract + salary schedule appendix),Post Falls Education Association (PFEA),SY24-25 (as indicated by filename),2024-08-01,2025-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"Post Falls, ID (school district in Post Falls)",unclear (cycle inferred from SY24-25 only),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,retained_downloaded_source,downloaded_retained,application/pdf,.pdf,1840275,f1ad3a131d468984585553bd19e84ee50b53c9d8fdede123b0b8f24e056f3af2,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-d6aea680b9eb217a999e.pdf,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:24Z,integrity_pass,ocr_later_or_defer,bounded_first_pages_do_not_show_usable_text_layer,19,false,false,1.3,3,0,not_applicable,0,0,0,0,reviewed_local_file_metadata_only,"No URL open, download, OCR, rendering, saved page text, evidence extraction, rating, ingestion, codification, model analysis, or causal work occurred."
RS429-f344d0fca0fde4ccebd8,TS4L-63f603be0d80a5ca2a39,lane_1,tier_a,verification_ready_high,https://www.maine.gov/mlrb/sites/maine.gov.mlrb/files/inline-files/schools.presqueisle.2024-2026.pdf,Maine Labor Relations Board: Presque Isle (2024-2026) — schools collective bargaining agreement / contract document,Presque Isle,ME,non_safety_comparator,Schools (non-safety public employees; specific job groups not yet identified),Presque Isle schools bargaining unit (name not yet extracted),2024-2026 (as listed in locator/filename),2024,2026,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city_match_expected,overlapping_expected,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,retained_downloaded_source,downloaded_retained,application/pdf,.pdf,1501740,754ced64d509951309f98a0bbdecbafe10308e55e9ebf50e462f45a3fe78493b,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-f344d0fca0fde4ccebd8.pdf,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:06Z,integrity_pass,ocr_later_or_defer,bounded_first_pages_do_not_show_usable_text_layer,24,false,false,1.3,3,0,not_applicable,0,0,0,0,reviewed_local_file_metadata_only,"No URL open, download, OCR, rendering, saved page text, evidence extraction, rating, ingestion, codification, model analysis, or causal work occurred."
