candidate_id,lane_id,priority_tier,quality_label,source_url_or_locator,source_title,municipality,state,unit_type,occupation_group,bargaining_unit_name,contract_or_document_period,inferred_cycle_start,inferred_cycle_end,source_family,target_mechanism_family,same_city_match_status,overlapping_cycle_status,verification_status,verification_reason,verification_timestamp,candidate_only_lineage_status,retained_source_id,source_review_download_status,download_status,http_status,content_type_hint,file_extension,file_size_bytes,file_sha256,local_retained_path,duplicate_file_group_id,extraction_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness,source_review_timestamp,notes,preserved_exclusion_status,excluded_from_readiness_queue
TS4L-246beb7c50a2ceccb32b,lane_1,tier_a,verification_ready_high,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-04-0526.pdf,"Collective Bargaining Agreement (Upper Sandusky Education Association; Board of Education of the Upper Sandusky Exempted Village School District) — July 1, 2021 to June 30, 2024",Upper Sandusky,OH,non_safety_comparator,certificated personnel (per document recognition/scope language),Upper Sandusky Education Association,"JULY 1, 2021 - JUNE 30, 2024",2021-07-01,2024-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same-city (Upper Sandusky; Upper Sandusky Exempted Village School District),overlaps expected period (covers 2021-2022 portion of 2020-2022 window),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:05Z,verified_source_lead_not_downloaded,RS429-02e02efa7a60019e8c35,oversized_for_this_pass,not_downloaded,200,application/pdf,,104420921,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:02Z,"content_length_exceeds_pass_limit; attempts=1; elapsed_seconds=0.338; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR.",oversized_for_this_pass,true
TS4L-4ebac999a9a820cc3540,lane_1,tier_a,verification_ready_high,https://www.fallriverschools.org/employment/contracts,Employment Contracts — Fall River Public Schools (collective bargaining agreements list),Fall River,MA,non_safety_comparator,Public school workforce (classified/administrative/instructional depending on listed contracts),Fall River Public Schools (bargaining units per listed agreements),2024-2027 (at least one item shown on page snippet),2024,2027,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city=True (Fall River),unknown_overlap_cycle (page shows at least one 2024–2027 period),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:04Z,verified_source_lead_not_downloaded,RS429-5769628923310b680bbc,weak_or_needs_review,downloaded_excluded_not_retained,200,text/html,.html,71716,22955c2d96dfdb2d62c9457285b991459dc686248035b328eeb8b3a40f9c8436,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:04Z,"bounded_get_completed_supported_content; attempts=1; elapsed_seconds=1.821; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR. embedded key-like literal detected by byte safety scan; local HTML copy removed.",weak_or_needs_review,true
TS4L-aa5970f8ec6daa115fe6,lane_1,tier_a,verification_ready_high,https://www.chandleraz.gov/sites/default/files/departments/management-services/City-of-Chandler-FY-24-25-Adopted-Budget-Book-v4.pdf,City of Chandler FY2024-25 Adopted Budget Book (Employee Compensation section; contract effective 7/1/2024–6/30/2026 references),Chandler,AZ,non_safety_comparator,Represented employee groups referenced in Employee Compensation section (CLEA/CLASA/IAFF mentioned),CLEA; CLASA; IAFF (exact unit scope to be confirmed from referenced sections),"Includes references to contracts effective July 1, 2024 through June 30, 2026 (and related FY2024-25 compensation detail)",2024-07-01 (per narr,2026-06-30 (per narr,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city_candidate_lead,partial_overlap_possible_with_late_2023_or_2024_comparison_period,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:08Z,verified_source_lead_not_downloaded,RS429-377e35b8ebc4a01c2f49,oversized_for_this_pass,not_downloaded,200,application/pdf,,57886144,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:08Z,"content_length_exceeds_pass_limit; attempts=1; elapsed_seconds=1.108; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR.",oversized_for_this_pass,true
TS4L-d552f7b4169c3ff4217d,lane_1,tier_a,verification_ready_high,https://www.auroragov.org/UserFiles/Servers/Server_1881137/File/Residents/Public%20Safety/Police/2023%20-%202024%20Collective%20Bargaining%20Agreement.pdf,City of Aurora (CO) Police 2023 - 2024 Collective Bargaining Agreement (PDF),Aurora,CO,non_safety_comparator,Police (collective bargaining unit contract document),,2023 - 2024,2023-01-01,2024-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same-city_Aurora_CO,overlaps_2023-2024,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:09Z,verified_source_lead_not_downloaded,RS429-c345e743f92535a6d5a1,weak_or_needs_review,not_downloaded,403,text/html,,,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:08Z,"get_http_403; attempts=1; elapsed_seconds=0.351; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR.",weak_or_needs_review,true
TS4L-01e4b54028e3ddedf6a7,lane_1,tier_b,verification_ready_medium,https://cdnsm5-hosted.civiclive.com/UserFiles/Servers/Server_1881137/Image/Departments/Fire/CBA%202023%20-%202024.pdf,City of Aurora (CO) Fire Department CBA 2023 - 2024 (PDF),Aurora,CO,non_safety_comparator,Firefighters (collective bargaining unit contract document),,2023 - 2024,2023-01-01,2024-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same-city_Aurora_CO,overlaps_2023-2024,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:37Z,verified_source_lead_not_downloaded,RS429-e4de3ff3cf8a3b483c92,weak_or_needs_review,not_downloaded,403,text/html,,,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:11Z,"get_http_403; attempts=1; elapsed_seconds=0.378; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR.",weak_or_needs_review,true
TS4L-1c21ec7767f32219c3de,lane_1,tier_b,verification_ready_medium,https://detroitmi.gov/sites/detroitmi.localhost/files/events/2023-11/DPOA%20Contract%202022-2027.pdf,DPOA Contract 2022-2027 (Detroit Police Officers Association) [PDF],Detroit,MI,non_safety_comparator,Police (officers) - bargaining unit contract document lead,Detroit Police Officers Association (DPOA),2022-2027,2022,2027,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"exact_city_match_expected (Detroit, MI)",overlap_expected_with_2022_to_2027,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:21Z,verified_source_lead_not_downloaded,RS429-4b9792aaa1165602f2fb,oversized_for_this_pass,not_downloaded,200,application/pdf,,41279554,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:12Z,"content_length_exceeds_pass_limit; attempts=1; elapsed_seconds=0.243; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR.",oversized_for_this_pass,true
TS4L-2378458fd602ed2d7dcd,lane_1,tier_b,verification_ready_medium,https://detroitmi.gov/sites/detroitmi.localhost/files/events/2023-11/DPLSA%20Contract%202022-2027.pdf,DPLSA Contract 2022-2027 (Detroit Police Lieutenants Supervisors Association) [PDF],Detroit,MI,non_safety_comparator,Police (lieutenants/supervisors) - bargaining unit contract document lead,Detroit Police Lieutenants & Supervisors Association (DPLSA),2022-2027,2022,2027,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"exact_city_match_expected (Detroit, MI)",overlap_expected_with_2022_to_2027,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:21Z,verified_source_lead_not_downloaded,RS429-0fdcd3c4e3c34834c7bd,oversized_for_this_pass,not_downloaded,200,application/pdf,,37230215,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:13Z,"content_length_exceeds_pass_limit; attempts=1; elapsed_seconds=0.146; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR.",oversized_for_this_pass,true
TS4L-40ecce79a21a8174baba,lane_1,tier_b,verification_ready_medium,https://cms2.revize.com/revize/roundlakebeach/Document%20Center/Agenda%20and%20Minutes/Council%20Meeting/2026-03-16%20Council%20Meeting%20Packet.pdf?t=202603131532090,"Village Board Meeting (March 16, 2026 Council Meeting Packet) — Memorandum re: Collective Bargaining Agreement (AFSCME) (Round Lake Beach, IL)",Round Lake Beach,IL,non_safety_comparator,Unknown (AFSCME bargaining unit within Village of Round Lake Beach),AFSCME (Village of Round Lake Beach),"January 1, 2026 through December 31, 2028",2026-01-01,2028-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city,overlaps_target_period_2026-2028,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:30Z,verified_source_lead_not_downloaded,RS429-78c7d9065cd06ec93568,oversized_for_this_pass,not_downloaded,200,application/pdf,,28243315,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:13Z,"content_length_exceeds_pass_limit; attempts=1; elapsed_seconds=0.315; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR.",oversized_for_this_pass,true
TS4L-4f072dbdc04fc09beae9,lane_1,tier_b,verification_ready_medium,https://wpnj.us/filestorage/485/528/530/567/11131/6-18-2025.pdf,Woodland Park Municipal Council packet PDF containing Ordinance 25-09 (PBA 173) and Ordinance 25-10 (DPW Association) wage/salary schedules,Woodland Park,NJ,non_safety_comparator,Police (non-supervisory bargaining unit employees affiliated with PBA 173),Police Benevolent Association 173,"Years 2025, 2026, 2027, 2028, 2029 (as stated for Ordinance 25-09 in the packet)",2025,2029,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city_match,unknown,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:33:04Z,verified_source_lead_not_downloaded,RS429-3c009a0a4395d5f6bd30,unavailable_on_get,not_downloaded,404,,,,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:13Z,"get_http_404; attempts=1; elapsed_seconds=0.136; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR.",unavailable_on_get,true
TS4L-a96bee2acc6beac4884b,lane_1,tier_b,verification_ready_medium,https://cms7files1.revize.com/birmingham/Document_Center/Department/Human%20resource/Collective%20Bargaining%20Agreements/Birmingham%20Command%20CBA%202022-FINAL%20SIGNED.pdf,Birmingham Command CBA 2022-FINAL SIGNED,Birmingham,AL,non_safety_comparator,Police command / supervisory bargaining unit (exact group inferred from document title),Birmingham Command (as titled),"2022–(salary schedule references July 1, 2022 – June 30, 2025 in document text)",2022-07-01,2025-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city,unknown,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:57Z,verified_source_lead_not_downloaded,RS429-a39aaa225900f8e89ab2,oversized_for_this_pass,not_downloaded,200,application/pdf,,29937532,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:20Z,"content_length_exceeds_pass_limit; attempts=1; elapsed_seconds=0.094; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR.",oversized_for_this_pass,true
