retained_source_id,candidate_id,local_retained_path,recorded_file_size_bytes,observed_file_size_bytes,recorded_file_sha256,observed_file_sha256,file_exists,path_inside_retained_directory,file_integrity_status
RS429-00687c2dc8237bf7b72f,TS4L-b682e7b98c855c406ef9,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-00687c2dc8237bf7b72f.pdf,420526,420526,ed814bc37d692e13e0662de87d38ddbb390d22d1669ba37cad55d16bc27ad650,ed814bc37d692e13e0662de87d38ddbb390d22d1669ba37cad55d16bc27ad650,true,true,integrity_pass
RS429-035152075d9d3928aab9,TS4L-9d76845fdf24db968375,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-035152075d9d3928aab9.pdf,181021,181021,c7409d4695d7b28c4b88fcde06398c27b09ba3c12959f3f7794bc6f7b8c9f1cd,c7409d4695d7b28c4b88fcde06398c27b09ba3c12959f3f7794bc6f7b8c9f1cd,true,true,integrity_pass
RS429-039b02c28c27a26001dc,TS4L-7b27c18ad36f3513f1b9,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-039b02c28c27a26001dc.pdf,342360,342360,78317c8f63bb02936d8a23891b398633bec33cedaa1d903eb46fd38d0cd8ea0e,78317c8f63bb02936d8a23891b398633bec33cedaa1d903eb46fd38d0cd8ea0e,true,true,integrity_pass
RS429-08d677b98576ecebb03d,TS4L-fd41859209501998826d,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-08d677b98576ecebb03d.pdf,710261,710261,cf3d04f878e99e4af0dd49d8677c05f3f8da7e1597543187dab35849bca967da,cf3d04f878e99e4af0dd49d8677c05f3f8da7e1597543187dab35849bca967da,true,true,integrity_pass
RS429-0d02559995800650d5e8,TS4L-4a4cb123a1f2ff8ccef6,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-0d02559995800650d5e8.pdf,53451,53451,a5ff8883e41e2a98cda0b113ed6b390b30dda94e8f666e544c9b603dc5140746,a5ff8883e41e2a98cda0b113ed6b390b30dda94e8f666e544c9b603dc5140746,true,true,integrity_pass
RS429-0fdd483045f8e4450d41,TS4L-28cea38d600b12352ef4,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-0fdd483045f8e4450d41.pdf,619449,619449,9ba405660baec149d3dc087030e6f67bbefa21979741353d24c3bce4b9e9a449,9ba405660baec149d3dc087030e6f67bbefa21979741353d24c3bce4b9e9a449,true,true,integrity_pass
RS429-10cc3df77f2a35331854,TS4L-66d5846bd673c3beeb07,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-10cc3df77f2a35331854.pdf,56146,56146,5b0e0c1109d9ab591c384a19c4287016f89e01536411bd741674332c425b6fc1,5b0e0c1109d9ab591c384a19c4287016f89e01536411bd741674332c425b6fc1,true,true,integrity_pass
RS429-12a888398310e59c3de8,TS4L-e4112ce5dfe0216f7e9a,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-12a888398310e59c3de8.pdf,1491312,1491312,99d3bddc806fb467b0e8304936b5ae3ba478b52dfc11b3b16790a7f8adad0e42,99d3bddc806fb467b0e8304936b5ae3ba478b52dfc11b3b16790a7f8adad0e42,true,true,integrity_pass
RS429-1a3717d800a5535b108f,TS4L-b617721424fd9353ae37,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-1a3717d800a5535b108f.pdf,11860395,11860395,df1d5220362e6090f82a3ff08978c8a7e37932fe5d65d230a9ba791cb7419a1c,df1d5220362e6090f82a3ff08978c8a7e37932fe5d65d230a9ba791cb7419a1c,true,true,integrity_pass
RS429-1faeac9175aae59e6494,TS4L-0ce7b03152197ce5c276,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-1faeac9175aae59e6494.pdf,824708,824708,75d72fffe75bc0c7ccda0a2959e6680a9d91c15a311ea153ad0686ad3c267970,75d72fffe75bc0c7ccda0a2959e6680a9d91c15a311ea153ad0686ad3c267970,true,true,integrity_pass
RS429-20a594e247c8da14f0f9,TS4L-5ef86fb33f6b59e69dfa,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-20a594e247c8da14f0f9.pdf,25322044,25322044,ce7517eb3e5e36f094c58d8afc652ae675ac1c85223d0d5c85a29523dd308b0f,ce7517eb3e5e36f094c58d8afc652ae675ac1c85223d0d5c85a29523dd308b0f,true,true,integrity_pass
RS429-23604e91ded43eaad9c1,TS4L-094708a83d131ff8adf8,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-23604e91ded43eaad9c1.pdf,916495,916495,e1d46ee253498cb89f7ef0b91b79cbc21f875142139f95d84dd752063795995f,e1d46ee253498cb89f7ef0b91b79cbc21f875142139f95d84dd752063795995f,true,true,integrity_pass
RS429-23a0f9e9625a3097894c,TS4L-73775a9184d77735eeb4,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-23a0f9e9625a3097894c.pdf,947468,947468,25e8f175c45daf39e10ec3ea41b7ff7875e08cc59c5976512934ebeb9a3f6a63,25e8f175c45daf39e10ec3ea41b7ff7875e08cc59c5976512934ebeb9a3f6a63,true,true,integrity_pass
RS429-254976629ddc0d74ccc7,TS4L-b5eba08724e81c214d1d,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-254976629ddc0d74ccc7.pdf,2237198,2237198,418bec2fd8576de6b6c721b8e5924eb5c8057ad773010d5b414eef29483448d7,418bec2fd8576de6b6c721b8e5924eb5c8057ad773010d5b414eef29483448d7,true,true,integrity_pass
RS429-267674a9d23a3a211a21,TS4L-cc8b2bb57e261f03abe6,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-267674a9d23a3a211a21.pdf,479230,479230,9d516996667cfbb809843a5a27d64ae729c4789ae8067ac19938696c15fe62d6,9d516996667cfbb809843a5a27d64ae729c4789ae8067ac19938696c15fe62d6,true,true,integrity_pass
RS429-29d55cef32a1ed7be923,TS4L-0747cbb350fcb4663219,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-29d55cef32a1ed7be923.pdf,492532,492532,019d4463cd52a6d6c699378d650dcfebd3933061a4ca2b299ec83c1c06815d85,019d4463cd52a6d6c699378d650dcfebd3933061a4ca2b299ec83c1c06815d85,true,true,integrity_pass
RS429-33a929bbb1d73dab1241,TS4L-76ec9b2dbf03157e90cf,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-33a929bbb1d73dab1241.pdf,3417469,3417469,c49a367c7b8a7d567ffd34a9adb484b80e1f1a07e6ac830b1137d5a43ac0909b,c49a367c7b8a7d567ffd34a9adb484b80e1f1a07e6ac830b1137d5a43ac0909b,true,true,integrity_pass
RS429-3412bf7cc2c1b398ec1b,TS4L-97cae2bbc60da28063b2,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-3412bf7cc2c1b398ec1b.pdf,86105,86105,8d166c11b79651b5520c8cc7ba43f5b775b0269be236c79ccc8ac94f004eb07b,8d166c11b79651b5520c8cc7ba43f5b775b0269be236c79ccc8ac94f004eb07b,true,true,integrity_pass
RS429-35a81f9f96d2922af1a3,TS4L-5bd718d79151d037d9b5,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-35a81f9f96d2922af1a3.pdf,2177886,2177886,332fa0586dac2234457c421dcfce562aec885cd635bf411af922d924ad3069ec,332fa0586dac2234457c421dcfce562aec885cd635bf411af922d924ad3069ec,true,true,integrity_pass
RS429-3dd9f1327324a10bd53e,TS4L-0c36220e2a172042f55b,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-3dd9f1327324a10bd53e.pdf,630980,630980,aadf6738414fd9a1647375b4f47c03e8e7f6e05532590ae7dadf4333c20197a6,aadf6738414fd9a1647375b4f47c03e8e7f6e05532590ae7dadf4333c20197a6,true,true,integrity_pass
RS429-40b64a3c7f9fdb4151d8,TS4L-a88a6fd0bfcb97dfec6d,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-40b64a3c7f9fdb4151d8.pdf,144629,144629,2c4ab1cf48abb214157674403b8fcc2f58f5b1edb50f0e5e5b85dc4608490e85,2c4ab1cf48abb214157674403b8fcc2f58f5b1edb50f0e5e5b85dc4608490e85,true,true,integrity_pass
RS429-42f9f73c43a825c2cf74,TS4L-634d30d6b1140190fbca,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-42f9f73c43a825c2cf74.html,114789,114789,d2e8aa0fab06fbc44b2ef1ceb6bb6bbf718c5a64342645d53bc2b8a695bd2bb9,d2e8aa0fab06fbc44b2ef1ceb6bb6bbf718c5a64342645d53bc2b8a695bd2bb9,true,true,integrity_pass
RS429-44d901181b5403eb7732,TS4L-e3a3bb323bbf2f5de1ae,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-44d901181b5403eb7732.pdf,972802,972802,daef7caa2216659f84d7aafe788c4db04abe16203aa4a813f8821323f2a36b3d,daef7caa2216659f84d7aafe788c4db04abe16203aa4a813f8821323f2a36b3d,true,true,integrity_pass
RS429-457c325232d270b4f8c4,TS4L-4d77853982adfb6e38d9,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-457c325232d270b4f8c4.pdf,1573241,1573241,fa13e9b5d2c18822c58174b37ea324be3b98eabe8c7c2718e824a763ba81ce5c,fa13e9b5d2c18822c58174b37ea324be3b98eabe8c7c2718e824a763ba81ce5c,true,true,integrity_pass
RS429-45ef3ee3fd84983daf7b,TS4L-e9665cf11ecd27438dee,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-45ef3ee3fd84983daf7b.pdf,35849,35849,7355946604243c3b43230256a19515287b19ccc09eacf964b0523b81ed95f884,7355946604243c3b43230256a19515287b19ccc09eacf964b0523b81ed95f884,true,true,integrity_pass
RS429-47facab99fd82306e038,TS4L-8b41f21259d77beb1c57,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-47facab99fd82306e038.pdf,4164701,4164701,aff24219142899a1790919240709852a5cc9b2cda92fad1825b683b7181683ff,aff24219142899a1790919240709852a5cc9b2cda92fad1825b683b7181683ff,true,true,integrity_pass
RS429-4a85f0efcda6709eff33,TS4L-24988abb8b5b0a3c7f3e,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-4a85f0efcda6709eff33.pdf,2672293,2672293,eebaac8de5ae3dfdcaf75e5287883a248afee7165f7141b6e3d9c7c0807231de,eebaac8de5ae3dfdcaf75e5287883a248afee7165f7141b6e3d9c7c0807231de,true,true,integrity_pass
RS429-4b5a7f6a77b9e64deec8,TS4L-4e617afe327acb786e49,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-4b5a7f6a77b9e64deec8.html,162239,162239,bb0d696cd76c875891707ef9dda598bac7ac5bac15f4092f077b1c73fecf2c85,bb0d696cd76c875891707ef9dda598bac7ac5bac15f4092f077b1c73fecf2c85,true,true,integrity_pass
RS429-50cd29f1eb1c7e2da961,TS4L-b26fb70c654e89b16f24,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-50cd29f1eb1c7e2da961.pdf,586958,586958,7b01ad8123961c5e960555643951616810d0c7f081c59162353e0f50da2016b6,7b01ad8123961c5e960555643951616810d0c7f081c59162353e0f50da2016b6,true,true,integrity_pass
