record_id,qa_stratum,raw_value_preserved,coordinate_valid,uncertainty_not_forced,conflict_integrity,claim_link_basis_preserved,span_disposition_supported,passed,mechanical_invariant_review,independent_human_gold_review
EXTRECON-63cf6123cc86e4c977ba887d,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-a41d409361b9b7a66c42f4c9,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-ff2c233d86cacdb3ea447007,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-35cff35bd96ff040e11be113,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-f046fd1887e13b09c0b0f050,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-caf521fe93c9cfc5bcd80d12,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-76f9b02376656750bf565429,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-744d3fba6490f8e3bfa9d0ed,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-3a5ff8cd8c4769f6cbdb7d66,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-54c3cc8611bae45dc5f9585f,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-fceaa9615a47baad1e2dbcbc,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-6cc7bd8250a61302261cad6a,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-70be072964e383223de78249,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-57bd845e6281f5fdad9ee3de,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-c50a0aedf1fa17f9e0f5b914,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-fbe04c4c5ee149636fdae546,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-a2d74c2ca448595e2a7a941d,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-13b8e024327130296f5e69f0,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-283fec7d504eff37ab05a9ec,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-3b5bb4ff26dd9165c3c88802,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-7b9328aea8f4cb8c214b208c,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-239bfda3df595d9fb62e2fa8,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-d75a4ca20894ffc77f0654ba,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-406410395fa17b8e9ad5193e,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-3fbfe1b5622d55bdc9ece6e0,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-0ebeff5eea4b25ac1ae3ce6b,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-8bc9392cec593e92c7abde00,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-909e09e36041e720f95c6489,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-872de970ede69dbe08fa59c2,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-c41953a2550bbd75c325b1a9,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-7d520176c49dadd21fbd0f3f,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-51d673c6101b681caf1a9949,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-77a4dea82c418edacd4cfe7a,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-b0ddceffd6ac7206b0577b36,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-e485959ed77771dbc1ae2bcb,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-c4ab2d460a7346807a64f5f5,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-893491161bc829d4df7e2623,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-f406cd8b6462c24b313a960d,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-d416daede57f887c93a70fa6,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-80664c75c9e3fee9ba38423f,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-70725287f44befb7199c6bfa,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-4b53a9f04d3d3f9c2efe7b5b,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-6c176b5c56e8ad326bad6aa1,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-5f439103bd2199d75116c4be,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-e95cf4247d55d27d92abbc97,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-ca2b3fa0e07ef25af3b0bade,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-f02611b1da2c641916ed8d01,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-cb5844d772cfe8baeff8ef03,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-15b570a0b3125bb4e1c84c6d,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-66058704991f425aa2e80621,municipality,True,True,True,True,True,True,True,True,False
EXTRECON-4710afb032ddd67d3f0a85bd,municipality,True,True,True,True,True,True,True,True,False
