adjudication_performed,ambiguity_flags,canonical_external_ingestion_id,conflict_flags,expected_consequence_if_rejected,expected_consequence_if_upheld,external_administrative_observation_id,linked_claim_ids,proposed_analytical_role,reason_for_cross_examination,recommended_review_type,source_SHA_256,source_character_end,source_character_start,source_excerpt_or_table_row,source_page,source_row,source_table_id,reconciled_external_observation_id,municipality_after,department_after,side_after,period_after,pay_basis_after,compensation_basis_after,conflict_reconciliation_status,claim_linkage_status_after
False,,EXTINGEST-82ec050f3d82866259fd5c28,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-6dc3192dc146d933f4e7c053,,local_comparison_candidate,headline_or_local_comparison_candidate,direct manual source review,b210713a76d03bb49d0555d68d66f5d6d75cb1cdc786ff0b35e929c0e66866dc,529418,529415,102,269,,,EXTRECON-9d204c6e87291120db4a9587,cog_2025_225686,unclear,unclear,2021,unclear,unclear,not_applicable,event_linked_claim_pending
False,,EXTINGEST-82821db7658380544767ded0,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-4045789fc3afc8c3cac36074,,total_compensation_candidate,total_compensation_component,direct manual source review,d9ae8c9600e735e47eaf49c6b750c09d49ea73087720356867f2c9caa09b60a3,136966,136961,"6,960",121,,,EXTRECON-16520b5f43cb087cfcb756f4,cog_2025_205481,not_applicable,side_independent,2017,benefit_contribution,benefit_component,not_applicable,event_linked_claim_pending
False,,EXTINGEST-8ee1b3b0d98bbe92322aedb0,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-46235bdb2cf53a36edd7e8a6,,staffing_hypothesis_candidate,staffing_or_vacancy_claim_relevance,direct manual source review,a88275a72e4863e625f2cd78e3bf45177d09b6129ed4888c57416fce067a50a1,879145,879138,Vacant,574,,,EXTRECON-e058e783d247f63438385376,cog_2025_212147,unclear,unclear,2016,staffing_count,staffing_or_non_compensation,not_applicable,event_linked_claim_pending
False,,EXTINGEST-1170935521a2b101b16e7fc9,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-ba1a6ee8111315b198d87e6d,MECH-04,growth_candidate,exact_claim_id_linked_direct_observation,direct manual source review,ced5e7a83c6de56413c18ce210755ebef86c7111a18e2c2d1005577d474a6c82,21548,21547,7,18,,,EXTRECON-87ce54134c83167d862142af,cog_2025_225869,unclear,unclear,2024,unclear,salary_schedule_rate,not_applicable,exact_claim_id_link
False,,EXTINGEST-fad7f16f37d01114f1ad030b,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-fe5a90324e340152b1b6fe04,MECH-04,growth_candidate,exact_claim_id_linked_direct_observation,direct manual source review,1a273cf4b11b3e444fbacf0d360edaae89bcbb499f75142f752b0d53e089ac52,28715,28714,2,29,,,EXTRECON-5dcbdd1a70e228c664a46239,cog_2025_173237,unclear,unclear,2022,unclear,salary_schedule_rate,not_applicable,exact_claim_id_link
False,,EXTINGEST-907625456766f94752fe9271,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-ba713d1c071f1c162fd106b6,,total_compensation_candidate,total_compensation_component,direct manual source review,28dbacda734cc0d54aaf4607a8f30496f20310b289abc862236b1c940b8272ac,725054,725049,$0.00,268,,,EXTRECON-b5c2f7b10dbcdb0dee8a08f7,cog_2025_176498,not_applicable,side_independent,2024,benefit_contribution,benefit_component,not_applicable,event_linked_claim_pending
False,,EXTINGEST-cb5767b7112db738b8439182,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-244a06c157379fb0c30e572d,,growth_candidate,headline_or_local_comparison_candidate,direct manual source review,92837f318471312305014fd54e19d87c163fc35565c097b65da6edbfe69b5709,46921,46916,"1,300",24,,,EXTRECON-ab398576a3df7a7f9d4afd12,cog_2025_166553,unclear,unclear,2024,unclear,salary_schedule_rate,not_applicable,event_linked_claim_pending
False,,EXTINGEST-9596ef7bd4aed18c0a003960,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-7ead6ff3e33b627e070e0ba7,,staffing_hypothesis_candidate,staffing_or_vacancy_claim_relevance,direct manual source review,dac4d8cf08ed6abe1eaa25222ffb932884d2f8714914c2e6dc6d6826c3949615,561059,561057,76,263,,,EXTRECON-e35bf069b686ab54d7cb7880,cog_2025_162791,unclear,unclear,2022,staffing_count,staffing_or_non_compensation,not_applicable,event_linked_claim_pending
False,,EXTINGEST-e99bcc50cdc2fad1fd2e9955,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-4f0baaa305ec0e3f53d83b90,,local_comparison_candidate,headline_or_local_comparison_candidate,direct manual source review,5a421e071224e57735108a9347550b48c5af22696c01dc957b3e32cb460019fd,516237,516232,$1.50,110,,,EXTRECON-5d40f4a332c895aa1fed4a00,cog_2025_177787,unclear,unclear,2026,unclear,unclear,not_applicable,event_linked_claim_pending
False,,EXTINGEST-9ca21215fd92b9c2cdd12ca0,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-434041756a83c9688e53d85c,,staffing_hypothesis_candidate,staffing_or_vacancy_claim_relevance,direct manual source review,290983d48ae32c270de6477d3541b2a8afca0a1579c6782a4821da85ef42d735,334815,334813,24,147,,,EXTRECON-83158bc6cc485d416e63442b,cog_2025_209137,unclear,unclear,2023,staffing_count,staffing_or_non_compensation,not_applicable,event_linked_claim_pending
