reconciled_external_observation_id,canonical_external_ingestion_id,source_SHA_256,source_page,source_table_id,source_row,source_character_start,source_character_end,raw_value,municipality_canonical_id_before,municipality_canonical_id_after,municipality_reconciliation_status,department_before,department_after,department_reconciliation_status,identity_raw,identity_type_after,identity_reconciliation_status,side_before,side_after,side_reconciliation_status,period_raw,fiscal_year_after,calendar_year_after,period_reconciliation_status,pay_basis_before,pay_basis_after,pay_basis_reconciliation_status,compensation_basis_before,compensation_basis_after,compensation_basis_reconciliation_status,recurring_status_before,recurring_status_after,recurring_reconciliation_status,implementation_status_before,implementation_status_after,implementation_reconciliation_status,source_version_status,conflict_reconciliation_status,claim_linkage_status_after,local_comparison_readiness,growth_readiness,staffing_hypothesis_readiness,reconciliation_rule_ids
EXTRECON-63cf6123cc86e4c977ba887d,EXTINGEST-224b35fb998fce6eb038f552,d1a6182697ea77d73e3b37acfe925662dfba99e89eb1d6a8b52c72be0476e90e,3,,,4017,4019,12,,cog_2025_191342,deterministic_alias_match,department_reconciliation_needed,unclear,department_unresolved,anonymous_position_or_employee_record,implementation_action,identity_type_from_observation,unclear,unclear,side_unresolved,2022,,,exact_source_period,,not_applicable,pay_basis_not_applicable,,not_applicable,compensation_basis_not_applicable,,not_applicable,RECUR-NA,unclear,unclear,LIFE-UNRESOLVED,version_unclear,not_applicable,exact_claim_id_link,local_comparison_not_appropriate,growth_not_appropriate,staffing_context_only,MUNI-002|DEPT-UNRESOLVED|IDENT-001|SIDE-UNRESOLVED|PERIOD-001|PAYBASIS-001|COMPBASIS-001|RECUR-NA|LIFE-UNRESOLVED|VERSION-UNRESOLVED|CONFLICT-NA|CLAIM-001
EXTRECON-a41d409361b9b7a66c42f4c9,EXTINGEST-3f0e1ef79cb1f7d07749fff5,d1a6182697ea77d73e3b37acfe925662dfba99e89eb1d6a8b52c72be0476e90e,10,,,13405,13462,Highspire Borough Memorial Park Improvements - Phase One,,cog_2025_191342,deterministic_alias_match,department_reconciliation_needed,parks_and_recreation,deterministic_department_alias,anonymous_position_or_employee_record,anonymous_employee_row,anonymous_row_preserved,unclear,non_safety,explicit_department_side,2022,,,exact_source_period,,unclear,pay_basis_unresolved,,unclear,compensation_basis_unresolved,,unclear,RECUR-UNRESOLVED,not_applicable,not_applicable,LIFE-NA,version_unclear,not_applicable,event_linked_claim_pending,local_comparison_basis_hold,growth_not_appropriate,staffing_context_only,MUNI-002|DEPT-002|IDENT-001|SIDE-001|PERIOD-001|PAYBASIS-001|COMPBASIS-001|RECUR-UNRESOLVED|LIFE-NA|VERSION-UNRESOLVED|CONFLICT-NA|CLAIM-001
EXTRECON-ff2c233d86cacdb3ea447007,EXTINGEST-85f511ef47856fd186b13c16,d1a6182697ea77d73e3b37acfe925662dfba99e89eb1d6a8b52c72be0476e90e,12,,,21790,21797,$200.00,,cog_2025_191342,deterministic_alias_match,department_reconciliation_needed,unclear,department_unresolved,anonymous_position_or_employee_record,salary_schedule_step,identity_type_from_observation,unclear,unclear,side_unresolved,2022,,,exact_source_period,,unclear,pay_basis_unresolved,,salary_schedule_rate,exact_source_basis,,unclear,RECUR-UNRESOLVED,not_applicable,not_applicable,LIFE-NA,version_unclear,not_applicable,exact_claim_id_link,local_comparison_not_appropriate,growth_basis_hold,staffing_context_only,MUNI-002|DEPT-UNRESOLVED|IDENT-001|SIDE-UNRESOLVED|PERIOD-001|PAYBASIS-001|COMPBASIS-001|RECUR-UNRESOLVED|LIFE-NA|VERSION-UNRESOLVED|CONFLICT-NA|CLAIM-001
EXTRECON-35cff35bd96ff040e11be113,EXTINGEST-37a7d01abebb0ae5900468aa,d1a6182697ea77d73e3b37acfe925662dfba99e89eb1d6a8b52c72be0476e90e,15,,,32536,32568,"BROTHER, SISTER or STEP-SISTER.",,cog_2025_191342,deterministic_alias_match,department_reconciliation_needed,unclear,department_unresolved,anonymous_position_or_employee_record,salary_schedule_step,identity_type_from_observation,unclear,unclear,side_unresolved,2022,,,exact_source_period,,unclear,pay_basis_unresolved,,salary_schedule_rate,exact_source_basis,,unclear,RECUR-UNRESOLVED,not_applicable,not_applicable,LIFE-NA,version_unclear,not_applicable,exact_claim_id_link,local_comparison_not_appropriate,growth_basis_hold,staffing_context_only,MUNI-002|DEPT-UNRESOLVED|IDENT-001|SIDE-UNRESOLVED|PERIOD-001|PAYBASIS-001|COMPBASIS-001|RECUR-UNRESOLVED|LIFE-NA|VERSION-UNRESOLVED|CONFLICT-NA|CLAIM-001
EXTRECON-f046fd1887e13b09c0b0f050,EXTINGEST-f95480b9a834d1115970fa1a,d1a6182697ea77d73e3b37acfe925662dfba99e89eb1d6a8b52c72be0476e90e,21,,,61499,61501,"1,",,cog_2025_191342,deterministic_alias_match,department_reconciliation_needed,unclear,department_unresolved,anonymous_position_or_employee_record,salary_schedule_step,identity_type_from_observation,unclear,unclear,side_unresolved,2022,,,exact_source_period,,unclear,pay_basis_unresolved,,salary_schedule_rate,exact_source_basis,,unclear,RECUR-UNRESOLVED,not_applicable,not_applicable,LIFE-NA,version_unclear,not_applicable,exact_claim_id_link,local_comparison_not_appropriate,growth_basis_hold,staffing_context_only,MUNI-002|DEPT-UNRESOLVED|IDENT-001|SIDE-UNRESOLVED|PERIOD-001|PAYBASIS-001|COMPBASIS-001|RECUR-UNRESOLVED|LIFE-NA|VERSION-UNRESOLVED|CONFLICT-NA|CLAIM-001
EXTRECON-caf521fe93c9cfc5bcd80d12,EXTINGEST-a4ce89089cc8f09697cb30c3,d1a6182697ea77d73e3b37acfe925662dfba99e89eb1d6a8b52c72be0476e90e,22,,,62892,62893,1,,cog_2025_191342,deterministic_alias_match,department_reconciliation_needed,unclear,department_unresolved,anonymous_position_or_employee_record,salary_schedule_step,identity_type_from_observation,unclear,unclear,side_unresolved,2022,,,exact_source_period,,unclear,pay_basis_unresolved,,salary_schedule_rate,exact_source_basis,,unclear,RECUR-UNRESOLVED,not_applicable,not_applicable,LIFE-NA,version_unclear,not_applicable,exact_claim_id_link,local_comparison_not_appropriate,growth_basis_hold,staffing_context_only,MUNI-002|DEPT-UNRESOLVED|IDENT-001|SIDE-UNRESOLVED|PERIOD-001|PAYBASIS-001|COMPBASIS-001|RECUR-UNRESOLVED|LIFE-NA|VERSION-UNRESOLVED|CONFLICT-NA|CLAIM-001
EXTRECON-76f9b02376656750bf565429,EXTINGEST-b1b167d4e20a79a513ce354a,b210713a76d03bb49d0555d68d66f5d6d75cb1cdc786ff0b35e929c0e66866dc,2,,,2198,2200,92,,cog_2025_225686,deterministic_alias_match,department_reconciliation_needed,unclear,department_unresolved,anonymous_position_or_employee_record,implementation_action,identity_type_from_observation,unclear,unclear,side_unresolved,2021,,,exact_source_period,,not_applicable,pay_basis_not_applicable,,not_applicable,compensation_basis_not_applicable,,not_applicable,RECUR-NA,unclear,unclear,LIFE-UNRESOLVED,version_unclear,not_applicable,exact_claim_id_link,local_comparison_not_appropriate,growth_not_appropriate,staffing_context_only,MUNI-002|DEPT-UNRESOLVED|IDENT-001|SIDE-UNRESOLVED|PERIOD-001|PAYBASIS-001|COMPBASIS-001|RECUR-NA|LIFE-UNRESOLVED|VERSION-UNRESOLVED|CONFLICT-NA|CLAIM-001
EXTRECON-744d3fba6490f8e3bfa9d0ed,EXTINGEST-1fbc1fbcf6491b5f9bbfea6c,b210713a76d03bb49d0555d68d66f5d6d75cb1cdc786ff0b35e929c0e66866dc,3,,,5609,5613,2021,,cog_2025_225686,deterministic_alias_match,department_reconciliation_needed,unclear,department_unresolved,anonymous_position_or_employee_record,anonymous_employee_row,anonymous_row_preserved,unclear,unclear,side_unresolved,2021,2021,,exact_source_period,,unclear,pay_basis_unresolved,,unclear,compensation_basis_unresolved,,unclear,RECUR-UNRESOLVED,not_applicable,not_applicable,LIFE-NA,version_unclear,not_applicable,exact_claim_id_link,local_comparison_side_hold,growth_not_appropriate,staffing_context_only,MUNI-002|DEPT-UNRESOLVED|IDENT-001|SIDE-UNRESOLVED|PERIOD-001|PAYBASIS-001|COMPBASIS-001|RECUR-UNRESOLVED|LIFE-NA|VERSION-UNRESOLVED|CONFLICT-NA|CLAIM-001
EXTRECON-3a5ff8cd8c4769f6cbdb7d66,EXTINGEST-dabb20b30169a73b257c89f8,b210713a76d03bb49d0555d68d66f5d6d75cb1cdc786ff0b35e929c0e66866dc,3,,,6637,6641,2021,,cog_2025_225686,deterministic_alias_match,department_reconciliation_needed,unclear,department_unresolved,anonymous_position_or_employee_record,implementation_action,identity_type_from_observation,unclear,unclear,side_unresolved,2021,,,exact_source_period,,not_applicable,pay_basis_not_applicable,,not_applicable,compensation_basis_not_applicable,,not_applicable,RECUR-NA,unclear,unclear,LIFE-UNRESOLVED,version_unclear,not_applicable,exact_claim_id_link,local_comparison_not_appropriate,growth_not_appropriate,staffing_context_only,MUNI-002|DEPT-UNRESOLVED|IDENT-001|SIDE-UNRESOLVED|PERIOD-001|PAYBASIS-001|COMPBASIS-001|RECUR-NA|LIFE-UNRESOLVED|VERSION-UNRESOLVED|CONFLICT-NA|CLAIM-001
EXTRECON-54c3cc8611bae45dc5f9585f,EXTINGEST-4d71b9a92ac7645532709d78,b210713a76d03bb49d0555d68d66f5d6d75cb1cdc786ff0b35e929c0e66866dc,4,,,8196,8200,2021,,cog_2025_225686,deterministic_alias_match,department_reconciliation_needed,unclear,department_unresolved,anonymous_position_or_employee_record,implementation_action,identity_type_from_observation,unclear,unclear,side_unresolved,2021,,,exact_source_period,,not_applicable,pay_basis_not_applicable,,not_applicable,compensation_basis_not_applicable,,not_applicable,RECUR-NA,unclear,unclear,LIFE-UNRESOLVED,version_unclear,not_applicable,exact_claim_id_link,local_comparison_not_appropriate,growth_not_appropriate,staffing_context_only,MUNI-002|DEPT-UNRESOLVED|IDENT-001|SIDE-UNRESOLVED|PERIOD-001|PAYBASIS-001|COMPBASIS-001|RECUR-NA|LIFE-UNRESOLVED|VERSION-UNRESOLVED|CONFLICT-NA|CLAIM-001
