adjudication_performed,ambiguity_flags,canonical_external_ingestion_id,conflict_flags,expected_consequence_if_rejected,expected_consequence_if_upheld,external_administrative_observation_id,linked_claim_ids,proposed_analytical_role,reason_for_cross_examination,recommended_review_type,source_SHA_256,source_character_end,source_character_start,source_excerpt_or_table_row,source_page,source_row,source_table_id,reconciled_external_observation_id,municipality_after,department_after,side_after,period_after,pay_basis_after,compensation_basis_after,conflict_reconciliation_status,claim_linkage_status_after
False,,EXTINGEST-1170935521a2b101b16e7fc9,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-ba1a6ee8111315b198d87e6d,MECH-04,growth_candidate,exact_claim_id_linked_direct_observation,direct manual source review,ced5e7a83c6de56413c18ce210755ebef86c7111a18e2c2d1005577d474a6c82,21548,21547,7,18,,,EXTRECON-87ce54134c83167d862142af,cog_2025_225869,unclear,unclear,2024,unclear,salary_schedule_rate,not_applicable,exact_claim_id_link
False,,EXTINGEST-fad7f16f37d01114f1ad030b,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-fe5a90324e340152b1b6fe04,MECH-04,growth_candidate,exact_claim_id_linked_direct_observation,direct manual source review,1a273cf4b11b3e444fbacf0d360edaae89bcbb499f75142f752b0d53e089ac52,28715,28714,2,29,,,EXTRECON-5dcbdd1a70e228c664a46239,cog_2025_173237,unclear,unclear,2022,unclear,salary_schedule_rate,not_applicable,exact_claim_id_link
False,,EXTINGEST-cb5767b7112db738b8439182,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-244a06c157379fb0c30e572d,,growth_candidate,headline_or_local_comparison_candidate,direct manual source review,92837f318471312305014fd54e19d87c163fc35565c097b65da6edbfe69b5709,46921,46916,"1,300",24,,,EXTRECON-ab398576a3df7a7f9d4afd12,cog_2025_166553,unclear,unclear,2024,unclear,salary_schedule_rate,not_applicable,event_linked_claim_pending
False,,EXTINGEST-8d2a8282a01ae2a7e79fafc9,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-9c97c42da4f14957717560c5,,growth_candidate,headline_or_local_comparison_candidate,direct manual source review,9eba24ee01666e0a37fc34a3c89d96244bfb5ca780e46f0936f32ecdc3e55fea,146564676,146564675,8,,,,EXTRECON-0329d8674ce2eec3c5af25bf,cog_2025_170800,unclear,unclear,2025,unclear,salary_schedule_rate,not_applicable,event_linked_claim_pending
False,,EXTINGEST-35147161a08f531f482b76ef,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-b5b2e0d4ec036a11fddfc3ac,,growth_candidate,headline_or_local_comparison_candidate,direct manual source review,020bbf33667b772062edfef533e98320542fef680ff36677c3a0075e2e6d40ee,,,NS,,1095,html_table_1,EXTRECON-b63ad9128c0adf9b2cb1fa23,cog_2025_131425,unclear,unclear,2020,unclear,salary_schedule_rate,not_applicable,event_linked_claim_pending
False,,EXTINGEST-aafcfd451ee6e7980f96bf4b,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-27043c321ebe1273faaddd10,MECH-04,growth_candidate,exact_claim_id_linked_direct_observation,direct manual source review,4498598a9df38a300ebb9e6f293020c89aa111b963865b6075212b8106b2a070,70457,70456,2,32,,,EXTRECON-78015ac6728e49c8e229ec60,cog_2025_106343,unclear,unclear,undated,unclear,salary_schedule_rate,not_applicable,exact_claim_id_link
False,,EXTINGEST-aecfa88b6b90ce836a3678d0,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-c570f482c2f0bda2a1d1000e,,growth_candidate,headline_or_local_comparison_candidate,direct manual source review,d96e99337b04ac44be7a7be1eca59dd60194e7a3ab9665280532bbe64b1e5b14,117020,117003,Home Dean Review,33,,,EXTRECON-7cab7c7222b8c1d467e1e1c0,cog_2025_106593,unclear,unclear,2015,unclear,salary_schedule_rate,not_applicable,event_linked_claim_pending
False,,EXTINGEST-569b7f9b9b97e4742958f162,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-8d687fba971e17a289850100,MECH-04,growth_candidate,exact_claim_id_linked_direct_observation,direct manual source review,a15a36e82e362d2dd61aa88599c9aa20b6735f83bf5bfc7bd5af1e75d46b26c1,296748,296741,6179530,143,,,EXTRECON-e23d8c9483579c83667fb439,cog_2025_173662,unclear,unclear,2017,unclear,salary_schedule_rate,not_applicable,exact_claim_id_link
False,,EXTINGEST-5af041964906ef31e1f5f39f,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-e3597c4465e7eed1c9071d90,,growth_candidate,headline_or_local_comparison_candidate,direct manual source review,fd51dee035a91def5af3f416e652143be817974bdf301895dc418dee11a899ab,147236,147234,11,80,,,EXTRECON-52ee373f7cb7ea56ffc03b60,cog_2025_177095,unclear,unclear,undated-source-CBSRD-20260728-c167f2a61f4166190396,unclear,salary_schedule_rate,not_applicable,event_linked_claim_pending
False,,EXTINGEST-347b40f38caee2dc361d76ce,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-b48c6694d3e815d2832c4c87,,growth_candidate,headline_or_local_comparison_candidate,direct manual source review,8f3d24b11d3a3e6e03d7b6f0a13f79f069817a627ad681fc0299c9152686b405,172345,172341,2028,93,,,EXTRECON-6b067e8a8b6aaf01f91ffd8b,cog_2025_193555,unclear,unclear,2026,unclear,salary_schedule_rate,not_applicable,event_linked_claim_pending
