adjudication_performed,ambiguity_flags,canonical_external_ingestion_id,conflict_flags,expected_consequence_if_rejected,expected_consequence_if_upheld,external_administrative_observation_id,linked_claim_ids,proposed_analytical_role,reason_for_cross_examination,recommended_review_type,source_SHA_256,source_character_end,source_character_start,source_excerpt_or_table_row,source_page,source_row,source_table_id,reconciled_external_observation_id,municipality_after,department_after,side_after,period_after,pay_basis_after,compensation_basis_after,conflict_reconciliation_status,claim_linkage_status_after
False,,EXTINGEST-39ded04c09c846e8f79d2d82,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-7d10820e18ddcdf95f874aaf,,implementation_confirmation_candidate,lifecycle_sequence_relevance,direct manual source review,728e7f295ad3024d7989d089309d160272f4758460b39a8c1a35ad88f591c664,350795,350791,$4.6,166,,,EXTRECON-7eda0b42f122daaf553e78a4,cog_2025_166502,unclear,unclear,2023,not_applicable,not_applicable,not_applicable,event_linked_claim_pending
False,,EXTINGEST-eaeeec9adc0ea010a6110dd9,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-9bcbb2eb941745ee63e45e09,,implementation_confirmation_candidate,lifecycle_sequence_relevance,direct manual source review,9eba24ee01666e0a37fc34a3c89d96244bfb5ca780e46f0936f32ecdc3e55fea,86570842,86570840,31,,,,EXTRECON-e771ee9db68bc7fc1dcc6f37,cog_2025_170800,unclear,unclear,2025,not_applicable,not_applicable,not_applicable,event_linked_claim_pending
False,,EXTINGEST-f3dc5c66bec24a989eae4ceb,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-3ca4b9a39e7be5e828503eaa,,implementation_confirmation_candidate,lifecycle_sequence_relevance,direct manual source review,9eba24ee01666e0a37fc34a3c89d96244bfb5ca780e46f0936f32ecdc3e55fea,128300045,128300042,"11,",,,,EXTRECON-8139154fc4d1a0a79a49396d,cog_2025_170800,unclear,unclear,2025,not_applicable,not_applicable,not_applicable,event_linked_claim_pending
False,,EXTINGEST-0b539238e98cfaaa98f3e206,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-9e70ac9451789eeb4f22779f,,implementation_confirmation_candidate,lifecycle_sequence_relevance,direct manual source review,dd41380af40ecc84f03aa9d36561bb405a9b0d2bc15158575d2d8e4b9e70441c,,,Work outside Cook County,,89,html_table_1,EXTRECON-138807aaf234180d5f365f62,cog_2025_194710,unclear,unclear,undated,not_applicable,not_applicable,not_applicable,event_linked_claim_pending
False,,EXTINGEST-71d3020b4964d2847bb5542b,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-2f88cd0dfd784b68b8828947,,implementation_confirmation_candidate,lifecycle_sequence_relevance,direct manual source review,fc2045322b80cc8506797c13b4e208f74dd29c2aa89884285de9410033836f01,371483,371479,2010,,,,EXTRECON-6b80c8a835d636977850bf10,cog_2025_166211,unclear,unclear,2025,not_applicable,not_applicable,not_applicable,event_linked_claim_pending
False,,EXTINGEST-010f072832da4a3408747825,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-97e487849f21a2b6dfb7417f,MECH-08,implementation_confirmation_candidate,exact_claim_id_linked_direct_observation|lifecycle_sequence_relevance,direct manual source review,580dc3fe4734beb3f8a5c1450f8e60b2ad83170b25b790cc7af7710b97cb142c,355790,355787,262,,,,EXTRECON-4939af1c2b8a94234449b1a1,cog_2025_161211,unclear,unclear,2024,not_applicable,not_applicable,not_applicable,exact_claim_id_link
False,,EXTINGEST-4117621b4381ae15b54d9581,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-7b33a49fa17f2fd354b80b6d,MECH-08,implementation_confirmation_candidate,exact_claim_id_linked_direct_observation|lifecycle_sequence_relevance,direct manual source review,20e39360bd1b5353b7716a6116880ecbfbc0004fe4b78656cb901b71af38befb,3662,3645,"November 18, 2016",7,,,EXTRECON-52d6131389bdadb388ba0b93,cog_2025_208929,unclear,unclear,2016,not_applicable,not_applicable,not_applicable,exact_claim_id_link
False,,EXTINGEST-b31c55944e1b562b9e56dc32,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-387d0eb448118d92aa9fcc9c,MECH-08,implementation_confirmation_candidate,exact_claim_id_linked_direct_observation|lifecycle_sequence_relevance,direct manual source review,20e39360bd1b5353b7716a6116880ecbfbc0004fe4b78656cb901b71af38befb,41583,41580,325,44,,,EXTRECON-4ccecd0aa41d8e06f1951288,cog_2025_208929,unclear,unclear,2016,not_applicable,not_applicable,not_applicable,exact_claim_id_link
False,,EXTINGEST-c88baa5ec9e851b5674f7866,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-eaac9000f06f3261383017d7,MECH-08,implementation_confirmation_candidate,exact_claim_id_linked_direct_observation|lifecycle_sequence_relevance,direct manual source review,f0b595d37946c94e95c0ea5b0c514456d5c7bfe1a67b3d943bfd18613890c127,116979,116975,2011,,,,EXTRECON-dd765d8f24b1ccef23399d98,cog_2025_225691,unclear,unclear,2016,not_applicable,not_applicable,not_applicable,exact_claim_id_link
False,,EXTINGEST-e0b29990ffc7ec9df14ae97e,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-1084dd670d99a88cee9839bb,,implementation_confirmation_candidate,lifecycle_sequence_relevance,direct manual source review,a4261b60949272c41001f09dbdf0c8ff5b1198ed9565b1ee8ea78cda27a5145c,73412,73406,"94,000",33,,,EXTRECON-c2b5d2fbbe1b3434bcd660a7,cog_2025_128143,unclear,unclear,2025,not_applicable,not_applicable,not_applicable,event_linked_claim_pending
