adjudication_performed,ambiguity_flags,canonical_external_ingestion_id,conflict_flags,expected_consequence_if_rejected,expected_consequence_if_upheld,external_administrative_observation_id,linked_claim_ids,proposed_analytical_role,reason_for_cross_examination,recommended_review_type,source_SHA_256,source_character_end,source_character_start,source_excerpt_or_table_row,source_page,source_row,source_table_id,reconciled_external_observation_id,municipality_after,department_after,side_after,period_after,pay_basis_after,compensation_basis_after,conflict_reconciliation_status,claim_linkage_status_after
False,,EXTINGEST-82ec050f3d82866259fd5c28,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-6dc3192dc146d933f4e7c053,,local_comparison_candidate,headline_or_local_comparison_candidate,direct manual source review,b210713a76d03bb49d0555d68d66f5d6d75cb1cdc786ff0b35e929c0e66866dc,529418,529415,102,269,,,EXTRECON-9d204c6e87291120db4a9587,cog_2025_225686,unclear,unclear,2021,unclear,unclear,not_applicable,event_linked_claim_pending
False,,EXTINGEST-cb5767b7112db738b8439182,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-244a06c157379fb0c30e572d,,growth_candidate,headline_or_local_comparison_candidate,direct manual source review,92837f318471312305014fd54e19d87c163fc35565c097b65da6edbfe69b5709,46921,46916,"1,300",24,,,EXTRECON-ab398576a3df7a7f9d4afd12,cog_2025_166553,unclear,unclear,2024,unclear,salary_schedule_rate,not_applicable,event_linked_claim_pending
False,,EXTINGEST-e99bcc50cdc2fad1fd2e9955,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-4f0baaa305ec0e3f53d83b90,,local_comparison_candidate,headline_or_local_comparison_candidate,direct manual source review,5a421e071224e57735108a9347550b48c5af22696c01dc957b3e32cb460019fd,516237,516232,$1.50,110,,,EXTRECON-5d40f4a332c895aa1fed4a00,cog_2025_177787,unclear,unclear,2026,unclear,unclear,not_applicable,event_linked_claim_pending
False,,EXTINGEST-ee85dc2a75f912c06289fa87,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-9c1a30eef2b24f59de03e283,,local_comparison_candidate,headline_or_local_comparison_candidate,direct manual source review,8e6f61e8073af2fe0ed33baeb5c558613a572de3fbffb440c9ec57f5962fd6b1,317250,317246,$250,207,,,EXTRECON-84a24179b17dc82044542404,cog_2025_209092,unclear,unclear,2025,unclear,unclear,not_applicable,event_linked_claim_pending
False,,EXTINGEST-5d9e88a34cbc86f8ca085f98,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-8072932030f06485ce65758e,,local_comparison_candidate,headline_or_local_comparison_candidate,direct manual source review,f0e1333ef7a3ec66ef2c2622a43a4504005e292cd1f59600108a7d6357a3f9ac,,,"Request Form Title:
Specialized Treatment Education and Prevention (STEPS) - Women's Residential Integrated Treatment Services
-
Attestation Form",,275,html_table_1,EXTRECON-81b261939e8c545e9ca184f1,cog_2025_124252,unclear,unclear,undated-source-B4X2500LIVE-20260729-004275,unclear,unclear,not_applicable,event_linked_claim_pending
False,,EXTINGEST-8d2a8282a01ae2a7e79fafc9,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-9c97c42da4f14957717560c5,,growth_candidate,headline_or_local_comparison_candidate,direct manual source review,9eba24ee01666e0a37fc34a3c89d96244bfb5ca780e46f0936f32ecdc3e55fea,146564676,146564675,8,,,,EXTRECON-0329d8674ce2eec3c5af25bf,cog_2025_170800,unclear,unclear,2025,unclear,salary_schedule_rate,not_applicable,event_linked_claim_pending
False,,EXTINGEST-0fae334e56a8c5f58b4afab8,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-ec263107466dc05bf287d6e0,,local_comparison_candidate,headline_or_local_comparison_candidate,direct manual source review,71ed3b986c45b450db5ab723b3975c327ee2c802d58c2e42b5e2f8cf98fcef22,197189,197183,"30,000",99,,,EXTRECON-162714f27437a210471f29e7,cog_2025_172800,unclear,unclear,2015,unclear,unclear,not_applicable,event_linked_claim_pending
False,,EXTINGEST-35147161a08f531f482b76ef,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-b5b2e0d4ec036a11fddfc3ac,,growth_candidate,headline_or_local_comparison_candidate,direct manual source review,020bbf33667b772062edfef533e98320542fef680ff36677c3a0075e2e6d40ee,,,NS,,1095,html_table_1,EXTRECON-b63ad9128c0adf9b2cb1fa23,cog_2025_131425,unclear,unclear,2020,unclear,salary_schedule_rate,not_applicable,event_linked_claim_pending
False,,EXTINGEST-ae8f33f3b906b92e0b034603,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-44525b5873f3ee9e090f2f90,,contextual_only,headline_or_local_comparison_candidate,direct manual source review,d2f612e88e125a9473694f1b0ca4fc9ca48c6a919139d1c87c9b0ce21e77b38b,196204,196195,"2,154,688",82,,,EXTRECON-9b22d698f608c4ca7e9a225f,cog_2025_193220,not_applicable,side_independent,2023,contextual_value,staffing_or_non_compensation,not_applicable,event_linked_claim_pending
False,,EXTINGEST-8657686175d8f2c1eb83f330,,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-645ea08921b8d087eb64ee5f,,local_comparison_candidate,headline_or_local_comparison_candidate,direct manual source review,62612efcc91da6e9148e44fe5974f47beae76be4cfd424b30d4b8d2e6dea27ea,,,Ingham County,,36,embedded_1,EXTRECON-f65d7c9b2d0960312027b3b8,cog_2025_166691,police,police,2025,unclear,unclear,not_applicable,event_linked_claim_pending
