figure_id,panel_id,panel_order,layer_id,evidence_layer,analytical_unit,side_category,category_order,count,layer_denominator,share_of_layer,side_classified_denominator,share_among_safety_non_safety,display_role,denominator_note,canonical_source
SIDE-01,A,1,documentary_spans,Documentary evidence spans,rated evidence span,safety,1,13040,51639,0.252522,14826,0.879536,stacked_bar,Share of all rated spans; classified share uses safety plus non-safety only,docs/analysis/handoff/GABRIEL-WAGES-VISUAL-ATLAS-CORRECTION-AND-RESTRUCTURE-2026-08-06/side_composition_by_evidence_layer.csv
SIDE-01,A,1,documentary_spans,Documentary evidence spans,rated evidence span,non_safety,2,1786,51639,0.034586,14826,0.120464,stacked_bar,Share of all rated spans; classified share uses safety plus non-safety only,docs/analysis/handoff/GABRIEL-WAGES-VISUAL-ATLAS-CORRECTION-AND-RESTRUCTURE-2026-08-06/side_composition_by_evidence_layer.csv
SIDE-01,A,1,documentary_spans,Documentary evidence spans,rated evidence span,mixed,3,120,51639,0.002324,14826,,stacked_bar,Mixed is retained outside the two-side classified denominator,docs/analysis/handoff/GABRIEL-WAGES-VISUAL-ATLAS-CORRECTION-AND-RESTRUCTURE-2026-08-06/side_composition_by_evidence_layer.csv
SIDE-01,A,1,documentary_spans,Documentary evidence spans,rated evidence span,side_independent,4,1867,51639,0.036155,14826,,stacked_bar,Side-independent is retained outside the two-side classified denominator,docs/analysis/handoff/GABRIEL-WAGES-VISUAL-ATLAS-CORRECTION-AND-RESTRUCTURE-2026-08-06/side_composition_by_evidence_layer.csv
SIDE-01,A,1,documentary_spans,Documentary evidence spans,rated evidence span,unresolved,5,34826,51639,0.674413,14826,,stacked_bar,Unresolved is shown and never reassigned,docs/analysis/handoff/GABRIEL-WAGES-VISUAL-ATLAS-CORRECTION-AND-RESTRUCTURE-2026-08-06/side_composition_by_evidence_layer.csv
SIDE-01,A,2,implementation_events,Implementation events,deduplicated root implementation event,safety,1,1271,2998,0.423949,1420,0.895070,stacked_bar,Share of all implementation events; classified share uses safety plus non-safety only,docs/analysis/handoff/GABRIEL-WAGES-VISUAL-ATLAS-CORRECTION-AND-RESTRUCTURE-2026-08-06/side_composition_by_evidence_layer.csv
SIDE-01,A,2,implementation_events,Implementation events,deduplicated root implementation event,non_safety,2,149,2998,0.049700,1420,0.104930,stacked_bar,Share of all implementation events; classified share uses safety plus non-safety only,docs/analysis/handoff/GABRIEL-WAGES-VISUAL-ATLAS-CORRECTION-AND-RESTRUCTURE-2026-08-06/side_composition_by_evidence_layer.csv
SIDE-01,A,2,implementation_events,Implementation events,deduplicated root implementation event,mixed,3,12,2998,0.004003,1420,,stacked_bar,Mixed is retained outside the two-side classified denominator,docs/analysis/handoff/GABRIEL-WAGES-VISUAL-ATLAS-CORRECTION-AND-RESTRUCTURE-2026-08-06/side_composition_by_evidence_layer.csv
SIDE-01,A,2,implementation_events,Implementation events,deduplicated root implementation event,side_independent,4,382,2998,0.127418,1420,,stacked_bar,Side-independent is retained outside the two-side classified denominator,docs/analysis/handoff/GABRIEL-WAGES-VISUAL-ATLAS-CORRECTION-AND-RESTRUCTURE-2026-08-06/side_composition_by_evidence_layer.csv
SIDE-01,A,2,implementation_events,Implementation events,deduplicated root implementation event,unresolved,5,1184,2998,0.394930,1420,,stacked_bar,Unresolved is shown and never reassigned,docs/analysis/handoff/GABRIEL-WAGES-VISUAL-ATLAS-CORRECTION-AND-RESTRUCTURE-2026-08-06/side_composition_by_evidence_layer.csv
SIDE-01,A,3,mechanism_map_events,Mechanism-event map units,deduplicated mechanism map event,safety,1,4740,11698,0.405197,5370,0.882682,stacked_bar,Share of all deduplicated map units; classified share uses safety plus non-safety only,docs/analysis/handoff/GABRIEL-WAGES-VISUAL-ATLAS-CORRECTION-AND-RESTRUCTURE-2026-08-06/side_composition_by_evidence_layer.csv
SIDE-01,A,3,mechanism_map_events,Mechanism-event map units,deduplicated mechanism map event,non_safety,2,630,11698,0.053855,5370,0.117318,stacked_bar,Share of all deduplicated map units; classified share uses safety plus non-safety only,docs/analysis/handoff/GABRIEL-WAGES-VISUAL-ATLAS-CORRECTION-AND-RESTRUCTURE-2026-08-06/side_composition_by_evidence_layer.csv
SIDE-01,A,3,mechanism_map_events,Mechanism-event map units,deduplicated mechanism map event,mixed,3,39,11698,0.003334,5370,,stacked_bar,Mixed is retained outside the two-side classified denominator,docs/analysis/handoff/GABRIEL-WAGES-VISUAL-ATLAS-CORRECTION-AND-RESTRUCTURE-2026-08-06/side_composition_by_evidence_layer.csv
