display_order,matrix_page,claim_id,short_label,final_claim_text,final_claim_class,tier_1_support_count,tier_2_support_count,tier_3_support_count,linked_record_count,counterexample_count,countervailing_count,claim_specific_conflict_count,global_unlinked_conflict_hold_count,bounded_effect,report_placement,count_warning_id,canonical_source
1,1,CLAIM-A,Formal bargaining and impasse resolution,"In the reviewed corpus, formal bargaining, arbitration, and factfinding provide recurring institutional channels that can set or preserve safety-compensation terms; the evidence establishes mechanism operation, not an average wage effect.",mechanism_supported_only,6,0,1,6,0,1,0,201,stronger_but_same_claim_class,report_supporting_finding,COUNT-WARN-01,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-INTEGRATION-AND-CLAIM-ADJUDICATION-2026-08-06/final_adjudicated_claim_table.csv
2,1,CLAIM-B,Scheduled wage growth,"In reviewed unit-cycle records, step, seniority, rank, and COLA provisions create recurring scheduled wage-growth paths; step progression leans safety in the available sample, while across-board results are mixed and COLA cells are sparse.",conditionally_supported,7,6,423,4,0,1,0,201,unchanged,report_major_section,COUNT-WARN-01,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-INTEGRATION-AND-CLAIM-ADJUDICATION-2026-08-06/final_adjudicated_claim_table.csv
3,1,CLAIM-C,Non-base compensation,"Reviewed safety-compensation records contain structured non-base channels—including overtime, holiday, longevity, premium, stipend, and allowance provisions—that can raise compensation beyond base pay; no complete total-compensation sum is estimated.",mechanism_supported_only,2,0,1,2,0,1,0,201,stronger_but_same_claim_class,report_supporting_finding,COUNT-WARN-01,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-INTEGRATION-AND-CLAIM-ADJUDICATION-2026-08-06/final_adjudicated_claim_table.csv
4,1,CLAIM-D,Staffing recruitment and retention pressure,"Reviewed sources explicitly use recruitment, retention, comparator, vacancy, and staffing pressure to justify schedule changes or targeted premiums in some public-safety settings; the staffing evidence is descriptive, not causal or prevalence evidence.",mechanism_supported_only,4,7,217,4,0,1,0,201,stronger_but_same_claim_class,report_supporting_finding,COUNT-WARN-01,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-INTEGRATION-AND-CLAIM-ADJUDICATION-2026-08-06/final_adjudicated_claim_table.csv
5,1,CLAIM-E,Retroactivity and payment timing,"Reviewed records show that retroactive effective dates and implementation clauses can convert some bargaining delays into payable increases or back pay; adoption alone is not payment, and only retained evidence with a paid stage is described as paid.",mechanism_supported_only,40,0,1,2,0,1,0,201,stronger_but_same_claim_class,report_supporting_finding,COUNT-WARN-01,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-INTEGRATION-AND-CLAIM-ADJUDICATION-2026-08-06/final_adjudicated_claim_table.csv
6,1,CLAIM-F,Budgets pay plans and classification,"Reviewed ordinances, budgets, pay plans, and classification records show how compensation proposals can be formalized or constrained by fiscal institutions; these records do not establish that every proposal was implemented or paid.",mechanism_supported_only,44,0,1,6,0,1,0,201,stronger_but_same_claim_class,report_supporting_finding,COUNT-WARN-01,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-INTEGRATION-AND-CLAIM-ADJUDICATION-2026-08-06/final_adjudicated_claim_table.csv
7,1,CLAIM-G,Safety advantage is mixed not uniform,"Both safety and non-safety units use bargaining, steps, COLAs, and pay plans. The available evidence is consistent with a reinforcing safety-pressure bundle in some settings, but local and growth results are mixed and do not establish a uniform safety advantage.",mixed_or_countervailing,11,15,424,8,7,0,0,201,more_mixed,report_counterexample_section,COUNT-WARN-01,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-INTEGRATION-AND-CLAIM-ADJUDICATION-2026-08-06/final_adjudicated_claim_table.csv
8,1,CLAIM-H,Bounded mechanism account,"The reviewed corpus supports a bounded account of mechanisms and directional pressures affecting safety compensation more strongly than it supports any global wage-gap, prevalence, or causal-effect estimate.",supported,52,23,677,11,7,0,0,201,unchanged,report_core_argument,COUNT-WARN-01,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-INTEGRATION-AND-CLAIM-ADJUDICATION-2026-08-06/final_adjudicated_claim_table.csv
9,2,UNSUP-01,National safety wage-gap estimate,A national safety wage-gap estimate is not supported by the current corpus.,unsupported,0,0,0,0,0,0,0,201,unchanged,report_limitations,COUNT-WARN-01,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-INTEGRATION-AND-CLAIM-ADJUDICATION-2026-08-06/final_adjudicated_claim_table.csv
10,2,UNSUP-02,National mechanism prevalence,A national prevalence estimate for any compensation mechanism is not supported by the current corpus.,unsupported,0,0,0,0,0,0,0,201,unchanged,report_limitations,COUNT-WARN-01,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-INTEGRATION-AND-CLAIM-ADJUDICATION-2026-08-06/final_adjudicated_claim_table.csv
11,2,UNSUP-03,Causal mechanism effect,A causal effect estimate for any compensation mechanism is not supported by the current design.,unsupported,0,0,0,0,0,0,0,201,unchanged,report_limitations,COUNT-WARN-01,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-INTEGRATION-AND-CLAIM-ADJUDICATION-2026-08-06/final_adjudicated_claim_table.csv
12,2,UNSUP-04,Regression-based claim,No regression-based claim is supported because no regression-ready design passed the gate and no regression was run.,unsupported,0,0,0,0,0,0,0,201,unchanged,appendix_only,COUNT-WARN-01,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-INTEGRATION-AND-CLAIM-ADJUDICATION-2026-08-06/final_adjudicated_claim_table.csv
13,2,UNSUP-05,Fixed percentage growth advantage,A precise claim that safety wages grow a fixed percentage faster is not supported by the available matched evidence.,unsupported,0,0,0,0,0,0,0,201,unchanged,report_limitations,COUNT-WARN-01,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-INTEGRATION-AND-CLAIM-ADJUDICATION-2026-08-06/final_adjudicated_claim_table.csv
14,2,UNSUP-06,Mechanism caused observed wage difference,The evidence does not establish that a documented mechanism caused an observed wage difference.,unsupported,0,0,0,0,0,0,0,201,unchanged,report_limitations,COUNT-WARN-01,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-INTEGRATION-AND-CLAIM-ADJUDICATION-2026-08-06/final_adjudicated_claim_table.csv
