chart_id,panel_id,display_order,metric_id,label,value,unit,analytical_unit,denominator,accounting_lane,display_note,canonical_source
CORPUS-01,A_native_pdf,1,unique_physical_pdfs,Unique physical PDFs,15163,files,unique physical PDF file,,native PDF,Do not combine file count with page count,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f01.csv
CORPUS-01,A_native_pdf,2,unique_native_pdf_pages,Unique native PDF pages,1029482,pages,unique native PDF page,,native PDF,Do not add the separate text-page equivalent,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f01.csv
CORPUS-01,B_non_pdf,1,substantive_html_documents,Substantive HTML documents,8718,documents,substantive HTML document,,non-PDF,Document count; not table or row count,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f01.csv
CORPUS-01,B_non_pdf,2,html_tables,HTML tables,96484,tables,parsed HTML table,,non-PDF,Tables may contain repeated administrative content,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f01.csv
CORPUS-01,B_non_pdf,3,html_table_rows,HTML table rows,1017511,rows,parsed HTML table row,,non-PDF,Rows are not independent facts,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f01.csv
CORPUS-01,B_non_pdf,4,embedded_structured_records,Embedded structured records,132188,records,embedded JSON or XML record,,non-PDF,Structured records remain a separate analytical unit,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f01.csv
CORPUS-01,B_non_pdf,5,csv_tsv_files,CSV and TSV files,17,files,CSV or TSV file,,non-PDF,File count is separate from row count,docs/analysis/handoff/GABRIEL-WAGES-HANDOFF-FREEZE-AND-MASTER-INVENTORY-2026-08-06/handoff_freeze_inventory_summary.json
CORPUS-01,B_non_pdf,6,csv_tsv_rows,CSV and TSV rows,1445,rows,CSV or TSV row,,non-PDF,Rows are not added to PDF pages or HTML rows,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f01.csv
CORPUS-02,A_source_library,1,source_library_physical_candidates,Physical source candidates,26799,files,physical source-library candidate,,source inventory,Before exact duplicate grouping,docs/analysis/handoff/GABRIEL-WAGES-HANDOFF-FREEZE-AND-MASTER-INVENTORY-2026-08-06/handoff_freeze_inventory_summary.json
CORPUS-02,A_source_library,2,canonical_sources_after_duplicates,Canonical sources after exact duplicate grouping,26637,sources,canonical exact-duplicate group,,source inventory,Aliases and provenance remain separate,docs/analysis/handoff/GABRIEL-WAGES-HANDOFF-FREEZE-AND-MASTER-INVENTORY-2026-08-06/handoff_freeze_inventory_summary.json
CORPUS-02,B_external_pipeline,1,retained_external_payloads,Retained external source payloads,14449,payloads,retained external source payload,,external pipeline,Retained payload count is not the total project source count,docs/analysis/handoff/GABRIEL-WAGES-HANDOFF-FREEZE-AND-MASTER-INVENTORY-2026-08-06/handoff_freeze_inventory_summary.json
CORPUS-02,B_external_pipeline,2,extraction_ready_records,Extraction-ready records,14257,records,retained-source readiness record,14703,external pipeline,Readiness denominator is retained-source records inspected,docs/analysis/handoff/GABRIEL-WAGES-HANDOFF-FREEZE-AND-MASTER-INVENTORY-2026-08-06/handoff_freeze_inventory_summary.json
CORPUS-02,B_external_pipeline,3,usable_extracted_payloads,Usable extracted payloads,14160,payloads,usable extracted payload,14257,external pipeline,Usable non-OCR payloads among extraction-ready records,docs/analysis/handoff/GABRIEL-WAGES-HANDOFF-FREEZE-AND-MASTER-INVENTORY-2026-08-06/handoff_freeze_inventory_summary.json
CORPUS-02,C_analytical_units,1,implementation_events,Implementation events,2998,events,deduplicated root implementation event,,analytical layer,Events are not sources or mechanism links,docs/analysis/handoff/GABRIEL-WAGES-VISUAL-ATLAS-CORRECTION-AND-RESTRUCTURE-2026-08-06/visual_atlas_revision_manifest.json
CORPUS-02,C_analytical_units,2,mechanism_event_records,Mechanism-event records,13391,records,mechanism-to-implementation-event link,,analytical layer,One event may link to several mechanism categories,docs/analysis/handoff/GABRIEL-WAGES-VISUAL-ATLAS-CORRECTION-AND-RESTRUCTURE-2026-08-06/visual_atlas_revision_manifest.json
