span_extraction_id,source_candidate_id,rating_lane_id,failure_stage,attempt_count,last_status,error_type,error_code,quarantine_reason,raw_prompt_saved,raw_response_saved,global_analysis_readiness
CBSPAN-20260728-05a07bb8b4a42b9d6a1d73be,B4XPAR-20260727-000252,rating_lane_004,coordinator_validation,1,success,StrictConsistencyError,claim_relevance_support_mismatch,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-7056304e4e5b2442df038297,B4XPAR-20260727-000252,rating_lane_004,coordinator_validation,1,success,StrictConsistencyError,unsupported_family_strength_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-4fb15a255e2168de55a860d7,TS4L-df902d0b0e3362ef757a,rating_lane_004,coordinator_validation,1,success,StrictConsistencyError,claim_relevance_support_mismatch,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-c873c62f05b3b0986c916b13,BSSC-20260727-00601,rating_lane_004,coordinator_validation,1,success,StrictConsistencyError,claim_relevance_support_mismatch,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-cf1a2e3d98576a41d4a0b10a,B4XPAR-20260727-005559,rating_lane_004,coordinator_validation,1,success,StrictConsistencyError,unsupported_family_strength_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-0aad4cbdafe1dc762511d41f,B4XPAR-20260727-005559,rating_lane_004,coordinator_validation,1,success,StrictConsistencyError,unsupported_family_strength_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-38ab0395e1cd1a17ea0adc2b,B4XPAR-20260727-002879,rating_lane_004,coordinator_validation,1,success,StrictConsistencyError,unsupported_family_strength_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-5999cbefdc1b38926c0f20f5,TS4L-e4f760d60c3c99859135,rating_lane_004,coordinator_validation,1,success,StrictConsistencyError,claim_relevance_support_mismatch,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-16e2223ce1e3da1fe8904f43,B4XPAR-20260727-006448,rating_lane_004,coordinator_validation,1,success,StrictConsistencyError,claim_relevance_support_mismatch,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-cb8151bfc8f4af17cdf5b8e2,B4XPAR-20260727-006459,rating_lane_004,coordinator_validation,1,success,StrictConsistencyError,unsupported_family_strength_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-bf919e805c2fc921e777c344,B4XPAR-20260727-000675,rating_lane_004,coordinator_validation,1,success,StrictConsistencyError,claim_relevance_support_mismatch,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-f507efc46511b64bda2a14cc,TS4L-84d1ab36aeaf2b1bb1f0,rating_lane_004,coordinator_validation,1,success,StrictConsistencyError,unsupported_family_strength_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-768912a38d477b37b1525385,B4XPAR-20260727-005102,rating_lane_004,coordinator_validation,1,success,StrictConsistencyError,claim_relevance_support_mismatch,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-9848cd042a8e5960a90eff02,B4XPAR-20260727-001549,rating_lane_004,coordinator_validation,1,success,StrictConsistencyError,unsupported_family_strength_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-2df46a4ee360a1bbb3ffbeb8,TS4L-e89e299855bb695317e7,rating_lane_004,coordinator_validation,1,success,StrictConsistencyError,claim_relevance_support_mismatch,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-13bcc8014f40abea5631281e,B4XPAR-20260727-004315,rating_lane_004,coordinator_validation,1,success,StrictConsistencyError,unsupported_family_strength_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-1e007a30ca933fbe828ee202,TS4L-12546c99eafcd62cb00c,rating_lane_004,coordinator_validation,1,success,StrictConsistencyError,claim_relevance_support_mismatch,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-6273f8c588f0f5743741a654,TS4L-12546c99eafcd62cb00c,rating_lane_004,coordinator_validation,1,success,StrictConsistencyError,weak_family_strong_evidence_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-22025ebf97196dd3bf797f20,B4XPAR-20260727-000371,rating_lane_004,coordinator_validation,1,success,StrictConsistencyError,unsupported_family_strength_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-f3b544353549245b15a77bf6,B4XPAR-20260727-002105,rating_lane_004,coordinator_validation,1,success,StrictConsistencyError,unsupported_family_strength_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-18d7381edef1f7f43400e24a,TS4L-62262e6a9fb4a6c4afd1,rating_lane_004,coordinator_validation,1,success,StrictConsistencyError,weak_family_strong_evidence_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-af93083c014a0a71243b701e,TS4L-9974b308b8185bacac9c,rating_lane_004,coordinator_validation,1,success,StrictConsistencyError,unsupported_family_strength_invalid,strict_semantic_consistency_failure,false,false,false
