relative_path,size_bytes,sha256,artifact_family
data/source_library/SOURCE_INDEX.csv,21500589,ffa31b609b914bb6bb2af37363931240d0b1b0e544849428e21e6b80a42d80b8,data
reports/visual_atlas/why_public_safety_wages_may_grow_differently.pdf,2409377,781adb2ffe047d8a8523fcf3a65e743917bb1a3e0ca00c7df0f8c85a035a9b76,reports
figures/mechanisms/profile-map-retroactivity-payroll.svg,306706,22cc09f05aeb224494441087a775a155cfb1608f842481f3c0c11fcfbf99f415,figures
figures/mechanisms/profile-map-scheduled-base-growth.svg,278321,b5e3f1ee422af024d841d2b3ae177f50bdde9d0b493de78df780782ba808fa97,figures
figures/mechanisms/profile-map-non-base-compensation.svg,274213,8e44a691a97d695b333f4088e5ed7335e61a48952927420a03ba06dfc13d4700,figures
figures/mechanisms/profile-map-budgets-pay-plans.svg,271719,73b3be07f7110a319fbc5a6d9e0c57cfd06406b07a4a5826dfcf7886f042a20f,figures
figures/mechanisms/profile-map-ordinance-adoption.svg,269784,e47fae724dd79cb3abab94d9606bd828569cd670ebc12031f9fb28d67fd18ac2,figures
figures/mechanisms/profile-map-formal-bargaining.svg,243945,962d249489b4c92a854705b76735a37451fd015df603123950c8ec7b5a5d1a24,figures
figures/mechanisms/profile-map-classification-structure.svg,241601,d8a8ff47f337bc2eb460978de40390200505f99e1483eb7c730dd14b40da313e,figures
figures/mechanisms/profile-map-staffing-market-pressure.svg,240344,83d6fd90eff461c473da18772a8ede49f915051085249df9e0f89217ceff0850,figures
data/source_library/source_aliases.csv,41249,6b35ccd2a0e914cbdb4f4e85a3ad1722f1a774d46c9a25c26ff2fe21eeaa4ee4,data
data/analysis/documentary_growth_summary.csv,26420,d263c07a8f0650dd202df93be48a0ed55d777e142103c9eb64813d786340fa5f,data
figures/claims/claim-matrix-supported-and-mechanisms.svg,20587,d81a710f7f08620389c6a1356f928708e7cc0915e3ffe406036b1b475e28d379,figures
figures/corpus/side-visibility.svg,18926,08f9190a1946b949390eaf84d62f460f1741397e94c0b89df718467aec297f1f,figures
figures/claims/claim-matrix-unsupported-boundaries.svg,17163,ae6f17e10bab8fca4d85214ccaf891caaafa24590a8c535c40d4891a24d15882,figures
figures/limitations/implementation-lifecycle.svg,16571,114feec7e0825498484578b8f3ec05e417110b32b4dd3b8212e74760e159d648,figures
