relative_path,size_bytes,sha256,artifact_family
.gitignore,157,4f7d4dd322cfd482eabd85dc47135f283935b44d006289636254cd5270ecc70a,root_documentation
AGENT_STARTUP_INSTRUCTIONS.md,2832,52518b661743a8a067fe6c85920e05d96330ee27418817829796e30a6370efca,root_documentation
DATA_AND_ARTIFACTS.md,1987,9162794dd11e08960bad329577ec6b4187b628aaf0081055abd98a248d14ff3c,root_documentation
ENVIRONMENT_SETUP.md,682,918cbf3b0a97f176380ddca50b834054287da836470cd51f292e55e2f67f90d4,root_documentation
FINDINGS_AND_CLAIM_BOUNDARIES.md,3055,d472eee12a55c7c44cff0e40a02685487c6e821ef63ca0c98ca44410a4c2f795,root_documentation
KNOWN_LIMITATIONS.md,3899,210c21822594d7c442e906ce795d8ca559065d841b400e6fb9cf291f354a8c20,root_documentation
METHODS_AND_WORKFLOW.md,6785,cea8cee28f9c8b0ea36a393e6ebfcb1499a934e00502e23ff3cf3caefc0c4b34,root_documentation
NEXT_STEPS.md,1608,4ee55af761e85a5e99873a3db156e63c7826bec9e18e080361c4e42de56d1cee,root_documentation
ORIGINAL_PROJECT_ARCHIVE.md,520,73cd65d4e37355d172b9a898408b821c39b2a21f3fac71abdf73dfbf8ae9f521,root_documentation
PROJECT_HANDOFF.md,2288,c8083a67aad1aec438302c68790ac5867a6dbdbc4a287612f1c3f2ff8bd77a34,root_documentation
PROJECT_HISTORY_AND_LESSONS.md,3062,3ac8c72076ccba11b8fa0bdc054e758a62ec03597151d0d0be88206566bdb95a,root_documentation
README.md,2309,ee9bad880841f5d1d01c5a248975fa8fb56605d3e14ff9c9735697115330b6f0,root_documentation
REPO_MAP.md,1250,31769659981e1da6d77d3e408a7ae4090bdf70bb7b242e41fb0fe1820717cf41,root_documentation
SOURCE_LIBRARY_ACCESS.md,1837,d2fb3cfb46234f384c784c289ed017e59187e0062bfce407a2b350d8cad8b132,root_documentation
START_HERE.md,4319,01a84a98c76d177fbaa338a77b196bec5b2d840969022f7ba993a1577ac6fdf1,root_documentation
