source_review_download_id,verification_row_id,candidate_id,scout_target_id,state,region,municipality,source_title,source_locator_or_url,final_download_locator,source_family_hint,priority_bucket,cba_non_cba_hint,possible_mechanism_hints,source_review_status,retained_file_type,file_extension,retained_local_artifact_path,artifact_storage_scheme,artifact_storage_pointer,artifact_object_key_or_content_address,artifact_availability_status,artifact_replication_or_backup_status,artifact_access_scope,retained_file_size_bytes,retained_file_sha256
RMSRD-20260802-2522d90c2dcf7e50793a,RMV-20260801-03609,BRM5C-BRM5-20260731-18509-02,BRM5-20260731-18509,GA,South,Oconee,Benefits for Full-Time Employees,https://oconeecountyga.gov/284/Benefits-for-Full-Time-Employees,https://oconeecountyga.gov/284/Benefits-for-Full-Time-Employees,other_local_government_pay_policy,medium_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,retained_html,html,.html,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_001/RMSRD-20260802-2522d90c2dcf7e50793a.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_001/RMSRD-20260802-2522d90c2dcf7e50793a.html,sha256:d1a284e53e122eafad9a60762dc4f50d4a4ea359d0df3265d62babc08041e316,locally_available,local_only_not_replicated,local_research_workspace,109556,d1a284e53e122eafad9a60762dc4f50d4a4ea359d0df3265d62babc08041e316
RMSRD-20260802-c86d3e60aea26b3e9d57,RMV-20260801-02016,BRM5C-BRM5-20260731-03834-01,BRM5-20260731-03834,IA,Midwest,Worthington,City of Worthington - Agendas & Minutes (2025/2024/2023 and other listed items),https://www.worthingtoniowa.com/2025--2024---2023-agenda--minutes-and-notices.html,https://worthingtoniowa.com/2025--2024---2023-agenda--minutes-and-notices.html,factfinding_report,medium_priority_verification_ready,cba_arbitration_factfinding_hint,strike_or_no_strike_constraint,retained_html,html,.html,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_001/RMSRD-20260802-c86d3e60aea26b3e9d57.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_001/RMSRD-20260802-c86d3e60aea26b3e9d57.html,sha256:8e25e21029102189960a9643f85537493f84aa98b373773b59027caec50200ac,locally_available,local_only_not_replicated,local_research_workspace,215048,8e25e21029102189960a9643f85537493f84aa98b373773b59027caec50200ac
RMSRD-20260802-48f4e93c16439368dc77,RMV-20260801-03148,BRM5C-BRM5-20260731-11470-02,BRM5-20260731-11470,IL,Midwest,Grant Park,Grant Park Village Board Agendas & Minutes (landing/index for individual dated agenda/minutes files),https://www.grantpark-il.org/agendas-minutes-2017,https://grantpark-il.org/agendas-minutes-2017,agenda_packet_or_minutes,medium_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,retained_html,html,.html,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_001/RMSRD-20260802-48f4e93c16439368dc77.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_001/RMSRD-20260802-48f4e93c16439368dc77.html,sha256:cff93401c0597a4a733a4554820ec7c9441934f764287a7d6d1f4540b3731dca,locally_available,local_only_not_replicated,local_research_workspace,118622,cff93401c0597a4a733a4554820ec7c9441934f764287a7d6d1f4540b3731dca
RMSRD-20260802-7298fad0be632f660c4a,RMV-20260801-00807,BRM5C-BRM5-20260731-11567-02,BRM5-20260731-11567,IL,Midwest,Medina,Board Meeting Minutes: October 2020 — Set elected official salaries (effective multi-year ranges stated in minutes),https://www.medinatownship.org/2020/11/board-meeting-minutes-october-2020/,https://medinatownship.org/2020/11/board-meeting-minutes-october-2020,agenda_packet_or_minutes,medium_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,retained_html,html,.html,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_001/RMSRD-20260802-7298fad0be632f660c4a.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_001/RMSRD-20260802-7298fad0be632f660c4a.html,sha256:42ad788cc10aca743d745492c2e07b56c5e385a2f35c2ebdd877fe6cdc011049,locally_available,local_only_not_replicated,local_research_workspace,70063,42ad788cc10aca743d745492c2e07b56c5e385a2f35c2ebdd877fe6cdc011049
RMSRD-20260802-f6ed13e156d83cb306fb,RMV-20260801-02369,BRM5C-BRM5-20260731-11678-03,BRM5-20260731-11678,IL,Midwest,South Rock Island,South Rock Island Township website home (for navigation to agendas/minutes/PDFs),https://www.sritownship.net/,https://sritownship.net,agenda_packet_or_minutes,medium_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,retained_html,html,.html,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_001/RMSRD-20260802-f6ed13e156d83cb306fb.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_001/RMSRD-20260802-f6ed13e156d83cb306fb.html,sha256:c4fd6a2705cfe54ab67e1605d856c91cd09c8061f35cd058237e2ff3901d326d,locally_available,local_only_not_replicated,local_research_workspace,7418,c4fd6a2705cfe54ab67e1605d856c91cd09c8061f35cd058237e2ff3901d326d
RMSRD-20260802-ebbbf59fb9d3df992a6c,RMV-20260801-00024,BRM5C-BRM5-20260731-07772-02,BRM5-20260731-07772,IL,Midwest,Kingston Mines,Village of Kingston Mines Board Meeting Minutes (Landing Page),https://villageofkingstonmines.org/village-board-minutes/,https://villageofkingstonmines.org/village-board-minutes,agenda_packet_or_minutes,medium_priority_verification_ready,non_cba_or_unresolved_hint,,retained_html,html,.html,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_001/RMSRD-20260802-ebbbf59fb9d3df992a6c.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_001/RMSRD-20260802-ebbbf59fb9d3df992a6c.html,sha256:e7f2a62c64f4e93b327a02b0f8d70411f6887a61c55b92a09fc984edfcacca40,locally_available,local_only_not_replicated,local_research_workspace,139345,e7f2a62c64f4e93b327a02b0f8d70411f6887a61c55b92a09fc984edfcacca40
RMSRD-20260802-dcd7ceee18aa0b657292,RMV-20260801-03516,BRM5C-BRM5-20260731-15394-01,BRM5-20260731-15394,IL,Midwest,Roanoke,Public Notices — Adoption of prevailing wage rates (Ordinance No. 2018-05),https://roanokeil.org/villageboard/public-notices/,https://roanokeil.org/villageboard/public-notices,cba,medium_priority_verification_ready,cba_arbitration_factfinding_hint,,retained_html,html,.html,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_001/RMSRD-20260802-dcd7ceee18aa0b657292.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_001/RMSRD-20260802-dcd7ceee18aa0b657292.html,sha256:3d8b5afb91fda8d11c53ad0a9abe3590a179bcf7aa0f44b4737adb6539e45c54,locally_available,local_only_not_replicated,local_research_workspace,39871,3d8b5afb91fda8d11c53ad0a9abe3590a179bcf7aa0f44b4737adb6539e45c54
RMSRD-20260802-f279d5fa0ff51188cf8f,RMV-20260801-03617,BRM5C-BRM5-20260731-04138-03,BRM5-20260731-04138,IL,Midwest,Pana,Municode: Code of Ordinances – City of Pana (compensation of officers/employees and salary/compensation-related provisions),https://library.municode.com/il/pana/codes/code_of_ordinances?nodeId=COOR_CH2AD_ARTIIIOFEM,https://library.municode.com/il/pana/codes/code_of_ordinances,other_local_government_pay_policy,medium_priority_verification_ready,non_cba_or_unresolved_hint,,retained_html,html,.html,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_001/RMSRD-20260802-f279d5fa0ff51188cf8f.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_001/RMSRD-20260802-f279d5fa0ff51188cf8f.html,sha256:27434a4d11d8bf8db2ab3f45e0efc3d919f714856b27530fb86054dbc47ad44e,locally_available,local_only_not_replicated,local_research_workspace,6095,27434a4d11d8bf8db2ab3f45e0efc3d919f714856b27530fb86054dbc47ad44e
RMSRD-20260802-6cf12d652016d792e02c,RMV-20260801-01443,BRM5C-BRM5-20260731-03901-02,BRM5-20260731-03901,IL,Midwest,Champaign,Salaries and Benefits (City of Champaign HR) + links to Salary Schedule and fringe benefit summaries,https://champaignil.gov/hr/salaries-and-benefits/,https://champaignil.gov/hr/salaries-and-benefits,wage_schedule,high_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,retained_html,html,.html,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_001/RMSRD-20260802-6cf12d652016d792e02c.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_001/RMSRD-20260802-6cf12d652016d792e02c.html,sha256:fc3490c6ee957c64bac9d81db2a704a09684948c469f458ff75846960fd8477b,locally_available,local_only_not_replicated,local_research_workspace,131529,fc3490c6ee957c64bac9d81db2a704a09684948c469f458ff75846960fd8477b
RMSRD-20260802-7384d74db55aea284eca,RMV-20260801-00688,BRM5C-BRM5-20260731-00400-01,BRM5-20260731-00400,IL,Midwest,Pearl City,"December 7, 2020 — Board Meeting Minutes (wage increase motion)",https://www.villageofpearlcity.com/board-meeting-minutes/kp4fnqn036s5dsk0f8fiolq4755tbf,https://villageofpearlcity.com/board-meeting-minutes/kp4fnqn036s5dsk0f8fiolq4755tbf,wage_schedule,medium_priority_verification_ready,non_cba_or_unresolved_hint,,retained_html,html,.html,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_001/RMSRD-20260802-7384d74db55aea284eca.html,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_001/RMSRD-20260802-7384d74db55aea284eca.html,sha256:e125a3a606fa5ac334980bae087b92e5f10c43ef33329dbd49d0ad98cd702b95,locally_available,local_only_not_replicated,local_research_workspace,135708,e125a3a606fa5ac334980bae087b92e5f10c43ef33329dbd49d0ad98cd702b95
