claim_id,claim_text,claim_type,supported_mechanisms,evidence_basis,corpus_scope,strength,boundary_language,next_data_needed,forbidden_interpretations
doc_01,"In the 636 valid-rated collected rows, implementation timing or retroactivity language is a recurring documentary mechanism signal.",supported_documentary_mechanism_claim,implementation_or_retroactivity_advantage,171 positive ratings; 81 documentary-mechanism ratings; 48 strong-or-moderate ratings,636_schema_valid_v1_1_ratings_with_7_explicit_exclusions,moderate,"Bounded to the 636 valid-rated collected rows; this does not establish population prevalence, realized wage effects, wage gaps, or causality.","matched city-cycle texts that distinguish favorable, delayed, and neutral timing",population_prevalence|wage_effect|wage_gap|regression|treatment_effect|final_causal_claim|excluded_row_inference
doc_02,"In the 636 valid-rated collected rows, automatic raise language is a recurring documentary mechanism signal.",supported_documentary_mechanism_claim,automatic_raise_mechanism,109 positive ratings; 71 documentary-mechanism ratings; 73 strong-or-moderate ratings,636_schema_valid_v1_1_ratings_with_7_explicit_exclusions,strong,"Bounded to the 636 valid-rated collected rows; this does not establish population prevalence, realized wage effects, wage gaps, or causality.",matched safety/non-safety schedules and contract formulas in the same cycle,population_prevalence|wage_effect|wage_gap|regression|treatment_effect|final_causal_claim|excluded_row_inference
doc_03,"In the 636 valid-rated collected rows, non-base compensation language recurs as a separate compensation mechanism or context signal.",supported_documentary_mechanism_claim,non_base_compensation_signal,76 positive ratings; 23 documentary-mechanism ratings; 44 strong-or-moderate ratings,636_schema_valid_v1_1_ratings_with_7_explicit_exclusions,moderate,"Bounded to the 636 valid-rated collected rows; this does not establish population prevalence, realized wage effects, wage gaps, or causality.",matched base/non-base compensation documents with separate outcome treatment,population_prevalence|wage_effect|wage_gap|regression|treatment_effect|final_causal_claim|excluded_row_inference
doc_04,The current valid-rated corpus contains bounded documentary support for rank or specialization premiums.,supported_documentary_mechanism_claim,rank_or_specialization_premium,27 positive ratings; 12 documentary-mechanism ratings,636_schema_valid_v1_1_ratings_with_7_explicit_exclusions,weak,"Bounded to the 636 valid-rated collected rows; this does not establish population prevalence, realized wage effects, wage gaps, or causality.",matched occupation documents identifying comparable classifications and specialties,population_prevalence|wage_effect|wage_gap|regression|treatment_effect|final_causal_claim|excluded_row_inference
doc_05,"The current valid-rated corpus contains bargaining or settlement language, but the documentary signal is sparse.",supported_documentary_mechanism_claim,bargaining_power_signal,22 positive ratings; 15 documentary-mechanism ratings,636_schema_valid_v1_1_ratings_with_7_explicit_exclusions,weak,"Bounded to the 636 valid-rated collected rows; this does not establish population prevalence, realized wage effects, wage gaps, or causality.","arbitration, factfinding, memorandum, and settlement texts for matched units",population_prevalence|wage_effect|wage_gap|regression|treatment_effect|final_causal_claim|excluded_row_inference
doc_06,"The current valid-rated corpus contains market or comparability language, but the documentary signal is sparse.",supported_documentary_mechanism_claim,market_or_comparability_pressure,21 positive ratings; 11 documentary-mechanism ratings,636_schema_valid_v1_1_ratings_with_7_explicit_exclusions,weak,"Bounded to the 636 valid-rated collected rows; this does not establish population prevalence, realized wage effects, wage gaps, or causality.",peer-jurisdiction and recruitment-retention texts for matched units,population_prevalence|wage_effect|wage_gap|regression|treatment_effect|final_causal_claim|excluded_row_inference
doc_07,The current valid-rated corpus contains limited parity or internal-equity language.,supported_documentary_mechanism_claim,parity_or_internal_equity_signal,9 positive ratings; 5 documentary-mechanism ratings,636_schema_valid_v1_1_ratings_with_7_explicit_exclusions,weak,"Bounded to the 636 valid-rated collected rows; this does not establish population prevalence, realized wage effects, wage gaps, or causality.","matched parity, compression, and internal-equity clauses",population_prevalence|wage_effect|wage_gap|regression|treatment_effect|final_causal_claim|excluded_row_inference
doc_08,The current valid-rated corpus contains limited fiscal-constraint language.,supported_documentary_mechanism_claim,fiscal_constraint_signal,6 positive ratings; 2 documentary-mechanism ratings,636_schema_valid_v1_1_ratings_with_7_explicit_exclusions,weak,"Bounded to the 636 valid-rated collected rows; this does not establish population prevalence, realized wage effects, wage gaps, or causality.","budget, affordability, tax-limit, and funding texts paired with contracts",population_prevalence|wage_effect|wage_gap|regression|treatment_effect|final_causal_claim|excluded_row_inference
doc_09,"The current valid-rated corpus contains a small amount of strike, no-strike, or substitute dispute-resolution language.",supported_documentary_mechanism_claim,strike_or_no_strike_constraint,4 positive ratings; 4 documentary-mechanism ratings,636_schema_valid_v1_1_ratings_with_7_explicit_exclusions,weak,"Bounded to the 636 valid-rated collected rows; this does not establish population prevalence, realized wage effects, wage gaps, or causality.",no-strike clauses plus arbitration/factfinding substitutes for matched units,population_prevalence|wage_effect|wage_gap|regression|treatment_effect|final_causal_claim|excluded_row_inference
direct_01,"In the 636 valid-rated collected rows, direct base-wage, rate, salary, step, grade, percentage-raise, or effective-date language is available for bounded document-level claims.",supported_direct_text_claim,base_wage_direct_value,100 positive ratings; 57 direct-text ratings; 63 strong-or-moderate ratings,636_schema_valid_v1_1_ratings_with_7_explicit_exclusions,strong,"Bounded to the 636 valid-rated collected rows; this does not establish population prevalence, realized wage effects, wage gaps, or causality.",separate authorized triage of the preserved 862-row quantitative lane,population_prevalence|wage_effect|wage_gap|regression|treatment_effect|final_causal_claim|excluded_row_inference
