lane_id,shard_id,worker_id,shard_sequence,scout_target_id,municipality_id,municipality,state,region,parse_status,success_status,failure_type,attempt_count,candidate_count,target_input_sha256,target_output_dir,input_tokens,reasoning_tokens,output_tokens,total_tokens,response_id_present
lane_004,broad_shard_004,worker_lane_004,1,B4X1000-20260727-3001,cog_2025_212009,Adel,IA,Midwest,parseable,completed_parseable,,1,3,9286bf164a28aaa5d48308e4121660055661e4c2a337d49e716b3d708d8b06de,docs/analysis/compensation_extraction/BROAD-STATE-BY-STATE-4X1000-PARALLEL-LIVE-SCOUT-STAGGERED-2026-07-27/lanes/lane_004/targets/0001_B4X1000-20260727-3001/run,70317,2505,3779,74096,yes
lane_004,broad_shard_004,worker_lane_004,2,B4X1000-20260727-3002,cog_2025_201769,Albia,IA,Midwest,parseable,completed_parseable,,1,3,2ca3ed81ea1637576cc3d2767fe81eebbea6f363a6bca3a6d18148a43a81ca57,docs/analysis/compensation_extraction/BROAD-STATE-BY-STATE-4X1000-PARALLEL-LIVE-SCOUT-STAGGERED-2026-07-27/lanes/lane_004/targets/0002_B4X1000-20260727-3002/run,32262,1262,2341,34603,yes
lane_004,broad_shard_004,worker_lane_004,3,B4X1000-20260727-3003,cog_2025_164457,Anamosa,IA,Midwest,parseable,completed_parseable,,1,2,e2b64d2825da8211ed077069e0f6d13f0dcb1fb0ce9c39c664b036d111b79bc1,docs/analysis/compensation_extraction/BROAD-STATE-BY-STATE-4X1000-PARALLEL-LIVE-SCOUT-STAGGERED-2026-07-27/lanes/lane_004/targets/0003_B4X1000-20260727-3003/run,27035,1013,1874,28909,yes
lane_004,broad_shard_004,worker_lane_004,4,B4X1000-20260727-3004,cog_2025_211248,Atlantic,IA,Midwest,parseable,completed_parseable,,1,0,1e2e03302f456f7da9d589cedd23cc4850cae99156731efd990ce612f365dda2,docs/analysis/compensation_extraction/BROAD-STATE-BY-STATE-4X1000-PARALLEL-LIVE-SCOUT-STAGGERED-2026-07-27/lanes/lane_004/targets/0004_B4X1000-20260727-3004/run,39376,1176,1205,40581,yes
lane_004,broad_shard_004,worker_lane_004,5,B4X1000-20260727-3005,cog_2025_164350,Camanche,IA,Midwest,parseable,completed_parseable,,1,3,6890bad3361f171d291d0af19bb1e796e14ed837a3098bf461fd4d946278db5f,docs/analysis/compensation_extraction/BROAD-STATE-BY-STATE-4X1000-PARALLEL-LIVE-SCOUT-STAGGERED-2026-07-27/lanes/lane_004/targets/0005_B4X1000-20260727-3005/run,42751,1400,2515,45266,yes
lane_004,broad_shard_004,worker_lane_004,6,B4X1000-20260727-3006,cog_2025_126693,Carter Lake,IA,Midwest,parseable,completed_parseable,,1,2,abde8a0b75b5570fe8d2841e1846309064e6bb8f344dcd9f4c84669a9cc55d23,docs/analysis/compensation_extraction/BROAD-STATE-BY-STATE-4X1000-PARALLEL-LIVE-SCOUT-STAGGERED-2026-07-27/lanes/lane_004/targets/0006_B4X1000-20260727-3006/run,30636,1016,1760,32396,yes
lane_004,broad_shard_004,worker_lane_004,7,B4X1000-20260727-3007,cog_2025_164380,Cascade,IA,Midwest,parseable,completed_parseable,,1,3,48bef5a7bf18f77d9e6ca03f8c7202ced553b816681b90ebe89e7a0c26418c37,docs/analysis/compensation_extraction/BROAD-STATE-BY-STATE-4X1000-PARALLEL-LIVE-SCOUT-STAGGERED-2026-07-27/lanes/lane_004/targets/0007_B4X1000-20260727-3007/run,26378,900,2078,28456,yes
lane_004,broad_shard_004,worker_lane_004,8,B4X1000-20260727-3008,cog_2025_164521,Clarinda,IA,Midwest,parseable,completed_parseable,,1,2,c297e3630bcc3f7e8893f6035e7c8408b6d3c89283c348a0de4a661ea9fb9f9b,docs/analysis/compensation_extraction/BROAD-STATE-BY-STATE-4X1000-PARALLEL-LIVE-SCOUT-STAGGERED-2026-07-27/lanes/lane_004/targets/0008_B4X1000-20260727-3008/run,35919,1022,1742,37661,yes
lane_004,broad_shard_004,worker_lane_004,9,B4X1000-20260727-3009,cog_2025_208079,Clarion,IA,Midwest,parseable,completed_parseable,,1,2,1f614f6dd1211f62bf2e7bffb98772211ffe8db5675f91648c389bfd5496a854,docs/analysis/compensation_extraction/BROAD-STATE-BY-STATE-4X1000-PARALLEL-LIVE-SCOUT-STAGGERED-2026-07-27/lanes/lane_004/targets/0009_B4X1000-20260727-3009/run,35072,1261,2078,37150,yes
lane_004,broad_shard_004,worker_lane_004,10,B4X1000-20260727-3010,cog_2025_164430,Cresco,IA,Midwest,parseable,completed_parseable,,1,0,de9ee5f8fabcab4c8b78c406ed8357a275bffe12169fed5926eae277cb9c1b45,docs/analysis/compensation_extraction/BROAD-STATE-BY-STATE-4X1000-PARALLEL-LIVE-SCOUT-STAGGERED-2026-07-27/lanes/lane_004/targets/0010_B4X1000-20260727-3010/run,19638,642,672,20310,yes
