scout_candidate_id,scout_target_id,lane_id,shard_id,worker_id,state,region,municipality,county,unit_type_hint,occupation_group_hint,possible_bargaining_unit,possible_cycle_or_year,source_title,source_locator_or_url,source_domain,normalized_locator,source_family_hint,document_type_hint,source_family_confidence,possible_mechanism_hints,search_query_family,broad_geographic_target_reason,source_family_diversification_reason,matched_safety_non_safety_opportunity_flag,duplicate_locator_flag,prior_seen_locator_flag,candidate_quality_tier,verification_status,download_status,extraction_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness,notes
B4XPAR-20260727-005271,B4X1000-20260727-3001,lane_004,broad_shard_004,worker_lane_004,IA,Midwest,Adel,Dallas County (19049; primary),police,police,Teamsters Local Union 238 (IBT),"July 1, 2025 through June 30, 2028 (stated in resolution; CBA wage/step language not confirmable from available extracted pages)","Resolution No. 25-30, Approving the Collective Bargaining Agreement Between City of Adel, Iowa Police Department and Teamsters Local Union 238 (Affiliated With the International Brotherhood of Teamsters)",https://d3n9y02raazwpg.cloudfront.net/adeliowa/6362cfd5-3e0c-11ef-8c72-005056a89546-eb3a607a-7fbe-4e41-9944-d3e3bdd10512-1743795057.pdf,d3n9y02raazwpg.cloudfront.net,https://d3n9y02raazwpg.cloudfront.net/adeliowa/6362cfd5-3e0c-11ef-8c72-005056a89546-eb3a607a-7fbe-4e41-9944-d3e3bdd10512-1743795057.pdf,cba,cba,high,,agreements_mous_settlements,unscouted municipality; state-balanced geographic expansion,rotate broad public local-government labor and pay document families,false,false,false,pending_combined_review,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.
B4XPAR-20260727-005272,B4X1000-20260727-3001,lane_004,broad_shard_004,worker_lane_004,IA,Midwest,Adel,Dallas County (19049; primary),non_safety,non_safety,,"July 1, 2025 through June 30, 2026 (stated in agenda item report; wage-table content not confirmable from accessible extracted pages)","Resolution No. 25-31, Approving FY25-26 Non-Union City Employee Wages",https://d3n9y02raazwpg.cloudfront.net/adeliowa/6362cfd5-3e0c-11ef-8c72-005056a89546-eb3a607a-7fbe-4e41-9944-d3e3bdd10512-1743795057.pdf,d3n9y02raazwpg.cloudfront.net,https://d3n9y02raazwpg.cloudfront.net/adeliowa/6362cfd5-3e0c-11ef-8c72-005056a89546-eb3a607a-7fbe-4e41-9944-d3e3bdd10512-1743795057.pdf,wage_schedule,wage_schedule_or_compensation_plan,medium,non_safety_constraint_signal,agreements_mous_settlements,unscouted municipality; state-balanced geographic expansion,rotate broad public local-government labor and pay document families,false,true,false,duplicate_or_prior_seen,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.
B4XPAR-20260727-005273,B4X1000-20260727-3001,lane_004,broad_shard_004,worker_lane_004,IA,Midwest,Adel,Dallas County (19049; primary),non_safety,non_safety,,unclear,Employee Handbook (Updated 06.10.2025),https://cms3.revize.com/revize/adelia/City%20Documents/City%20Documents%20Page/2025%20City%20of%20Adel%20Employee%20Handbook%20%28Updated%2006.10.2025%29.pdf,cms3.revize.com,https://cms3.revize.com/revize/adelia/City%20Documents/City%20Documents%20Page/2025%20City%20of%20Adel%20Employee%20Handbook%20%28Updated%2006.10.2025%29.pdf,other_local_government_pay_policy,ordinance_or_policy,medium,,agreements_mous_settlements,unscouted municipality; state-balanced geographic expansion,rotate broad public local-government labor and pay document families,false,false,false,pending_combined_review,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.
B4XPAR-20260727-005274,B4X1000-20260727-3002,lane_004,broad_shard_004,worker_lane_004,IA,Midwest,Albia,Monroe County (19135; primary),police,police,,unclear,"Albia City Council Special Meeting Minutes (June 12, 2023) — police department wage increases (hourly + annual salary) and sign-on bonus motion",https://albiaiowa.org/wp-content/uploads/2023/06/Special-Meeting-6-12-23.pdf,albiaiowa.org,https://albiaiowa.org/wp-content/uploads/2023/06/Special-Meeting-6-12-23.pdf,agenda_packet_or_minutes,meeting_minutes,high,strike_or_no_strike_constraint,arbitration_factfinding,unscouted municipality; state-balanced geographic expansion,rotate broad public local-government labor and pay document families,false,false,false,pending_combined_review,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.
B4XPAR-20260727-005275,B4X1000-20260727-3002,lane_004,broad_shard_004,worker_lane_004,IA,Midwest,Albia,Monroe County (19135; primary),non_safety,non_safety,,unclear,"Albia City Council Regular Meeting Minutes (June 19, 2023) — resolution stating full-time employee wages effective July 1, 2023; part-time mowing wage increase to $17/hr effective July 1, 2023",https://albiaiowa.org/wp-content/uploads/2023/06/minutes-6-19-23.pdf,albiaiowa.org,https://albiaiowa.org/wp-content/uploads/2023/06/minutes-6-19-23.pdf,agenda_packet_or_minutes,meeting_minutes,high,non_safety_constraint_signal,arbitration_factfinding,unscouted municipality; state-balanced geographic expansion,rotate broad public local-government labor and pay document families,false,false,false,pending_combined_review,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.
B4XPAR-20260727-005276,B4X1000-20260727-3002,lane_004,broad_shard_004,worker_lane_004,IA,Midwest,Albia,Monroe County (19135; primary),unclear,unclear,,unclear,"City Council — Agendas & Minutes index (Albia, IA)",https://albiaiowa.org/city-council/,albiaiowa.org,https://albiaiowa.org/city-council,agenda_packet_or_minutes,index_page,high,,arbitration_factfinding,unscouted municipality; state-balanced geographic expansion,rotate broad public local-government labor and pay document families,false,false,false,pending_combined_review,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.
B4XPAR-20260727-005277,B4X1000-20260727-3003,lane_004,broad_shard_004,worker_lane_004,IA,Midwest,Anamosa,Jones County (19105; primary),police,police,Teamsters Local 238,unclear (operative duration phrase 'three-year settlement' present; specific start/end dates not confirmed in accessible text),Council Packet (includes Resolution ratifying three-year Police Department collective bargaining tentative agreement with Teamsters Local 238 (Police)),https://cms9files.revize.com/anamosa/041023%20Council%20Packet.pdf,cms9files.revize.com,https://cms9files.revize.com/anamosa/041023%20Council%20Packet.pdf,agenda_packet_or_minutes,agenda_cover_sheet,high,,salary_wage_schedules,unscouted municipality; state-balanced geographic expansion,rotate broad public local-government labor and pay document families,false,false,false,pending_combined_review,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.
B4XPAR-20260727-005278,B4X1000-20260727-3003,lane_004,broad_shard_004,worker_lane_004,IA,Midwest,Anamosa,Jones County (19105; primary),non_safety,non_safety,,unclear (pay rates show 'as of 7/1/23' and 'FY 2023'; specific ordinance title/section and coverage period not verifiable because full packet could not be fetched),Council Packet (includes pay plan / wage schedule item listing employee salary/hourly rates by position; includes 'as of 7/1/23' payroll period rates across multiple departments),https://cms9files.revize.com/anamosa/062623%20Council%20Packet.pdf,cms9files.revize.com,https://cms9files.revize.com/anamosa/062623%20Council%20Packet.pdf,budget_or_pay_plan,ordinance_or_policy,high,non_safety_constraint_signal,salary_wage_schedules,unscouted municipality; state-balanced geographic expansion,rotate broad public local-government labor and pay document families,false,false,false,pending_combined_review,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.
B4XPAR-20260727-005279,B4X1000-20260727-3005,lane_004,broad_shard_004,worker_lane_004,IA,Midwest,Camanche,Clinton County (19045; primary),police,police,Camanche Police & Fire Department Bargaining Unit,"July 1, 2025 through June 30, 2026","Camanche Police & Fire Bargaining Unit - Final Agreement (JULY 1, 2025 TO JUNE 30, 2026)",https://www.camancheia.org/app/download/7127669207/public%2Bpacket%2B3-4-25.pdf,camancheia.org,https://camancheia.org/app/download/7127669207/public%2Bpacket%2B3-4-25.pdf,cba,cba,high,,civil_service_hr_personnel,unscouted municipality; state-balanced geographic expansion,rotate broad public local-government labor and pay document families,false,false,false,pending_combined_review,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.
B4XPAR-20260727-005280,B4X1000-20260727-3005,lane_004,broad_shard_004,worker_lane_004,IA,Midwest,Camanche,Clinton County (19045; primary),fire,fire,Camanche Police & Fire Department Bargaining Unit,"July 1, 2025 through June 30, 2026","Camanche Police & Fire Bargaining Unit - Final Agreement (JULY 1, 2025 TO JUNE 30, 2026)",https://www.camancheia.org/app/download/7127669207/public%2Bpacket%2B3-4-25.pdf,camancheia.org,https://camancheia.org/app/download/7127669207/public%2Bpacket%2B3-4-25.pdf,cba,cba,high,,civil_service_hr_personnel,unscouted municipality; state-balanced geographic expansion,rotate broad public local-government labor and pay document families,false,true,false,duplicate_or_prior_seen,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.
