left_profile_id,right_profile_id,similarity_ratio,substantially_identical_threshold,flagged,status
formal-bargaining,scheduled-base-growth,0.2231,0.78,False,pass
formal-bargaining,non-base-compensation,0.0223,0.78,False,pass
formal-bargaining,staffing-market-pressure,0.1827,0.78,False,pass
formal-bargaining,retroactivity-payroll,0.0289,0.78,False,pass
formal-bargaining,budgets-pay-plans,0.0238,0.78,False,pass
formal-bargaining,ordinance-adoption,0.0203,0.78,False,pass
formal-bargaining,classification-structure,0.0219,0.78,False,pass
formal-bargaining,grouped-sparse-status-appendix,0.0352,0.78,False,pass
scheduled-base-growth,non-base-compensation,0.0251,0.78,False,pass
scheduled-base-growth,staffing-market-pressure,0.1742,0.78,False,pass
scheduled-base-growth,retroactivity-payroll,0.0119,0.78,False,pass
scheduled-base-growth,budgets-pay-plans,0.0496,0.78,False,pass
scheduled-base-growth,ordinance-adoption,0.0157,0.78,False,pass
scheduled-base-growth,classification-structure,0.0999,0.78,False,pass
scheduled-base-growth,grouped-sparse-status-appendix,0.0214,0.78,False,pass
non-base-compensation,staffing-market-pressure,0.1525,0.78,False,pass
non-base-compensation,retroactivity-payroll,0.165,0.78,False,pass
non-base-compensation,budgets-pay-plans,0.0464,0.78,False,pass
non-base-compensation,ordinance-adoption,0.0091,0.78,False,pass
non-base-compensation,classification-structure,0.0359,0.78,False,pass
non-base-compensation,grouped-sparse-status-appendix,0.0118,0.78,False,pass
staffing-market-pressure,retroactivity-payroll,0.0157,0.78,False,pass
staffing-market-pressure,budgets-pay-plans,0.1412,0.78,False,pass
staffing-market-pressure,ordinance-adoption,0.0077,0.78,False,pass
staffing-market-pressure,classification-structure,0.0265,0.78,False,pass
staffing-market-pressure,grouped-sparse-status-appendix,0.0177,0.78,False,pass
retroactivity-payroll,budgets-pay-plans,0.0099,0.78,False,pass
retroactivity-payroll,ordinance-adoption,0.0385,0.78,False,pass
retroactivity-payroll,classification-structure,0.0318,0.78,False,pass
retroactivity-payroll,grouped-sparse-status-appendix,0.0314,0.78,False,pass
budgets-pay-plans,ordinance-adoption,0.0175,0.78,False,pass
budgets-pay-plans,classification-structure,0.0306,0.78,False,pass
budgets-pay-plans,grouped-sparse-status-appendix,0.0231,0.78,False,pass
ordinance-adoption,classification-structure,0.0216,0.78,False,pass
ordinance-adoption,grouped-sparse-status-appendix,0.0219,0.78,False,pass
classification-structure,grouped-sparse-status-appendix,0.0447,0.78,False,pass
