alaska_inventory_id,root_compensation_event_id,municipality,state,region,compensation_cycle_id,mechanism_family,mechanism_tag,side,side_bucket,implementation_status,implementation_confidence,recurring_or_one_time,corroborating_source_count,latitude,longitude,profile_id,profile_event_id,profile_primary_record,profile_tag_count_for_same_event,category_alaska_event_count,alaska_display_mode,analytical_unit,technical_lineage
AKMECH-84825a875bc8051fe7e1,ROOTCOMP-d6fefb719f3dacf660eaa5e1,Chignik,AK,West,undated-source-B4X2500LIVE-20260729-009821,pressure_channel,none_identified,remains_unclear,unresolved,formally_adopted,high,not_applicable,0,56.29518,-158.391784,grouped-sparse-status-appendix,8697c6bc0f5f6ea8f216,True,1,9,point_table,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-62ab03d4a876b33b63946265""]"
AKMECH-3f5089a96cb21d5addf5,ROOTCOMP-d6fefb719f3dacf660eaa5e1,Chignik,AK,West,undated-source-B4X2500LIVE-20260729-009821,timing_implementation,ordinance_adoption,remains_unclear,unresolved,formally_adopted,high,not_applicable,0,56.29518,-158.391784,ordinance-adoption,d4096f62e374e278cfc4,True,2,2,point_inset,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-62ab03d4a876b33b63946265""]"
AKMECH-c966d1795ea94844ae86,ROOTCOMP-d6fefb719f3dacf660eaa5e1,Chignik,AK,West,undated-source-B4X2500LIVE-20260729-009821,institutional_channel,ordinance_council_adoption,remains_unclear,unresolved,formally_adopted,high,not_applicable,0,56.29518,-158.391784,ordinance-adoption,d4096f62e374e278cfc4,False,2,3,point_inset,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-62ab03d4a876b33b63946265""]"
AKMECH-9f7355a0213e6b13b671,ROOTCOMP-d6fefb719f3dacf660eaa5e1,Chignik,AK,West,undated-source-B4X2500LIVE-20260729-009821,timing_implementation,payroll_effective_date,remains_unclear,unresolved,formally_adopted,high,not_applicable,0,56.29518,-158.391784,retroactivity-payroll,368fb9431ca4675d261f,True,3,3,point_inset,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-62ab03d4a876b33b63946265""]"
AKMECH-cad8883472d76f295765,ROOTCOMP-d6fefb719f3dacf660eaa5e1,Chignik,AK,West,undated-source-B4X2500LIVE-20260729-009821,timing_implementation,retroactive,remains_unclear,unresolved,formally_adopted,high,not_applicable,0,56.29518,-158.391784,retroactivity-payroll,368fb9431ca4675d261f,False,3,6,point_inset,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-62ab03d4a876b33b63946265""]"
AKMECH-64e4347b7098804fc868,ROOTCOMP-d6fefb719f3dacf660eaa5e1,Chignik,AK,West,undated-source-B4X2500LIVE-20260729-009821,compensation_outcome,retroactive_pay,remains_unclear,unresolved,formally_adopted,high,not_applicable,0,56.29518,-158.391784,retroactivity-payroll,368fb9431ca4675d261f,False,3,6,point_inset,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-62ab03d4a876b33b63946265""]"
AKMECH-5a712b293229bfed0942,ROOTCOMP-1270a740fa570d096bb60983,Chuathbaluk,AK,West,undated-source-B4X2500LIVE-20260729-004780,compensation_outcome,across_the_board_raise,remains_unclear,unresolved,implemented,high,percentage_adjustment,0,61.573919,-159.246921,scheduled-base-growth,203c63682cffe7109c10,True,2,3,point_inset,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-0b4900ef93b47c44574564c3"",""WCM-0c3c3c8a3061e5f667318b49"",""WCM-61f989b569fd91ff50693dfc""]"
AKMECH-138953a77964ac525c46,ROOTCOMP-31925e7a7b94d67d6bba46c3,Chuathbaluk,AK,West,undated-source-B4X2500LIVE-20260729-004780,institutional_channel,budget_pay_plan_process,side_independent,side_independent,formally_adopted,high,scheduled_step,0,61.573919,-159.246921,budgets-pay-plans,f8f1337529750189eac8,True,2,1,point_inset,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-49e4d62cc2ddfff18fc7c878""]"
AKMECH-bf4f65221385ec834060,ROOTCOMP-31925e7a7b94d67d6bba46c3,Chuathbaluk,AK,West,undated-source-B4X2500LIVE-20260729-004780,pressure_channel,fiscal_constraint,side_independent,side_independent,formally_adopted,high,scheduled_step,0,61.573919,-159.246921,budgets-pay-plans,f8f1337529750189eac8,False,2,1,point_inset,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-49e4d62cc2ddfff18fc7c878""]"
AKMECH-ebd406bdd7deb8c1d95c,ROOTCOMP-1270a740fa570d096bb60983,Chuathbaluk,AK,West,undated-source-B4X2500LIVE-20260729-004780,pressure_channel,none_identified,remains_unclear,unresolved,implemented,high,percentage_adjustment,0,61.573919,-159.246921,grouped-sparse-status-appendix,258111154391f0eaeb5f,True,1,9,point_table,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-0b4900ef93b47c44574564c3"",""WCM-0c3c3c8a3061e5f667318b49"",""WCM-61f989b569fd91ff50693dfc""]"
