candidate_id,lane_id,priority_tier,quality_label,gap_priority_score,gap_priority_reason,source_url_or_locator,source_title,municipality,state,derived_region,unit_type,occupation_group,bargaining_unit_name,contract_or_document_period,inferred_cycle_start,inferred_cycle_end,source_family,target_mechanism_family,same_city_match_status,overlapping_cycle_status,verification_status,verification_reason,verified_municipality,verified_state,verified_region,verified_unit_type,verified_source_family,verified_contract_or_document_period,locator_accessibility_status,verification_timestamp,candidate_only_lineage_status,retained_source_id,source_review_download_status,download_status,http_status,content_type_hint,file_extension,file_size_bytes,file_sha256,local_retained_path,duplicate_file_group_id,extraction_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness,source_review_timestamp,notes,preserved_exclusion_status,excluded_from_readiness_queue
TS4L-02335aaa610656d2497a,lane_1,tier_c,verification_ready_low,139,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|south_or_northeast_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://missouricitytx.civicweb.net/document/279973/Consideration%20and%20Possible%20Action%20-%20Second%20and%20.pdf?handle=4C855C7A776D4E688B1DFD7059137120,"24-284 AGENDA REQUEST — Consideration and Possible Action (Second and Final Reading): civil service pay increases (effective May 5, 2024 referenced in memo background)",Missouri City,TX,South,non_safety_comparator,non_safety_comparator,,"Effective May 5, 2024 (civil service pay changes referenced in memo)",,,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"Missouri City, TX","Overlaps (Aug 1, 2023–Sep 30, 2024) via May 5, 2024 effective date",verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Missouri City,TX,South,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,"Effective May 5, 2024 (civil service pay changes referenced in memo)",head_http_200,2026-07-27T12:58:37Z,verified_source_lead_not_downloaded,RS556-60f9708e502d87a2225c,oversized_for_this_pass,not_downloaded,200,application/pdf,,27289570,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T14:37:54Z,"content_length_exceeds_pass_limit; attempts=1; elapsed_seconds=1.327; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR.",oversized_for_this_pass,true
TS4L-06fb92b2160faed373d2,lane_1,tier_c,verification_ready_medium,144,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|south_or_northeast_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://mccmeetings.blob.core.usgovcloudapi.net/eustisfl-pubu/MEET-Packet-9831fbedca7149c0bfd79905f857ec63.pdf,Eustis City Commission Meeting packet — Resolution Number 25-73 snippet approving IAFF Fire Lieutenant Unit contract 10/1/2024 – 9/30/2027,Eustis,FL,South,non_safety_comparator,Fire (not verified as non-safety comparator),IAFF Fire Lieutenant Unit (Local name not confirmed from snippet),10/1/2024 – 9/30/2027 (as stated in snippet),2024-10-01,2027-09-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"Eustis, FL (Eustis City Commission meeting packet)",Direct overlap with FY 2024-2027 and matches duration through 9/30/2027,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Eustis,FL,South,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,10/1/2024 – 9/30/2027 (as stated in snippet),head_http_200,2026-07-27T12:58:09Z,verified_source_lead_not_downloaded,RS556-781159f53441489002af,oversized_for_this_pass,not_downloaded,200,application/pdf,,30230036,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T14:37:54Z,"content_length_exceeds_pass_limit; attempts=1; elapsed_seconds=0.555; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR.",oversized_for_this_pass,true
TS4L-4a417d1a89d21f6a4b22,lane_1,tier_c,verification_ready_low,139,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|south_or_northeast_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://www.portlandschools.org/department/human-resources/collective-bargaining-agreements,"Collective Bargaining Agreements & MOUs — Portland Public Schools (Portland, Maine)",Portland,ME,Northeast,non_safety_comparator,Educator/education staff bargaining units (non-safety comparator lead via district CBA/MOA listing),Includes PAE Contract (2025-2028) and other teacher/education units,PAE Contract listed as 2025-2028 (district bargaining calendar),2025-08-26,2028-08-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"Portland, ME match",Overlaps expected period (2025-2027) via PAE/education contract terms,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Portland,ME,Northeast,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,PAE Contract listed as 2025-2028 (district bargaining calendar),head_http_200,2026-07-27T12:58:37Z,verified_source_lead_not_downloaded,RS556-98f30ce33c78ad409afd,weak_or_needs_review,not_downloaded,200,text/html,,99150,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T14:38:15Z,"embedded_secret_pattern_excluded_from_retention; attempts=1; elapsed_seconds=0.198; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR.",weak_or_needs_review,true
TS4L-50c4c200206fa04faa38,lane_1,tier_c,verification_ready_medium,147,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|non_cba_or_special_source_signal|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://documents.cabq.gov/budget/fy-19-approved-budget.pdf,FY-19 Approved Budget (City of Albuquerque) — includes negotiation/settlement timeline references,Albuquerque,NM,West,non_safety_comparator,Various bargaining units (references negotiations for listed CBAs),AFSCME Local 624 Transit Union; Prisoner Transport Officers (and other referenced units),"References agreements effective September 30, 2017–June 30, 2018 and other timeframes; also references Albuquerque Police Officers Association through June 30, 2020",,,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,Matches Albuquerque (City budget document).,"Partially overlaps expected period via references that include “through June 30, 2020” (unit-specific CBA PDFs would be needed).",verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Albuquerque,NM,West,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,"References agreements effective September 30, 2017–June 30, 2018 and other timeframes; also references Albuquerque Police Officers Association through June 30, 2020",head_http_200,2026-07-27T12:57:46Z,verified_source_lead_not_downloaded,RS556-c490aaaf2f8c30a3b11c,oversized_for_this_pass,not_downloaded,200,application/pdf,,26623592,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T14:38:19Z,"content_length_exceeds_pass_limit; attempts=1; elapsed_seconds=4.274; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR.",oversized_for_this_pass,true
TS4L-5bfd4b067d6dfcee9e9f,lane_1,tier_c,verification_ready_medium,144,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|south_or_northeast_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://www.ephrataschools.org/compensation,EPHRATA SCHOOL DISTRICT - Compensation (classified and certificated pay schedule links),Ephrata,PA,Northeast,non_safety_comparator,Teachers/certificated and classified staff (pay schedules indexed on compensation page),Ephrata School District salary/pay schedule set (unit name not explicitly confirmed on landing page),Contains links to collective bargaining agreements and pay schedules (individual linked documents may cover portions of 2023-2027),2023-01-01,2027-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"same_city_match_found (Ephrata, PA)",overlaps_expected_period_uncertain (page is a hub; specific agreement dates require downstream document selection),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Ephrata,PA,Northeast,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,Contains links to collective bargaining agreements and pay schedules (individual linked documents may cover portions of 2023-2027),head_http_200,2026-07-27T12:58:09Z,verified_source_lead_not_downloaded,RS556-a150b57baa8fab1cb1ac,weak_or_needs_review,not_downloaded,200,text/html,,393410,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T14:38:19Z,"embedded_secret_pattern_excluded_from_retention; attempts=1; elapsed_seconds=0.622; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR.",weak_or_needs_review,true
TS4L-643e4903a7601de78cbf,lane_1,tier_c,verification_ready_medium,142,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|south_or_northeast_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://ecommons.cornell.edu/bitstreams/cbe24a71-56d8-42d5-a255-c8d8ca1defb6/download,"NYS PERB Contract Collection — Metadata Header (Cornell eCommons) — entry containing text: ""THE CITY OF WHITE PLAINS"" and ""LOCAL 456, I.B.T.""",White Plains,NY,Northeast,non_safety_comparator,non_safety_comparator,"Local 456, I.B.T. (City of White Plains) (unit name not fully confirmable from lead snippet)",1975-1976,,,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same-city (White Plains),target_same_or_overlapping_period,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,White Plains,NY,Northeast,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,1975-1976,head_http_200,2026-07-27T12:58:14Z,verified_source_lead_not_downloaded,RS556-aba1613c0c2b4f7943a3,blocked_by_transport,not_downloaded,429,,,,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T14:38:19Z,"get_http_429_after_bounded_retry; attempts=2; elapsed_seconds=1.581; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR.",blocked_by_transport,true
TS4L-78ad4bba132171943ba2,lane_1,tier_c,verification_ready_medium,142,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|south_or_northeast_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://ecommons.cornell.edu/bitstreams/ba6adff8-4d6c-4be7-a857-8446fdbc5327/download,"NYS PERB Contract Collection — Metadata Header (Cornell eCommons) — ""AGREEMENT"" involving ""Education of the City of White Plains"" and CSEA",White Plains,NY,Northeast,non_safety_comparator,non_safety_comparator,"CSEA (unit not fully confirmable from lead snippet) / ""White Plains"" Board of Education context",1975-1976,,,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same-city (White Plains),target_same_or_overlapping_period,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,White Plains,NY,Northeast,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,1975-1976,head_http_200,2026-07-27T12:58:14Z,verified_source_lead_not_downloaded,RS556-2dde211f9378374d62e3,blocked_by_transport,not_downloaded,429,,,,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T14:38:30Z,"get_http_429_after_bounded_retry; attempts=2; elapsed_seconds=0.451; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR.",blocked_by_transport,true
TS4L-80dc19f0d38b6abafde9,lane_1,tier_c,verification_ready_low,137,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|south_or_northeast_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://ecommons.cornell.edu/items/5a391988-08f1-41ce-8033-c6da338c7ee2,"Rome City School District and Rome Teachers Association, NYSUT/AFT/NEA, AFL-CIO, Local 2961 (2013) (MOA)",Rome,NY,Northeast,non_safety_comparator,instructional staff (teachers),"Rome Teachers Association, NYSUT/AFT/NEA, AFL-CIO, Local 2961",2013 (MOA),,,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"Rome, NY (City School District)",Potential overlap with 2011-2015 (document dated 2013),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Rome,NY,Northeast,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,2013 (MOA),head_http_202,2026-07-27T12:59:00Z,verified_source_lead_not_downloaded,RS556-9702a436f5f034b788cf,blocked_by_transport,not_downloaded,429,,,,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T14:38:32Z,"get_http_429_after_bounded_retry; attempts=2; elapsed_seconds=0.457; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR.",blocked_by_transport,true
TS4L-9e67053eeba050f45330,lane_1,tier_c,verification_ready_medium,139,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://www.cityofmadison.com/human-resources/documents/contracts/Local251IATSE-2017.pdf,Local 251 IATSE Agreement (City of Madison) — 2017,Madison,WI,Midwest,non_safety_comparator,Theatrical stage employees / allied crafts (IATSE),"International Alliance of Theatrical Stage Employees, Moving Picture Technicians, Artists, and Allied Crafts of the United States, Its Territories and Canada (Local 251)","January 1, 2017 to December 31, 2017",2017-01-01,2017-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,Madison WI match (City of Madison documents),Overlaps expected period 2016-2017 (2017 portion),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Madison,WI,Midwest,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,"January 1, 2017 to December 31, 2017",head_http_200,2026-07-27T12:58:35Z,verified_source_lead_not_downloaded,RS556-279a28e66051b7d23619,weak_or_needs_review,not_downloaded,403,text/html,,,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T14:38:41Z,"get_http_403; attempts=1; elapsed_seconds=2.813; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR.",weak_or_needs_review,true
TS4L-d0e2e662bbf9ec13840d,lane_1,tier_c,verification_ready_medium,152,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|south_or_northeast_gap|non_cba_or_special_source_signal|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://perb.ny.gov/system/files/documents/2024/03/ia2009-023-award-11-29-11.pdf,PERB interest arbitration award (City of Peekskill) referencing Local 456 wage schedule for 2006–2010 (includes 2009–2010 years),Peekskill,NY,Northeast,non_safety_comparator,"White-collar and blue-collar employees (Local 456, International Brotherhood of Teamsters, Chauffeurs, Warehousemen and Helpers of America)",Local 456 (IBT) — Warehousemen and Helpers of America (White Collar employees) / Local 456 (agent for Blue Collar employees),"Includes January 1, 2006 through December 31, 2009 (and indicates agreement running to 2010); relevant overlap with 2009–2010 target years",2006-01-01,2010-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city,overlaps_expected_period,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Peekskill,NY,Northeast,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,"Includes January 1, 2006 through December 31, 2009 (and indicates agreement running to 2010); relevant overlap with 2009–2010 target years",head_http_200,2026-07-27T12:57:42Z,verified_source_lead_not_downloaded,RS556-6710695524da1683ac53,weak_or_needs_review,not_downloaded,403,text/html,,,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T14:38:51Z,"get_http_403; attempts=1; elapsed_seconds=0.152; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR.",weak_or_needs_review,true
