retained_source_id,candidate_id,local_retained_path,recorded_file_size_bytes,observed_file_size_bytes,recorded_file_sha256,observed_file_sha256,file_exists,path_inside_retained_directory,file_integrity_status
RS556-00923076d6e9ab75d33f,TS4L-34adae9de58cfce5b4a6,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-00923076d6e9ab75d33f.pdf,1941022,1941022,11202676ebf58b1284ff045a0e89f3326fcd615021c71103f4bff6989c34ba18,11202676ebf58b1284ff045a0e89f3326fcd615021c71103f4bff6989c34ba18,true,true,integrity_pass
RS556-0145e29ff5c9bd41bccb,TS4L-ebc5a1fcfa61ba8b8cd4,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-0145e29ff5c9bd41bccb.pdf,93728,93728,11d07f8cd3bc13ada9743233ba293f12b06aef85978696c52b63a0027cfcde7b,11d07f8cd3bc13ada9743233ba293f12b06aef85978696c52b63a0027cfcde7b,true,true,integrity_pass
RS556-02489917ab0e7e498ce4,TS4L-05dc4525a5bc3db46686,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-02489917ab0e7e498ce4.pdf,1006041,1006041,a2c98b60f790a71d7950afbac538f02c90e9f7c46ef91813ab30fd71190743b7,a2c98b60f790a71d7950afbac538f02c90e9f7c46ef91813ab30fd71190743b7,true,true,integrity_pass
RS556-02815a227bd9bbc2ea27,TS4L-73621257781166febda9,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-02815a227bd9bbc2ea27.pdf,64829,64829,788aaa51f500df74fcb08955b8cf16311355bf363ccdceb82a87dc28d1032cd1,788aaa51f500df74fcb08955b8cf16311355bf363ccdceb82a87dc28d1032cd1,true,true,integrity_pass
RS556-02c244d081193185dfb4,TS4L-b3cd15e29d1c5b09f6fa,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-02c244d081193185dfb4.pdf,2798292,2798292,2357b9794c62871c051b724f5f5bdb88132468028ff84556b9db95aa8eb09bfb,2357b9794c62871c051b724f5f5bdb88132468028ff84556b9db95aa8eb09bfb,true,true,integrity_pass
RS556-098fea323f2c4c4f2ae7,TS4L-70847458f048ea226ddb,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-098fea323f2c4c4f2ae7.pdf,1272677,1272677,7bd3ecba8375b78df005ed3ce756b3a10ddd6f97f444177dbb4da0b1a04f3941,7bd3ecba8375b78df005ed3ce756b3a10ddd6f97f444177dbb4da0b1a04f3941,true,true,integrity_pass
RS556-0b8451e94377b5630fc8,TS4L-57b2637d6eb09a088604,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-0b8451e94377b5630fc8.pdf,2079569,2079569,e08504457134c3d3212d2be818a9ecf3fc7cd42793949dde0a9c8364531c82cf,e08504457134c3d3212d2be818a9ecf3fc7cd42793949dde0a9c8364531c82cf,true,true,integrity_pass
RS556-0f957dcdea01922fcc4f,TS4L-9e01803bf01f926fc4c0,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-0f957dcdea01922fcc4f.pdf,624064,624064,d195c06d683a3931506d3fa851ed338e01e5a6b469ec6348537b4761974fd02d,d195c06d683a3931506d3fa851ed338e01e5a6b469ec6348537b4761974fd02d,true,true,integrity_pass
RS556-1165df3f704416e42708,TS4L-84174ba21ec5bafc5626,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-1165df3f704416e42708.pdf,336671,336671,2e730c29b13156c5d0c20b8ac64751fcd58a1fa1fd035988de5e9f930ae33ee0,2e730c29b13156c5d0c20b8ac64751fcd58a1fa1fd035988de5e9f930ae33ee0,true,true,integrity_pass
RS556-11e6a472fd1a34eefe9d,TS4L-0419d32500648846ffa0,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-11e6a472fd1a34eefe9d.pdf,518505,518505,1089df91abab2987f24e658877628acda812e1de9368970eae6e558f5acbf372,1089df91abab2987f24e658877628acda812e1de9368970eae6e558f5acbf372,true,true,integrity_pass
