state,derived_region,tier_c_retained_source_count,tier_c_text_extraction_ready_count,tier_c_pdf_count,tier_c_html_count,tier_c_octet_stream_count,tier_c_parse_text_layer_later_count,tier_c_html_text_later_count,tier_c_deferred_or_review_count
AL,South,7,7,4,3,0,4,3,0
AR,South,8,8,4,4,0,4,4,0
AZ,West,4,3,4,0,0,3,0,1
CA,West,5,5,5,0,0,5,0,0
CO,West,2,2,2,0,0,2,0,0
CT,Northeast,12,10,9,3,0,7,3,2
FL,South,12,11,11,1,0,10,1,1
GA,South,15,11,11,4,0,7,4,4
ID,West,1,1,1,0,0,1,0,0
IL,Midwest,23,16,21,2,0,14,2,7
IN,Midwest,2,1,2,0,0,1,0,1
KY,South,6,5,6,0,0,5,0,1
MA,Northeast,21,16,14,6,1,10,6,5
ME,Northeast,3,1,3,0,0,1,0,2
MI,Midwest,14,13,13,1,0,12,1,1
MN,Midwest,4,4,3,1,0,3,1,0
MO,Midwest,3,3,2,1,0,2,1,0
MT,West,3,2,3,0,0,2,0,1
NC,South,21,15,19,2,0,14,1,6
NE,Midwest,1,1,1,0,0,1,0,0
NH,Northeast,9,6,9,0,0,6,0,3
NJ,Northeast,65,56,53,12,0,45,11,9
NM,West,2,2,2,0,0,2,0,0
NV,West,1,1,1,0,0,1,0,0
NY,Northeast,40,29,32,8,0,22,7,11
OH,Midwest,27,26,27,0,0,26,0,1
OK,South,7,7,7,0,0,7,0,0
PA,Northeast,57,43,52,5,0,38,5,14
RI,Northeast,13,7,12,1,0,6,1,6
SC,South,8,8,5,3,0,5,3,0
TN,South,2,2,1,1,0,1,1,0
TX,South,42,36,38,4,0,32,4,6
UT,West,4,3,3,1,0,2,1,1
VA,South,5,4,4,1,0,3,1,1
VT,Northeast,1,1,1,0,0,1,0,0
WA,West,4,3,3,1,0,3,0,1
WI,Midwest,9,9,9,0,0,9,0,0
