duplicate_group_id,sha256,physical_copy_count,canonical_relative_path,duplicate_bytes_reclaimable,duplicate_size_human,deletion_status
SRC-DUP-00e460774862dfce,00e460774862dfce8e3897fbf41bbe1cd580b4ee90e6cf3e7506e31f6788ef7f,2,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/00e460774862dfce8e3897fbf41bbe1cd580b4ee90e6cf3e7506e31f6788ef7f.pdf,570225,556.86 KiB,not_deleted_planning_only
SRC-DUP-d02032286070b4dd,d02032286070b4dd9d8fbd985a7bdca8af8edf52b89ff177db3bfcb2c8a9c43d,3,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_003/CBSRD-20260728-fafb18f5b4b6ee619ce5.html,424,424.00 B,not_deleted_planning_only
SRC-DUP-f5222837af34a10b,f5222837af34a10b0dc1162ab127c1f1a2a8bf10bf5691519a9fb9d953a1764f,2,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_004/RMSRD-20260802-fd8f1ecd97a59fd3530f.pdf,312053,304.74 KiB,not_deleted_planning_only
SRC-DUP-d9426a76aebd1a95,d9426a76aebd1a95fdb766dc2ee1f9822a99f4bcbff05b4242b76964d4148f54,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_002/CBSRD-20260728-85c15feb6167b556a161.pdf,1612232,1.54 MiB,not_deleted_planning_only
SRC-DUP-c11c42e17b2c7eda,c11c42e17b2c7eda0c8b1793ad82f453b8f0208bf1168a130d058654d30645ec,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-88e0257771598993019a.pdf,5219027,4.98 MiB,not_deleted_planning_only
SRC-DUP-ae89845ea339d99f,ae89845ea339d99fd61946308d539df1e2160a6dd648e3f35feb41c136b50183,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_003/CBSRD-20260728-a4754dfb7d3fd4df3375.pdf,1847892,1.76 MiB,not_deleted_planning_only
SRC-DUP-be0f63a4a25aa6ce,be0f63a4a25aa6ced8592f524b89d6d77812756218b5666596e10534e970824f,2,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-e09c4a6c61b0c9ee268d.pdf,3542175,3.38 MiB,not_deleted_planning_only
SRC-DUP-3be8d598d237120c,3be8d598d237120c96f6102e6f4531c9719c3b46303402184009691e2b74bce0,2,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-e00629a2463432a96a38.html,3355,3.28 KiB,not_deleted_planning_only
SRC-DUP-8492feb9bcfc15ca,8492feb9bcfc15ca89078491772d1877995ef5991c7ac1abbf9dd8ea32312860,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_002/CBSRD-20260728-12f39403885c2ca9946b.pdf,682630,666.63 KiB,not_deleted_planning_only
SRC-DUP-c9d4b803d7b068f2,c9d4b803d7b068f21e7d3d8f6c0dec3d3f49b60b53201f07a66dceba0935bf50,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_003/CBSRD-20260728-6051898a17c3ed7d82e9.pdf,112834,110.19 KiB,not_deleted_planning_only
SRC-DUP-9cccaa08daa6b49c,9cccaa08daa6b49c45d4a479750b4451accade054f99ac1a002f76eb89fdf259,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-7088051b306a94a68263.pdf,11863483,11.31 MiB,not_deleted_planning_only
SRC-DUP-e0e10c94c9ffabaa,e0e10c94c9ffabaa6ba2d1def8aa65b4f62ab5aa35c0336be6616686f686e953,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_002/CBSRD-20260728-ace03dd12adcbccaf282.pdf,114617,111.93 KiB,not_deleted_planning_only
SRC-DUP-281798a41b84f977,281798a41b84f9771cb415f25c3f8e1bbb8087cc1792c89586ecf7625eb120bd,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_003/CBSRD-20260728-5a735a9f451d23bfee54.pdf,430701,420.61 KiB,not_deleted_planning_only
SRC-DUP-feb10768a9f3e540,feb10768a9f3e5404cc5e126236ea0fd93773b474368e7432edbb0cf62e1b884,2,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/feb10768a9f3e5404cc5e126236ea0fd93773b474368e7432edbb0cf62e1b884.pdf,468620,457.64 KiB,not_deleted_planning_only
SRC-DUP-2e9f33115ec18630,2e9f33115ec18630f709ee5b16a5e8228624d92464ec6caae71480d08c9fccc1,2,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_004/RMSRD-20260802-57679c57637aa643de35.pdf,568288,554.97 KiB,not_deleted_planning_only
SRC-DUP-a42e03292bec9284,a42e03292bec92846e8ad97ffe867cf0312773578b4ee646f47e2a45b4490157,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_002/CBSRD-20260728-0d82af6d5dc3ebb60010.pdf,2562242,2.44 MiB,not_deleted_planning_only
