volume_id,planned_total_bytes,compressed_bytes,compression_ratio,runtime_seconds
VOL-001,2141584210,1755887609,0.819901,8.141
VOL-002,1991640765,1687321960,0.847202,7.638
VOL-003,2132075575,1722219109,0.807766,10.642
VOL-004,2146843550,1779032876,0.828674,12.284
VOL-005,2139233356,1766370235,0.825702,13.403
VOL-006,2145552688,1835644546,0.855558,7.902
VOL-007,2144103087,1712305613,0.798612,7.851
VOL-008,2104629435,1775811968,0.843765,9.538
VOL-009,2143071233,1785048819,0.83294,8.461
VOL-010,2101484678,1732565062,0.824448,8.84
VOL-011,2113084408,1718060075,0.813058,8.997
VOL-012,2109420306,1825300112,0.865309,14.985
VOL-013,2066811483,1743940487,0.843783,17.104
VOL-014,2123130131,1805881191,0.850575,17.05
VOL-015,2146747341,1768867682,0.823976,15.763
VOL-016,2115013544,1787478984,0.845138,15.517
VOL-017,2130069612,1736433498,0.8152,15.609
VOL-018,2018739029,1708784309,0.846461,9.91
VOL-019,1959392147,1710665600,0.873059,11.409
VOL-020,2066370678,1743100391,0.843556,15.016
VOL-021,2137395342,1887038998,0.882868,16.408
VOL-022,2141237557,1748035001,0.816367,16.318
VOL-023,2146363709,1779691715,0.829166,9.453
VOL-024,2132559215,1774929494,0.8323,7.576
VOL-025,2136765182,1848923764,0.865291,6.739
VOL-026,2147353602,1827714497,0.851147,7.902
VOL-027,2146777844,1791182114,0.834358,8.686
VOL-028,338208050,269708938,0.797465,1.527
