volume_id,filename,prior_archive_SHA256,prior_compressed_bytes,prior_source_count,prior_text_companion_count,prior_validation_status,transfer_status,transfer_destination_label,transfer_destination_type,confirmation_basis,confirmation_date,local_archive_present,rebuild_required,previously_locally_verified_before_transfer,remote_post_transfer_verification,confirmed_by_user
VOL-001,gabriel-wages-source-library-2026-08-06.part-001.tar.zst,636b19f30f70e64d4e4eba1a4ae921586c5632242ff47f622808ac9c68a4a1ee,1755887609,1037,880,accepted_before_transfer,transferred_by_user,Safety_NonSafety_Source_Library,user_managed_google_drive,explicit_user_confirmation,2026-08-06,false,false,true,not_performed_by_this_task,true
VOL-002,gabriel-wages-source-library-2026-08-06.part-002.tar.zst,810423f3a1d3754c7b3ab0c38ef75adb2edb36607739ee440f9e9522efe31c51,1687321960,740,608,accepted_before_transfer,transferred_by_user,Safety_NonSafety_Source_Library,user_managed_google_drive,explicit_user_confirmation,2026-08-06,false,false,true,not_performed_by_this_task,true
VOL-003,gabriel-wages-source-library-2026-08-06.part-003.tar.zst,364bdf00784425d3605c4c6cd230d5d3c0f17427ea186d7053796df6206c7c08,1722219109,609,537,accepted_before_transfer,transferred_by_user,Safety_NonSafety_Source_Library,user_managed_google_drive,explicit_user_confirmation,2026-08-06,false,false,true,not_performed_by_this_task,true
VOL-004,gabriel-wages-source-library-2026-08-06.part-004.tar.zst,09eb860ed6293c6d373d9ff77fd1fe5db7b870535baa4b3c518a966bb4bd97ec,1779032876,935,809,accepted_before_transfer,transferred_by_user,Safety_NonSafety_Source_Library,user_managed_google_drive,explicit_user_confirmation,2026-08-06,false,false,true,not_performed_by_this_task,true
VOL-005,gabriel-wages-source-library-2026-08-06.part-005.tar.zst,77ee60c0e9b8d737a56bc70797149277389baef16e29289a4310705d8c197cc7,1766370235,766,671,accepted_before_transfer,transferred_by_user,Safety_NonSafety_Source_Library,user_managed_google_drive,explicit_user_confirmation,2026-08-06,false,false,true,not_performed_by_this_task,true
VOL-006,gabriel-wages-source-library-2026-08-06.part-006.tar.zst,a362cedaf06074b4abb80b5349bbe992fdb409d866b1473ba6b58fed72ee844f,1835644546,1137,899,accepted_before_transfer,transferred_by_user,Safety_NonSafety_Source_Library,user_managed_google_drive,explicit_user_confirmation,2026-08-06,false,false,true,not_performed_by_this_task,true
VOL-007,gabriel-wages-source-library-2026-08-06.part-007.tar.zst,56f3f231f8946058026119893f6a1f8b4f19aee7122c1d0d0ac725e6df4bddcd,1712305613,1490,1281,accepted_before_transfer,transferred_by_user,Safety_NonSafety_Source_Library,user_managed_google_drive,explicit_user_confirmation,2026-08-06,false,false,true,not_performed_by_this_task,true
VOL-008,gabriel-wages-source-library-2026-08-06.part-008.tar.zst,b98feada23727ae63a97d2c16ef2f62a3e84c73239a9a621de3d6483a32bff69,1775811968,968,783,accepted_before_transfer,transferred_by_user,Safety_NonSafety_Source_Library,user_managed_google_drive,explicit_user_confirmation,2026-08-06,false,false,true,not_performed_by_this_task,true
VOL-009,gabriel-wages-source-library-2026-08-06.part-009.tar.zst,72dee49ce653809e0191fd311f5a02a8cc05803990dcf6351ed1b6f9fa01f2a7,1785048819,882,820,accepted_before_transfer,transferred_by_user,Safety_NonSafety_Source_Library,user_managed_google_drive,explicit_user_confirmation,2026-08-06,false,false,true,not_performed_by_this_task,true
VOL-010,gabriel-wages-source-library-2026-08-06.part-010.tar.zst,37d6a246d554d5c39a887e838b2f62dbf05e90282ebeda74bcbc6e246f7ed6a6,1732565062,843,746,accepted_before_transfer,transferred_by_user,Safety_NonSafety_Source_Library,user_managed_google_drive,explicit_user_confirmation,2026-08-06,false,false,true,not_performed_by_this_task,true
VOL-011,gabriel-wages-source-library-2026-08-06.part-011.tar.zst,6e0bb8e47b0b0d7f1bf2646b3a5a9bb5b74eb122ccc786172de5cb8ffff32f85,1718060075,771,744,accepted_before_transfer,transferred_by_user,Safety_NonSafety_Source_Library,user_managed_google_drive,explicit_user_confirmation,2026-08-06,false,false,true,not_performed_by_this_task,true
VOL-012,gabriel-wages-source-library-2026-08-06.part-012.tar.zst,9ad6e8e6f63bcb707c8bcab10a4e7368fbbaf66423af308de69586b871ab8e4f,1825300112,647,587,accepted_before_transfer,transferred_by_user,Safety_NonSafety_Source_Library,user_managed_google_drive,explicit_user_confirmation,2026-08-06,false,false,true,not_performed_by_this_task,true
VOL-013,gabriel-wages-source-library-2026-08-06.part-013.tar.zst,6c379cecbaba890db64738fe70831c2c618d300874da453cde762099c9879d65,1743940487,977,831,accepted_before_transfer,transferred_by_user,Safety_NonSafety_Source_Library,user_managed_google_drive,explicit_user_confirmation,2026-08-06,false,false,true,not_performed_by_this_task,true
VOL-014,gabriel-wages-source-library-2026-08-06.part-014.tar.zst,12e7d341203c3551c1578b20b4237cb02715b2264732e12e733edce324dd52e2,1805881191,819,710,accepted_before_transfer,transferred_by_user,Safety_NonSafety_Source_Library,user_managed_google_drive,explicit_user_confirmation,2026-08-06,false,false,true,not_performed_by_this_task,true
VOL-015,gabriel-wages-source-library-2026-08-06.part-015.tar.zst,69d5b7148603494ac3edbd7bdd01375dbba84da64782f7322d0452ed814d6e33,1768867682,1362,1196,accepted_before_transfer,transferred_by_user,Safety_NonSafety_Source_Library,user_managed_google_drive,explicit_user_confirmation,2026-08-06,false,false,true,not_performed_by_this_task,true
VOL-016,gabriel-wages-source-library-2026-08-06.part-016.tar.zst,9ee0dd013e8bf8bb0340fbfc2b2907152016c191a6d78f38590e11744082449d,1787478984,1314,1169,accepted_before_transfer,transferred_by_user,Safety_NonSafety_Source_Library,user_managed_google_drive,explicit_user_confirmation,2026-08-06,false,false,true,not_performed_by_this_task,true
VOL-017,gabriel-wages-source-library-2026-08-06.part-017.tar.zst,6b76bccc34d4a7abf0ac4626959047ae82caa13332025fb9cdbd6e409df7402e,1736433498,1336,1223,accepted_before_transfer,transferred_by_user,Safety_NonSafety_Source_Library,user_managed_google_drive,explicit_user_confirmation,2026-08-06,false,false,true,not_performed_by_this_task,true
VOL-018,gabriel-wages-source-library-2026-08-06.part-018.tar.zst,81f5c176932968460d5a66a5a53c75eb181625c3984e69a8a4356800d21a5517,1708784309,1025,945,accepted_before_transfer,transferred_by_user,Safety_NonSafety_Source_Library,user_managed_google_drive,explicit_user_confirmation,2026-08-06,false,false,true,not_performed_by_this_task,true
VOL-019,gabriel-wages-source-library-2026-08-06.part-019.tar.zst,22cd57a95de023c76024e3cff0a5384f0d5183d5a233c65cdce0a404631da690,1710665600,724,686,accepted_before_transfer,transferred_by_user,Safety_NonSafety_Source_Library,user_managed_google_drive,explicit_user_confirmation,2026-08-06,false,false,true,not_performed_by_this_task,true
VOL-020,gabriel-wages-source-library-2026-08-06.part-020.tar.zst,45acadcfcb380ea4fcd73bb41a7e3e58ba29e8656d9567bbf0c52cabc95fa99e,1743100391,854,798,accepted_before_transfer,transferred_by_user,Safety_NonSafety_Source_Library,user_managed_google_drive,explicit_user_confirmation,2026-08-06,false,false,true,not_performed_by_this_task,true
VOL-021,gabriel-wages-source-library-2026-08-06.part-021.tar.zst,54949ab2bcfb0f02fa19e128612eb6ca2ab8d2208ccea72dacc7e51b7b4be547,1887038998,844,777,accepted_before_transfer,transferred_by_user,Safety_NonSafety_Source_Library,user_managed_google_drive,explicit_user_confirmation,2026-08-06,false,false,true,not_performed_by_this_task,true
VOL-022,gabriel-wages-source-library-2026-08-06.part-022.tar.zst,de7e9e59293288d78794a99685f16fac40e22e09af5fd46725849bf3a4272fb5,1748035001,985,879,accepted_before_transfer,transferred_by_user,Safety_NonSafety_Source_Library,user_managed_google_drive,explicit_user_confirmation,2026-08-06,false,false,true,not_performed_by_this_task,true
