state,municipality,geography_type
AK,Akutan,municipality
AK,Aleknagik,municipality
AK,Anaktuvuk Pass,municipality
AK,Angoon,municipality
AK,Atka,municipality
AK,Atqasuk,municipality
AK,Chignik,municipality
AK,Chuathbaluk,municipality
AK,Cold Bay,municipality
AK,Cordova,municipality
AK,Delta Junction,municipality
AK,Dillingham,municipality
AK,Edna Bay,municipality
AK,Egegik,municipality
AK,Elim,municipality
AK,False Pass,municipality
AK,Fort Yukon,municipality
AK,Gambell,municipality
AK,Gustavus,municipality
AK,Huslia,municipality
AK,Kachemak,municipality
AK,Kake,municipality
AK,Kasaan,municipality
AK,Ketchikan,municipality
AK,King Cove,municipality
AK,Kivalina,municipality
AK,Kotlik,municipality
AK,Kotzebue,municipality
AK,Kupreanof,municipality
AK,Manokotak,municipality
AK,Nenana,municipality
AK,Newhalen,municipality
AK,Nome,municipality
AK,Pilot Station,municipality
AK,Point Hope,municipality
AK,Port Lions,municipality
AK,Quinhagak,municipality
AK,Sand Point,municipality
AK,Seward,municipality
AK,Tanana,municipality
AK,Teller,municipality
AK,Togiak,municipality
AK,Toksook Bay,municipality
AK,Whale Pass,municipality
AK,White Mountain,municipality
AK,Whittier,municipality
AL,Alabaster,municipality
AL,Andalusia,municipality
AL,Anniston,municipality
AL,Ashland,municipality
AL,Ashville,municipality
AL,Attalla,municipality
AL,Bayou La Batre,municipality
AL,Berlin,municipality
AL,Birmingham,municipality
AL,Brantley,municipality
AL,Brookwood,municipality
AL,Brundidge,municipality
AL,Calera,municipality
AL,Cedar Bluff,municipality
AL,Chickasaw,municipality
AL,Cleveland,municipality
AL,Collinsville,municipality
AL,County Line,municipality
AL,Creola,municipality
AL,Dadeville,municipality
AL,Daleville,municipality
AL,Demopolis,municipality
AL,Dodge City,municipality
AL,Dora,municipality
AL,Dutton,municipality
AL,East Brewton,municipality
AL,Foley,municipality
AL,Fort Payne,municipality
AL,Gadsden,municipality
AL,Glencoe,municipality
AL,Good Hope,municipality
AL,Graysville,municipality
AL,Gulf Shores,municipality
AL,Hartselle,municipality
AL,Headland,municipality
AL,Hueytown,municipality
AL,Irondale,municipality
AL,Jasper,municipality
AL,Kinsey,municipality
AL,La Fayette,municipality
AL,Lake View,municipality
AL,Lakeview,municipality
AL,Lanett,municipality
AL,Lincoln,municipality
AL,Lineville,municipality
AL,Loachapoka,municipality
AL,Loxley,municipality
AL,Margaret,municipality
AL,Marion,municipality
AL,Midfield,municipality
AL,Millbrook,municipality
AL,Montevallo,municipality
AL,Moulton,municipality
AL,Mulga,municipality
AL,Muscle Shoals,municipality
AL,Nauvoo,municipality
AL,Oneonta,municipality
AL,Owens Cross Roads,municipality
AL,Ozark,municipality
AL,Pell City,municipality
AL,Pleasant Grove,municipality
AL,Prichard,municipality
AL,Ragland,municipality
AL,Rainsville,municipality
AL,Roanoke,municipality
AL,Robertsdale,municipality
AL,Satsuma,municipality
AL,Scottsboro,municipality
AL,Sheffield,municipality
AL,South Vinemont,municipality
AL,Southside,municipality
AL,Spanish Fort,municipality
AL,Steele,municipality
AL,Stevenson,municipality
AL,Summerdale,municipality
AL,Sylvan Springs,municipality
AL,Talladega,municipality
AL,Triana,municipality
AL,Trinity,municipality
AL,Valley Grande,municipality
AL,Weaver,municipality
AL,Westover,municipality
AR,Ash Flat,municipality
AR,Austin,municipality
AR,Avoca,municipality
AR,Batesville,municipality
AR,Beebe,municipality
AR,Brookland,municipality
AR,Bryant,municipality
AR,Cammack Village,municipality
AR,Cave City,municipality
AR,Cedarville,municipality
AR,Cherokee Village,municipality
AR,Crossett,municipality
AR,Dardanelle,municipality
AR,Des Arc,municipality
AR,Diamond City,municipality
AR,El Dorado,municipality
AR,Elkins,municipality
AR,Eudora,municipality
AR,Fairfield Bay,municipality
AR,Farmington,municipality
AR,Forrest City,municipality
AR,Gassville,municipality
AR,Gateway,municipality
AR,Gentry,municipality
AR,Goshen,municipality
AR,Gosnell,municipality
AR,Greenland,municipality
AR,Hardy,municipality
AR,Haskell,municipality
AR,Hazen,municipality
AR,Helena-West Helena,municipality
AR,Highland,municipality
AR,Hot Springs,municipality
AR,Humnoke,municipality
AR,Johnson,municipality
AR,Keo,municipality
AR,Lake City,municipality
AR,Little Flock,municipality
AR,Little Rock,municipality
AR,Lockesburg,municipality
AR,Lonoke,municipality
AR,Marion,municipality
AR,Maumelle,municipality
AR,Mayflower,municipality
AR,McCrory,municipality
AR,Monette,municipality
AR,Monticello,municipality
AR,Morrilton,municipality
AR,Mountain Home,municipality
AR,Mulberry,municipality
AR,Newport,municipality
AR,Norfork,municipality
AR,Oak Grove,municipality
AR,Ozark,municipality
AR,Pea Ridge,municipality
AR,Ravenden,municipality
AR,Rockport,municipality
AR,Russell,municipality
AR,Searcy,municipality
AR,Shannon Hills,municipality
AR,Siloam Springs,municipality
AR,Stephens,municipality
AR,Tontitown,municipality
AR,Traskwood,municipality
AR,Turrell,municipality
AR,Vilonia,municipality
AR,Ward,municipality
AR,Warren,municipality
AR,West Memphis,municipality
AR,Wynne,municipality
AZ,Apache Junction,municipality
AZ,Buckeye,municipality
AZ,Bullhead City,municipality
AZ,Carefree,municipality
AZ,Cave Creek,municipality
AZ,Chandler,municipality
AZ,Clifton,municipality
AZ,Colorado City,municipality
AZ,Coolidge,municipality
AZ,Douglas,municipality
AZ,Duncan,municipality
AZ,Eagar,municipality
AZ,El Mirage,municipality
AZ,Fountain Hills,municipality
AZ,Fredonia,municipality
AZ,Hayden,municipality
AZ,Holbrook,municipality
AZ,Kingman,municipality
AZ,Litchfield Park,municipality
AZ,Miami,municipality
AZ,Nogales,municipality
AZ,Oro Valley,municipality
AZ,Page,municipality
AZ,Paradise Valley,municipality
AZ,Parker,municipality
AZ,Patagonia,municipality
AZ,Payson,municipality
AZ,Phoenix,municipality
AZ,Pima,municipality
AZ,Pinetop-Lakeside,municipality
AZ,Quartzsite,municipality
AZ,Show Low,municipality
AZ,Sierra Vista,municipality
