page_group,mechanism_tag,event_count
standalone,none_identified,3694
standalone,payroll_effective_date,1876
standalone,retroactive,1418
standalone,retroactive_pay,1418
standalone,recurring,720
standalone,fiscal_constraint,619
standalone,budget_pay_plan_process,617
standalone,no_direct_compensation_outcome,544
standalone,across_the_board_raise,373
standalone,one_time,299
standalone,non_base_compensation_other,292
standalone,ordinance_council_adoption,255
standalone,ordinance_adoption,206
standalone,unclear,140
standalone,base_wage_change,120
standalone,step_progression,87
standalone,cola_cpi_adjustment,79
standalone,uniform_or_equipment_allowance,68
standalone,benefit_cost_change,65
standalone,budget_appropriation,64
standalone,stipend_or_premium,62
standalone,settlement_or_mou,58
standalone,market_recruitment_retention,44
standalone,classification_band_change,43
standalone,longevity,40
standalone,overtime,38
standalone,inflation_indexing,31
small_multiple,holiday_pay,22
small_multiple,lump_sum,18
small_multiple,bargaining_leverage,17
small_multiple,collective_bargaining,17
small_multiple,salary_range_change,12
small_multiple,contract_ratification,9
small_multiple,vacancy_pressure,8
small_multiple,reimbursement,7
small_multiple,comparability_parity,6
sparse,classification_civil_service,4
sparse,interest_arbitration,1
