figure_id,word_count,status
mechanism-across-the-board-raise,61,pass
mechanism-bargaining-leverage,56,pass
mechanism-base-wage-change,60,pass
mechanism-benefit-cost-change,61,pass
mechanism-budget-appropriation,57,pass
mechanism-budget-pay-plan-process,62,pass
mechanism-classification-band-change,60,pass
mechanism-classification-civil-service,65,pass
mechanism-cola-cpi-adjustment,61,pass
mechanism-collective-bargaining,59,pass
mechanism-comparability-parity,59,pass
mechanism-contract-ratification,59,pass
mechanism-fiscal-constraint,59,pass
mechanism-holiday-pay,55,pass
mechanism-inflation-indexing,59,pass
mechanism-interest-arbitration,65,pass
mechanism-longevity,55,pass
mechanism-lump-sum,59,pass
mechanism-market-recruitment-retention,60,pass
mechanism-no-direct-compensation-outcome,64,pass
mechanism-non-base-compensation-other,64,pass
mechanism-none-identified,62,pass
mechanism-one-time,62,pass
mechanism-ordinance-adoption,57,pass
mechanism-ordinance-council-adoption,60,pass
mechanism-overtime,56,pass
mechanism-payroll-effective-date,62,pass
mechanism-recurring,59,pass
mechanism-reimbursement,57,pass
mechanism-retroactive-pay,62,pass
mechanism-retroactive,58,pass
mechanism-salary-range-change,62,pass
mechanism-settlement-or-mou,60,pass
mechanism-step-progression,62,pass
mechanism-stipend-or-premium,60,pass
mechanism-unclear,63,pass
mechanism-uniform-or-equipment-allowance,61,pass
mechanism-vacancy-pressure,60,pass
claim-card-claim-a,79,pass
claim-card-claim-b,75,pass
claim-card-claim-c,82,pass
claim-card-claim-d,81,pass
claim-card-claim-e,80,pass
claim-card-claim-f,79,pass
claim-card-claim-g,76,pass
claim-card-claim-h,84,pass
claim-card-unsup-01,69,pass
claim-card-unsup-02,72,pass
claim-card-unsup-03,72,pass
claim-card-unsup-04,74,pass
claim-card-unsup-05,76,pass
claim-card-unsup-06,71,pass
analytical-design-limits,76,pass
comparability-limits,82,pass
coverage-representativeness-limits,72,pass
evidence-discovery-limits,90,pass
extraction-limits,78,pass
failed-attempts-repair-timeline,88,pass
final-evidence-boundary,84,pass
raw-to-compacted-limits,83,pass
review-limits,76,pass
storage-retention-limits,91,pass
error-recovery-timeline,107,pass
full-workflow-overview,113,pass
human-ai-division-of-work,112,pass
strict-bounded-evidence-lanes,106,pass
