figure_id,claim_id,title,final_class,caption,caption_word_count,png_path,svg_path,report_placement,qa_status
claim-card-claim-a,CLAIM-A,Formal bargaining institutions shape compensation terms,mechanism_supported_only,"I classify this claim as mechanism supported only. In the reviewed corpus, formal bargaining, arbitration, and factfinding provide recurring institutional channels that can set or preserve safety-compensation terms. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",79,assets/claims/claim-card-claim-a.png,assets/claims/claim-card-claim-a.svg,report_supporting_finding,pass
claim-card-claim-b,CLAIM-B,Scheduled growth mechanisms can differ by occupation,conditionally_supported,"I classify this claim as conditionally supported. The reviewed documentary corpus contains recurring step, seniority, rank, and COLA structures; comparative growth implications remain sample-specific. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",75,assets/claims/claim-card-claim-b.png,assets/claims/claim-card-claim-b.svg,report_major_section,pass
claim-card-claim-c,CLAIM-C,Non-base pay creates additional compensation channels,mechanism_supported_only,"I classify this claim as mechanism supported only. Reviewed safety-compensation records contain structured non-base channels—including overtime, holiday, longevity, premium, stipend, and allowance provisions—that can raise compensation beyond base pay. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",82,assets/claims/claim-card-claim-c.png,assets/claims/claim-card-claim-c.svg,report_supporting_finding,pass
claim-card-claim-d,CLAIM-D,Staffing pressure can enter compensation decisions,mechanism_supported_only,"I classify this claim as mechanism supported only. Reviewed sources explicitly use recruitment, retention, comparator, vacancy, and staffing pressure to justify schedule changes or targeted premiums in some public-safety settings. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",81,assets/claims/claim-card-claim-d.png,assets/claims/claim-card-claim-d.svg,report_supporting_finding,pass
claim-card-claim-e,CLAIM-E,Retroactivity can turn delay into back pay,mechanism_supported_only,"I classify this claim as mechanism supported only. Reviewed records show that retroactive effective dates and implementation clauses can convert some bargaining delays into payable increases or back pay. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",80,assets/claims/claim-card-claim-e.png,assets/claims/claim-card-claim-e.svg,report_supporting_finding,pass
claim-card-claim-f,CLAIM-F,Budgets and ordinances formalize or constrain pay,mechanism_supported_only,"I classify this claim as mechanism supported only. Reviewed ordinances, budgets, pay plans, and classification records show how compensation proposals can be formalized or constrained by fiscal institutions. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",79,assets/claims/claim-card-claim-f.png,assets/claims/claim-card-claim-f.svg,report_supporting_finding,pass
claim-card-claim-g,CLAIM-G,The safety and non-safety pattern is mixed,mixed_or_countervailing,"I classify this claim as mixed or countervailing. Safety and non-safety units both use formal compensation-growth mechanisms; the comparative pattern in reviewed records is mixed. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",76,assets/claims/claim-card-claim-g.png,assets/claims/claim-card-claim-g.svg,report_counterexample_section,pass
claim-card-claim-h,CLAIM-H,The evidence supports a bounded mechanism account,supported,"I classify this claim as supported. The reviewed corpus supports a bounded account of mechanisms and directional pressures affecting safety compensation more strongly than it supports any global wage-gap, prevalence, or causal-effect estimate. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",84,assets/claims/claim-card-claim-h.png,assets/claims/claim-card-claim-h.svg,report_core_argument,pass
claim-card-unsup-01,UNSUP-01,A national safety wage gap is not established,unsupported,"I classify this claim as unsupported. A national safety wage-gap estimate is not supported by the current corpus. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",69,assets/claims/claim-card-unsup-01.png,assets/claims/claim-card-unsup-01.svg,report_limitations,pass
claim-card-unsup-02,UNSUP-02,National mechanism prevalence is not established,unsupported,"I classify this claim as unsupported. A national prevalence estimate for any compensation mechanism is not supported by the current corpus. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",72,assets/claims/claim-card-unsup-02.png,assets/claims/claim-card-unsup-02.svg,report_limitations,pass
claim-card-unsup-03,UNSUP-03,A causal effect is not established,unsupported,"I classify this claim as unsupported. A causal effect estimate for any compensation mechanism is not supported by the current design. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",72,assets/claims/claim-card-unsup-03.png,assets/claims/claim-card-unsup-03.svg,report_limitations,pass
claim-card-unsup-04,UNSUP-04,A regression result is not available,unsupported,"I classify this claim as unsupported. No regression-based claim is supported because no regression-ready design passed the gate and no regression was run. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",74,assets/claims/claim-card-unsup-04.png,assets/claims/claim-card-unsup-04.svg,appendix_only,pass
claim-card-unsup-05,UNSUP-05,A fixed safety growth advantage is not established,unsupported,"I classify this claim as unsupported. A precise claim that safety wages grow a fixed percentage faster is not supported by the available matched evidence. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",76,assets/claims/claim-card-unsup-05.png,assets/claims/claim-card-unsup-05.svg,report_limitations,pass
