figure_id,title,caption,word_count,category
mechanism-across-the-board-raise,Across The Board Raise,"This map shows 373 distinct documented across the board raise implementation events across 298 municipalities in 34 states. The same general increase applied across covered roles or classifications. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",61,complete
mechanism-bargaining-leverage,Bargaining Leverage,"This map shows 17 distinct documented bargaining leverage implementation events across 15 municipalities in 6 states. Evidence that negotiating leverage shaped compensation terms. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",56,complete
mechanism-base-wage-change,Base Wage Change,"This map shows 120 distinct documented base wage change implementation events across 98 municipalities in 19 states. A change to the recurring base wage or salary rate. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",60,complete
mechanism-benefit-cost-change,Benefit Cost Change,"This map shows 65 distinct documented benefit cost change implementation events across 53 municipalities in 15 states. A change in benefit value, employee contributions, or employer benefit costs. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",61,complete
mechanism-budget-appropriation,Budget Appropriation,"This map shows 64 distinct documented budget appropriation implementation events across 58 municipalities in 24 states. A budget allocation that authorized or funded compensation. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",57,complete
mechanism-budget-pay-plan-process,Budget Pay Plan Process,"This map shows 617 distinct documented budget pay plan process implementation events across 391 municipalities in 31 states. A budget or pay-plan process that formally set or revised compensation. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",62,complete
mechanism-classification-band-change,Classification Band Change,"This map shows 43 distinct documented classification band change implementation events across 40 municipalities in 13 states. A change to job classification, pay grade, range, or band. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",60,complete
mechanism-classification-civil-service,Classification Civil Service,"I found 4 documented classification civil service implementation events across 4 municipalities in 2 states. Civil-service or classification rules that structure pay placement or progression. The evidence is too sparse for a density pattern, so I show the exact locations instead. This establishes that the mechanism appears in the retained evidence; it does not show how common it is or how much it changed wages.",65,complete
mechanism-cola-cpi-adjustment,COLA CPI Adjustment,"This map shows 79 distinct documented cola cpi adjustment implementation events across 61 municipalities in 23 states. A cost-of-living adjustment, sometimes linked to inflation or a price index. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",61,complete
mechanism-collective-bargaining,Collective Bargaining,"This map shows 17 distinct documented collective bargaining implementation events across 15 municipalities in 6 states. Negotiation between a public employer and represented employees over compensation. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",59,complete
mechanism-comparability-parity,Comparability Parity,"This map shows 6 distinct documented comparability parity implementation events across 6 municipalities in 5 states. Compensation linked to comparison with another role, unit, or jurisdiction. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",59,complete
mechanism-contract-ratification,Contract Ratification,"This map shows 9 distinct documented contract ratification implementation events across 9 municipalities in 6 states. Formal approval of negotiated contract terms by the relevant parties. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",59,complete
mechanism-fiscal-constraint,Fiscal Constraint,"This map shows 619 distinct documented fiscal constraint implementation events across 395 municipalities in 33 states. Budget pressure or limited fiscal capacity that constrained compensation choices. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",59,complete
mechanism-holiday-pay,Holiday Pay,"This map shows 22 distinct documented holiday pay implementation events across 19 municipalities in 9 states. Premium or additional compensation for holidays. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",55,complete
mechanism-inflation-indexing,Inflation Indexing,"This map shows 31 distinct documented inflation indexing implementation events across 22 municipalities in 8 states. A compensation rule explicitly linked to inflation or an index. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",59,complete
mechanism-interest-arbitration,Interest Arbitration,"I found 1 documented interest arbitration implementation event across 1 municipality in 1 state. A neutral decision process that resolves bargaining impasses over contract terms. The evidence is too sparse for a density pattern, so I show the exact locations instead. This establishes that the mechanism appears in the retained evidence; it does not show how common it is or how much it changed wages.",65,complete
mechanism-longevity,Longevity,"This map shows 40 distinct documented longevity implementation events across 35 municipalities in 13 states. Additional compensation tied to years of service. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",55,complete
mechanism-lump-sum,Lump Sum,"This map shows 18 distinct documented lump sum implementation events across 16 municipalities in 6 states. A single lump-sum payment rather than a recurring wage-rate increase. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",59,complete
mechanism-market-recruitment-retention,Market Recruitment Retention,"This map shows 44 distinct documented market recruitment retention implementation events across 35 municipalities in 16 states. Pay action justified by labor-market competition, hiring, or retention pressure. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",60,complete
mechanism-no-direct-compensation-outcome,No Direct Compensation Outcome,"This map shows 544 distinct documented no direct compensation outcome implementation events across 375 municipalities in 28 states. A documented administrative event without a direct pay outcome in the retained evidence. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",64,complete
mechanism-non-base-compensation-other,Non Base Compensation Other,"This map shows 292 distinct documented non base compensation other implementation events across 195 municipalities in 18 states. Compensation outside regular base wages that did not fit a more specific category. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",64,complete
mechanism-none-identified,None Identified,"This map shows 3,694 distinct documented none identified implementation events across 1,156 municipalities in 42 states. No specific compensation mechanism was identified in the retained event record. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",62,complete
mechanism-one-time,One Time,"This map shows 299 distinct documented one time implementation events across 242 municipalities in 25 states. A payment or adjustment that does not recur in the regular base schedule. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",62,complete
mechanism-ordinance-adoption,Ordinance Adoption,"This map shows 206 distinct documented ordinance adoption implementation events across 188 municipalities in 35 states. Formal adoption of compensation terms through an ordinance. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",57,complete
mechanism-ordinance-council-adoption,Ordinance Council Adoption,"This map shows 255 distinct documented ordinance council adoption implementation events across 221 municipalities in 33 states. A council or ordinance action formally approving a compensation change. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",60,complete
mechanism-overtime,Overtime,"This map shows 38 distinct documented overtime implementation events across 36 municipalities in 15 states. Compensation for hours or duties beyond regular schedules. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",56,complete
mechanism-payroll-effective-date,Payroll Effective Date,"This map shows 1,876 distinct documented payroll effective date implementation events across 1,119 municipalities in 42 states. The date a compensation change became operative in payroll administration. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",62,complete
mechanism-recurring,Recurring,"This map shows 720 distinct documented recurring implementation events across 515 municipalities in 35 states. A compensation component that continues rather than ending after one payment. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",59,complete
mechanism-reimbursement,Reimbursement,"This map shows 7 distinct documented reimbursement implementation events across 6 municipalities in 4 states. Repayment of eligible work-related expenses rather than ordinary wages. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",57,complete
mechanism-retroactive-pay,Retroactive Pay,"This map shows 1,418 distinct documented retroactive pay implementation events across 922 municipalities in 42 states. Back pay issued after a compensation term took effect or was settled. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",62,complete
mechanism-retroactive,Retroactive,"This map shows 1,418 distinct documented retroactive implementation events across 922 municipalities in 42 states. A compensation change applied to an earlier effective period. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",58,complete
