mechanism_tag,mechanism_name,mechanism_family,valid_deduplicated_event_count,municipality_count,state_count,safety_event_count,non_safety_event_count,unclear_or_other_event_count,display_tier,definition,analytical_unit,caption,figure_id,lane_id,png_path,svg_path,thumbnail_path,bounded_source_table,caption_word_count,source,map_projection,hex_radius_km,qa_status
across_the_board_raise,Across The Board Raise,compensation_outcome,373,298,34,178,11,184,standalone,The same general increase applied across covered roles or classifications.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 373 distinct documented across the board raise implementation events across 298 municipalities in 34 states. The same general increase applied across covered roles or classifications. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",mechanism-across-the-board-raise,1,assets/mechanisms/mechanism-across-the-board-raise.png,assets/mechanisms/mechanism-across-the-board-raise.svg,assets/thumbnails/mechanism-across-the-board-raise.png,data/mechanism-across-the-board-raise.csv,61,Canonical mechanism-event geography,EPSG:5070,50,pass
bargaining_leverage,Bargaining Leverage,pressure_channel,17,15,6,12,1,4,small_multiple,Evidence that negotiating leverage shaped compensation terms.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 17 distinct documented bargaining leverage implementation events across 15 municipalities in 6 states. Evidence that negotiating leverage shaped compensation terms. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",mechanism-bargaining-leverage,3,assets/mechanisms/mechanism-bargaining-leverage.png,assets/mechanisms/mechanism-bargaining-leverage.svg,assets/thumbnails/mechanism-bargaining-leverage.png,data/mechanism-bargaining-leverage.csv,56,Canonical mechanism-event geography,EPSG:5070,50,pass
base_wage_change,Base Wage Change,compensation_outcome,120,98,19,59,3,58,standalone,A change to the recurring base wage or salary rate.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 120 distinct documented base wage change implementation events across 98 municipalities in 19 states. A change to the recurring base wage or salary rate. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",mechanism-base-wage-change,2,assets/mechanisms/mechanism-base-wage-change.png,assets/mechanisms/mechanism-base-wage-change.svg,assets/thumbnails/mechanism-base-wage-change.png,data/mechanism-base-wage-change.csv,60,Canonical mechanism-event geography,EPSG:5070,50,pass
benefit_cost_change,Benefit Cost Change,compensation_outcome,65,53,15,28,5,32,standalone,"A change in benefit value, employee contributions, or employer benefit costs.",deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 65 distinct documented benefit cost change implementation events across 53 municipalities in 15 states. A change in benefit value, employee contributions, or employer benefit costs. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",mechanism-benefit-cost-change,2,assets/mechanisms/mechanism-benefit-cost-change.png,assets/mechanisms/mechanism-benefit-cost-change.svg,assets/thumbnails/mechanism-benefit-cost-change.png,data/mechanism-benefit-cost-change.csv,61,Canonical mechanism-event geography,EPSG:5070,50,pass
budget_appropriation,Budget Appropriation,timing_implementation,64,58,24,17,6,41,standalone,A budget allocation that authorized or funded compensation.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 64 distinct documented budget appropriation implementation events across 58 municipalities in 24 states. A budget allocation that authorized or funded compensation. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",mechanism-budget-appropriation,2,assets/mechanisms/mechanism-budget-appropriation.png,assets/mechanisms/mechanism-budget-appropriation.svg,assets/thumbnails/mechanism-budget-appropriation.png,data/mechanism-budget-appropriation.csv,57,Canonical mechanism-event geography,EPSG:5070,50,pass
budget_pay_plan_process,Budget Pay Plan Process,institutional_channel,617,391,31,146,68,403,standalone,A budget or pay-plan process that formally set or revised compensation.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 617 distinct documented budget pay plan process implementation events across 391 municipalities in 31 states. A budget or pay-plan process that formally set or revised compensation. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",mechanism-budget-pay-plan-process,1,assets/mechanisms/mechanism-budget-pay-plan-process.png,assets/mechanisms/mechanism-budget-pay-plan-process.svg,assets/thumbnails/mechanism-budget-pay-plan-process.png,data/mechanism-budget-pay-plan-process.csv,62,Canonical mechanism-event geography,EPSG:5070,50,pass
classification_band_change,Classification Band Change,compensation_outcome,43,40,13,19,2,22,standalone,"A change to job classification, pay grade, range, or band.",deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 43 distinct documented classification band change implementation events across 40 municipalities in 13 states. A change to job classification, pay grade, range, or band. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",mechanism-classification-band-change,2,assets/mechanisms/mechanism-classification-band-change.png,assets/mechanisms/mechanism-classification-band-change.svg,assets/thumbnails/mechanism-classification-band-change.png,data/mechanism-classification-band-change.csv,60,Canonical mechanism-event geography,EPSG:5070,50,pass
classification_civil_service,Classification Civil Service,institutional_channel,4,4,2,2,0,2,sparse,Civil-service or classification rules that structure pay placement or progression.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"I found 4 documented classification civil service implementation events across 4 municipalities in 2 states. Civil-service or classification rules that structure pay placement or progression. The evidence is too sparse for a density pattern, so I show the exact locations instead. This establishes that the mechanism appears in the retained evidence; it does not show how common it is or how much it changed wages.",mechanism-classification-civil-service,3,assets/mechanisms/mechanism-classification-civil-service.png,assets/mechanisms/mechanism-classification-civil-service.svg,assets/thumbnails/mechanism-classification-civil-service.png,data/mechanism-classification-civil-service.csv,65,Canonical mechanism-event geography,EPSG:5070,50,pass
cola_cpi_adjustment,COLA CPI Adjustment,compensation_outcome,79,61,23,35,5,39,standalone,"A cost-of-living adjustment, sometimes linked to inflation or a price index.",deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 79 distinct documented cola cpi adjustment implementation events across 61 municipalities in 23 states. A cost-of-living adjustment, sometimes linked to inflation or a price index. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",mechanism-cola-cpi-adjustment,2,assets/mechanisms/mechanism-cola-cpi-adjustment.png,assets/mechanisms/mechanism-cola-cpi-adjustment.svg,assets/thumbnails/mechanism-cola-cpi-adjustment.png,data/mechanism-cola-cpi-adjustment.csv,61,Canonical mechanism-event geography,EPSG:5070,50,pass
collective_bargaining,Collective Bargaining,institutional_channel,17,15,6,12,1,4,small_multiple,Negotiation between a public employer and represented employees over compensation.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 17 distinct documented collective bargaining implementation events across 15 municipalities in 6 states. Negotiation between a public employer and represented employees over compensation. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",mechanism-collective-bargaining,3,assets/mechanisms/mechanism-collective-bargaining.png,assets/mechanisms/mechanism-collective-bargaining.svg,assets/thumbnails/mechanism-collective-bargaining.png,data/mechanism-collective-bargaining.csv,59,Canonical mechanism-event geography,EPSG:5070,50,pass
