figure_id,title,caption,word_count,category
claim-card-claim-a,Formal bargaining institutions shape compensation terms,"I classify this claim as mechanism supported only. In the reviewed corpus, formal bargaining, arbitration, and factfinding provide recurring institutional channels that can set or preserve safety-compensation terms. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",79,claim
claim-card-claim-b,Scheduled growth mechanisms can differ by occupation,"I classify this claim as conditionally supported. The reviewed documentary corpus contains recurring step, seniority, rank, and COLA structures; comparative growth implications remain sample-specific. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",75,claim
claim-card-claim-c,Non-base pay creates additional compensation channels,"I classify this claim as mechanism supported only. Reviewed safety-compensation records contain structured non-base channels—including overtime, holiday, longevity, premium, stipend, and allowance provisions—that can raise compensation beyond base pay. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",82,claim
claim-card-claim-d,Staffing pressure can enter compensation decisions,"I classify this claim as mechanism supported only. Reviewed sources explicitly use recruitment, retention, comparator, vacancy, and staffing pressure to justify schedule changes or targeted premiums in some public-safety settings. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",81,claim
claim-card-claim-e,Retroactivity can turn delay into back pay,"I classify this claim as mechanism supported only. Reviewed records show that retroactive effective dates and implementation clauses can convert some bargaining delays into payable increases or back pay. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",80,claim
claim-card-claim-f,Budgets and ordinances formalize or constrain pay,"I classify this claim as mechanism supported only. Reviewed ordinances, budgets, pay plans, and classification records show how compensation proposals can be formalized or constrained by fiscal institutions. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",79,claim
claim-card-claim-g,The safety and non-safety pattern is mixed,"I classify this claim as mixed or countervailing. Safety and non-safety units both use formal compensation-growth mechanisms; the comparative pattern in reviewed records is mixed. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",76,claim
claim-card-claim-h,The evidence supports a bounded mechanism account,"I classify this claim as supported. The reviewed corpus supports a bounded account of mechanisms and directional pressures affecting safety compensation more strongly than it supports any global wage-gap, prevalence, or causal-effect estimate. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",84,claim
claim-card-unsup-01,A national safety wage gap is not established,"I classify this claim as unsupported. A national safety wage-gap estimate is not supported by the current corpus. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",69,claim
claim-card-unsup-02,National mechanism prevalence is not established,"I classify this claim as unsupported. A national prevalence estimate for any compensation mechanism is not supported by the current corpus. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",72,claim
claim-card-unsup-03,A causal effect is not established,"I classify this claim as unsupported. A causal effect estimate for any compensation mechanism is not supported by the current design. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",72,claim
claim-card-unsup-04,A regression result is not available,"I classify this claim as unsupported. No regression-based claim is supported because no regression-ready design passed the gate and no regression was run. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",74,claim
claim-card-unsup-05,A fixed safety growth advantage is not established,"I classify this claim as unsupported. A precise claim that safety wages grow a fixed percentage faster is not supported by the available matched evidence. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",76,claim
claim-card-unsup-06,Mechanisms do not prove a wage difference,"I classify this claim as unsupported. The evidence does not establish that a documented mechanism caused an observed wage difference. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",71,claim
