gate3_compensation_id,calibration_id,started_at,finished_at,local_evidence_elapsed_seconds,gabriel_elapsed_seconds,total_elapsed_seconds,gabriel_status
auto_adj_61a62b98496fdf4aaf58,cal_01a57230b8158e19db8100b3,2026-07-25T19:51:30Z,2026-07-25T20:05:52Z,0.073052,5.456890,5.529943,success
auto_adj_3886f68b11a4bccc3db1,cal_045e7e8100647061f677cbed,2026-07-25T19:51:30Z,2026-07-25T20:05:52Z,0.222145,10.468885,10.691030,success
auto_adj_5e912c11500cd8213b65,cal_04e9c405fa82bce92279cc76,2026-07-25T19:51:30Z,2026-07-25T20:05:52Z,0.582593,17.127130,17.709724,success
auto_adj_7630be0651784661da45,cal_075c10415a94e03dadfb692f,2026-07-25T19:51:31Z,2026-07-25T20:05:52Z,0.184367,23.206659,23.391026,success
auto_adj_a09db8e8e049cf987c49,cal_0ccdac533aafb9416dffec65,2026-07-25T19:51:31Z,2026-07-25T20:05:52Z,0.136505,30.333462,30.469968,success
auto_adj_3f788ac16305e100573a,cal_0d99791bdc0cd19c28d5f5de,2026-07-25T19:51:31Z,2026-07-25T20:05:52Z,0.306796,36.992235,37.299032,success
auto_adj_09aa1565d96c0e346d25,cal_0e71fee5856adca413c60d77,2026-07-25T19:51:31Z,2026-07-25T20:05:52Z,0.521496,41.305275,41.826771,success
auto_adj_37b20d27f2e98a905227,cal_20f83d208f858a0cf99daad1,2026-07-25T19:51:32Z,2026-07-25T20:05:52Z,0.061957,46.103031,46.164988,success
auto_adj_d1dcf684a57ab9517d7e,cal_211c78b8eb2cdd5520344d2c,2026-07-25T19:51:32Z,2026-07-25T20:05:52Z,0.137989,114.609012,114.747001,success
auto_adj_09c60fd172c303db78fe,cal_2cc9c8211edf7dc1fc8bbd7c,2026-07-25T19:51:32Z,2026-07-25T20:05:52Z,0.026091,120.198780,120.224871,success
auto_adj_6d8ce7eadeda79869692,cal_2d661ee8ab7ef19340fbad0c,2026-07-25T19:51:32Z,2026-07-25T20:05:52Z,0.358593,124.862905,125.221498,success
auto_adj_e0ecd31f9f9a6c851fc0,cal_32e26e9fd1b36d8f29174580,2026-07-25T19:51:33Z,2026-07-25T20:05:52Z,0.103809,129.731058,129.834867,success
auto_adj_01e490f75cec4868c718,cal_3641a73760e319fa915df354,2026-07-25T19:51:33Z,2026-07-25T20:05:52Z,0.121976,135.906674,136.028649,success
auto_adj_adfa5fe82e956760978f,cal_3780a6990e664d2e6c35ff2e,2026-07-25T19:51:33Z,2026-07-25T20:05:52Z,0.085509,142.565361,142.650871,success
auto_adj_a918061e6cf69943190a,cal_37bc3a947fbe1061dfff33b8,2026-07-25T19:51:33Z,2026-07-25T20:05:52Z,0.054030,147.945001,147.999031,success
auto_adj_7fa640cbb757bbac2d0f,cal_37ea2ac16336a1ebf64724bd,2026-07-25T19:51:33Z,2026-07-25T20:05:52Z,0.199116,152.394863,152.593979,success
auto_adj_aa8cac64750da8072e28,cal_3bb99602441b9cfadcc0f8cc,2026-07-25T19:51:33Z,2026-07-25T20:05:52Z,0.195323,157.197246,157.392569,success
auto_adj_d9cb330d6de98a5f0c2a,cal_433c56e99c2468011e67a57f,2026-07-25T19:51:33Z,2026-07-25T20:05:52Z,0.329372,163.147010,163.476382,success
auto_adj_03c11599c4f44ffa652f,cal_444af6472fbcec8ba405d09d,2026-07-25T19:51:34Z,2026-07-25T20:05:52Z,0.394047,168.513485,168.907532,success
auto_adj_d4990b1d103ed2155a6e,cal_4453630dbcea0b4cd5ed3aed,2026-07-25T19:51:34Z,2026-07-25T20:05:52Z,0.823543,172.901784,173.725327,success
auto_adj_e0236f550c6f58a1cc69,cal_473055028533d315d7876b00,2026-07-25T19:51:35Z,2026-07-25T20:05:52Z,0.063923,178.302501,178.366424,success
auto_adj_3745475113187dcde6a0,cal_4bc1c73b4633dbdc54bcb906,2026-07-25T19:51:35Z,2026-07-25T20:05:52Z,0.317844,183.730539,184.048383,success
auto_adj_84fc2dca20dbf6540773,cal_4c6f22b20218be88851ac92b,2026-07-25T19:51:35Z,2026-07-25T20:05:52Z,0.243283,190.800596,191.043879,success
auto_adj_0a1383648140b4384410,cal_50d728e95903683ee807533b,2026-07-25T19:51:36Z,2026-07-25T20:05:52Z,0.122752,195.764969,195.887721,success
auto_adj_d83392fdb9a728c726d9,cal_56072a1d4fb5a9252e95b51b,2026-07-25T19:51:36Z,2026-07-25T20:05:52Z,0.172323,200.196190,200.368513,success
auto_adj_39e0ab987b4887497791,cal_577b9aee5b4319988b53305c,2026-07-25T19:51:36Z,2026-07-25T20:05:52Z,0.105775,207.059272,207.165047,success
auto_adj_450b714716dbdeaab2cc,cal_588e854d43e77da72a9780c3,2026-07-25T20:07:00Z,2026-07-25T20:07:28Z,0.209806,5.453594,5.663399,success
auto_adj_01e267ee3f463493558c,cal_5c6cd6ae0674c01ae035b5a2,2026-07-25T19:51:36Z,2026-07-25T20:05:52Z,0.275558,221.143574,221.419133,success
auto_adj_f4e4acc23d2a6a706b92,cal_5cbb457423d786b7a3866f7f,2026-07-25T19:51:36Z,2026-07-25T20:05:52Z,0.362940,225.356148,225.719088,success
auto_adj_eda8eb683fa06758a96e,cal_5d23586e36bbf45e21e5e2ee,2026-07-25T19:51:37Z,2026-07-25T20:05:52Z,0.092082,229.965102,230.057184,success
auto_adj_5ebac832e88ad14ad09e,cal_5d3205e6297dfd63bbbe2dc9,2026-07-25T19:51:37Z,2026-07-25T20:05:52Z,0.067224,234.387258,234.454482,success
auto_adj_8091171c4635506cebc4,cal_6a61805f02ce043d6073a567,2026-07-25T19:51:37Z,2026-07-25T20:05:52Z,0.214570,237.804675,238.019246,success
auto_adj_0b52e81ee390984f9bde,cal_70ad13fa6c42e3580eff39b6,2026-07-25T19:51:37Z,2026-07-25T20:05:52Z,0.269255,242.661984,242.931239,success
auto_adj_028300a0e06fdb1d368a,cal_7193aa32c234257db832b86b,2026-07-25T19:51:37Z,2026-07-25T20:05:52Z,0.489094,247.701236,248.190330,success
auto_adj_21a813816d743e9aad83,cal_757f44a538f5d916eb1c143b,2026-07-25T19:51:38Z,2026-07-25T20:05:52Z,0.240268,252.824717,253.064985,success
auto_adj_8de3461479e5dcc27aa9,cal_7845f67d41be5d195219e6b6,2026-07-25T19:51:38Z,2026-07-25T20:05:52Z,0.332138,258.265096,258.597233,success
auto_adj_937d68197c94eba08611,cal_7db0e44dde1faec77d813e1b,2026-07-25T19:51:38Z,2026-07-25T20:05:52Z,0.126468,262.790290,262.916758,success
auto_adj_46ffec4197ccb47e5969,cal_81d9a782eed3ef59e8cf53c8,2026-07-25T19:51:39Z,2026-07-25T20:05:52Z,0.251257,268.409721,268.660977,success
auto_adj_0f9ea7f62841d3a73951,cal_832e6ddab7670a3ef19d679e,2026-07-25T19:51:39Z,2026-07-25T20:05:52Z,0.118902,272.408416,272.527318,success
auto_adj_6cf4de060aca3df21373,cal_8341f144d0dbe9b4f6f2dcda,2026-07-25T19:51:39Z,2026-07-25T20:05:52Z,0.149869,277.607851,277.757720,success
auto_adj_e176b30c2e08d17cfad1,cal_87047e8ea3c1d1bc56da2b90,2026-07-25T19:51:39Z,2026-07-25T20:05:52Z,0.102656,282.342827,282.445483,success
auto_adj_cc00776441891d454282,cal_871b8130bf4245601b1a841b,2026-07-25T19:51:39Z,2026-07-25T20:05:52Z,0.579802,286.907152,287.486954,success
auto_adj_2444012993d54e4147b0,cal_8dc01e6871029b30cc13920c,2026-07-25T19:51:40Z,2026-07-25T20:05:52Z,0.611111,291.590571,292.201682,success
auto_adj_ecfd939d8d70b83b526b,cal_96ffbdb214517b3a6a6649d0,2026-07-25T19:51:40Z,2026-07-25T20:05:52Z,0.217435,296.341937,296.559371,success
auto_adj_f6a69cbcaae6f553492a,cal_9824026160d8547991edff93,2026-07-25T20:07:00Z,2026-07-25T20:07:28Z,0.092288,10.724770,10.817058,success
auto_adj_eeb1df4d13f228f3100d,cal_9b0d02f472072c62b56bf808,2026-07-25T19:51:41Z,2026-07-25T20:05:52Z,0.282613,306.315628,306.598241,success
auto_adj_c3efb44d2cecfaa2d8d3,cal_9be75c1e7fbfe27a4db1d91e,2026-07-25T19:51:41Z,2026-07-25T20:05:52Z,0.095891,313.040091,313.135982,success
auto_adj_dad2556020718a21c57d,cal_a4b5a28529bc2239da93dcb6,2026-07-25T20:07:00Z,2026-07-25T20:07:28Z,0.177369,17.476169,17.653538,success
auto_adj_99b49284e90ab88b001c,cal_a59e7db7416b7eda4426b2b0,2026-07-25T19:51:41Z,2026-07-25T20:05:52Z,0.123966,323.340631,323.464597,success
auto_adj_c9532c5aa1ae87a49eb2,cal_a6388ef8c82edf25da71cfe8,2026-07-25T19:51:41Z,2026-07-25T20:05:52Z,0.466912,327.042974,327.509886,success
auto_adj_e4f2c439a2de17be7cd8,cal_a64662143119f08d07ec503e,2026-07-25T19:51:42Z,2026-07-25T20:05:52Z,0.308116,331.699374,332.007490,success
auto_adj_c2361e2775d6e3112301,cal_a697a3efcaf26dad1a05afd8,2026-07-25T19:51:42Z,2026-07-25T20:05:52Z,0.093326,335.770578,335.863903,success
auto_adj_fa266998808fc3c71dfe,cal_aa5f30e289f7f1e3c57da1ca,2026-07-25T19:51:42Z,2026-07-25T20:05:52Z,0.519481,341.417257,341.936738,success
auto_adj_23a734036c1bff8eae38,cal_ae1da4b80da66307314a0f9a,2026-07-25T19:51:43Z,2026-07-25T20:05:52Z,0.142201,344.496584,344.638785,success
auto_adj_336512602ef86901902e,cal_affbd685e693a0ed30b460a4,2026-07-25T19:51:43Z,2026-07-25T20:05:52Z,0.183705,349.108047,349.291752,success
auto_adj_368b3216b559ab2281e9,cal_b5c70ca19baa946184d7d211,2026-07-25T19:51:43Z,2026-07-25T20:05:52Z,0.261033,354.736219,354.997252,success
auto_adj_2d52fc3e4fef3547955f,cal_b843e234169740d000b06cc9,2026-07-25T19:51:43Z,2026-07-25T20:05:52Z,0.082118,359.640064,359.722182,success
