gate3_compensation_id,calibration_id,gabriel_request_id,gabriel_backend,gabriel_model,request_status,prompt_sha256,prompt_chars,input_page_count,input_text_chars,image_input_requested,image_input_used,input_image_count,input_image_bytes,prior_labels_in_prompt,raw_prompt_saved,raw_response_saved,raw_images_saved,response_chars,response_sha256,input_tokens,output_tokens,total_tokens,elapsed_seconds,error_type,error_message,credential_value_saved,authorization_header_saved
auto_adj_61a62b98496fdf4aaf58,cal_01a57230b8158e19db8100b3,resp_02a044adbee21629006a6513e9e730819788a8f27ac2c8537d,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,648d5527e10fbc31a7c1262ecc0d0d525c014a9b4004c9f192541bb24c5dc043,8004,2,2436,True,True,2,249679,False,False,False,False,1001,a2067daafecee8546b48d587c52946c5182ae4d3b28632dbe8a623ce1d1247fb,5305,524,5829,5.45689,,,False,False
auto_adj_3886f68b11a4bccc3db1,cal_045e7e8100647061f677cbed,resp_0983cb52e326d8f2006a6513ef25fc8196a5a1a0cff02a07b0,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,941c9203520aceee43f96d73516be85c7caa4082ae739ade4c3c49c6e31b69e6,13519,5,6000,True,True,5,655503,False,False,False,False,1016,25932f8076566ae1243cc8523e7354c2132eace315aedf19f3fde6dbe05344ad,11146,456,11602,10.468885,,,False,False
auto_adj_5e912c11500cd8213b65,cal_04e9c405fa82bce92279cc76,resp_0d6d9bb983dce34a006a6513f448f48195b976d4c9a89db399,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,51c3ef4c1d5cf790c7b26c5ca7096b9c935f3b2ba8702a1fb1387bc6eba01272,13885,6,6000,True,True,5,761271,False,False,False,False,1035,3c959d3ada67b3f4e5ff59d5dc8aae45bb7cfa37c4b272b247739a3fe691ee60,10848,651,11499,17.12713,,,False,False
auto_adj_7630be0651784661da45,cal_075c10415a94e03dadfb692f,resp_0b6fc0c382d777e1006a6513faf5ec819691b6a2fe5f050b16,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,3d0209f9029da1aaa472644d2a411e11d128bae15db6dcce210aa7c0aab90494,13370,5,6000,True,True,5,690932,False,False,False,False,1118,b09727969f0cf00a4285a9d389c42f3af5d2b90470da230fb95480fa2423727e,10765,618,11383,23.206659,,,False,False
auto_adj_a09db8e8e049cf987c49,cal_0ccdac533aafb9416dffec65,resp_0b320349e9b1b2bc006a651401017081948f8d432f8aaf8b22,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,794aff942482db22a1e36a13370042694c8fb2f0b781a40ce7aded413d3dfd2e,13850,6,6000,True,True,5,663948,False,False,False,False,1019,71e712df9b640799880b36c8bc76e4c120537e8bab1e0ad6e2dcbd132b42b0ae,10538,636,11174,30.333462,,,False,False
auto_adj_3f788ac16305e100573a,cal_0d99791bdc0cd19c28d5f5de,resp_0faec644b9cfeef5006a6514081fb08190ae332c99e59d376f,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,f69256813669ec0ac474d5778eb9a0ec61f6cc81f33fff5e7cda3681d3114d19,13937,6,6000,True,True,5,772519,False,False,False,False,994,5cf78afeb7a141328d17a39fe3d8ab769d217e5189186bc5e4edd5bfdc681bac,10701,320,11021,36.992235,,,False,False
auto_adj_09aa1565d96c0e346d25,cal_0e71fee5856adca413c60d77,resp_007a2a690ad447f3006a65140efd588190bbdbdc46013fa8ce,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,1b312219e6cf2599c464b98ec317a3f8ac4d8684151b63a046cd7f49b1d99b3f,13860,6,6000,True,True,6,1148860,False,False,False,False,965,e9aed5679e3d2981af09b115665def6979d6a6401109b44e3b95767605c850d6,13495,267,13762,41.305275,,,False,False
auto_adj_37b20d27f2e98a905227,cal_20f83d208f858a0cf99daad1,resp_06f88d3e5551ef73006a6514131674819084cae965546966c7,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,4bbdc33b47209aed9932b3b49b444fb8a2b3026b9635b5b254cc12549d4b4c3e,5961,1,979,True,True,1,121328,False,False,False,False,830,ff8d490ee1f60b943e45fc593037ddb5e9dad4e2fcbcf30e2cd229320786b495,3632,362,3994,46.103031,,,False,False
auto_adj_d1dcf684a57ab9517d7e,cal_211c78b8eb2cdd5520344d2c,resp_02924a9932d1b0b2006a65141ac0b88196ace1b547af731509,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,5f2cfc9315c09b13d5ed4584a786cda4e3be2d9514c81686020cb25649d97f7e,13806,6,6000,True,True,5,552767,False,False,False,False,975,1db9fe957407f7cdc840a08b0c5653f8c390789761db2ccf95ed8baf61a93dc4,10813,616,11429,114.609012,,,False,False
auto_adj_09c60fd172c303db78fe,cal_2cc9c8211edf7dc1fc8bbd7c,resp_013506904ac5712e006a65145cb2b8819789dd8e257675683f,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,40ef43be99c137c25ec32f696bd0331ec18e4c5d47f9ff248ad5f6aec5edb7b7,8881,3,2750,True,True,3,355285,False,False,False,False,1119,ba2d2657b520a65fdab1e0b9507ee81ef6d8facf8a8b36d9b55d7dcd04f6d081,6922,638,7560,120.19878,,,False,False
