extraction_id,retained_source_id,source_review_id,candidate_id,municipality,state,region,source_type,source_family,priority_bucket,cba_non_cba_hint,mechanism_source_family_hints,source_locator_lineage,extracted_text_artifact_path,extracted_text_sha256,extracted_character_count,extracted_byte_count,pdf_page_count,source_span_status,span_count_total,quant_span_count,qual_span_count,context_span_count,strongest_evidence_category,strongest_evidence_family,strongest_confidence_score,has_quantitative_compensation_evidence,has_qualitative_mechanism_evidence,has_mixed_quant_qual_evidence,has_safety_side_evidence,has_non_safety_side_evidence,has_comparison_potential,has_growth_or_adjustment_mechanism,has_non_base_compensation,has_bargaining_or_dispute_process,source_level_summary_rationale,lane_id,reason_code,error_class,error_message_redacted
RMTXT-20260802-00b84e7f89923a4678d7,RMSRD-20260802-2688e263a115de6ffd1d,RMSRD-20260802-2688e263a115de6ffd1d,BRM5C-BRM5-20260731-17743-02,Nelson,WI,Midwest,pdf,agenda_packet_or_minutes,medium_priority_verification_ready,non_cba_or_unresolved_hint,,"{""candidate_id"": ""BRM5C-BRM5-20260731-17743-02"", ""final"": ""https://villageofnelson.org/images/VON_Meeting_Minutes_12.10.25.pdf"", ""original"": ""https://villageofnelson.org/images/VON_Meeting_Minutes_12.10.25.pdf"", ""scout_target_id"": ""BRM5-20260731-17743""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_002/RMTXT-20260802-00b84e7f89923a4678d7.txt,401ab7a1e0bb803d3f8216a39ce20817c855fd504d6424f05c7c5f29814fb4d8,1449,1449,2,no_relevant_compensation_span,0,0,0,0,,,,False,False,False,False,False,False,False,False,False,"Deterministic bounded extraction found 0 quantitative, 0 qualitative, and 0 context/reference span rows; no rating or substantive claim was made.",span_extraction_lane_002,no_bounded_compensation_or_mechanism_rule_match,,
RMTXT-20260802-015f462b9fec53216791,RMSRD-20260802-25ddb3a119495c4bb57b,RMSRD-20260802-25ddb3a119495c4bb57b,BRM5C-BRM5-20260731-08747-01,Vermontville,MI,Midwest,pdf,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_unresolved_hint,,"{""candidate_id"": ""BRM5C-BRM5-20260731-08747-01"", ""final"": ""https://vermontville-mi.gov/wp-content/uploads/2025/10/9_11_25-minutes-draft.pdf"", ""original"": ""https://vermontville-mi.gov/wp-content/uploads/2025/10/9_11_25-minutes-draft.pdf"", ""scout_target_id"": ""BRM5-20260731-08747""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_004/RMTXT-20260802-015f462b9fec53216791.txt,44de7f35ceeeec629f550fedbf0374a0c25512688a3b3edf9cbdfc66096810de,4276,4344,3,no_relevant_compensation_span,0,0,0,0,,,,False,False,False,False,False,False,False,False,False,"Deterministic bounded extraction found 0 quantitative, 0 qualitative, and 0 context/reference span rows; no rating or substantive claim was made.",span_extraction_lane_004,no_bounded_compensation_or_mechanism_rule_match,,
RMTXT-20260802-01fbc9ac7c739dee501f,RMSRD-20260802-2239e1de25e2f85428b6,RMSRD-20260802-2239e1de25e2f85428b6,BRM5C-BRM5-20260731-17899-02,Charleston,NY,Northeast,html,wage_schedule,high_priority_verification_ready,non_cba_or_unresolved_hint,,"{""candidate_id"": ""BRM5C-BRM5-20260731-17899-02"", ""final"": ""https://nytownofcharleston.gov/townboard"", ""original"": ""https://www.nytownofcharleston.gov/townboard"", ""scout_target_id"": ""BRM5-20260731-17899""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_003/RMTXT-20260802-01fbc9ac7c739dee501f.txt,ba82a698281865f33eddd64f3d0ba0aff48a637876287f6dd76c7151f4ccc6a2,1219,1223,,no_relevant_compensation_span,0,0,0,0,,,,False,False,False,False,False,False,False,False,False,"Deterministic bounded extraction found 0 quantitative, 0 qualitative, and 0 context/reference span rows; no rating or substantive claim was made.",span_extraction_lane_005,no_bounded_compensation_or_mechanism_rule_match,,
RMTXT-20260802-047b0edbf53e9a780a46,RMSRD-20260802-ad3d6935b96bb05997e7,RMSRD-20260802-ad3d6935b96bb05997e7,BRM5C-BRM5-20260731-02373-01,Perry,OH,Midwest,html,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_unresolved_hint,,"{""candidate_id"": ""BRM5C-BRM5-20260731-02373-01"", ""final"": ""https://perryvillageohio.com/council-minutes"", ""original"": ""https://perryvillageohio.com/council-minutes/"", ""scout_target_id"": ""BRM5-20260731-02373""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_001/RMTXT-20260802-047b0edbf53e9a780a46.txt,b3f8a3eff51a473d7c178eae589323d1ed64718b56020d5b03442101d31dc35f,5159,5164,,no_relevant_compensation_span,0,0,0,0,,,,False,False,False,False,False,False,False,False,False,"Deterministic bounded extraction found 0 quantitative, 0 qualitative, and 0 context/reference span rows; no rating or substantive claim was made.",span_extraction_lane_003,no_bounded_compensation_or_mechanism_rule_match,,
RMTXT-20260802-06b00665ef0882900e55,RMSRD-20260802-ef65be65c39d8fc9d6b0,RMSRD-20260802-ef65be65c39d8fc9d6b0,BRM5C-BRM5-20260731-03102-01,West Almond,NY,Northeast,pdf,budget_or_pay_plan,high_priority_verification_ready,non_cba_or_unresolved_hint,fiscal_constraint_signal,"{""candidate_id"": ""BRM5C-BRM5-20260731-03102-01"", ""final"": ""https://municipality-management.s3.us-east-2.amazonaws.com/57/notices/BO62Lg9Wnefpo2F6_NOTICE%20OF%20HEARING%20-%20PRELIMINARY%20BUDGET%202025.pdf"", ""original"": ""https://municipality-management.s3.us-east-2.amazonaws.com/57/notices/BO62Lg9Wnefpo2F6_NOTICE%20OF%20HEARING%20-%20PRELIMINARY%20BUDGET%202025.pdf"", ""scout_target_id"": ""BRM5-20260731-03102""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_002/RMTXT-20260802-06b00665ef0882900e55.txt,f47b686596cbbf456c101c5c101f404533394cfb1079c34e38dbdeef79506e9b,1267,1267,1,no_relevant_compensation_span,0,0,0,0,,,,False,False,False,False,False,False,False,False,False,"Deterministic bounded extraction found 0 quantitative, 0 qualitative, and 0 context/reference span rows; no rating or substantive claim was made.",span_extraction_lane_001,no_bounded_compensation_or_mechanism_rule_match,,
RMTXT-20260802-06dc3a6f5cf8a21c1e66,RMSRD-20260802-428acc445d963396e810,RMSRD-20260802-428acc445d963396e810,BRM5C-BRM5-20260731-11705-02,Tremont,IL,Midwest,pdf,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_unresolved_hint,,"{""candidate_id"": ""BRM5C-BRM5-20260731-11705-02"", ""final"": ""https://tremontil.gov/wp-content/uploads/2025/08/Board-Meeting-Agenda-08.18.25.pdf"", ""original"": ""https://www.tremontil.gov/wp-content/uploads/2025/08/Board-Meeting-Agenda-08.18.25.pdf"", ""scout_target_id"": ""BRM5-20260731-11705""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_002/RMTXT-20260802-06dc3a6f5cf8a21c1e66.txt,48737b2bcc21dd0f4c1d9bf6e51edfac95c7541a81461d0ef36b5a5a495d142a,832,860,1,no_relevant_compensation_span,0,0,0,0,,,,False,False,False,False,False,False,False,False,False,"Deterministic bounded extraction found 0 quantitative, 0 qualitative, and 0 context/reference span rows; no rating or substantive claim was made.",span_extraction_lane_005,no_bounded_compensation_or_mechanism_rule_match,,
RMTXT-20260802-08e6ffe39e85ecd6fc56,RMSRD-20260802-b0e06e1dba90f461068d,RMSRD-20260802-b0e06e1dba90f461068d,BRM5C-BRM5-20260731-17875-02,Bangor,NY,Northeast,html,budget_or_pay_plan,medium_priority_verification_ready,non_cba_or_unresolved_hint,,"{""candidate_id"": ""BRM5C-BRM5-20260731-17875-02"", ""final"": ""https://townofbangorny.gov/board-minutes.html"", ""original"": ""https://www.townofbangorny.gov/board-minutes.html"", ""scout_target_id"": ""BRM5-20260731-17875""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_004/RMTXT-20260802-08e6ffe39e85ecd6fc56.txt,f44fd1bcc89ee04c482f250d3e417c2d07d25a6b206b95720a4741b203209577,2230,2230,,no_relevant_compensation_span,0,0,0,0,,,,False,False,False,False,False,False,False,False,False,"Deterministic bounded extraction found 0 quantitative, 0 qualitative, and 0 context/reference span rows; no rating or substantive claim was made.",span_extraction_lane_005,no_bounded_compensation_or_mechanism_rule_match,,
RMTXT-20260802-091fe8a88d2aa13877ba,RMSRD-20260802-982f52993e6b5e5437cb,RMSRD-20260802-982f52993e6b5e5437cb,BRM5C-BRM5-20260731-14570-02,Muncy Creek,PA,Northeast,pdf,budget_or_pay_plan,medium_priority_verification_ready,non_cba_or_unresolved_hint,non_safety_constraint_signal,"{""candidate_id"": ""BRM5C-BRM5-20260731-14570-02"", ""final"": ""https://muncycreektwp.org/wp-content/uploads/2026/03/102425-agendaWorkshop.pdf"", ""original"": ""https://www.muncycreektwp.org/wp-content/uploads/2026/03/102425-agendaWorkshop.pdf"", ""scout_target_id"": ""BRM5-20260731-14570""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_005/RMTXT-20260802-091fe8a88d2aa13877ba.txt,0a98f212c9ff7b7ff063877a064523e2ea36a36f83f28ac167271a0c2a3aee66,218,220,1,no_relevant_compensation_span,0,0,0,0,,,,False,False,False,False,False,False,False,False,False,"Deterministic bounded extraction found 0 quantitative, 0 qualitative, and 0 context/reference span rows; no rating or substantive claim was made.",span_extraction_lane_002,no_bounded_compensation_or_mechanism_rule_match,,
RMTXT-20260802-09d11c92edab57d3824f,RMSRD-20260802-631b119dbb27cf505b48,RMSRD-20260802-631b119dbb27cf505b48,BRM5C-BRM5-20260731-05956-03,Burbank,OH,Midwest,pdf,agenda_packet_or_minutes,high_priority_verification_ready,cba_arbitration_factfinding_hint,strike_or_no_strike_constraint,"{""candidate_id"": ""BRM5C-BRM5-20260731-05956-03"", ""final"": ""https://villageofburbankohio.com/wp-content/uploads/2024/06/Meeting-Minutes-09-05-2024.pdf"", ""original"": ""https://villageofburbankohio.com/wp-content/uploads/2024/06/Meeting-Minutes-09-05-2024.pdf"", ""scout_target_id"": ""BRM5-20260731-05956""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_001/RMTXT-20260802-09d11c92edab57d3824f.txt,ee62dcc726d725be22dcbadccd99345df01ad7a69802e1383019ec64920c6990,17360,17629,7,no_relevant_compensation_span,0,0,0,0,,,,False,False,False,False,False,False,False,False,False,"Deterministic bounded extraction found 0 quantitative, 0 qualitative, and 0 context/reference span rows; no rating or substantive claim was made.",span_extraction_lane_004,no_bounded_compensation_or_mechanism_rule_match,,
RMTXT-20260802-0b04dc8ecb5e980dcd3f,RMSRD-20260802-a01550d50aab7b52fea5,RMSRD-20260802-a01550d50aab7b52fea5,BRM5C-BRM5-20260731-12976-01,Greentop,MO,Midwest,html,budget_or_pay_plan,low_priority_verification_ready,non_cba_or_unresolved_hint,,"{""candidate_id"": ""BRM5C-BRM5-20260731-12976-01"", ""final"": ""https://schuylercountytimes.com/2025/12/11/greentop-council-discusses-budget-wastewater-solutions-and-fire-contract-at-december-meeting"", ""original"": ""https://www.schuylercountytimes.com/2025/12/11/greentop-council-discusses-budget-wastewater-solutions-and-fire-contract-at-december-meeting/"", ""scout_target_id"": ""BRM5-20260731-12976""}",artifacts/local_extracted_text/broad_state_remaining_municipalities_text_extraction_2026-08-02/text_extraction_lane_004/RMTXT-20260802-0b04dc8ecb5e980dcd3f.txt,9c64e9be14ea2dc32dc63ed1c2f417ceeb1c17314941a117f47d3461b1eccaaf,4316,4345,,no_relevant_compensation_span,0,0,0,0,,,,False,False,False,False,False,False,False,False,False,"Deterministic bounded extraction found 0 quantitative, 0 qualitative, and 0 context/reference span rows; no rating or substantive claim was made.",span_extraction_lane_004,no_bounded_compensation_or_mechanism_rule_match,,
