independent_review_item_id,review_scope_type,source_group_or_record_id,extraction_case_id,source_observation_ids,linked_observation_ids,bounded_evidence_pointer,prior_status,independent_outcome,review_status,provenance_preserved,bounded_pointer_valid,ambiguity_preserved,count_check,hash_check,reason_codes,short_basis
ibr1826_b0da173f16b2aacd1b6da710,unresolved_conflict_group,qares1826_98591102083229343fecc71f,cex_cee255168d800981c6d73c2c,qobs_985ddb7a53fed53c92361fdb|qobs_443497d509eb8f225658b2c9,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0029_sr_7ebc1637b23126b4385ddffb.pdf#page=1,unresolved,remain_explicitly_unresolved,pass_explicitly_unresolved,true,true,true,not_applicable,not_applicable,BOUNDED_EVIDENCE_STILL_UNDERSPECIFIED,"The bounded page shows aggregate fiscal-impact estimates, not employee wage cells; no safe observation distinction is available."
ibr1826_31e02218320f9149d67a4af3,unresolved_conflict_group,qares1826_3dded7aaf73536d0a8f5842f,cex1000_35dc3daf0d4fcd0332f7d0e2,qobs_e7d065a47ede9da2ca9c9bf4|qobs_c702c01aaa380ba5421a63ef|qobs_642603a66adb930a4bc11f89,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0271_sr_0e186e8cd29f03e5892256ea.pdf#page=8,unresolved,remain_explicitly_unresolved,pass_explicitly_unresolved,true,true,true,not_applicable,not_applicable,BOUNDED_EVIDENCE_STILL_UNDERSPECIFIED,"The bounded page shows a rank schedule, but stored records lack sufficient rank/effective-period structure to map the conflicting captures safely."
ibr1826_1afec0f81bff6567e0119897,working_out_of_classification_reroute,qobs_25fb85325140469b4fa0cd01,cexrem_b07dd566b242de8eafb00f46,qobs_25fb85325140469b4fa0cd01,nobsqa1826_ff74b667f52eaa8cf7b1d8ba,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0036_sr_68935d28a1c1406c52c39749.pdf#page=29,resolved_reroute,verified_non_base_wage_reroute,pass,true,true,false,not_applicable,not_applicable,TEMPORARY_HIGHER_CLASSIFICATION_PREMIUM_NOT_BASE_SCHEDULE,The bounded article defines temporary higher-classification increases to regular base pay; source is inactive and the linked non-base shadow is active.
ibr1826_9cc6f39755fdc1480acb796f,working_out_of_classification_reroute,qobs_24ffef991e72480c736af4a1,cexrem_b07dd566b242de8eafb00f46,qobs_24ffef991e72480c736af4a1,nobsqa1826_90c199dd2f3e8072b28758b8,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0036_sr_68935d28a1c1406c52c39749.pdf#page=29,resolved_reroute,verified_non_base_wage_reroute,pass,true,true,false,not_applicable,not_applicable,TEMPORARY_HIGHER_CLASSIFICATION_PREMIUM_NOT_BASE_SCHEDULE,The bounded article defines temporary higher-classification increases to regular base pay; source is inactive and the linked non-base shadow is active.
ibr1826_2fefef151b0840d5b9b9347c,working_out_of_classification_reroute,qobs_5d3ab3444d886ea18afc5b03,cexrem_b07dd566b242de8eafb00f46,qobs_5d3ab3444d886ea18afc5b03,nobsqa1826_091a0715827507c803b67d5b,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0036_sr_68935d28a1c1406c52c39749.pdf#page=29,resolved_reroute,verified_non_base_wage_reroute,pass,true,true,false,not_applicable,not_applicable,TEMPORARY_HIGHER_CLASSIFICATION_PREMIUM_NOT_BASE_SCHEDULE,The bounded article defines temporary higher-classification increases to regular base pay; source is inactive and the linked non-base shadow is active.
ibr1826_ca9a0433b9650689fa0c52c1,wasco_record_boundary_repair,nobs_e1327e5ce6d9cc1ce55a6f02,cexrem_66c1d364e1fc34d24eee6d05,nobs_e1327e5ce6d9cc1ce55a6f02,onb,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0460_sr_62322cb966f64b0f81a2dc6a.pdf#page=6,source_record_split_shadow_repaired,verified_single_logical_shadow_record,pass,true,true,false,4744-1+3=4746,upstream_nonbase_sha256_preserved,EMBEDDED_NEWLINE_RECORD_BOUNDARY_SHADOW_ONLY_REPAIR,"One malformed tail row is absent from the corrected shadow; the original ID, case, bounded pointer, and immutable source hash are preserved."
ibr1826_80bae45df20ef2be78e780dc,newly_canonicalized_duplicate,nobsqa1000_ac007894589648e6a297584e,cex_a8b0a89bfcd3f21db563404c,nobsqa1000_ac007894589648e6a297584e,nobsqa1000_8cb73e4deeb044017f4f2196,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0063_sr_5c336396ca5dee10f7c15151.pdf#page=12,canonicalized_duplicate,verified_canonical_link,pass,true,true,false,not_applicable,not_applicable,DUPLICATE_CANONICAL_PROVENANCE_PRESERVED,The duplicate remains a separate provenance row linked to an existing canonical observation.
ibr1826_4d8e89bfba241db12436ef88,newly_canonicalized_duplicate,nobsqa1000_cd5b1b86c7446210ce26802f,cex_fb56931c22da3938b1933bd7,nobsqa1000_cd5b1b86c7446210ce26802f,nobsqa1000_b1daf034adf9636583ea8371,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0135_sr_b2ae05460c47b9f9f10da3c9.pdf#page=18,canonicalized_duplicate,verified_canonical_link,pass,true,true,false,not_applicable,not_applicable,DUPLICATE_CANONICAL_PROVENANCE_PRESERVED,The duplicate remains a separate provenance row linked to an existing canonical observation.
ibr1826_42708ebd716ff666bc854318,newly_canonicalized_duplicate,nobsqa1000_df5c3c3103971f3ece39b0f0,cex_1479248c79b0675874ed5c47,nobsqa1000_df5c3c3103971f3ece39b0f0,nobsqa1000_2cb021072ce2590833c44cfc,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0110_sr_59f25b66606b8f3e8d2e13e3.pdf#page=25,canonicalized_duplicate,verified_canonical_link,pass,true,true,false,not_applicable,not_applicable,DUPLICATE_CANONICAL_PROVENANCE_PRESERVED,The duplicate remains a separate provenance row linked to an existing canonical observation.
ibr1826_aa47768375fa7c72ec994438,newly_canonicalized_duplicate,nobsqa1000_fce6076e76236d8f255ecb02,cex_1479248c79b0675874ed5c47,nobsqa1000_fce6076e76236d8f255ecb02,nobsqa1000_2cb021072ce2590833c44cfc,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0110_sr_59f25b66606b8f3e8d2e13e3.pdf#page=25,canonicalized_duplicate,verified_canonical_link,pass,true,true,false,not_applicable,not_applicable,DUPLICATE_CANONICAL_PROVENANCE_PRESERVED,The duplicate remains a separate provenance row linked to an existing canonical observation.
