aggressive_bounded_recommendation,change_class,claim_id,claim_text,conflicts,countervailing_direction,cross_examination_outcome,event_count,municipality_count,source_count,strict_recommendation,supporting_direction,tier_1_evidence,tier_2_evidence_count,tier_3_evidence_count,why
candidate_for_mechanism_supported_only,stronger_but_same_claim_class,CLAIM-F,"Council action, ordinances, budgets, pay plans, and classification systems translate compensation proposals into funded policy, while also imposing fiscal limits.",201,counterexamples and mixed cells retained,upheld_with_narrower_wording,deduplicated separately,reported by unit-specific tables,reported in source-specific layer,candidate_for_mechanism_supported_only,bounded mechanism or local evidence retained,strict cross-examined packet,15,639,"Broader tiers add bounded or directional context but do not cure the strict external match, design, or causal-identification limits."
candidate_for_conditional,unchanged,CLAIM-B,"Step, seniority, rank, and COLA structures embed recurring wage growth rather than requiring a wholly discretionary raise each year.",201,counterexamples and mixed cells retained,upheld_with_narrower_wording,deduplicated separately,reported by unit-specific tables,reported in source-specific layer,candidate_for_conditional,bounded mechanism or local evidence retained,strict cross-examined packet,15,639,"Broader tiers add bounded or directional context but do not cure the strict external match, design, or causal-identification limits."
candidate_for_mechanism_supported_only,stronger_but_same_claim_class,CLAIM-E,Retroactive effective dates and implementation provisions turn bargaining delay into payable increases and back pay instead of eliminating scheduled growth.,201,counterexamples and mixed cells retained,upheld_with_narrower_wording,deduplicated separately,reported by unit-specific tables,reported in source-specific layer,candidate_for_mechanism_supported_only,bounded mechanism or local evidence retained,strict cross-examined packet,15,639,"Broader tiers add bounded or directional context but do not cure the strict external match, design, or causal-identification limits."
candidate_for_unsupported,unchanged,UNSUP-06,The mechanism caused an observed wage difference,201,counterexamples and mixed cells retained,upheld_with_narrower_wording,deduplicated separately,reported by unit-specific tables,reported in source-specific layer,candidate_for_unsupported,bounded mechanism or local evidence retained,strict cross-examined packet,15,639,"Broader tiers add bounded or directional context but do not cure the strict external match, design, or causal-identification limits."
candidate_for_unsupported,unchanged,UNSUP-05,A precise claim that safety wages grow X percent faster,201,counterexamples and mixed cells retained,upheld_with_narrower_wording,deduplicated separately,reported by unit-specific tables,reported in source-specific layer,candidate_for_unsupported,bounded mechanism or local evidence retained,strict cross-examined packet,15,639,"Broader tiers add bounded or directional context but do not cure the strict external match, design, or causal-identification limits."
candidate_for_unsupported,unchanged,UNSUP-03,A causal effect estimate of a mechanism,201,counterexamples and mixed cells retained,upheld_with_narrower_wording,deduplicated separately,reported by unit-specific tables,reported in source-specific layer,candidate_for_unsupported,bounded mechanism or local evidence retained,strict cross-examined packet,15,639,"Broader tiers add bounded or directional context but do not cure the strict external match, design, or causal-identification limits."
candidate_for_unsupported,unchanged,UNSUP-04,A regression-based claim,201,counterexamples and mixed cells retained,upheld_with_narrower_wording,deduplicated separately,reported by unit-specific tables,reported in source-specific layer,candidate_for_unsupported,bounded mechanism or local evidence retained,strict cross-examined packet,15,639,"Broader tiers add bounded or directional context but do not cure the strict external match, design, or causal-identification limits."
candidate_for_mechanism_supported_only,stronger_but_same_claim_class,CLAIM-A,"Safety compensation is exposed to recurring formal negotiation and impasse-resolution institutions that can lift wage floors, preserve leverage, and lock increases into agreements or awards.",201,counterexamples and mixed cells retained,upheld_with_narrower_wording,deduplicated separately,reported by unit-specific tables,reported in source-specific layer,candidate_for_mechanism_supported_only,bounded mechanism or local evidence retained,strict cross-examined packet,15,639,"Broader tiers add bounded or directional context but do not cure the strict external match, design, or causal-identification limits."
candidate_for_mechanism_supported_only,stronger_but_same_claim_class,CLAIM-D,"Recruitment, retention, and comparator pressure provides an explicit institutional justification for raising schedules or adding targeted premiums, with public-safety staffing making the channel especially salient in many records.",201,counterexamples and mixed cells retained,upheld_with_narrower_wording,deduplicated separately,reported by unit-specific tables,reported in source-specific layer,candidate_for_mechanism_supported_only,bounded mechanism or local evidence retained,strict cross-examined packet,15,639,"Broader tiers add bounded or directional context but do not cure the strict external match, design, or causal-identification limits."
candidate_for_unsupported,unchanged,UNSUP-02,A national prevalence estimate for any mechanism,201,counterexamples and mixed cells retained,upheld_with_narrower_wording,deduplicated separately,reported by unit-specific tables,reported in source-specific layer,candidate_for_unsupported,bounded mechanism or local evidence retained,strict cross-examined packet,15,639,"Broader tiers add bounded or directional context but do not cure the strict external match, design, or causal-identification limits."
