state,city_or_jurisdiction,source_target,source_description,source_url_or_lookup_path,source_family,proposed_use,proposed_corpus,mechanism_or_claim_supported,ingestion_decision,priority,reason,risk_or_caveat,followup_needed,notes
TX,statewide,Texas Local Government Code Chapter 174 (Fire and Police Employee Relations Act),"Full statutory text: adoption election, arbitration provisions (§174.153, §174.163), and §174.1535 Mandatory Arbitration",https://statutes.capitol.texas.gov/Docs/LG/htm/LG.174.htm,state_statute,institutional_context,context_only,Arbitration/impasse backstop mechanism; tests whether the safety-wage gap depends on JLMC specifically,context_only,must_have,Legal-institutional context needed to interpret any future Texas corpus row; not a wage-outcome document,Statute text is long; only the arbitration/adoption sections are directly relevant,no,Confirmed this session: §174.1535 creates true compulsory arbitration for fire departments in municipalities >=1.9 million population (Houston only)
TX,statewide,Texas Local Government Code Chapter 146 (Local Control of Municipal Employment Matters in Certain Municipalities),"Full statutory text: applicability (population >=1.5 million), covered-employee definition, recognition/bargaining-agent process",https://statutes.capitol.texas.gov/Docs/LG/htm/LG.146.htm,state_statute,institutional_context,context_only,Non-safety wage restraint mechanism; whether non-safety employees have a bargaining channel comparable to police/fire,context_only,must_have,Corrects prior assumption that Houston non-safety employees lack any bargaining channel,Population-gated to Houston only among current Texas cities; do not generalize to other candidate cities,no,Confirmed this session via direct fetch of Sections 146.001-146.002; no arbitration/impasse mechanism exists within this chapter
TX,statewide,Texas Local Government Code Chapter 142 (meet-and-confer for police/fire) and Texas Government Code Chapter 617 (general bargaining prohibition),Full statutory text for both -- the default prohibition (Ch. 617) and the police/fire meet-and-confer carve-out (Ch. 142),https://statutes.capitol.texas.gov/Docs/LG/htm/LG.142.htm ; https://codes.findlaw.com/tx/government-code/gov-t-sect-617-002/,state_statute,institutional_context,context_only,Baseline default rule against which Ch. 174/146's carve-outs are measured,context_only,useful,Needed to state the Houston Police (Ch. 142) institutional baseline accurately,Ch. 142 full text not yet directly fetched section-by-section (confirmed only via web-search synthesis last session),yes,"Ch. 617 was directly fetched last session; Ch. 142 still rests on synthesis, flagged in the companion legal-source-audit CSV"
TX,Houston,"HPFFA/IAFF Local 341 collective bargaining agreement (fire, 2024-2029)",Full CBA following the 2024 settlement of an 8-year impasse; Ch. 174 bargaining unit subject to the §174.1535 mandatory-arbitration exception,https://www.houstontx.gov/moc/2024/firefighter-contract-agreement.html ; https://www.houstontx.gov/council/committees/bfacommittee/20240430-joint-labor/HPFFA-Settlement-HPFFA.pdf,cba,causal_evidence,causal,"Central safety-mechanism test case: a Texas fire unit under true compulsory arbitration, the closest Texas analogue to MA's JLMC",fetch_later,must_have,"REVISED 2026-07-08: designated first_batch anchor per the multi-city scan (texas_ohio_multicity_pre_ingestion_scan_2026-07-08.md), paired with Austin to avoid overfitting to Houston's population-gated features",Located official-city PDFs did not extract as readable text this session (tooling limitation); full-CBA-vs-settlement-summary status of each specific URL not fully disambiguated,yes,"Confirm which URL holds the full negotiated CBA text (not just the settlement summary) before any future ingestion; use ingest/extract_text.py, not ad hoc web fetch, at acquisition time | APPROVED 2026-07-08: see texas_ohio_approved_source_plan_2026-07-08.csv for the authoritative, hygiene-clean first-batch row and metadata plan."
TX,Houston,Houston Police Officers' Union (HPOU) Meet & Confer Agreement (police),Ch. 142 meet-and-confer agreement; official city-hosted copy located this session,https://www.houstontx.gov/hr/hrfiles/classified_testing/agreement_meet_conf.pdf,cba,causal_evidence,causal,Within-city contrast to HPFFA: non-compulsory meet-and-confer institution alongside a compulsory-arbitration fire unit in the same city,fetch_later,must_have,Resolves the prior session's flag that no official Houston police copy had been found,Contract-year currency of this specific URL not independently confirmed against the reported 2024-2025 ratified successor,yes,"Confirm this is the current agreement version before treating it as the acquisition target | APPROVED 2026-07-08: see texas_ohio_approved_source_plan_2026-07-08.csv for the authoritative, hygiene-clean first-batch row and metadata plan."
TX,Houston,"HOPE/AFSCME Local 123 meet-and-confer agreement (non-safety, 2024)",Ch. 146 meet-and-confer agreement for Houston's non-safety 'covered employees'; official city-hosted copy,https://www.houstontx.gov/hr/hrfiles/employee_relations/hope_meet_cof_agrmnt.pdf,cba,causal_evidence,causal,Non-safety wage-restraint/bargaining-availability mechanism; the matched non-safety comparison unit for HPFFA/HPOU,fetch_later,must_have,Corrects the prior session's assumption that Houston non-safety employees have no bargaining channel; this is now the clearest candidate matched non-safety document for Houston,Exact recognition-clause department/classification list not independently confirmed; document did not extract as readable text this session,yes,"A direct read of the recognition clause is needed before classifying under this project's occupation_class vocabulary -- HOPE likely spans multiple occupation classes, similar to Wayland's other-coded AFSCME unit | APPROVED 2026-07-08: see texas_ohio_approved_source_plan_2026-07-08.csv for the authoritative, hygiene-clean first-batch row and metadata plan."
TX,Houston,City of Houston civil-service classification and compensation pages / Municipal Employee Guidebook,HR classification/pay-grade system underlying (and likely interacting with) the HOPE meet-and-confer agreement,https://www.houstontx.gov/hr/compensation/job-classifications.html ; https://www.houstontx.gov/hr/hrfiles/employee_relations/guidebook_municipal_employee.pdf,hr_report,institutional_context,context_only,Clarifies whether Houston's civil-service pay-grade system operates alongside or instead of the HOPE bargaining relationship,context_only,useful,Needed to correctly characterize how Houston's two non-safety wage-setting layers (classification system + meet-and-confer) interact,"Not yet confirmed whether this pre-dates, supplements, or is superseded by the HOPE agreement's wage terms",yes,"A design question, not merely a source-acquisition question -- resolve before treating HOPE alone as Houston's full non-safety wage-setting story"
TX,Houston,Houston Fire Officers' Association CBA (a possibly-distinct fire-officers bargaining unit),"A second Houston fire bargaining unit (officers, as distinct from HPFFA's rank-and-file), paralleling this project's Franklin Police Sergeants precedent",https://www.hfdcoa.org/cba-2024-2029/,union_contract_page,source_discovery,unknown,Tests whether a rank-vs-officer split changes wage-mechanism text within the same compulsory-arbitration fire institution,defer,optional,"Not yet confirmed as a genuinely separate CBA (vs. a reference to the same HPFFA settlement); union-hosted, not yet an official city copy","Relationship to the HPFFA agreement unresolved; union-hosted source, not an official city source per this project's preferred-source-family guidance",yes,Resolve the HFOA-vs-HPFFA relationship before deciding whether this is a distinct acquisition target
TX,San Antonio,SAPOA police CBA and SAFD fire CBA (second-choice Texas pair),Full Ch. 174 collective bargaining for police; centralized city portal,https://www.sanantonio.gov/City-Attorney/CollectiveBargaining,cba,causal_evidence,causal,"Backup Texas pair if Houston/Austin acquisition is deferred or supplemented, or if a Ch.174-without-compulsion contrast is specifically wanted",defer,optional,"REVISED 2026-07-08: retained as backup per the multi-city scan, not a first_batch city -- Austin is the recommended sub-threshold pairing instead",Non-safety comparison unit for San Antonio still unidentified; Prop B shows a contested political history,yes,See texas_ohio_multicity_pre_ingestion_scan_2026-07-08.md Sec.9 for the full backup-priority ordering
TX,Austin,Austin Firefighters Local 975 collective bargaining agreement (fire) and Austin Police Association meet-and-confer agreement (police),"Ch.174 full bargaining for fire (2023-2025 CBA + Oct-2025 proposed successor); Ch.142 meet-and-confer for police (2024-2029 agreement); both on a dedicated, well-organized official city portal",https://www.austintexas.gov/department/labor-relations/fire-collective-bargaining-agreement ; https://www.austintexas.gov/department/labor-relations/police-meet-and-confer-agreement,cba,causal_evidence,causal,"NEW 2026-07-08: demonstrates Houston's fire/police institutional split generalizes to a sub-threshold city (~980,000 population) without any population-triggered exception",fetch_later,must_have,Designated first_batch pairing with Houston per the multi-city scan -- the clearest available sub-threshold demonstration that the Ch.174-fire/Ch.142-police split is not a Houston-only phenomenon,None material identified this session beyond the general PDF-extraction caveat shared with other Texas sources,yes,"See texas_ohio_multicity_pre_ingestion_scan_2026-07-08.md Sec.3 (Austin) and Sec.9 | APPROVED 2026-07-08: see texas_ohio_approved_source_plan_2026-07-08.csv for the authoritative, hygiene-clean first-batch row and metadata plan."
