dry_run_status,approval_status,state,city,source_role,source_target,source_url_or_lookup_path,proposed_filename,proposed_contract_id,proposed_occupation_class,recognition_clause_required,recognition_clause_target,proposed_source_type,proposed_corpus,proposed_retrieval_method,proposed_text_quality,fetch_destination_later,store_now,ingest_now,fetchability_assessment,official_or_high_quality_source,risk_or_caveat,user_approval_required,notes
needs_url_confirmation,approved_first_batch,TX,Houston,fire,HPFFA/IAFF Local 341 collective bargaining agreement (2024-2029),https://www.houstontx.gov/moc/2024/firefighter-contract-agreement.html,corpus/tx_houston/tx_houston_hpffa_fire_cba_2024_2029.pdf,tx_houston_fire_2024 (tentative -- confirm exact cycle_start/cycle_end from the executed CBA text),fire,no,Not required for initial occupation_class unless the unit scope is ambiguous in the executed document.,cba,causal,public_download,unknown,corpus_direct,no,no,"Official Houston page returned HTTP 200, but the approved target still needs confirmation that the live page links to the full executed CBA rather than only a settlement or summary page.",yes,Located official-city pages did not extract as readable text via ad hoc web fetch; confirm this URL (vs. the Council-committee settlement PDF) holds the full negotiated CBA text before fetch,yes,"Dry-run planning row only; no document downloaded, stored, ingested, or added to corpus/inbox."
ready_for_live_fetch,approved_first_batch,TX,Houston,police,Houston Police Officers' Union (HPOU) Meet & Confer Agreement,https://www.houstontx.gov/hr/hrfiles/classified_testing/agreement_meet_conf.pdf,corpus/tx_houston/tx_houston_hpou_police_meet_confer_2024.pdf,tx_houston_police_2024 (tentative -- confirm current contract-year coverage of this specific URL),police,no,Not required for initial occupation_class unless the unit scope is ambiguous in the executed document.,cba,causal,public_download,unknown,corpus_direct,no,no,Official Houston PDF returned HTTP 200 and is specific enough for a later header-checked fetch.,yes,Contract-year currency of this URL not independently confirmed against a reported 2024-2025 ratified successor -- verify before fetch which version is current,yes,"Dry-run planning row only; no document downloaded, stored, ingested, or added to corpus/inbox."
ready_for_live_fetch,approved_first_batch,TX,Houston,non_safety_general,HOPE/AFSCME Local 123 meet-and-confer agreement (2024),https://www.houstontx.gov/hr/hrfiles/employee_relations/hope_meet_cof_agrmnt.pdf,corpus/tx_houston/tx_houston_hope_afscme123_meet_confer_2024.pdf,tx_houston_other_2024 (tentative -- occupation_class pending PI schema decision; see proposed_occupation_class note),other,yes,"Recognition clause, bargaining-unit description, coverage article, covered classifications, wage schedule, and appendices/classification lists.",cba,causal,public_download,unknown,corpus_direct,no,no,"Official Houston PDF returned HTTP 200 and is specific enough for later acquisition, subject to recognition-clause-first classification.",yes,"HOPE likely spans multiple occupation classes (reported to cover 'every city department'), similar to Wayland's other-coded AFSCME unit -- a direct read of the recognition clause is needed before final occupation_class classification; document did not extract as readable text via ad hoc web fetch this session",yes,"Dry-run planning row only; no document downloaded, stored, ingested, or added to corpus/inbox."
context_only,approved_first_batch,TX,Houston,budget_pay_plan,City of Houston civil-service classification and compensation pages / Municipal Employee Guidebook,https://www.houstontx.gov/hr/compensation/job-classifications.html,corpus/tx_houston/tx_houston_hr_classification_pay_plan_context.pdf,"not_applicable (context document, not a contracts.csv row)",other,not_applicable,Context-only or legal/pay-plan source; not assigned as a contract occupation row.,other,context_only,public_download,unknown,context_only_no_corpus,no,no,"Official Houston compensation/classification page returned HTTP 200; context only, not a CBA row.",yes,"Not yet confirmed whether this pre-dates, supplements, or is superseded by the HOPE agreement's wage terms Budget/pay-plan material is context only and must not be written as a causal CBA row.",yes,"Dry-run planning row only; no document downloaded, stored, ingested, or added to corpus/inbox."
needs_url_confirmation,approved_first_batch,TX,Austin,fire,Austin Firefighters Association Local 975 collective bargaining agreement (2023-2025 + proposed Oct.2025 successor),https://www.austintexas.gov/labor-relations/fire-collective-bargaining-agreement,corpus/tx_austin/tx_austin_iaff975_fire_cba_2023_2025.pdf,tx_austin_fire_2023 (tentative -- confirm whether the current or the Oct.2025 proposed-successor version should be the target),fire,no,Not required for initial occupation_class unless the unit scope is ambiguous in the executed document.,cba,causal,public_download,unknown,corpus_direct,no,no,"Corrected official Austin labor-relations page returned HTTP 200, but the page now surfaces a Dec. 18, 2025 agreement link; exact 2014-2024-window target/cycle needs confirmation before live fetch.",yes,"Live official page is fetchable, but it now surfaces a Dec. 18, 2025 agreement link; confirm whether a 2023-2025 archived agreement is needed for the 2014-2024 window before live fetch.",yes,"Dry-run planning row only; no document downloaded, stored, ingested, or added to corpus/inbox."
ready_for_live_fetch,approved_first_batch,TX,Austin,police,Austin Police Association meet-and-confer agreement (2024-2029),https://www.austintexas.gov/labor-relations/police-meet-and-confer-agreement,corpus/tx_austin/tx_austin_apa_police_meet_confer_2024_2029.pdf,tx_austin_police_2024,police,no,Not required for initial occupation_class unless the unit scope is ambiguous in the executed document.,cba,causal,public_download,unknown,corpus_direct,no,no,Corrected official Austin labor-relations page returned HTTP 200 and exposes the fully executed 2024-2029 APA agreement link.,yes,None material identified,yes,"Dry-run planning row only; no document downloaded, stored, ingested, or added to corpus/inbox."
needs_url_confirmation,approved_first_batch,TX,Austin,budget_pay_plan,City of Austin civil-service classification/compensation pages (specific URL not yet confirmed),austintexas.gov (specific HR/compensation page URL not directly re-confirmed this session),corpus/tx_austin/tx_austin_hr_classification_pay_plan_context.pdf,not_applicable,other,not_applicable,Context-only or legal/pay-plan source; not assigned as a contract occupation row.,other,context_only,public_download,unknown,context_only_no_corpus,no,no,Only a general Austin HR lookup path is confirmed; a specific compensation/pay-plan URL still needs confirmation.,unclear,Specific page URL not independently re-confirmed this session -- locate and confirm before fetch; do not guess a URL Budget/pay-plan material is context only and must not be written as a causal CBA row.,yes,"Dry-run planning row only; no document downloaded, stored, ingested, or added to corpus/inbox."
ready_for_live_fetch,approved_first_batch,OH,Columbus,police,Fraternal Order of Police Capital City Lodge No. 9 collective bargaining agreement (2023-2026),https://www.columbus.gov/files/sharedassets/city/v/1/human-resources/labor-relations/fop-cba-2023-2026.pdf,corpus/oh_columbus/oh_columbus_fop_lodge9_police_cba_2023_2026.pdf,oh_columbus_police_2023,police,no,Not required for initial occupation_class unless the unit scope is ambiguous in the executed document.,cba,causal,public_download,unknown,corpus_direct,no,no,Official Columbus PDF returned HTTP 200 and is specific enough for later acquisition.,yes,None material identified,yes,"Dry-run planning row only; no document downloaded, stored, ingested, or added to corpus/inbox."
ready_for_live_fetch,approved_first_batch,OH,Columbus,fire,IAFF Local 67 collective bargaining agreement (2023-2026),https://www.columbus.gov/files/sharedassets/city/v/2/human-resources/labor-relations/iaff-cba-2023-2026.pdf,corpus/oh_columbus/oh_columbus_iaff67_fire_cba_2023_2026.pdf,oh_columbus_fire_2023,fire,no,Not required for initial occupation_class unless the unit scope is ambiguous in the executed document.,cba,causal,public_download,unknown,corpus_direct,no,no,Official Columbus PDF returned HTTP 200 and is specific enough for later acquisition.,yes,None material identified,yes,"Dry-run planning row only; no document downloaded, stored, ingested, or added to corpus/inbox."
ready_for_live_fetch,approved_first_batch,OH,Columbus,non_safety_general,AFSCME Local 1632 collective bargaining agreement (2024-2027),https://www.columbus.gov/files/sharedassets/city/v/1/human-resources/labor-relations/afscme-1632-cba-2024-2027.pdf,corpus/oh_columbus/oh_columbus_afscme1632_cba_2024_2027.pdf,oh_columbus_other_2024 (occupation_class pending recognition-clause read),other,yes,"Recognition clause, bargaining-unit description, coverage article, covered classifications, wage schedule, and appendices/classification lists.",cba,causal,public_download,unknown,corpus_direct,no,no,"Official Columbus PDF returned HTTP 200 and is specific enough for later acquisition, subject to recognition-clause-first classification.",yes,Exact occupation-class composition (clerical vs. public-works vs. mixed) not yet read in depth -- confirm via recognition clause before final classification,yes,"Dry-run planning row only; no document downloaded, stored, ingested, or added to corpus/inbox."
