issue_id,file,row_identifier,field,old_value,new_value,action_taken,rationale,evidence_checked,confidence,validation_status,notes
MC01,data/contracts.csv,ma_arlington_public_works_2015,comparability_clause_flag,1,0,applied,Non-wage (workers'-comp) comparable clause; user Decision 1 requires flag=0.,direct data/contracts.csv read,high,pass,Extended from proposed needs_followup row per Decision 1.
MC01,data/contracts.csv,ma_arlington_public_works_2015,comparability_referent,,workers' compensation / line-of-duty medical-provider comparability (non-wage),applied,Preserves non-wage finding per Decision 1's notes-field instruction.,direct data/contracts.csv read,high,pass,
MC01,data/contracts.csv,ma_arlington_public_works_2018,comparability_clause_flag,1,0,applied,Identical non-wage clause to the 2015 cycle.,direct data/contracts.csv read,high,pass,Extended from proposed needs_followup row per Decision 1.
MC01,data/contracts.csv,ma_arlington_public_works_2018,comparability_referent,,workers' compensation / line-of-duty medical-provider comparability (non-wage),applied,Preserves non-wage finding.,direct data/contracts.csv read,high,pass,
MC06,data/contracts.csv,ma_arlington_public_works_2015,interest_arbitration_flag,1,0,applied,"Clause is civil-service suspension/dismissal grievance arbitration, not interest arbitration.",direct csv read of arbitration_clause_text,high,pass,
MC06,data/contracts.csv,ma_arlington_public_works_2018,interest_arbitration_flag,1,0,applied,Identical clause text to the 2015 cycle.,direct csv read of arbitration_clause_text,high,pass,
MC06,data/contracts.csv,ma_seekonk_public_works_2023,interest_arbitration_flag,1,0,applied,Clause states verbatim 'Final binding arbitration will prevail on grievances only.',direct csv read of arbitration_clause_text,high,pass,
MC02,data/contracts.csv,ma_boston_clerical_admin_2023,longevity_detail,Full base CBA. City-wide administrative/clerical unit; merged units include SENA 9158E (Public Facilities/DND) and 9158F (BCYF). Has no-strike and binding arbitration clauses.,,applied,"Misplaced general unit-description text, not longevity detail; longevity_pay_flag is also blank for this row.",field-by-field csv.DictReader read vs docs/schema.md,high,pass,Content moved to total_comp_note (paired edit below).
MC02,data/contracts.csv,ma_boston_clerical_admin_2023,total_comp_note,MA G.L. c. 1078 (JLMC),Full base CBA. City-wide administrative/clerical unit; merged units include SENA 9158E (Public Facilities/DND) and 9158F (BCYF). Has no-strike and binding arbitration clauses.,applied,Removes false-positive JLMC citation from a JLMC-ineligible occupation class; installs the correctly-homed general note.,direct csv read; ma_clerical_admin_bargaining_impasse_context_2026-07-05.md,high,pass,Paired with longevity_detail edit above.
MC02,data/contracts.csv,ma_boston_clerical_admin_2023,binding_arbitration_statute,clean,MA G.L. c. 150E,applied,"'clean' is a text_quality value, not a statute name. Direct PDF re-verification this session confirmed 'Chapter 150E' / 'M.G.L. c. 150E' at 3 locations in the source document.","pdftotext re-extraction of corpus/ma_boston/ma_boston_clerical_sena9158_cba_2023_2027.pdf this session (lines 95, 485, 1047); cross-corpus pattern check",high (upgraded from audit's medium-high after direct PDF re-verification),pass,Audit required this verification step before writing; completed this session.
MC02,data/contracts.csv,ma_boston_clerical_admin_2023,interest_arbitration_flag,1,0,applied,arbitration_clause_text is pure grievance-procedure definitional language; clerical/admin is JLMC-ineligible.,direct csv read; ma_clerical_admin_bargaining_impasse_context_2026-07-05.md,high,pass,
MC08,data/contracts.csv,ma_somerville_police_spsoa_2012,comparability_text,B. The reasonable suspicion standard for drug testing is based upon a specific objective fact(s)... comparable fact patterns:,"In
reaching the conclusions in the present award, the
Arbitration Panel has considered the criteria set forth in
the statute including the municipality's ability to pay,
wages and benefits of comparable towns, and the cost of
living.",applied,"Re-extracted verbatim wage-comparator span already present in this row's own arbitration_clause_text, replacing an unrelated drug-testing clause.",direct csv read; exact verbatim substring located programmatically,high,pass,
MC08,data/contracts.csv,ma_somerville_police_spsoa_2012,comparability_referent,,comparable towns (statutory interest-arbitration criterion: wages and benefits of comparable towns),applied,Names the referent per docs/schema.md's quote-don't-interpret instruction.,direct csv read of arbitration_clause_text,high,pass,
MC08,data/contracts.csv,ma_somerville_police_spea_2012,comparability_text,B. The reasonable suspicion standard for drug testing is based upon a specific objective fact(s)... comparable fact patterns,"In
reaching the conclusions in the present award, the
Arbitration Panel has considered the criteria set forth in
the statute including the municipality's ability to pay,
wages and benefits of comparable towns, and the cost of
living.",applied,Identical treatment to the SPSOA row; both awards share the same boilerplate analysis-and-issues language.,direct csv read,high,pass,
