worker_id,future_live_queue_id,state,municipality,municipality_id,census_gov_id,government_name,government_type,geography_type,population,county_relationship_count,multi_county_flag,county_context_summary,priority_rank,selection_bucket,selection_reason,claim_or_source_need_connection,expected_units_to_search,verification_notes,recommended_scout_status,already_scouted_status,coverage_status_before_run
worker_2,COORD-SERIAL150-WAVE2-2026-07-22,TX,Cedar Park,cog_2025_176426,176426,CITY OF CEDAR PARK,municipal,place,77516,2,yes,Travis County [48453; county; government-units-primary=no; basis=2020_place_by_county] | Williamson County [48491; county; government-units-primary=yes; basis=2020_place_by_county],1,largest_remaining_place_employer,"Population-ranked eligible city employer (77,516; batch rank 1) for Texas institutional and municipal-employer contrast, after excluding 53 successfully scout-covered municipalities, all current failure-only rows, queue/canonical overlap, and prohibited employer types.",CLM-2026-07-12-02; CLM-2026-07-12-04; CLM-2026-07-12-05; CLM-2026-07-12-08; H1; H3; H4; H6,"municipal police; municipal fire only when the exact target municipality is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material when available; prioritize mutually overlapping 2014-2024 cycles; if no ordinary non-safety CBA exists, return no qualifying CBA rather than substituting an advisory, school, county, authority, or private source","Scout-stage only. Target exactly CITY OF CEDAR PARK (Census government ID 176426; internal municipality ID cog_2025_176426). County context: Travis County [48453; county; government-units-primary=no; basis=2020_place_by_county] | Williamson County [48491; county; government-units-primary=yes; basis=2020_place_by_county]. Exclude counties, school districts, transit agencies, port/airport authorities, housing authorities, park districts, township governments, industrial districts, fire/water/utility and other special districts, regional bodies, universities, state/federal employers, and private providers. If safety service is supplied by another employer, do not attribute that unit to the municipality. A safety agreement cannot satisfy the non-safety request. Do not make or recommend a public-records request. Allow an empty candidate list. Apply exact employer, unit, cycle, and duplicate controls; do not invent or repeat a known source. No source URL was opened during selection. Later verification—not this scout—must confirm employer, unit, provenance, execution/completeness, visible 2014-2024 dates, wage content, duplicates, access, and mutual cycle overlap.",locked_for_wave2_worker_prep_dry_run_only,no,not_scouted
worker_2,COORD-SERIAL150-WAVE2-2026-07-22,TX,Missouri City,cog_2025_176130,176130,CITY OF MISSOURI CITY,municipal,place,76773,2,yes,Fort Bend County [48157; county; government-units-primary=yes; basis=2020_place_by_county] | Harris County [48201; county; government-units-primary=no; basis=2020_place_by_county],2,largest_remaining_place_employer,"Population-ranked eligible city employer (76,773; batch rank 2) for Texas institutional and municipal-employer contrast, after excluding 53 successfully scout-covered municipalities, all current failure-only rows, queue/canonical overlap, and prohibited employer types.",CLM-2026-07-12-02; CLM-2026-07-12-04; CLM-2026-07-12-05; CLM-2026-07-12-08; H1; H3; H4; H6,"municipal police; municipal fire only when the exact target municipality is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material when available; prioritize mutually overlapping 2014-2024 cycles; if no ordinary non-safety CBA exists, return no qualifying CBA rather than substituting an advisory, school, county, authority, or private source","Scout-stage only. Target exactly CITY OF MISSOURI CITY (Census government ID 176130; internal municipality ID cog_2025_176130). County context: Fort Bend County [48157; county; government-units-primary=yes; basis=2020_place_by_county] | Harris County [48201; county; government-units-primary=no; basis=2020_place_by_county]. Exclude counties, school districts, transit agencies, port/airport authorities, housing authorities, park districts, township governments, industrial districts, fire/water/utility and other special districts, regional bodies, universities, state/federal employers, and private providers. If safety service is supplied by another employer, do not attribute that unit to the municipality. A safety agreement cannot satisfy the non-safety request. Do not make or recommend a public-records request. Allow an empty candidate list. Apply exact employer, unit, cycle, and duplicate controls; do not invent or repeat a known source. No source URL was opened during selection. Later verification—not this scout—must confirm employer, unit, provenance, execution/completeness, visible 2014-2024 dates, wage content, duplicates, access, and mutual cycle overlap.",locked_for_wave2_worker_prep_dry_run_only,no,not_scouted
worker_2,COORD-SERIAL150-WAVE2-2026-07-22,TX,San Marcos,cog_2025_176186,176186,CITY OF SAN MARCOS,municipal,place,71569,3,yes,Caldwell County [48055; county; government-units-primary=no; basis=2020_place_by_county] | Guadalupe County [48187; county; government-units-primary=no; basis=2020_place_by_county] | Hays County [48209; county; government-units-primary=yes; basis=2020_place_by_county],3,largest_remaining_place_employer,"Population-ranked eligible city employer (71,569; batch rank 3) for Texas institutional and municipal-employer contrast, after excluding 53 successfully scout-covered municipalities, all current failure-only rows, queue/canonical overlap, and prohibited employer types.",CLM-2026-07-12-02; CLM-2026-07-12-04; CLM-2026-07-12-05; CLM-2026-07-12-08; H1; H3; H4; H6,"municipal police; municipal fire only when the exact target municipality is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material when available; prioritize mutually overlapping 2014-2024 cycles; if no ordinary non-safety CBA exists, return no qualifying CBA rather than substituting an advisory, school, county, authority, or private source","Scout-stage only. Target exactly CITY OF SAN MARCOS (Census government ID 176186; internal municipality ID cog_2025_176186). County context: Caldwell County [48055; county; government-units-primary=no; basis=2020_place_by_county] | Guadalupe County [48187; county; government-units-primary=no; basis=2020_place_by_county] | Hays County [48209; county; government-units-primary=yes; basis=2020_place_by_county]. Exclude counties, school districts, transit agencies, port/airport authorities, housing authorities, park districts, township governments, industrial districts, fire/water/utility and other special districts, regional bodies, universities, state/federal employers, and private providers. If safety service is supplied by another employer, do not attribute that unit to the municipality. A safety agreement cannot satisfy the non-safety request. Do not make or recommend a public-records request. Allow an empty candidate list. Apply exact employer, unit, cycle, and duplicate controls; do not invent or repeat a known source. No source URL was opened during selection. Later verification—not this scout—must confirm employer, unit, provenance, execution/completeness, visible 2014-2024 dates, wage content, duplicates, access, and mutual cycle overlap.",locked_for_wave2_worker_prep_dry_run_only,no,not_scouted
worker_2,COORD-SERIAL150-WAVE2-2026-07-22,TX,Harlingen,cog_2025_135107,135107,CITY OF HARLINGEN,municipal,place,71510,1,no,Cameron County [48061; county; government-units-primary=yes; basis=2020_place_by_county],4,largest_remaining_place_employer,"Population-ranked eligible city employer (71,510; batch rank 4) for Texas institutional and municipal-employer contrast, after excluding 53 successfully scout-covered municipalities, all current failure-only rows, queue/canonical overlap, and prohibited employer types.",CLM-2026-07-12-02; CLM-2026-07-12-04; CLM-2026-07-12-05; CLM-2026-07-12-08; H1; H3; H4; H6,"municipal police; municipal fire only when the exact target municipality is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material when available; prioritize mutually overlapping 2014-2024 cycles; if no ordinary non-safety CBA exists, return no qualifying CBA rather than substituting an advisory, school, county, authority, or private source","Scout-stage only. Target exactly CITY OF HARLINGEN (Census government ID 135107; internal municipality ID cog_2025_135107). County context: Cameron County [48061; county; government-units-primary=yes; basis=2020_place_by_county]. Exclude counties, school districts, transit agencies, port/airport authorities, housing authorities, park districts, township governments, industrial districts, fire/water/utility and other special districts, regional bodies, universities, state/federal employers, and private providers. If safety service is supplied by another employer, do not attribute that unit to the municipality. A safety agreement cannot satisfy the non-safety request. Do not make or recommend a public-records request. Allow an empty candidate list. Apply exact employer, unit, cycle, and duplicate controls; do not invent or repeat a known source. No source URL was opened during selection. Later verification—not this scout—must confirm employer, unit, provenance, execution/completeness, visible 2014-2024 dates, wage content, duplicates, access, and mutual cycle overlap.",locked_for_wave2_worker_prep_dry_run_only,no,not_scouted
worker_2,COORD-SERIAL150-WAVE2-2026-07-22,TX,North Richland Hills,cog_2025_191632,191632,CITY OF NORTH RICHLAND HILLS,municipal,place,70658,1,no,Tarrant County [48439; county; government-units-primary=yes; basis=2020_place_by_county],5,largest_remaining_place_employer,"Population-ranked eligible city employer (70,658; batch rank 5) for Texas institutional and municipal-employer contrast, after excluding 53 successfully scout-covered municipalities, all current failure-only rows, queue/canonical overlap, and prohibited employer types.",CLM-2026-07-12-02; CLM-2026-07-12-04; CLM-2026-07-12-05; CLM-2026-07-12-08; H1; H3; H4; H6,"municipal police; municipal fire only when the exact target municipality is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material when available; prioritize mutually overlapping 2014-2024 cycles; if no ordinary non-safety CBA exists, return no qualifying CBA rather than substituting an advisory, school, county, authority, or private source","Scout-stage only. Target exactly CITY OF NORTH RICHLAND HILLS (Census government ID 191632; internal municipality ID cog_2025_191632). County context: Tarrant County [48439; county; government-units-primary=yes; basis=2020_place_by_county]. Exclude counties, school districts, transit agencies, port/airport authorities, housing authorities, park districts, township governments, industrial districts, fire/water/utility and other special districts, regional bodies, universities, state/federal employers, and private providers. If safety service is supplied by another employer, do not attribute that unit to the municipality. A safety agreement cannot satisfy the non-safety request. Do not make or recommend a public-records request. Allow an empty candidate list. Apply exact employer, unit, cycle, and duplicate controls; do not invent or repeat a known source. No source URL was opened during selection. Later verification—not this scout—must confirm employer, unit, provenance, execution/completeness, visible 2014-2024 dates, wage content, duplicates, access, and mutual cycle overlap.",locked_for_wave2_worker_prep_dry_run_only,no,not_scouted
worker_2,COORD-SERIAL150-WAVE2-2026-07-22,TX,Rowlett,cog_2025_176081,176081,CITY OF ROWLETT,municipal,place,66813,2,yes,Dallas County [48113; county; government-units-primary=yes; basis=2020_place_by_county] | Rockwall County [48397; county; government-units-primary=no; basis=2020_place_by_county],6,largest_remaining_place_employer,"Population-ranked eligible city employer (66,813; batch rank 6) for Texas institutional and municipal-employer contrast, after excluding 53 successfully scout-covered municipalities, all current failure-only rows, queue/canonical overlap, and prohibited employer types.",CLM-2026-07-12-02; CLM-2026-07-12-04; CLM-2026-07-12-05; CLM-2026-07-12-08; H1; H3; H4; H6,"municipal police; municipal fire only when the exact target municipality is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material when available; prioritize mutually overlapping 2014-2024 cycles; if no ordinary non-safety CBA exists, return no qualifying CBA rather than substituting an advisory, school, county, authority, or private source","Scout-stage only. Target exactly CITY OF ROWLETT (Census government ID 176081; internal municipality ID cog_2025_176081). County context: Dallas County [48113; county; government-units-primary=yes; basis=2020_place_by_county] | Rockwall County [48397; county; government-units-primary=no; basis=2020_place_by_county]. Exclude counties, school districts, transit agencies, port/airport authorities, housing authorities, park districts, township governments, industrial districts, fire/water/utility and other special districts, regional bodies, universities, state/federal employers, and private providers. If safety service is supplied by another employer, do not attribute that unit to the municipality. A safety agreement cannot satisfy the non-safety request. Do not make or recommend a public-records request. Allow an empty candidate list. Apply exact employer, unit, cycle, and duplicate controls; do not invent or repeat a known source. No source URL was opened during selection. Later verification—not this scout—must confirm employer, unit, provenance, execution/completeness, visible 2014-2024 dates, wage content, duplicates, access, and mutual cycle overlap.",locked_for_wave2_worker_prep_dry_run_only,no,not_scouted
worker_2,COORD-SERIAL150-WAVE2-2026-07-22,TX,Victoria,cog_2025_191634,191634,CITY OF VICTORIA,municipal,place,65800,1,no,Victoria County [48469; county; government-units-primary=yes; basis=2020_place_by_county],7,largest_remaining_place_employer,"Population-ranked eligible city employer (65,800; batch rank 7) for Texas institutional and municipal-employer contrast, after excluding 53 successfully scout-covered municipalities, all current failure-only rows, queue/canonical overlap, and prohibited employer types.",CLM-2026-07-12-02; CLM-2026-07-12-04; CLM-2026-07-12-05; CLM-2026-07-12-08; H1; H3; H4; H6,"municipal police; municipal fire only when the exact target municipality is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material when available; prioritize mutually overlapping 2014-2024 cycles; if no ordinary non-safety CBA exists, return no qualifying CBA rather than substituting an advisory, school, county, authority, or private source","Scout-stage only. Target exactly CITY OF VICTORIA (Census government ID 191634; internal municipality ID cog_2025_191634). County context: Victoria County [48469; county; government-units-primary=yes; basis=2020_place_by_county]. Exclude counties, school districts, transit agencies, port/airport authorities, housing authorities, park districts, township governments, industrial districts, fire/water/utility and other special districts, regional bodies, universities, state/federal employers, and private providers. If safety service is supplied by another employer, do not attribute that unit to the municipality. A safety agreement cannot satisfy the non-safety request. Do not make or recommend a public-records request. Allow an empty candidate list. Apply exact employer, unit, cycle, and duplicate controls; do not invent or repeat a known source. No source URL was opened during selection. Later verification—not this scout—must confirm employer, unit, provenance, execution/completeness, visible 2014-2024 dates, wage content, duplicates, access, and mutual cycle overlap.",locked_for_wave2_worker_prep_dry_run_only,no,not_scouted
worker_2,COORD-SERIAL150-WAVE2-2026-07-22,TX,Pflugerville,cog_2025_205488,205488,CITY OF PFLUGERVILLE,municipal,place,65301,2,yes,Travis County [48453; county; government-units-primary=yes; basis=2020_place_by_county] | Williamson County [48491; county; government-units-primary=no; basis=2020_place_by_county],8,largest_remaining_place_employer,"Population-ranked eligible city employer (65,301; batch rank 8) for Texas institutional and municipal-employer contrast, after excluding 53 successfully scout-covered municipalities, all current failure-only rows, queue/canonical overlap, and prohibited employer types.",CLM-2026-07-12-02; CLM-2026-07-12-04; CLM-2026-07-12-05; CLM-2026-07-12-08; H1; H3; H4; H6,"municipal police; municipal fire only when the exact target municipality is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material when available; prioritize mutually overlapping 2014-2024 cycles; if no ordinary non-safety CBA exists, return no qualifying CBA rather than substituting an advisory, school, county, authority, or private source","Scout-stage only. Target exactly CITY OF PFLUGERVILLE (Census government ID 205488; internal municipality ID cog_2025_205488). County context: Travis County [48453; county; government-units-primary=yes; basis=2020_place_by_county] | Williamson County [48491; county; government-units-primary=no; basis=2020_place_by_county]. Exclude counties, school districts, transit agencies, port/airport authorities, housing authorities, park districts, township governments, industrial districts, fire/water/utility and other special districts, regional bodies, universities, state/federal employers, and private providers. If safety service is supplied by another employer, do not attribute that unit to the municipality. A safety agreement cannot satisfy the non-safety request. Do not make or recommend a public-records request. Allow an empty candidate list. Apply exact employer, unit, cycle, and duplicate controls; do not invent or repeat a known source. No source URL was opened during selection. Later verification—not this scout—must confirm employer, unit, provenance, execution/completeness, visible 2014-2024 dates, wage content, duplicates, access, and mutual cycle overlap.",locked_for_wave2_worker_prep_dry_run_only,no,not_scouted
worker_2,COORD-SERIAL150-WAVE2-2026-07-22,TX,Kyle,cog_2025_212232,212232,CITY OF KYLE,municipal,place,62548,1,no,Hays County [48209; county; government-units-primary=yes; basis=2020_place_by_county],9,largest_remaining_place_employer,"Population-ranked eligible city employer (62,548; batch rank 9) for Texas institutional and municipal-employer contrast, after excluding 53 successfully scout-covered municipalities, all current failure-only rows, queue/canonical overlap, and prohibited employer types.",CLM-2026-07-12-02; CLM-2026-07-12-04; CLM-2026-07-12-05; CLM-2026-07-12-08; H1; H3; H4; H6,"municipal police; municipal fire only when the exact target municipality is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material when available; prioritize mutually overlapping 2014-2024 cycles; if no ordinary non-safety CBA exists, return no qualifying CBA rather than substituting an advisory, school, county, authority, or private source","Scout-stage only. Target exactly CITY OF KYLE (Census government ID 212232; internal municipality ID cog_2025_212232). County context: Hays County [48209; county; government-units-primary=yes; basis=2020_place_by_county]. Exclude counties, school districts, transit agencies, port/airport authorities, housing authorities, park districts, township governments, industrial districts, fire/water/utility and other special districts, regional bodies, universities, state/federal employers, and private providers. If safety service is supplied by another employer, do not attribute that unit to the municipality. A safety agreement cannot satisfy the non-safety request. Do not make or recommend a public-records request. Allow an empty candidate list. Apply exact employer, unit, cycle, and duplicate controls; do not invent or repeat a known source. No source URL was opened during selection. Later verification—not this scout—must confirm employer, unit, provenance, execution/completeness, visible 2014-2024 dates, wage content, duplicates, access, and mutual cycle overlap.",locked_for_wave2_worker_prep_dry_run_only,no,not_scouted
worker_2,COORD-SERIAL150-WAVE2-2026-07-22,TX,Wylie,cog_2025_209557,209557,CITY OF WYLIE,municipal,place,61078,3,yes,Collin County [48085; county; government-units-primary=yes; basis=2020_place_by_county] | Dallas County [48113; county; government-units-primary=no; basis=2020_place_by_county] | Rockwall County [48397; county; government-units-primary=no; basis=2020_place_by_county],10,largest_remaining_place_employer,"Population-ranked eligible city employer (61,078; batch rank 10) for Texas institutional and municipal-employer contrast, after excluding 53 successfully scout-covered municipalities, all current failure-only rows, queue/canonical overlap, and prohibited employer types.",CLM-2026-07-12-02; CLM-2026-07-12-04; CLM-2026-07-12-05; CLM-2026-07-12-08; H1; H3; H4; H6,"municipal police; municipal fire only when the exact target municipality is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material when available; prioritize mutually overlapping 2014-2024 cycles; if no ordinary non-safety CBA exists, return no qualifying CBA rather than substituting an advisory, school, county, authority, or private source","Scout-stage only. Target exactly CITY OF WYLIE (Census government ID 209557; internal municipality ID cog_2025_209557). County context: Collin County [48085; county; government-units-primary=yes; basis=2020_place_by_county] | Dallas County [48113; county; government-units-primary=no; basis=2020_place_by_county] | Rockwall County [48397; county; government-units-primary=no; basis=2020_place_by_county]. Exclude counties, school districts, transit agencies, port/airport authorities, housing authorities, park districts, township governments, industrial districts, fire/water/utility and other special districts, regional bodies, universities, state/federal employers, and private providers. If safety service is supplied by another employer, do not attribute that unit to the municipality. A safety agreement cannot satisfy the non-safety request. Do not make or recommend a public-records request. Allow an empty candidate list. Apply exact employer, unit, cycle, and duplicate controls; do not invent or repeat a known source. No source URL was opened during selection. Later verification—not this scout—must confirm employer, unit, provenance, execution/completeness, visible 2014-2024 dates, wage content, duplicates, access, and mutual cycle overlap.",locked_for_wave2_worker_prep_dry_run_only,no,not_scouted
