state,city,source_role,occupation_class_candidate,source_type_candidate,candidate_title,candidate_url,source_owner,expected_years,causal_candidate,matched_triad_value,claim_ids_served,hypotheses_served,expected_text_quality,access_notes,selection_priority,notes
Pennsylvania,Philadelphia,police,police,cba,FOP Lodge 5 Contracts page (current CBA / Act 111 award summary),https://fop5.org/contracts/,union_local_fop5,2022-2025 (current listing),yes,high,CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-06,H1;H2;H4;H7,clean,Public union site; contract/award PDFs linked directly from this page.,ingest_next,Strongest PA police source found; pairs with IAFF Local 22 and city-posted arbitration award below.
Pennsylvania,Philadelphia,police,police,arbitration_award,City & FOP Sign Three Year Contract (Act 111 award announcement),https://www.phila.gov/documents/city-fop-sign-three-year-contract/,city_phila_gov,current cycle,yes,high,CLM-2026-07-12-01;CLM-2026-07-12-06,H2;H7,clean,"Official city page; confirm linked award PDF is the full arbitrator award, not just a press release.",ingest_next,"City-hosted, high provenance quality."
Pennsylvania,Philadelphia,fire,fire,cba,IAFF Local 22 Consolidated Contract (unofficial consolidated CBA),https://iaff22webcmslive.velarium.com/UploadedDocuments/CMS_doc/NotOfficial-Local22ConsolidatedContract.pdf,union_local_iaff22,multi-cycle consolidated,yes,high,CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-06,H1;H2;H4;H7,clean,Document itself is labeled 'NotOfficial' consolidated reference; verify against an official/city-posted version before ingest.,ingest_next,Direct PDF found; pairs with FOP Lodge 5 and city arbitration award for a police+fire pair.
Pennsylvania,Philadelphia,fire,fire,arbitration_award,"Interest Arbitration Award, City and IAFF Local 22",https://www.phila.gov/documents/interest-arbitration-award-city-and-iaff-local-22/,city_phila_gov,2017-2020 award (per search snippet),yes,high,CLM-2026-07-12-01;CLM-2026-07-12-06;CLM-2026-07-12-07,H2;H5;H7,clean,Official city page hosting an Act 111 interest-arbitration award; strong provenance.,ingest_next,City-hosted award; directly useful for the interest-arbitration/comparator hypotheses.
Pennsylvania,Philadelphia,non_safety_general,other,cba,AFSCME District Council 33 contract materials (blue-collar municipal),https://www.afscme33.org/system/files/2025dc33contractproposaltocity.pdf,union_local_dc33,2025 proposal; FY25 1-year deal referenced on phila.gov,maybe,high,CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05,H1;H3;H7,unknown,"Located page is a contract *proposal*, not a signed CBA; phila.gov news pages confirm a signed FY2025 agreement exists but a direct signed-CBA PDF was not located in this scan. Recognition-clause-first: occupation_class provisional other until unit coverage is read.",needs_review,Best current non-safety match candidate for Philadelphia; DC47 (white-collar) is a second non-safety union to check.
Pennsylvania,Philadelphia,non_safety_general,other,context_only,AFSCME District Council 47 homepage (white-collar municipal union),https://dc47.org/,union_local_dc47,unknown,no,medium,CLM-2026-07-12-05,H3,unknown,Homepage only; a CBA PDF found on this domain during the scan (AFSCME590-Contract-2021_2026.pdf) did not clearly identify as City of Philadelphia DC47 itself and needs direct verification before use.,needs_review,Second non-safety union to verify for Philadelphia triad; not yet a document-level candidate.
Pennsylvania,Pittsburgh,police,police,cba,"Pittsburgh Police FOP Fort Pitt Lodge 1 Working Agreement (2019-2022), third-party host",https://www.scribd.com/document/534477367/Pittsburgh-Police-Union-Contract-1-1-19-12-31-22,third_party_host_scribd,2019-2022,maybe,high,CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-06,H1;H2;H4;H7,ocr_messy,"Hosted on Scribd, not an official city/union domain; treat as provisional until an official-source copy is found (city HR/OMB site or FOP site).",needs_review,Ballotpedia also summarizes a newer 2023-2025 agreement; use that as a lead to find the official document.
Pennsylvania,Pittsburgh,police,police,context_only,"Police union collective bargaining agreement for Pittsburgh, PA (2023-2025) — Ballotpedia summary","https://ballotpedia.org/Police_union_collective_bargaining_agreement_for_the_city_of_Pittsburgh,_Pennsylvania_(2023-2025)",third_party_encyclopedia,2023-2025,no,medium,CLM-2026-07-12-01,H2,clean,"Encyclopedia summary, not the underlying agreement text; useful only to locate/verify the primary document.",needs_review,Use to cross-check dates before ingesting the Scribd copy or an official copy.
Pennsylvania,Pittsburgh,fire,fire,context_only,Pittsburgh Fire Fighters IAFF Local 1 homepage,https://pittsburghfirefighters.org/,union_local_iaff1,unknown,no,medium,CLM-2026-07-12-01,H2,unknown,No CBA document link surfaced in this scan; site may host one behind navigation not indexed by search.,needs_review,Fire leg of the Pittsburgh triad is not yet document-level; follow up directly on this site.
Pennsylvania,Pittsburgh,non_safety_general,other,context_only,City of Pittsburgh 2024 Operating Budget (references AFSCME Local 2719 grade/step plan appendix),https://www.pittsburghpa.gov/files/assets/city/v/1/omb/documents/operating-budgets/24731_2024_operating_budget_2.pdf,city_pittsburghpa_gov,FY2024,no,medium,CLM-2026-07-12-05,H3,clean,"Budget document, not the CBA itself; confirms AFSCME Local 2719 represents non-safety city employees and that a wage schedule exists, but the CBA text is not this document.",needs_review,"Use to identify AFSCME Local 2719 as the non-safety target union, then search city HR/OMB pages directly for the signed CBA."
