run_id,state,municipality_count,parseable_count,failed_count,candidate_row_count,input_tokens_total,reasoning_tokens_total,output_tokens_total,total_tokens_total,estimated_input_cost,estimated_output_cost,estimated_total_cost,estimate_only
all_2026-07-23_153758,CT,1,1,0,1,23120,1207,1785,24905,0.004624,0.00223125,0.00685525,true
all_2026-07-23_153758,FL,30,30,0,41,727428,29029,46919,774347,0.1454856,0.05864875,0.20413435,true
all_2026-07-23_153758,IA,5,4,1,12,111977,4701,9689,121666,0.0223954,0.01211125,0.03450665,true
all_2026-07-23_153758,IN,2,2,0,3,64718,3510,4938,69656,0.0129436,0.0061725,0.0191161,true
all_2026-07-23_153758,KY,1,1,0,1,18918,1104,1606,20524,0.0037836,0.0020075,0.0057911,true
all_2026-07-23_153758,MA,17,17,0,45,470638,23644,41852,512490,0.0941276,0.052315,0.1464426,true
all_2026-07-23_153758,MD,3,3,0,7,94582,3421,6270,100852,0.0189164,0.0078375,0.0267539,true
all_2026-07-23_153758,MI,8,8,0,18,242969,9819,17095,260064,0.0485938,0.02136875,0.06996255,true
all_2026-07-23_153758,MT,2,2,0,7,66987,3111,5892,72879,0.0133974,0.007365,0.0207624,true
all_2026-07-23_153758,NE,1,1,0,1,31900,1192,1802,33702,0.00638,0.0022525,0.0086325,true
all_2026-07-23_153758,NM,6,6,0,12,174102,7227,12554,186656,0.0348204,0.0156925,0.0505129,true
all_2026-07-23_153758,OH,40,40,0,133,1407667,59793,115722,1523389,0.2815334,0.1446525,0.4261859,true
all_2026-07-23_153758,OR,9,9,0,24,299555,12858,22967,322522,0.059911,0.02870875,0.08861975,true
all_2026-07-23_153758,RI,3,3,0,10,76700,3383,7353,84053,0.01534,0.00919125,0.02453125,true
all_2026-07-23_153758,SD,1,1,0,4,44430,2316,4087,48517,0.008886,0.00510875,0.01399475,true
all_2026-07-23_153758,WA,14,14,0,37,366011,17836,32660,398671,0.0732022,0.040825,0.1140272,true
all_2026-07-23_153758,WI,7,7,0,21,325243,13905,22616,347859,0.0650486,0.02827,0.0933186,true
