wave_id,state,municipality,municipality_id,census_gov_id,government_name,government_type,geography_type,population,county_relationship_count,multi_county_flag,county_context_summary,priority_rank,selection_bucket,selection_reason,claim_or_source_need_connection,expected_units_to_search,verification_notes,recommended_scout_status,already_scouted_status,coverage_status_before_run,worker_id,parallel_stage,scout_purpose,anchor_cycle,known_source_cycle_exclusions,known_source_notes,known_source_urls
PARALLEL-STAGE1-W01-CA25.2-2026-07-21,CA,Irvine,cog_2025_161229,161229,CITY OF IRVINE,municipal,place,314621,1,no,Orange County [06059; county; government-units-primary=yes; basis=2020_place_by_county],1,large_city_state_anchor,Largest untouched CA municipal/place employer; adds an Orange County police/civilian comparison while requiring exact city-unit identity.,"Stage 1 parallel national discovery in CA: seek a within-municipality, mutually overlapping 2014-2024 safety/ordinary-civilian source set and preserve mechanism leads without treating scout metadata as evidence.","municipal police CBA; municipal fire CBA only when the exact target city/town/borough is the employer; one ordinary general-municipal non-safety CBA such as clerical, public works, library, sanitation, or citywide civilian; public arbitration, factfinding, impasse, or other binding wage-setting material","Scout-stage only. Target exactly CITY OF IRVINE (Census government ID 161229). Exclude Orange County, school districts, transit agencies, port/airport authorities, housing authorities, park districts, township governments, fire/water/utility or other special districts, regional bodies, universities, state/federal employers, and private providers. If fire or police service is supplied by another employer, do not attribute that unit to the municipality; an exact municipal safety unit plus an ordinary municipal civilian unit can still be useful. A safety agreement cannot satisfy the non-safety request. Do not make or recommend a public-records request. Allow an empty candidate list. Later verification—not this scout—must confirm employer, unit, provenance, execution/completeness, dates, wages, duplicates, access, and mutual cycle overlap.",locked_for_stage1_worker,no,not_scouted,parallel_worker_01,stage_1_two_parallel_25,matched_comparison_repair,No canonical anchor cycle is supplied. Seek visibly supported overlapping 2014-2024 municipal safety and ordinary-non-safety cycles; label non-overlap or unclear year evidence instead of inferring dates.,None recorded: no current national queue row or successful scout coverage for CITY OF IRVINE as of the locked 2026-07-21 pre-run snapshot.,No source URL was opened during selection. Duplicate checks remain required against returned rows and the coordinator's pre-merge national queue.,
PARALLEL-STAGE1-W01-CA25.2-2026-07-21,CA,Santa Ana,cog_2025_100711,100711,CITY OF SANTA ANA,municipal,place,310539,1,no,Orange County [06059; county; government-units-primary=yes; basis=2020_place_by_county],2,large_city_state_anchor,Large Orange County seat and independent city employer with high safety-versus-civilian wage-setting relevance.,"Stage 1 parallel national discovery in CA: seek a within-municipality, mutually overlapping 2014-2024 safety/ordinary-civilian source set and preserve mechanism leads without treating scout metadata as evidence.","municipal police CBA; municipal fire CBA only when the exact target city/town/borough is the employer; one ordinary general-municipal non-safety CBA such as clerical, public works, library, sanitation, or citywide civilian; public arbitration, factfinding, impasse, or other binding wage-setting material","Scout-stage only. Target exactly CITY OF SANTA ANA (Census government ID 100711). Exclude Orange County, school districts, transit agencies, port/airport authorities, housing authorities, park districts, township governments, fire/water/utility or other special districts, regional bodies, universities, state/federal employers, and private providers. If fire or police service is supplied by another employer, do not attribute that unit to the municipality; an exact municipal safety unit plus an ordinary municipal civilian unit can still be useful. A safety agreement cannot satisfy the non-safety request. Do not make or recommend a public-records request. Allow an empty candidate list. Later verification—not this scout—must confirm employer, unit, provenance, execution/completeness, dates, wages, duplicates, access, and mutual cycle overlap.",locked_for_stage1_worker,no,not_scouted,parallel_worker_01,stage_1_two_parallel_25,matched_comparison_repair,No canonical anchor cycle is supplied. Seek visibly supported overlapping 2014-2024 municipal safety and ordinary-non-safety cycles; label non-overlap or unclear year evidence instead of inferring dates.,None recorded: no current national queue row or successful scout coverage for CITY OF SANTA ANA as of the locked 2026-07-21 pre-run snapshot.,No source URL was opened during selection. Duplicate checks remain required against returned rows and the coordinator's pre-merge national queue.,
PARALLEL-STAGE1-W01-CA25.2-2026-07-21,CA,Huntington Beach,cog_2025_100709,100709,CITY OF HUNTINGTON BEACH,municipal,place,192129,1,no,Orange County [06059; county; government-units-primary=yes; basis=2020_place_by_county],3,large_city_state_anchor,Large coastal Orange County city selected for an exact municipal public-safety and ordinary-civilian comparison.,"Stage 1 parallel national discovery in CA: seek a within-municipality, mutually overlapping 2014-2024 safety/ordinary-civilian source set and preserve mechanism leads without treating scout metadata as evidence.","municipal police CBA; municipal fire CBA only when the exact target city/town/borough is the employer; one ordinary general-municipal non-safety CBA such as clerical, public works, library, sanitation, or citywide civilian; public arbitration, factfinding, impasse, or other binding wage-setting material","Scout-stage only. Target exactly CITY OF HUNTINGTON BEACH (Census government ID 100709). Exclude Orange County, school districts, transit agencies, port/airport authorities, housing authorities, park districts, township governments, fire/water/utility or other special districts, regional bodies, universities, state/federal employers, and private providers. If fire or police service is supplied by another employer, do not attribute that unit to the municipality; an exact municipal safety unit plus an ordinary municipal civilian unit can still be useful. A safety agreement cannot satisfy the non-safety request. Do not make or recommend a public-records request. Allow an empty candidate list. Later verification—not this scout—must confirm employer, unit, provenance, execution/completeness, dates, wages, duplicates, access, and mutual cycle overlap.",locked_for_stage1_worker,no,not_scouted,parallel_worker_01,stage_1_two_parallel_25,matched_comparison_repair,No canonical anchor cycle is supplied. Seek visibly supported overlapping 2014-2024 municipal safety and ordinary-non-safety cycles; label non-overlap or unclear year evidence instead of inferring dates.,None recorded: no current national queue row or successful scout coverage for CITY OF HUNTINGTON BEACH as of the locked 2026-07-21 pre-run snapshot.,No source URL was opened during selection. Duplicate checks remain required against returned rows and the coordinator's pre-merge national queue.,
PARALLEL-STAGE1-W01-CA25.2-2026-07-21,CA,Glendale,cog_2025_161170,161170,CITY OF GLENDALE,municipal,place,187050,1,no,Los Angeles County [06037; county; government-units-primary=yes; basis=2020_place_by_county],4,large_city_state_anchor,Large Los Angeles County city employer selected as a clean contrast to the already-scouted City of Los Angeles.,"Stage 1 parallel national discovery in CA: seek a within-municipality, mutually overlapping 2014-2024 safety/ordinary-civilian source set and preserve mechanism leads without treating scout metadata as evidence.","municipal police CBA; municipal fire CBA only when the exact target city/town/borough is the employer; one ordinary general-municipal non-safety CBA such as clerical, public works, library, sanitation, or citywide civilian; public arbitration, factfinding, impasse, or other binding wage-setting material","Scout-stage only. Target exactly CITY OF GLENDALE (Census government ID 161170). Exclude Los Angeles County, school districts, transit agencies, port/airport authorities, housing authorities, park districts, township governments, fire/water/utility or other special districts, regional bodies, universities, state/federal employers, and private providers. If fire or police service is supplied by another employer, do not attribute that unit to the municipality; an exact municipal safety unit plus an ordinary municipal civilian unit can still be useful. A safety agreement cannot satisfy the non-safety request. Do not make or recommend a public-records request. Allow an empty candidate list. Later verification—not this scout—must confirm employer, unit, provenance, execution/completeness, dates, wages, duplicates, access, and mutual cycle overlap.",locked_for_stage1_worker,no,not_scouted,parallel_worker_01,stage_1_two_parallel_25,matched_comparison_repair,No canonical anchor cycle is supplied. Seek visibly supported overlapping 2014-2024 municipal safety and ordinary-non-safety cycles; label non-overlap or unclear year evidence instead of inferring dates.,None recorded: no current national queue row or successful scout coverage for CITY OF GLENDALE as of the locked 2026-07-21 pre-run snapshot.,No source URL was opened during selection. Duplicate checks remain required against returned rows and the coordinator's pre-merge national queue.,
PARALLEL-STAGE1-W01-CA25.2-2026-07-21,CA,Ontario,cog_2025_161246,161246,CITY OF ONTARIO,municipal,place,182457,1,no,San Bernardino County [06071; county; government-units-primary=yes; basis=2020_place_by_county],5,large_city_state_anchor,Large Inland Empire city selected for inland labor-market and municipal-employer diversity.,"Stage 1 parallel national discovery in CA: seek a within-municipality, mutually overlapping 2014-2024 safety/ordinary-civilian source set and preserve mechanism leads without treating scout metadata as evidence.","municipal police CBA; municipal fire CBA only when the exact target city/town/borough is the employer; one ordinary general-municipal non-safety CBA such as clerical, public works, library, sanitation, or citywide civilian; public arbitration, factfinding, impasse, or other binding wage-setting material","Scout-stage only. Target exactly CITY OF ONTARIO (Census government ID 161246). Exclude San Bernardino County, school districts, transit agencies, port/airport authorities, housing authorities, park districts, township governments, fire/water/utility or other special districts, regional bodies, universities, state/federal employers, and private providers. If fire or police service is supplied by another employer, do not attribute that unit to the municipality; an exact municipal safety unit plus an ordinary municipal civilian unit can still be useful. A safety agreement cannot satisfy the non-safety request. Do not make or recommend a public-records request. Allow an empty candidate list. Later verification—not this scout—must confirm employer, unit, provenance, execution/completeness, dates, wages, duplicates, access, and mutual cycle overlap.",locked_for_stage1_worker,no,not_scouted,parallel_worker_01,stage_1_two_parallel_25,matched_comparison_repair,No canonical anchor cycle is supplied. Seek visibly supported overlapping 2014-2024 municipal safety and ordinary-non-safety cycles; label non-overlap or unclear year evidence instead of inferring dates.,None recorded: no current national queue row or successful scout coverage for CITY OF ONTARIO as of the locked 2026-07-21 pre-run snapshot.,No source URL was opened during selection. Duplicate checks remain required against returned rows and the coordinator's pre-merge national queue.,
PARALLEL-STAGE1-W01-CA25.2-2026-07-21,CA,Elk Grove,cog_2025_200728,200728,CITY OF ELK GROVE,municipal,place,178444,1,no,Sacramento County [06067; county; government-units-primary=yes; basis=2020_place_by_county],6,large_city_state_anchor,Large Sacramento-region city selected for a newer suburban municipal-employer contrast; non-city districts must be excluded.,"Stage 1 parallel national discovery in CA: seek a within-municipality, mutually overlapping 2014-2024 safety/ordinary-civilian source set and preserve mechanism leads without treating scout metadata as evidence.","municipal police CBA; municipal fire CBA only when the exact target city/town/borough is the employer; one ordinary general-municipal non-safety CBA such as clerical, public works, library, sanitation, or citywide civilian; public arbitration, factfinding, impasse, or other binding wage-setting material","Scout-stage only. Target exactly CITY OF ELK GROVE (Census government ID 200728). Exclude Sacramento County, school districts, transit agencies, port/airport authorities, housing authorities, park districts, township governments, fire/water/utility or other special districts, regional bodies, universities, state/federal employers, and private providers. If fire or police service is supplied by another employer, do not attribute that unit to the municipality; an exact municipal safety unit plus an ordinary municipal civilian unit can still be useful. A safety agreement cannot satisfy the non-safety request. Do not make or recommend a public-records request. Allow an empty candidate list. Later verification—not this scout—must confirm employer, unit, provenance, execution/completeness, dates, wages, duplicates, access, and mutual cycle overlap.",locked_for_stage1_worker,no,not_scouted,parallel_worker_01,stage_1_two_parallel_25,matched_comparison_repair,No canonical anchor cycle is supplied. Seek visibly supported overlapping 2014-2024 municipal safety and ordinary-non-safety cycles; label non-overlap or unclear year evidence instead of inferring dates.,None recorded: no current national queue row or successful scout coverage for CITY OF ELK GROVE as of the locked 2026-07-21 pre-run snapshot.,No source URL was opened during selection. Duplicate checks remain required against returned rows and the coordinator's pre-merge national queue.,
PARALLEL-STAGE1-W01-CA25.2-2026-07-21,CA,Oceanside,cog_2025_161256,161256,CITY OF OCEANSIDE,municipal,place,170020,1,no,San Diego County [06073; county; government-units-primary=yes; basis=2020_place_by_county],7,large_city_state_anchor,Large northern San Diego County city selected for a coastal full-service municipal comparison.,"Stage 1 parallel national discovery in CA: seek a within-municipality, mutually overlapping 2014-2024 safety/ordinary-civilian source set and preserve mechanism leads without treating scout metadata as evidence.","municipal police CBA; municipal fire CBA only when the exact target city/town/borough is the employer; one ordinary general-municipal non-safety CBA such as clerical, public works, library, sanitation, or citywide civilian; public arbitration, factfinding, impasse, or other binding wage-setting material","Scout-stage only. Target exactly CITY OF OCEANSIDE (Census government ID 161256). Exclude San Diego County, school districts, transit agencies, port/airport authorities, housing authorities, park districts, township governments, fire/water/utility or other special districts, regional bodies, universities, state/federal employers, and private providers. If fire or police service is supplied by another employer, do not attribute that unit to the municipality; an exact municipal safety unit plus an ordinary municipal civilian unit can still be useful. A safety agreement cannot satisfy the non-safety request. Do not make or recommend a public-records request. Allow an empty candidate list. Later verification—not this scout—must confirm employer, unit, provenance, execution/completeness, dates, wages, duplicates, access, and mutual cycle overlap.",locked_for_stage1_worker,no,not_scouted,parallel_worker_01,stage_1_two_parallel_25,matched_comparison_repair,No canonical anchor cycle is supplied. Seek visibly supported overlapping 2014-2024 municipal safety and ordinary-non-safety cycles; label non-overlap or unclear year evidence instead of inferring dates.,None recorded: no current national queue row or successful scout coverage for CITY OF OCEANSIDE as of the locked 2026-07-21 pre-run snapshot.,No source URL was opened during selection. Duplicate checks remain required against returned rows and the coordinator's pre-merge national queue.,
PARALLEL-STAGE1-W01-CA25.2-2026-07-21,CA,Garden Grove,cog_2025_193114,193114,CITY OF GARDEN GROVE,municipal,place,168234,1,no,Orange County [06059; county; government-units-primary=yes; basis=2020_place_by_county],8,large_city_state_anchor,Large Orange County city selected for municipal police/civilian material and exact-employer screening of any fire material.,"Stage 1 parallel national discovery in CA: seek a within-municipality, mutually overlapping 2014-2024 safety/ordinary-civilian source set and preserve mechanism leads without treating scout metadata as evidence.","municipal police CBA; municipal fire CBA only when the exact target city/town/borough is the employer; one ordinary general-municipal non-safety CBA such as clerical, public works, library, sanitation, or citywide civilian; public arbitration, factfinding, impasse, or other binding wage-setting material","Scout-stage only. Target exactly CITY OF GARDEN GROVE (Census government ID 193114). Exclude Orange County, school districts, transit agencies, port/airport authorities, housing authorities, park districts, township governments, fire/water/utility or other special districts, regional bodies, universities, state/federal employers, and private providers. If fire or police service is supplied by another employer, do not attribute that unit to the municipality; an exact municipal safety unit plus an ordinary municipal civilian unit can still be useful. A safety agreement cannot satisfy the non-safety request. Do not make or recommend a public-records request. Allow an empty candidate list. Later verification—not this scout—must confirm employer, unit, provenance, execution/completeness, dates, wages, duplicates, access, and mutual cycle overlap.",locked_for_stage1_worker,no,not_scouted,parallel_worker_01,stage_1_two_parallel_25,matched_comparison_repair,No canonical anchor cycle is supplied. Seek visibly supported overlapping 2014-2024 municipal safety and ordinary-non-safety cycles; label non-overlap or unclear year evidence instead of inferring dates.,None recorded: no current national queue row or successful scout coverage for CITY OF GARDEN GROVE as of the locked 2026-07-21 pre-run snapshot.,No source URL was opened during selection. Duplicate checks remain required against returned rows and the coordinator's pre-merge national queue.,
PARALLEL-STAGE1-W01-CA25.2-2026-07-21,CA,Corona,cog_2025_207593,207593,CITY OF CORONA,municipal,place,160238,1,no,Riverside County [06065; county; government-units-primary=yes; basis=2020_place_by_county],9,mid_city_comparison_candidate,Riverside County city selected for an Inland Empire comparison distinct from already-scouted Riverside.,"Stage 1 parallel national discovery in CA: seek a within-municipality, mutually overlapping 2014-2024 safety/ordinary-civilian source set and preserve mechanism leads without treating scout metadata as evidence.","municipal police CBA; municipal fire CBA only when the exact target city/town/borough is the employer; one ordinary general-municipal non-safety CBA such as clerical, public works, library, sanitation, or citywide civilian; public arbitration, factfinding, impasse, or other binding wage-setting material","Scout-stage only. Target exactly CITY OF CORONA (Census government ID 207593). Exclude Riverside County, school districts, transit agencies, port/airport authorities, housing authorities, park districts, township governments, fire/water/utility or other special districts, regional bodies, universities, state/federal employers, and private providers. If fire or police service is supplied by another employer, do not attribute that unit to the municipality; an exact municipal safety unit plus an ordinary municipal civilian unit can still be useful. A safety agreement cannot satisfy the non-safety request. Do not make or recommend a public-records request. Allow an empty candidate list. Later verification—not this scout—must confirm employer, unit, provenance, execution/completeness, dates, wages, duplicates, access, and mutual cycle overlap.",locked_for_stage1_worker,no,not_scouted,parallel_worker_01,stage_1_two_parallel_25,matched_comparison_repair,No canonical anchor cycle is supplied. Seek visibly supported overlapping 2014-2024 municipal safety and ordinary-non-safety cycles; label non-overlap or unclear year evidence instead of inferring dates.,None recorded: no current national queue row or successful scout coverage for CITY OF CORONA as of the locked 2026-07-21 pre-run snapshot.,No source URL was opened during selection. Duplicate checks remain required against returned rows and the coordinator's pre-merge national queue.,
PARALLEL-STAGE1-W01-CA25.2-2026-07-21,CA,Roseville,cog_2025_123137,123137,CITY OF ROSEVILLE,municipal,place,159135,1,no,Placer County [06061; county; government-units-primary=yes; basis=2020_place_by_county],10,mid_city_comparison_candidate,Placer County regional center selected for northern Sacramento-metro and municipal labor-market diversity.,"Stage 1 parallel national discovery in CA: seek a within-municipality, mutually overlapping 2014-2024 safety/ordinary-civilian source set and preserve mechanism leads without treating scout metadata as evidence.","municipal police CBA; municipal fire CBA only when the exact target city/town/borough is the employer; one ordinary general-municipal non-safety CBA such as clerical, public works, library, sanitation, or citywide civilian; public arbitration, factfinding, impasse, or other binding wage-setting material","Scout-stage only. Target exactly CITY OF ROSEVILLE (Census government ID 123137). Exclude Placer County, school districts, transit agencies, port/airport authorities, housing authorities, park districts, township governments, fire/water/utility or other special districts, regional bodies, universities, state/federal employers, and private providers. If fire or police service is supplied by another employer, do not attribute that unit to the municipality; an exact municipal safety unit plus an ordinary municipal civilian unit can still be useful. A safety agreement cannot satisfy the non-safety request. Do not make or recommend a public-records request. Allow an empty candidate list. Later verification—not this scout—must confirm employer, unit, provenance, execution/completeness, dates, wages, duplicates, access, and mutual cycle overlap.",locked_for_stage1_worker,no,not_scouted,parallel_worker_01,stage_1_two_parallel_25,matched_comparison_repair,No canonical anchor cycle is supplied. Seek visibly supported overlapping 2014-2024 municipal safety and ordinary-non-safety cycles; label non-overlap or unclear year evidence instead of inferring dates.,None recorded: no current national queue row or successful scout coverage for CITY OF ROSEVILLE as of the locked 2026-07-21 pre-run snapshot.,No source URL was opened during selection. Duplicate checks remain required against returned rows and the coordinator's pre-merge national queue.,
