municipality,state,municipality_id,unit_type,document_title,union_name,employer,contract_years,source_url,source_owner_type,document_type,document_completeness,comparator_role,wrong_employer_risk,context_only_flag,visible_year_evidence,overlap_with_anchor_cycle,duplicate_risk,blocked_or_unreadable_flag,cycle_match_notes,why_relevant,confidence,candidate_stage,needs_verification_reason,scout_stage_status,verification_priority,verification_notes
Arlington Heights,IL,cog_2025_162229,police,2011 - 2014 Police Contract,"Metropolitan Alliance of Police, Arlington Heights Police Chapter #510",Village of Arlington Heights,2011-2014,https://cms2.revize.com/revize/arlington/Transparency/Collective%20Bargaining%20Agreements/Police/2011%20-%202014%20Police%20Contract.pdf,city,cba,full_document,safety_target,possible,no,cover_or_title,no_anchor_supplied,none,no,Anchor-cycle not supplied; therefore overlap with any specific 2014-2024 police anchor cycle cannot be confirmed. Visible_year_evidence derives from the document title indicating 2011-2014.,"Provides an Arlington Heights police CBA in the 2014-2024 period (at least partially, via 2014 end year), suitable for safety-comparator mechanics and wage/compensation provisions if unit coverage and duration match.",medium,qualifying_candidate,Scout-stage lead: must verify the bargaining unit scope matches sworn police officers for the Village’s contracted police chapter (and not an adjacent/partial unit) and confirm operative dates actually cover the intended 2014-2024 overlap window in the contract’s duration clause.,unverified_scout_candidate,medium,"Later coordinated verification must confirm the exact municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate."
Arlington Heights,IL,cog_2025_162229,police,2020 - 2022 Police Contract,"Metropolitan Alliance of Police, Arlington Heights Police Chapter #510",Village of Arlington Heights,2020-2022,https://cms2.revize.com/revize/arlington/Transparency/Collective%20Bargaining%20Agreements/Police/2020%20-%202022%20Police%20Contract.pdf,city,cba,partial_document,safety_target,possible,no,cover_or_title,no_anchor_supplied,none,no,Anchor-cycle not supplied; therefore overlap with any specific 2014-2024 police anchor cycle cannot be confirmed. Visible_year_evidence derives from the document title indicating 2020-2022. Document content inspection during this scout run was partial (tool excerpt only).,"A police CBA explicitly titled for 2020-2022, which should overlap many plausible 2014-2024 safety-comparator anchor cycles once the anchor is supplied/validated.",medium,qualifying_candidate,Scout-stage lead: must confirm police unit definition (sworn peace officers coverage) and extract/verify the contract duration clause and any impasse/factfinding/wage-setting mechanism material.,unverified_scout_candidate,medium,"Later coordinated verification must confirm the exact municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate."
Arlington Heights,IL,cog_2025_162229,fire,2017 - 2019 Fire Contract,"Arlington Heights Firefighters Association, Local 3105, IAFF",Village of Arlington Heights,2017-2019,https://cms2.revize.com/revize/arlington/Transparency/Collective%20Bargaining%20Agreements/Fire/2017%20-%202019%20Fire%20Contract.pdf,city,cba,full_document,safety_target,possible,no,cover_or_title,no_anchor_supplied,none,no,Anchor-cycle not supplied; therefore overlap with any specific 2014-2024 fire anchor cycle cannot be confirmed. Visible_year_evidence derives from the document title indicating 2017-2019.,"Provides a fire CBA within the 2014-2024 window (2017-2019), likely usable for safety comparator arbitration/impasse and wage-setting material.",medium,qualifying_candidate,Scout-stage lead: must verify that operative duration and bargaining unit match firefighters/firefighters paramedics scope for the Village employer (and that Local 3105 coverage is correct) and extract arbitration/impasse/factfinding/wage-setting mechanism language.,unverified_scout_candidate,high,"Later coordinated verification must confirm the exact municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate."
Arlington Heights,IL,cog_2025_162229,fire,2020 - 2022 Fire Contract,"Arlington Heights Firefighters Association, Local 3105, IAFF",Village of Arlington Heights,2020-2022,https://cms2.revize.com/revize/arlington/Transparency/Collective%20Bargaining%20Agreements/Fire/2020%20-%202022%20Fire%20Contract.pdf,city,cba,unclear,safety_target,possible,no,cover_or_title,no_anchor_supplied,none,no,"Anchor-cycle not supplied; therefore overlap with any specific 2014-2024 fire anchor cycle cannot be confirmed. Visible_year_evidence derives from the document title indicating 2020-2022. During this scout run, PDF text extraction returned no lines (tool extraction failure), so completeness of wage/impasse/arbitration sections must be verified in later review.","A fire CBA clearly titled 2020-2022, likely overlapping many 2014-2024 safety comparator anchor cycles and useful for impasse/arbitration/wage mechanisms once extracted.",low,qualifying_candidate,"Scout-stage lead: must verify unit coverage, duration clause, and extract any arbitration/factfinding/impasse or wage-setting mechanism material; the scout tool could not extract text for this PDF in the current run.",unverified_scout_candidate,medium,"Later coordinated verification must confirm the exact municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate."
Oak Lawn,IL,cog_2025_124891,police,Collective Bargaining Agreement (Oak Lawn Police Supervisors Association),Illinois FOP Labor Council (Oak Lawn Police Supervisors Association),Village of Oak Lawn,"January 1, 2023 – December 31, 2025",https://cms2.revize.com/revize/villageofoaklawn/Regular%20Meeting%20Packet%202023-15%20%28Sept%2012%29_Redacted.pdf,city,cba,full_document,safety_target,possible,no,cover_or_title,no_anchor_supplied,none,no,"No anchor cycle was supplied; visible operative term shown as January 1, 2023 – December 31, 2025.",Meets police CBA requirement for the Village of Oak Lawn and falls within the 2014–2024 window (though anchor overlap cannot be evaluated without an anchor cycle).,medium,qualifying_candidate,Scout-stage lead: must verify the bargaining unit/payroll identity matches Oak Lawn police supervisors under the intended municipal employer (target Census government ID 124891) and confirm the operative scope aligns to police CBA for the matched comparison.,unverified_scout_candidate,high,"Later coordinated verification must confirm the exact municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate."
Oak Lawn,IL,cog_2025_124891,fire,"Collective Bargaining Agreement (Oak Lawn Professional Firefighters Association Local 3405, I.A.F.F.)","Oak Lawn Professional Firefighters Association Local 3405, I.A.F.F.",Village of Oak Lawn,"January 1, 2022 – December 31, 2025",https://cms2.revize.com/revize/villageofoaklawn/Document%20Center/Agenda%20%26%20minutes/Board%20of%20Trustees/Regular%20Meeting/2023/Agenda/Board%20of%20Trustees%20Regular%20Meeting%20Packet%202023-10%20%28May%2023%29_Redacted.pdf,city,cba,full_document,safety_target,possible,no,cover_or_title,no_anchor_supplied,none,no,"No anchor cycle was supplied; visible operative term shown as January 1, 2022 – December 31, 2025.",Meets fire CBA requirement for the Village of Oak Lawn; term overlaps the 2014–2024 window.,medium,qualifying_candidate,Scout-stage lead: must verify the fire bargaining unit/payroll scope is exactly the Oak Lawn firefighters unit intended under the target municipal employer (Census government ID 124891) and confirm any included paramedic/firefighter classifications do not change the unit identity.,unverified_scout_candidate,high,"Later coordinated verification must confirm the exact municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate."
Oak Lawn,IL,cog_2025_124891,non_safety,Collective Bargaining Agreement (International Union of Operating Engineers Local 150 – Crew Chiefs),"International Union of Operating Engineers, Local 150, Public Employees Division",Village of Oak Lawn,"Effective January 1, 2019 – expires December 31, 2022",https://cms2.revize.com/revize/villageofoaklawn/Document%20Center/Agenda%20%26%20minutes/Board%20of%20Trustees/Regular%20Meeting/2020/Board%20of%20Regular%20Meeting%20Media%20Packet%202020-15%20%289-8-2020%29.pdf,city,cba,full_document,ordinary_non_safety_comparator,possible,no,cover_or_title,no_anchor_supplied,none,no,"No anchor cycle was supplied; visible operative term shown as Effective January 1, 2019 and expires December 31, 2022.",Provides an ordinary (non-safety) municipal CBA candidate for comparison; visible term overlaps 2014–2024.,low,qualifying_candidate,Scout-stage lead: must verify that this is the intended ordinary/general-municipal (non-safety) comparator unit for the Village of Oak Lawn (target Census government ID 124891) and confirm the specific crew chief bargaining unit is appropriate and not implicitly safety-related.,unverified_scout_candidate,high,"Later coordinated verification must confirm the exact municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate."
Berwyn,IL,cog_2025_207777,police,"COLLECTIVE BARGAINING AGREEMENT (Illinois Municipal Police Association, Berwyn Chapter 1 / City of Berwyn) (2019-2022) — lead URL indicates IMPA and years",Illinois Municipal Police Association (IMPA) — Berwyn Chapter 1,CITY OF BERWYN,unclear,https://s3.documentcloud.org/documents/22269019/2019-2022-impa.pdf?t=1661791979423,third_party,cba,blocked_or_unreadable,safety_target,possible,no,index_or_snippet_only,unclear,none,yes,"Years appear in the documentcloud filename/URL (2019-2022), but the PDF content could not be fetched during this scout due to access restrictions (403). Exact operative dates, title-page dates, and unit scope could not be visually verified.","Police CBA document type requested (police bargaining unit). If confirmed, it provides a safety contract cycle overlapping the 2014-2024 window.",medium,qualifying_candidate,"PDF could not be inspected (403). Must verify (1) City of Berwyn, IL employer identity, (2) Census government ID alignment for CITY OF BERWYN (ID 207777), (3) that the bargaining unit is police (sworn) for Berwyn PD, and (4) that wage/contract terms are within the police CBA timeframe.",unverified_scout_candidate,low,"Resolve blocked/unreadable access without treating the source as dead. Later coordinated verification must confirm the exact municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate."
Berwyn,IL,cog_2025_207777,non_safety,"AGREEMENT BETWEEN THE CITY OF BERWYN & SERVICE EMPLOYEES’ INTERNATIONAL UNION LOCAL 73 (January 1, 2024 thru December 31, 2030)",Service Employees’ International Union Local 73,CITY OF BERWYN,2024-2030,https://seiu73.org/wp-content/uploads/2020/11/City-of-Berwyn-January-1-2024-December-31-2030.pdf,union,cba,full_document,authoritative_civilian_wage_setting,possible,no,cover_or_title,no_anchor_supplied,none,no,"Operative contract years are explicitly visible on the cover: January 1, 2024 through December 31, 2030. Anchor-cycle overlap cannot be determined because no anchor cycle was supplied; this candidate should be checked for overlap with the user-supplied anchor cycle during later verification.","Provides a non-safety CBA candidate for the 2014-2024 window via overlap starting in 2024, and includes a binding grievance/arbitration mechanism section and wage provisions.",medium,qualifying_candidate,Must verify unit scope is non-safety (ordinary general-municipal non-safety) rather than police/fire or supervisory classifications that would violate comparator rules. Also must verify exact wage-setting pathway relevance and whether any covered classifications include safety personnel.,unverified_scout_candidate,high,"Later coordinated verification must confirm the exact municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate."
Mount Prospect,IL,cog_2025_162258,police,Negotiated Agreement between the Village of Mount Prospect and the Metropolitan Alliance of Police Mount Prospect Police Chapter #84,Metropolitan Alliance of Police Mount Prospect Police Chapter #84,"Village of Mount Prospect, IL",2020-2022,https://docs.mountprospect.org/WebLink/0/doc/1753950/Page8.aspx,city,cba,partial_document,safety_target,possible,no,duration_clause,no_anchor_supplied,none,no,"The agreement is shown as a term covering January 1, 2020 through December 31, 2022 in the document text visible in the fetched page. Anchor cycle overlap could not be evaluated because no anchor-cycle years were supplied.",Police CBA document content for the Village of Mount Prospect within the 2014-2024 window (2020-2022) for police-safety bargaining comparison material.,medium,qualifying_candidate,"Confirm this agreement is the Village of Mount Prospect (Census gov ID 162258) as the employer, and confirm it is the executed/cover page or full agreement text (not only embedded exhibit text on a resolution/agendas page).",unverified_scout_candidate,medium,"Later coordinated verification must confirm the exact municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate."
Mount Prospect,IL,cog_2025_162258,police,Negotiated Agreement between the Village of Mount Prospect and the Metropolitan Alliance of Police Mount Prospect Sergeants Chapter #85,Metropolitan Alliance of Police Mount Prospect Sergeants Chapter #85,"Village of Mount Prospect, IL",2023-2025,https://docs.mountprospect.org/WebLink/DocView.aspx?dbid=0&id=2180940&repo=VOMP,city,cba,full_document,safety_target,possible,no,duration_clause,no_anchor_supplied,none,no,"The agreement text visible in the fetched document states the term as January 1, 2023 through December 31, 2025. Anchor-cycle overlap could not be evaluated because no anchor cycle was supplied.","Police CBA document for the Village of Mount Prospect with visible operative years (2023-2025), useful for police-cycle matching/repair across 2014-2024 if anchor overlap is later confirmed.",high,qualifying_candidate,"Verify executive signature/ratification status (if needed), and confirm the bargaining unit is the Village's sworn police sergeants unit (not a different police subgroup) under Census gov ID 162258.",unverified_scout_candidate,medium,"Later coordinated verification must confirm the exact municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate."
Wheaton,IL,cog_2025_124909,police,2014 - 2017 MAP Local 450 Collective Bargaining Agreement,"Metropolitan Alliance of Police (MAP), Chapter #450","City of Wheaton, Illinois","May 1, 2014 to April 30, 2017",https://wheaton.il.us/DocumentCenter/View/355/2014---2017-MAP-Local-450-Collective-Bargaining-Agreement-PDF,city,cba,full_document,safety_target,possible,no,cover_or_title,no_anchor_supplied,none,no,"Visible contract duration on document cover/title: May 1, 2014 to April 30, 2017. Includes Article VII 'RESOLUTION OF IMPASSE' (mechanism language) as part of a police CBA.","Police CBA for City of Wheaton spanning 2014-2017, relevant to police-side cycles within the 2014-2024 window and containing an impasse/arbitration mechanism clause.",medium,qualifying_candidate,Scout lead: must later verify Wheaton employer identity vs any similarly named entity; and confirm the bargaining unit is the intended Wheaton police unit under Census government ID 124909.,unverified_scout_candidate,medium,"Later coordinated verification must confirm the exact municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate."
