tier1_rank,source_top_target_rank,post_tiering_wave_id,worker_batch,worker_batch_row,future_live_queue_id,municipality_id,census_gov_id,state,municipality,government_name,government_type,geography_type,population,county_relationship_count,multi_county_flag,county_context_summary,total_priority_score,priority_tier,priority_confidence,population_score,government_type_score,state_yield_score,research_design_score,geographic_value_score,evidence_signal_score,retry_flag,failure_only_flag,scout_coverage_status,candidate_positive_flag,candidate_row_count,already_canonical_flag,future_scout_eligible_flag,future_scout_exclusion_reason,priority_reason_summary,source_priority_file,source_priority_commit,search_hints_available,search_hint_1,search_hint_2,search_hint_3,search_hint_4,search_hint_5,expected_units_to_search,verification_notes,recommended_scout_status,worker_id,worker_state_scope,worker_rank_min,worker_rank_max,worker_assignment_method
201,207,TIER1-WAVE2-POST-STABILITY-2026-07-22,tier1_wave2_worker_2,1,COORD-TIER1-WAVE2-SERIAL150-2026-07-22,cog_2025_174200,174200,PA,Penn Hills,MUNICIPALITY OF PENN HILLS,municipal,place,39643,1,no,Allegheny County (42003; primary),74.813,Tier 1,medium,23.541,10.000,17.314,11.023,7.934,0.000,false,false,not_scouted,false,0,false,true,,population percentile 96.5; municipal/place; state evidence medium; smoothed yield component 17.3/20; 2 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,bbb4dfa1a0836bf3fefe4e52c5f538ee59b08714,true,"""MUNICIPALITY OF PENN HILLS"" PA official website","""MUNICIPALITY OF PENN HILLS"" PA collective bargaining agreement","""MUNICIPALITY OF PENN HILLS"" PA police union contract","""MUNICIPALITY OF PENN HILLS"" PA fire union contract","""MUNICIPALITY OF PENN HILLS"" PA salary schedule employee compensation plan","municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly MUNICIPALITY OF PENN HILLS (Census government ID 174200; locked municipality ID cog_2025_174200). County context: Allegheny County (42003; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_tier1_wave2_worker_prep_dry_run_only,worker_2,CROSS_STATE_TIER1_WAVE2,201,250,rank_sliced_contiguous
202,208,TIER1-WAVE2-POST-STABILITY-2026-07-22,tier1_wave2_worker_2,2,COORD-TIER1-WAVE2-SERIAL150-2026-07-22,cog_2025_108910,108910,NV,Sparks,CITY OF SPARKS,municipal,place,110323,1,no,Washoe County (32031; primary),74.810,Tier 1,low,25.016,10.000,15.588,10.206,9.000,0.000,false,false,not_scouted,false,0,false,true,,population percentile 99.1; municipal/place; state evidence low; smoothed yield component 15.6/20; 2 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,bbb4dfa1a0836bf3fefe4e52c5f538ee59b08714,true,"""CITY OF SPARKS"" NV official website","""CITY OF SPARKS"" NV collective bargaining agreement","""CITY OF SPARKS"" NV police union contract","""CITY OF SPARKS"" NV fire union contract","""CITY OF SPARKS"" NV salary schedule employee compensation plan","municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF SPARKS (Census government ID 108910; locked municipality ID cog_2025_108910). County context: Washoe County (32031; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_tier1_wave2_worker_prep_dry_run_only,worker_2,CROSS_STATE_TIER1_WAVE2,201,250,rank_sliced_contiguous
203,209,TIER1-WAVE2-POST-STABILITY-2026-07-22,tier1_wave2_worker_2,3,COORD-TIER1-WAVE2-SERIAL150-2026-07-22,cog_2025_110047,110047,NC,Concord,CITY OF CONCORD,municipal,place,110119,1,no,Cabarrus County (37025; primary),74.808,Tier 1,low,25.013,10.000,15.588,10.206,9.000,0.000,false,false,not_scouted,false,0,false,true,,population percentile 99.1; municipal/place; state evidence low; smoothed yield component 15.6/20; 2 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,bbb4dfa1a0836bf3fefe4e52c5f538ee59b08714,true,"""CITY OF CONCORD"" NC official website","""CITY OF CONCORD"" NC collective bargaining agreement","""CITY OF CONCORD"" NC police union contract","""CITY OF CONCORD"" NC fire union contract","""CITY OF CONCORD"" NC salary schedule employee compensation plan","municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF CONCORD (Census government ID 110047; locked municipality ID cog_2025_110047). County context: Cabarrus County (37025; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_tier1_wave2_worker_prep_dry_run_only,worker_2,CROSS_STATE_TIER1_WAVE2,201,250,rank_sliced_contiguous
204,210,TIER1-WAVE2-POST-STABILITY-2026-07-22,tier1_wave2_worker_2,4,COORD-TIER1-WAVE2-SERIAL150-2026-07-22,cog_2025_184276,184276,KS,Manhattan,CITY OF MANHATTAN,municipal,place,53682,2,yes,Riley County (20161; primary); Pottawatomie County (20149),74.801,Tier 1,low,24.007,10.000,15.588,10.206,10.000,0.000,false,false,not_scouted,false,0,false,true,,population percentile 97.5; municipal/place; state evidence low; smoothed yield component 15.6/20; 3 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,bbb4dfa1a0836bf3fefe4e52c5f538ee59b08714,true,"""CITY OF MANHATTAN"" KS official website","""CITY OF MANHATTAN"" KS collective bargaining agreement","""CITY OF MANHATTAN"" KS police union contract","""CITY OF MANHATTAN"" KS fire union contract","""CITY OF MANHATTAN"" KS salary schedule employee compensation plan","municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF MANHATTAN (Census government ID 184276; locked municipality ID cog_2025_184276). County context: Riley County (20161; primary); Pottawatomie County (20149). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_tier1_wave2_worker_prep_dry_run_only,worker_2,CROSS_STATE_TIER1_WAVE2,201,250,rank_sliced_contiguous
205,211,TIER1-WAVE2-POST-STABILITY-2026-07-22,tier1_wave2_worker_2,5,COORD-TIER1-WAVE2-SERIAL150-2026-07-22,cog_2025_160830,160830,AZ,Buckeye,TOWN OF BUCKEYE,municipal,place,108909,1,no,Maricopa County (04013; primary),74.793,Tier 1,low,24.999,10.000,15.588,10.206,9.000,0.000,false,false,not_scouted,false,0,false,true,,population percentile 99.1; municipal/place; state evidence low; smoothed yield component 15.6/20; 2 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,bbb4dfa1a0836bf3fefe4e52c5f538ee59b08714,true,"""TOWN OF BUCKEYE"" AZ official website","""TOWN OF BUCKEYE"" AZ collective bargaining agreement","""TOWN OF BUCKEYE"" AZ police union contract","""TOWN OF BUCKEYE"" AZ fire union contract","""TOWN OF BUCKEYE"" AZ salary schedule employee compensation plan","municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly TOWN OF BUCKEYE (Census government ID 160830; locked municipality ID cog_2025_160830). County context: Maricopa County (04013; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_tier1_wave2_worker_prep_dry_run_only,worker_2,CROSS_STATE_TIER1_WAVE2,201,250,rank_sliced_contiguous
206,212,TIER1-WAVE2-POST-STABILITY-2026-07-22,tier1_wave2_worker_2,6,COORD-TIER1-WAVE2-SERIAL150-2026-07-22,cog_2025_194606,194606,MO,Joplin,CITY OF JOPLIN,municipal,place,53095,2,yes,Jasper County (29097; primary); Newton County (29145),74.785,Tier 1,low,23.991,10.000,15.588,10.206,10.000,0.000,false,false,not_scouted,false,0,false,true,,population percentile 97.5; municipal/place; state evidence low; smoothed yield component 15.6/20; 3 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,bbb4dfa1a0836bf3fefe4e52c5f538ee59b08714,true,"""CITY OF JOPLIN"" MO official website","""CITY OF JOPLIN"" MO collective bargaining agreement","""CITY OF JOPLIN"" MO police union contract","""CITY OF JOPLIN"" MO fire union contract","""CITY OF JOPLIN"" MO salary schedule employee compensation plan","municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF JOPLIN (Census government ID 194606; locked municipality ID cog_2025_194606). County context: Jasper County (29097; primary); Newton County (29145). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_tier1_wave2_worker_prep_dry_run_only,worker_2,CROSS_STATE_TIER1_WAVE2,201,250,rank_sliced_contiguous
207,213,TIER1-WAVE2-POST-STABILITY-2026-07-22,tier1_wave2_worker_2,7,COORD-TIER1-WAVE2-SERIAL150-2026-07-22,cog_2025_213591,213591,WA,Spokane Valley,CITY OF SPOKANE VALLEY,municipal,place,108235,1,no,Spokane County (53063; primary),74.784,Tier 1,low,24.990,10.000,15.588,10.206,9.000,0.000,false,false,not_scouted,false,0,false,true,,population percentile 99.1; municipal/place; state evidence low; smoothed yield component 15.6/20; 2 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,bbb4dfa1a0836bf3fefe4e52c5f538ee59b08714,true,"""CITY OF SPOKANE VALLEY"" WA official website","""CITY OF SPOKANE VALLEY"" WA collective bargaining agreement","""CITY OF SPOKANE VALLEY"" WA police union contract","""CITY OF SPOKANE VALLEY"" WA fire union contract","""CITY OF SPOKANE VALLEY"" WA salary schedule employee compensation plan","municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF SPOKANE VALLEY (Census government ID 213591; locked municipality ID cog_2025_213591). County context: Spokane County (53063; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_tier1_wave2_worker_prep_dry_run_only,worker_2,CROSS_STATE_TIER1_WAVE2,201,250,rank_sliced_contiguous
208,214,TIER1-WAVE2-POST-STABILITY-2026-07-22,tier1_wave2_worker_2,8,COORD-TIER1-WAVE2-SERIAL150-2026-07-22,cog_2025_161594,161594,FL,Davie,TOWN OF DAVIE,municipal,place,107799,1,no,Broward County (12011; primary),74.779,Tier 1,low,24.985,10.000,15.588,10.206,9.000,0.000,false,false,not_scouted,false,0,false,true,,population percentile 99.1; municipal/place; state evidence low; smoothed yield component 15.6/20; 2 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,bbb4dfa1a0836bf3fefe4e52c5f538ee59b08714,true,"""TOWN OF DAVIE"" FL official website","""TOWN OF DAVIE"" FL collective bargaining agreement","""TOWN OF DAVIE"" FL police union contract","""TOWN OF DAVIE"" FL fire union contract","""TOWN OF DAVIE"" FL salary schedule employee compensation plan","municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly TOWN OF DAVIE (Census government ID 161594; locked municipality ID cog_2025_161594). County context: Broward County (12011; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_tier1_wave2_worker_prep_dry_run_only,worker_2,CROSS_STATE_TIER1_WAVE2,201,250,rank_sliced_contiguous
209,215,TIER1-WAVE2-POST-STABILITY-2026-07-22,tier1_wave2_worker_2,9,COORD-TIER1-WAVE2-SERIAL150-2026-07-22,cog_2025_211253,211253,OR,Hillsboro,CITY OF HILLSBORO,municipal,place,107730,1,no,Washington County (41067; primary),74.778,Tier 1,low,24.984,10.000,15.588,10.206,9.000,0.000,false,false,not_scouted,false,0,false,true,,population percentile 99.1; municipal/place; state evidence low; smoothed yield component 15.6/20; 2 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,bbb4dfa1a0836bf3fefe4e52c5f538ee59b08714,true,"""CITY OF HILLSBORO"" OR official website","""CITY OF HILLSBORO"" OR collective bargaining agreement","""CITY OF HILLSBORO"" OR police union contract","""CITY OF HILLSBORO"" OR fire union contract","""CITY OF HILLSBORO"" OR salary schedule employee compensation plan","municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF HILLSBORO (Census government ID 211253; locked municipality ID cog_2025_211253). County context: Washington County (41067; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_tier1_wave2_worker_prep_dry_run_only,worker_2,CROSS_STATE_TIER1_WAVE2,201,250,rank_sliced_contiguous
210,216,TIER1-WAVE2-POST-STABILITY-2026-07-22,tier1_wave2_worker_2,10,COORD-TIER1-WAVE2-SERIAL150-2026-07-22,cog_2025_106133,106133,MA,Framingham,CITY OF FRAMINGHAM,municipal,place,71875,1,no,Middlesex County (25017; primary),74.778,Tier 1,low,24.435,10.000,16.657,10.217,8.468,0.000,false,false,not_scouted,false,0,false,true,,population percentile 98.3; municipal/place; state evidence low; smoothed yield component 16.7/20; 2 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,bbb4dfa1a0836bf3fefe4e52c5f538ee59b08714,true,"""CITY OF FRAMINGHAM"" MA official website","""CITY OF FRAMINGHAM"" MA collective bargaining agreement","""CITY OF FRAMINGHAM"" MA police union contract","""CITY OF FRAMINGHAM"" MA fire union contract","""CITY OF FRAMINGHAM"" MA salary schedule employee compensation plan","municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF FRAMINGHAM (Census government ID 106133; locked municipality ID cog_2025_106133). County context: Middlesex County (25017; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_tier1_wave2_worker_prep_dry_run_only,worker_2,CROSS_STATE_TIER1_WAVE2,201,250,rank_sliced_contiguous
