run_id,state,municipality_count,parseable_count,failed_count,candidate_row_count,input_tokens_total,reasoning_tokens_total,output_tokens_total,total_tokens_total,estimated_input_cost,estimated_output_cost,estimated_total_cost,estimate_only
all_2026-07-23_152836,CT,11,11,0,27,319293,14999,25935,345228,0.0638586,0.03241875,0.09627735,true
all_2026-07-23_152836,FL,27,26,1,50,766338,33290,54060,820398,0.1532676,0.067575,0.2208426,true
all_2026-07-23_152836,IA,1,1,0,3,37025,2107,3456,40481,0.007405,0.00432,0.011725,true
all_2026-07-23_152836,MA,3,3,0,8,95459,4163,7219,102678,0.0190918,0.00902375,0.02811555,true
all_2026-07-23_152836,MI,17,17,0,42,477135,21970,38464,515599,0.095427,0.04808,0.143507,true
all_2026-07-23_152836,NV,1,1,0,2,27004,1329,2155,29159,0.0054008,0.00269375,0.00809455,true
all_2026-07-23_152836,OH,44,43,1,135,1569346,65756,121894,1691240,0.3138692,0.1523675,0.4662367,true
all_2026-07-23_152836,OR,22,22,0,52,659368,26398,47727,707095,0.1318736,0.05965875,0.19153235,true
all_2026-07-23_152836,WA,21,21,0,61,631822,30388,54696,686518,0.1263644,0.06837,0.1947344,true
all_2026-07-23_152836,WI,3,3,0,6,95326,3678,6078,101404,0.0190652,0.0075975,0.0266627,true
