state,successful_scout_count,candidate_positive_count,parseable_empty_count,failure_only_municipality_count,connection_failed_attempt_count,candidate_row_count,candidate_positive_rate,candidate_rows_per_covered_municipality,parseable_empty_rate,failure_only_rate,connection_failure_attempt_rate,sample_confidence,recommended_next_wave_status,interpretation_note
AK,13,12,1,0,0,29,0.923077,2.230769,0.076923,0.000000,0.000000,medium,strong_yield_consider_next_wave,Scout-stage operational yield only; candidates remain unverified.
AL,17,8,9,0,0,14,0.470588,0.823529,0.529412,0.000000,0.000000,medium,lower_yield_use_for_strategic_coverage,Scout-stage operational yield only; candidates remain unverified.
AR,16,8,8,1,1,16,0.500000,1.000000,0.500000,0.058824,0.058824,medium,moderate_yield_use_priority_targets,Scout-stage operational yield only; candidates remain unverified.
AZ,19,14,5,1,1,29,0.736842,1.526316,0.263158,0.050000,0.050000,medium,strong_yield_consider_next_wave,Scout-stage operational yield only; candidates remain unverified.
CA,304,290,14,7,7,774,0.953947,2.546053,0.046053,0.022508,0.022508,high,strong_yield_consider_next_wave,Scout-stage operational yield only; candidates remain unverified.
CO,20,12,8,0,0,25,0.600000,1.250000,0.400000,0.000000,0.000000,medium,moderate_yield_use_priority_targets,Scout-stage operational yield only; candidates remain unverified.
CT,24,22,2,0,0,62,0.916667,2.583333,0.083333,0.000000,0.000000,medium,strong_yield_consider_next_wave,Scout-stage operational yield only; candidates remain unverified.
DC,1,1,0,0,0,5,1.000000,5.000000,0.000000,0.000000,0.000000,low,calibration_sample_needed,Scout-stage operational yield only; candidates remain unverified.
DE,8,7,1,0,0,17,0.875000,2.125000,0.125000,0.000000,0.000000,low,calibration_sample_needed,Scout-stage operational yield only; candidates remain unverified.
FL,145,104,41,3,3,241,0.717241,1.662069,0.282759,0.020270,0.020270,high,strong_yield_consider_next_wave,Scout-stage operational yield only; candidates remain unverified.
GA,10,5,5,0,0,7,0.500000,0.700000,0.500000,0.000000,0.000000,medium,moderate_yield_use_priority_targets,Scout-stage operational yield only; candidates remain unverified.
HI,1,1,0,0,0,3,1.000000,3.000000,0.000000,0.000000,0.000000,low,calibration_sample_needed,Scout-stage operational yield only; candidates remain unverified.
IA,36,27,9,1,1,75,0.750000,2.083333,0.250000,0.027027,0.027027,high,strong_yield_consider_next_wave,Scout-stage operational yield only; candidates remain unverified.
ID,18,9,9,0,0,20,0.500000,1.111111,0.500000,0.000000,0.000000,medium,moderate_yield_use_priority_targets,Scout-stage operational yield only; candidates remain unverified.
IL,123,106,17,3,3,298,0.861789,2.422764,0.138211,0.023810,0.023810,high,strong_yield_consider_next_wave,Scout-stage operational yield only; candidates remain unverified.
IN,34,28,6,2,2,58,0.823529,1.705882,0.176471,0.055556,0.055556,high,strong_yield_consider_next_wave,Scout-stage operational yield only; candidates remain unverified.
KS,24,17,7,0,0,41,0.708333,1.708333,0.291667,0.000000,0.000000,medium,strong_yield_consider_next_wave,Scout-stage operational yield only; candidates remain unverified.
KY,16,10,6,0,0,18,0.625000,1.125000,0.375000,0.000000,0.000000,medium,moderate_yield_use_priority_targets,Scout-stage operational yield only; candidates remain unverified.
LA,24,10,14,0,0,22,0.416667,0.916667,0.583333,0.000000,0.000000,medium,lower_yield_use_for_strategic_coverage,Scout-stage operational yield only; candidates remain unverified.
