post_pi_wave_rank,original_priority_rank,post_pi_wave_id,worker_batch,worker_batch_row,future_live_queue_id,municipality_id,census_gov_id,state,municipality,government_name,government_type,geography_type,population,county_relationship_count,multi_county_flag,county_context_summary,total_priority_score,priority_tier,priority_confidence,population_score,government_type_score,state_yield_score,research_design_score,geographic_value_score,evidence_signal_score,retry_flag,failure_only_flag,scout_coverage_status,candidate_row_count,future_scout_eligible_flag,future_scout_exclusion_reason,priority_reason_summary,source_priority_file,source_priority_commit,search_hints_available,search_hint_1,search_hint_2,search_hint_3,search_hint_4,search_hint_5,already_canonical_flag,candidate_positive_flag,expected_units_to_search,verification_notes,recommended_scout_status
1,5,POST-PI-SCALEUP-WAVE1-2026-07-23,post_pi_wave1_worker_1,1,COORD-POST-PI-WAVE1-SERIAL150-2026-07-23,cog_2025_133204,133204,OR,Lake Oswego,CITY OF LAKE OSWEGO,municipal,place,39924,3,yes,Clackamas County (41005; primary); Multnomah County (41051); Washington County (41067),77.268,Tier 1,low,23.554,10.000,16.964,12.684,9.065,0.000,false,false,not_scouted,0,true,eligible_new_scout,population percentile 96.5; municipal/place; state evidence low; smoothed yield component 17.0/20; 4 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,3f2f815f4ca4b4e90f6ca1bff769bd300843d703,true,"""CITY OF LAKE OSWEGO"" OR official website","""CITY OF LAKE OSWEGO"" OR collective bargaining agreement","""CITY OF LAKE OSWEGO"" OR police union contract","""CITY OF LAKE OSWEGO"" OR fire union contract","""CITY OF LAKE OSWEGO"" OR salary schedule employee compensation plan",false,false,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF LAKE OSWEGO (Census government ID 133204; locked municipality ID cog_2025_133204). County context: Clackamas County (41005; primary); Multnomah County (41051); Washington County (41067). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post_pi_wave1_worker_prep_dry_run_only
2,6,POST-PI-SCALEUP-WAVE1-2026-07-23,post_pi_wave1_worker_1,2,COORD-POST-PI-WAVE1-SERIAL150-2026-07-23,cog_2025_161442,161442,CT,New Britain,CITY OF NEW BRITAIN,municipal,place,74080,1,no,Capitol Planning Region (09110; primary),77.186,Tier 1,low,24.476,10.000,16.671,12.477,8.563,0.000,false,false,not_scouted,0,true,eligible_new_scout,population percentile 98.4; municipal/place; state evidence low; smoothed yield component 16.7/20; 2 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,3f2f815f4ca4b4e90f6ca1bff769bd300843d703,true,"""CITY OF NEW BRITAIN"" CT official website","""CITY OF NEW BRITAIN"" CT collective bargaining agreement","""CITY OF NEW BRITAIN"" CT police union contract","""CITY OF NEW BRITAIN"" CT fire union contract","""CITY OF NEW BRITAIN"" CT salary schedule employee compensation plan",false,false,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF NEW BRITAIN (Census government ID 161442; locked municipality ID cog_2025_161442). County context: Capitol Planning Region (09110; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post_pi_wave1_worker_prep_dry_run_only
3,7,POST-PI-SCALEUP-WAVE1-2026-07-23,post_pi_wave1_worker_1,3,COORD-POST-PI-WAVE1-SERIAL150-2026-07-23,cog_2025_173665,173665,OR,Springfield,CITY OF SPRINGFIELD,municipal,place,61085,1,no,Lane County (41039; primary),77.166,Tier 1,low,24.202,10.000,16.964,12.684,8.315,0.000,false,false,not_scouted,0,true,eligible_new_scout,population percentile 97.9; municipal/place; state evidence low; smoothed yield component 17.0/20; 2 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,3f2f815f4ca4b4e90f6ca1bff769bd300843d703,true,"""CITY OF SPRINGFIELD"" OR official website","""CITY OF SPRINGFIELD"" OR collective bargaining agreement","""CITY OF SPRINGFIELD"" OR police union contract","""CITY OF SPRINGFIELD"" OR fire union contract","""CITY OF SPRINGFIELD"" OR salary schedule employee compensation plan",false,false,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF SPRINGFIELD (Census government ID 173665; locked municipality ID cog_2025_173665). County context: Lane County (41039; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post_pi_wave1_worker_prep_dry_run_only
4,10,POST-PI-SCALEUP-WAVE1-2026-07-23,post_pi_wave1_worker_1,4,COORD-POST-PI-WAVE1-SERIAL150-2026-07-23,cog_2025_114617,114617,WA,Pasco,CITY OF PASCO,municipal,place,80038,1,no,Franklin County (53021; primary),76.931,Tier 1,medium,24.583,10.000,16.923,12.131,8.293,0.000,false,false,not_scouted,0,true,eligible_new_scout,population percentile 98.5; municipal/place; state evidence medium; smoothed yield component 16.9/20; 2 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,3f2f815f4ca4b4e90f6ca1bff769bd300843d703,true,"""CITY OF PASCO"" WA official website","""CITY OF PASCO"" WA collective bargaining agreement","""CITY OF PASCO"" WA police union contract","""CITY OF PASCO"" WA fire union contract","""CITY OF PASCO"" WA salary schedule employee compensation plan",false,false,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF PASCO (Census government ID 114617; locked municipality ID cog_2025_114617). County context: Franklin County (53021; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post_pi_wave1_worker_prep_dry_run_only
5,11,POST-PI-SCALEUP-WAVE1-2026-07-23,post_pi_wave1_worker_1,5,COORD-POST-PI-WAVE1-SERIAL150-2026-07-23,cog_2025_172406,172406,OH,Reynoldsburg,CITY OF REYNOLDSBURG,municipal,place,41220,3,yes,Franklin County (39049; primary); Fairfield County (39045); Licking County (39089),76.904,Tier 1,low,23.606,10.000,16.670,11.977,9.650,0.000,false,false,not_scouted,0,true,eligible_new_scout,population percentile 96.6; municipal/place; state evidence low; smoothed yield component 16.7/20; 4 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,3f2f815f4ca4b4e90f6ca1bff769bd300843d703,true,"""CITY OF REYNOLDSBURG"" OH official website","""CITY OF REYNOLDSBURG"" OH collective bargaining agreement","""CITY OF REYNOLDSBURG"" OH police union contract","""CITY OF REYNOLDSBURG"" OH fire union contract","""CITY OF REYNOLDSBURG"" OH salary schedule employee compensation plan",false,false,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF REYNOLDSBURG (Census government ID 172406; locked municipality ID cog_2025_172406). County context: Franklin County (39049; primary); Fairfield County (39045); Licking County (39089). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post_pi_wave1_worker_prep_dry_run_only
6,12,POST-PI-SCALEUP-WAVE1-2026-07-23,post_pi_wave1_worker_1,6,COORD-POST-PI-WAVE1-SERIAL150-2026-07-23,cog_2025_194867,194867,OH,Parma,CITY OF PARMA,municipal,place,78951,1,no,Cuyahoga County (39035; primary),76.885,Tier 1,low,24.564,10.000,16.670,11.977,8.673,0.000,false,false,not_scouted,0,true,eligible_new_scout,population percentile 98.5; municipal/place; state evidence low; smoothed yield component 16.7/20; 2 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,3f2f815f4ca4b4e90f6ca1bff769bd300843d703,true,"""CITY OF PARMA"" OH official website","""CITY OF PARMA"" OH collective bargaining agreement","""CITY OF PARMA"" OH police union contract","""CITY OF PARMA"" OH fire union contract","""CITY OF PARMA"" OH salary schedule employee compensation plan",false,false,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF PARMA (Census government ID 194867; locked municipality ID cog_2025_194867). County context: Cuyahoga County (39035; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post_pi_wave1_worker_prep_dry_run_only
7,13,POST-PI-SCALEUP-WAVE1-2026-07-23,post_pi_wave1_worker_1,7,COORD-POST-PI-WAVE1-SERIAL150-2026-07-23,cog_2025_161440,161440,CT,Bristol,CITY OF BRISTOL,municipal,place,61601,1,no,Naugatuck Valley Planning Region (09140; primary),76.847,Tier 1,low,24.216,10.000,16.671,12.477,8.484,0.000,false,false,not_scouted,0,true,eligible_new_scout,population percentile 97.9; municipal/place; state evidence low; smoothed yield component 16.7/20; 2 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,3f2f815f4ca4b4e90f6ca1bff769bd300843d703,true,"""CITY OF BRISTOL"" CT official website","""CITY OF BRISTOL"" CT collective bargaining agreement","""CITY OF BRISTOL"" CT police union contract","""CITY OF BRISTOL"" CT fire union contract","""CITY OF BRISTOL"" CT salary schedule employee compensation plan",false,false,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF BRISTOL (Census government ID 161440; locked municipality ID cog_2025_161440). County context: Naugatuck Valley Planning Region (09140; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post_pi_wave1_worker_prep_dry_run_only
8,14,POST-PI-SCALEUP-WAVE1-2026-07-23,post_pi_wave1_worker_1,8,COORD-POST-PI-WAVE1-SERIAL150-2026-07-23,cog_2025_133202,133202,OR,Corvallis,CITY OF CORVALLIS,municipal,place,61087,1,no,Benton County (41003; primary),76.816,Tier 1,low,24.203,10.000,16.964,12.684,7.965,0.000,false,false,not_scouted,0,true,eligible_new_scout,population percentile 97.9; municipal/place; state evidence low; smoothed yield component 17.0/20; 2 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,3f2f815f4ca4b4e90f6ca1bff769bd300843d703,true,"""CITY OF CORVALLIS"" OR official website","""CITY OF CORVALLIS"" OR collective bargaining agreement","""CITY OF CORVALLIS"" OR police union contract","""CITY OF CORVALLIS"" OR fire union contract","""CITY OF CORVALLIS"" OR salary schedule employee compensation plan",false,false,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF CORVALLIS (Census government ID 133202; locked municipality ID cog_2025_133202). County context: Benton County (41003; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post_pi_wave1_worker_prep_dry_run_only
9,15,POST-PI-SCALEUP-WAVE1-2026-07-23,post_pi_wave1_worker_1,9,COORD-POST-PI-WAVE1-SERIAL150-2026-07-23,cog_2025_124042,124042,CT,Meriden,CITY OF MERIDEN,municipal,place,60111,1,no,South Central Connecticut Planning Region (09170; primary),76.780,Tier 1,low,24.179,10.000,16.671,12.477,8.454,0.000,false,false,not_scouted,0,true,eligible_new_scout,population percentile 97.9; municipal/place; state evidence low; smoothed yield component 16.7/20; 2 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,3f2f815f4ca4b4e90f6ca1bff769bd300843d703,true,"""CITY OF MERIDEN"" CT official website","""CITY OF MERIDEN"" CT collective bargaining agreement","""CITY OF MERIDEN"" CT police union contract","""CITY OF MERIDEN"" CT fire union contract","""CITY OF MERIDEN"" CT salary schedule employee compensation plan",false,false,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF MERIDEN (Census government ID 124042; locked municipality ID cog_2025_124042). County context: South Central Connecticut Planning Region (09170; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post_pi_wave1_worker_prep_dry_run_only
10,16,POST-PI-SCALEUP-WAVE1-2026-07-23,post_pi_wave1_worker_1,10,COORD-POST-PI-WAVE1-SERIAL150-2026-07-23,cog_2025_111622,111622,OR,Tualatin,CITY OF TUALATIN,municipal,place,27383,2,yes,Washington County (41067; primary); Clackamas County (41005),76.755,Tier 1,low,22.917,10.000,16.964,12.684,9.190,0.000,false,false,not_scouted,0,true,eligible_new_scout,population percentile 94.7; municipal/place; state evidence low; smoothed yield component 17.0/20; 3 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,3f2f815f4ca4b4e90f6ca1bff769bd300843d703,true,"""CITY OF TUALATIN"" OR official website","""CITY OF TUALATIN"" OR collective bargaining agreement","""CITY OF TUALATIN"" OR police union contract","""CITY OF TUALATIN"" OR fire union contract","""CITY OF TUALATIN"" OR salary schedule employee compensation plan",false,false,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF TUALATIN (Census government ID 111622; locked municipality ID cog_2025_111622). County context: Washington County (41067; primary); Clackamas County (41005). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post_pi_wave1_worker_prep_dry_run_only
