path,current_role,recommended_action,timing,risk_level,referenced_by,reason,notes
data/,core_active_data,do_not_touch,never_without_review,high,"docs/schema.md; scripts/validate.py; ingest/audit_coverage.py","Production datasets and active analytical spine.","Includes contracts, coverage, discourse, city attributes, and award inventory."
data/contracts.csv,core_active_data,do_not_touch,never_without_review,high,"docs/schema.md; scripts/validate.py; ingest/pipeline.py; build_input_v9.py","Production causal corpus table.","Explicit hard boundary from user request."
data/city_coverage.csv,core_active_data,do_not_touch,never_without_review,high,"scripts/validate.py; ingest/audit_coverage.py; AGENTS.md","Coverage tracker for matched-comparison design.","Explicit hard boundary from user request."
data/discourse.csv,core_active_data,do_not_touch,never_without_review,high,"docs/schema.md; scripts/validate.py","Production discourse corpus table.","Even if small now, it is production structure."
data/city_attributes.csv,core_active_data,do_not_touch,never_without_review,high,"docs/schema.md; scripts/validate.py","Active normalized city facts table.","Low clutter value; high breakage risk."
data/ma_award_inventory.csv,active_input_and_provenance,keep_active,now_plan_only,high,"build_input.py; PROGRESS.md; docs/ma_source_inventory.md","Input to analysis builders and provenance record for award routes.","Do not archive until award workflow is clearly retired."
corpus/,source_corpus,do_not_touch,never_without_review,high,"data/contracts.csv full_text_path; ingest/extract_text.py; build_input.py; build_input_v9.py","Source-of-record full-text corpus.","Explicit hard boundary from user request."
inbox/,ingestion_staging_and_provenance,do_not_touch,never_without_review,high,"ingest/process_inbox.py; ingest/README.md; PROGRESS.md","Active staging area and provenance trail for licensed/FOIA workflows.","User explicitly forbade changes here."
inbox/manifest.csv,active_ingestion_manifest,do_not_touch,never_without_review,high,"ingest/process_inbox.py; docs/ma_source_inventory.md","Current live manifest consumed by pipeline.","Keep visible and stable."
inbox/processed_manifest.csv,historical_ingestion_provenance,keep_provenance,never_without_review,high,"PROGRESS.md","Archive-like provenance already in use for past ingests.","Should be preserved even if later relocated."
ingest/,active_pipeline_code,do_not_touch,never_without_review,high,"AGENTS.md; ingest/README.md; build_input.py; build_input_v9.py","Active ingestion and coverage pipeline.","Contains current production logic and tests."
scripts/,validation_and_logging_code,keep_active,now_plan_only,high,"AGENTS.md; scripts/validate.py; scripts/log_api_spend.py","Validation and spend logging remain active repo infrastructure.","Do not archive while repo is active."
