target_id,state,city,target_priority,target_status,desired_source_set,police_source_needed,fire_source_needed,non_safety_source_needed,arbitration_factfinding_source_needed,likely_source_locations,claim_ids_served,hypotheses_served,expected_value,expected_burden,first_search_queries,notes
NST-2026-07-12-001,Pennsylvania,Philadelphia,high,scanned_2026-07-12,police CBA; fire CBA; one general municipal non-safety CBA; any arbitration/factfinding/impasse or wage-study source in same cycle,yes,yes,yes,yes_if_public,city labor relations or HR pages; city council agenda packets; state labor board/PERC/SERB-style repositories; union local pages; municipal document portals,CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-06;CLM-2026-07-12-07,H1;H2;H3;H4;H5;H7,high,medium,"""Philadelphia"" ""collective bargaining agreement"" police fire AFSCME; ""Philadelphia"" ""labor agreement"" ""fire"" ""police""; ""Philadelphia"" ""AFSCME"" ""contract""; ""Pennsylvania"" ""interest arbitration"" ""Philadelphia"" police fire",Initial planning target only; do not download until source availability and non-safety match are verified. | Strongest PA candidate: FOP Lodge 5 (fop5.org/contracts) + city-hosted Act 111 award; IAFF Local 22 consolidated CBA + city-hosted interest-arbitration award; AFSCME DC33/DC47 non-safety candidates identified but signed CBA not yet confirmed (needs_review). See docs/analysis/pa_nj_candidate_sources_2026-07-12.csv and pennsylvania_source_scan_2026-07-12.md. | Follow-up 2026-07-12: AFSCME DC33/DC47 signed-contract dates/terms confirmed (still no direct PDF); status unchanged from ingest_next-adjacent. See pa_nj_candidate_sources_followup_2026-07-12.csv.
NST-2026-07-12-002,Pennsylvania,Pittsburgh,high,scanned_2026-07-12,police CBA; fire CBA; one general municipal non-safety CBA; any arbitration/factfinding/impasse or wage-study source in same cycle,yes,yes,yes,yes_if_public,city labor relations or HR pages; city council agenda packets; state labor board/PERC/SERB-style repositories; union local pages; municipal document portals,CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-06;CLM-2026-07-12-07,H1;H2;H3;H4;H5;H7,high,medium,"""Pittsburgh"" ""collective bargaining agreement"" police fire AFSCME; ""Pittsburgh"" ""labor agreement"" ""fire"" ""police""; ""Pittsburgh"" ""AFSCME"" ""contract""; ""Pennsylvania"" ""interest arbitration"" ""Pittsburgh"" police fire","Initial planning target only; do not download until source availability and non-safety match are verified. | FOP Fort Pitt Lodge 1 CBA found only third-party-hosted (Scribd), needs official-source verification; IAFF Local 1 fire leg context-only; non-safety inferred from AFSCME Local 2719 budget-appendix reference, no CBA document located. See pa_nj_candidate_sources_2026-07-12.csv. | Follow-up 2026-07-12: AFSCME Local 2719 upgraded to a confirmed, recently-signed (2025-12-22) CBA with a located union contracts page; police/fire still unresolved. See pa_nj_candidate_sources_followup_2026-07-12.csv."
NST-2026-07-12-003,Pennsylvania,Allentown,high,scanned_2026-07-12,police CBA; fire CBA; one general municipal non-safety CBA; any arbitration/factfinding/impasse or wage-study source in same cycle,yes,yes,yes,yes_if_public,city labor relations or HR pages; city council agenda packets; state labor board/PERC/SERB-style repositories; union local pages; municipal document portals,CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-06;CLM-2026-07-12-07,H1;H2;H3;H4;H5;H7,high,medium,"""Allentown"" ""collective bargaining agreement"" police fire AFSCME; ""Allentown"" ""labor agreement"" ""fire"" ""police""; ""Allentown"" ""AFSCME"" ""contract""; ""Pennsylvania"" ""interest arbitration"" ""Allentown"" police fire",Initial planning target only; do not download until source availability and non-safety match are verified. | City-confirmed FOP Lodge 10 contract exists (news page) but no direct PDF; IAFF Local 302 has a contract-documents page (access unverified); no non-safety candidate found. See pa_nj_candidate_sources_2026-07-12.csv. | Follow-up 2026-07-12: corrected non-safety union identity to SEIU Local 668 (not AFSCME); no document located for any of the three unions. See pa_nj_candidate_sources_followup_2026-07-12.csv.
NST-2026-07-12-004,Pennsylvania,Erie,high,scanned_2026-07-12,police CBA; fire CBA; one general municipal non-safety CBA; any arbitration/factfinding/impasse or wage-study source in same cycle,yes,yes,yes,yes_if_public,city labor relations or HR pages; city council agenda packets; state labor board/PERC/SERB-style repositories; union local pages; municipal document portals,CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-06;CLM-2026-07-12-07,H1;H2;H3;H4;H5;H7,high,medium,"""Erie"" ""collective bargaining agreement"" police fire AFSCME; ""Erie"" ""labor agreement"" ""fire"" ""police""; ""Erie"" ""AFSCME"" ""contract""; ""Pennsylvania"" ""interest arbitration"" ""Erie"" police fire","Initial planning target only; do not download until source availability and non-safety match are verified. | Weakest PA city scanned: only case-law confirmation of an Act 111 award (FOP Lodge 7 / Haas Memorial Lodge); fire and non-safety legs unlocated. Note: an early 'Erie' search surfaced Erie County, NY documents (false positive, excluded). See pa_nj_candidate_sources_2026-07-12.csv. | Follow-up 2026-07-12: new non-safety lead, AFSCME Local 2206 (ratified 2026-03-04), closing the prior total non-safety gap; police/fire still undocumented. See pa_nj_candidate_sources_followup_2026-07-12.csv."
NST-2026-07-12-005,Pennsylvania,Scranton,high,not_scanned_this_pass,police CBA; fire CBA; one general municipal non-safety CBA; any arbitration/factfinding/impasse or wage-study source in same cycle,yes,yes,yes,yes_if_public,city labor relations or HR pages; city council agenda packets; state labor board/PERC/SERB-style repositories; union local pages; municipal document portals,CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-06;CLM-2026-07-12-07,H1;H2;H3;H4;H5;H7,high,medium,"""Scranton"" ""collective bargaining agreement"" police fire AFSCME; ""Scranton"" ""labor agreement"" ""fire"" ""police""; ""Scranton"" ""AFSCME"" ""contract""; ""Pennsylvania"" ""interest arbitration"" ""Scranton"" police fire","Initial planning target only; do not download until source availability and non-safety match are verified. | This 2026-07-12 bounded scan used a task-specified PA city list (Philadelphia, Pittsburgh, Allentown, Erie, Reading) that substituted Reading for Scranton. Reading was scanned instead and produced the strongest confirmed PA non-safety document (Reading Public Library CBA) — see pennsylvania_source_scan_2026-07-12.md. Scranton remains unscanned; candidate for a future PA follow-up."
NST-2026-07-12-006,New Jersey,Newark,high,scanned_2026-07-12,police CBA; fire CBA; one general municipal non-safety CBA; any arbitration/factfinding/impasse or wage-study source in same cycle,yes,yes,yes,yes_if_public,city labor relations or HR pages; city council agenda packets; state labor board/PERC/SERB-style repositories; union local pages; municipal document portals,CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-06;CLM-2026-07-12-07,H1;H2;H3;H4;H5;H7,high,medium,"""Newark"" ""collective bargaining agreement"" police fire AFSCME; ""Newark"" ""labor agreement"" ""fire"" ""police""; ""Newark"" ""AFSCME"" ""contract""; ""New Jersey"" ""interest arbitration"" ""Newark"" police fire","Initial planning target only; do not download until source availability and non-safety match are verified. | Strongest NJ candidate: directly retrievable City of Newark and IBT Local 97 non-safety CBA (2020) hosted on the state PERC domain; police (Superior Officers' Assoc.) and fire (Firefighters Union / Fire Officers Local 1860) units confirmed via PERC decision/index references, documents not yet pulled. See pa_nj_candidate_sources_2026-07-12.csv and new_jersey_source_scan_2026-07-12.md. | Follow-up 2026-07-12: second non-safety document found (AFSCME Local 2297 Supervisory, 2010, out-of-window); police/fire units confirmed very active via 6+ PERC decisions, no CBA PDF yet. Recommended NJ ingest_next target. See pa_nj_candidate_sources_followup_2026-07-12.csv."
NST-2026-07-12-007,New Jersey,Jersey City,high,scanned_2026-07-12,police CBA; fire CBA; one general municipal non-safety CBA; any arbitration/factfinding/impasse or wage-study source in same cycle,yes,yes,yes,yes_if_public,city labor relations or HR pages; city council agenda packets; state labor board/PERC/SERB-style repositories; union local pages; municipal document portals,CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-06;CLM-2026-07-12-07,H1;H2;H3;H4;H5;H7,high,medium,"""Jersey City"" ""collective bargaining agreement"" police fire AFSCME; ""Jersey City"" ""labor agreement"" ""fire"" ""police""; ""Jersey City"" ""AFSCME"" ""contract""; ""New Jersey"" ""interest arbitration"" ""Jersey City"" police fire","Initial planning target only; do not download until source availability and non-safety match are verified. | Police (POBA) unit confirmed via case-law reference; fire and non-safety units not yet located as documents. Route to NJ PERC public-sector-contracts index (perc.state.nj.us/publicsectorcontracts.nsf) for follow-up. See pa_nj_candidate_sources_2026-07-12.csv. | Follow-up 2026-07-12: direct PERC PDFs found for all three roles (police PSOA, fire IAFF 1066, non-safety Locals 245/246), but all dated ~2009-2015, outside/at edge of the 2014-2024 window; need current-cycle successors. See pa_nj_candidate_sources_followup_2026-07-12.csv."
NST-2026-07-12-008,New Jersey,Paterson,high,scanned_2026-07-12,police CBA; fire CBA; one general municipal non-safety CBA; any arbitration/factfinding/impasse or wage-study source in same cycle,yes,yes,yes,yes_if_public,city labor relations or HR pages; city council agenda packets; state labor board/PERC/SERB-style repositories; union local pages; municipal document portals,CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-06;CLM-2026-07-12-07,H1;H2;H3;H4;H5;H7,high,medium,"""Paterson"" ""collective bargaining agreement"" police fire AFSCME; ""Paterson"" ""labor agreement"" ""fire"" ""police""; ""Paterson"" ""AFSCME"" ""contract""; ""New Jersey"" ""interest arbitration"" ""Paterson"" police fire","Initial planning target only; do not download until source availability and non-safety match are verified. | Police (PBA, Superior Officers Assoc.) and fire (TFOA) units confirmed active via PERC synopsis, including a live TFOA staffing-level grievance relevant to H4; no non-safety city-level document found (Passaic County's own CBA page is a different jurisdiction, excluded). See pa_nj_candidate_sources_2026-07-12.csv. | Follow-up 2026-07-12: police (PBA Local 1) and fire (FMBA Local 2/TFOA) precisely named via PERC decisions incl. a live staffing grievance; non-safety remains a hard gap (only school-district PERC filings found, different employer). See pa_nj_candidate_sources_followup_2026-07-12.csv."
NST-2026-07-12-009,New Jersey,Trenton,high,scanned_2026-07-12,police CBA; fire CBA; one general municipal non-safety CBA; any arbitration/factfinding/impasse or wage-study source in same cycle,yes,yes,yes,yes_if_public,city labor relations or HR pages; city council agenda packets; state labor board/PERC/SERB-style repositories; union local pages; municipal document portals,CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-06;CLM-2026-07-12-07,H1;H2;H3;H4;H5;H7,high,medium,"""Trenton"" ""collective bargaining agreement"" police fire AFSCME; ""Trenton"" ""labor agreement"" ""fire"" ""police""; ""Trenton"" ""AFSCME"" ""contract""; ""New Jersey"" ""interest arbitration"" ""Trenton"" police fire","Initial planning target only; do not download until source availability and non-safety match are verified. | Least distinct evidence of the five NJ cities scanned; no Trenton-specific document or decision surfaced beyond general PERC portal pages. Route to NJ PERC contracts index for follow-up. See pa_nj_candidate_sources_2026-07-12.csv. | Follow-up 2026-07-12: major upgrade -- direct, in-window (2019) AFSCME Local 2281 non-safety CBA found; police (PBA Local 11) and fire (FMBA Local 206) precisely named. Strong second-priority NJ target after Newark. See pa_nj_candidate_sources_followup_2026-07-12.csv."
NST-2026-07-12-010,New Jersey,Camden,high,not_scanned_this_pass,police CBA; fire CBA; one general municipal non-safety CBA; any arbitration/factfinding/impasse or wage-study source in same cycle,yes,yes,yes,yes_if_public,city labor relations or HR pages; city council agenda packets; state labor board/PERC/SERB-style repositories; union local pages; municipal document portals,CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-06;CLM-2026-07-12-07,H1;H2;H3;H4;H5;H7,high,medium,"""Camden"" ""collective bargaining agreement"" police fire AFSCME; ""Camden"" ""labor agreement"" ""fire"" ""police""; ""Camden"" ""AFSCME"" ""contract""; ""New Jersey"" ""interest arbitration"" ""Camden"" police fire","Initial planning target only; do not download until source availability and non-safety match are verified. | This 2026-07-12 bounded scan used a task-specified NJ city list (Newark, Jersey City, Paterson, Elizabeth, Trenton) that substituted Elizabeth for Camden. Elizabeth was scanned instead (police/fire units confirmed via PERC synopsis, no non-safety candidate found) — see new_jersey_source_scan_2026-07-12.md. Camden remains unscanned; candidate for a future NJ follow-up."
