wave_id,priority_rank,state,municipality,municipality_id,census_gov_id,government_name,government_type,geography_type,population,county_relationship_count,multi_county_flag,county_context_summary,already_scouted,scout_positive_status,already_in_corpus,selection_bucket,selection_reason,claim_or_source_need_connection,expected_units_to_search,verification_notes,recommended_scout_status
NWMS-2026-07-16-01,1,TX,San Antonio,tx_san_antonio,175988,CITY OF SAN ANTONIO,municipal,place,1495295,3,yes,Bexar County [48029; county; government-units-primary=yes; basis=2020_place_by_county] | Comal County [48091; county; government-units-primary=no; basis=2020_place_by_county] | Medina County [48325; county; government-units-primary=no; basis=2020_place_by_county],no,not_scouted,yes,matched_comparison_repair,Urgent named gap: find an ordinary civilian comparison pathway or document its institutional non-availability; do not spend the wave rediscovering the existing safety contracts.,CLM-2026-07-12-02; CLM-2026-07-12-06; CLM-2026-07-12-07; CLM-2026-07-12-08; H5; H6,ordinary general-municipal non-safety unit or authoritative civilian wage-setting pathway (clerical_admin/public_works/sanitation); comparator or wage-study material,"After scouting, verify exact employer, official/union provenance, 2014-2024 cycle dates, and a safety/non-safety overlap before promotion; scout output remains unverified. Retain every county relationship shown in county_context_summary; do not use a primary-county shortcut. High-burden large-city review: cap verification to the strongest official/union triad leads before expanding.",ready_for_scout
NWMS-2026-07-16-01,2,MA,Somerville,ma_somerville,166453,CITY OF SOMERVILLE,municipal,place,80407,1,no,Middlesex County [25017; county; government-units-primary=yes; basis=2020_place_by_county],no,not_scouted,yes,matched_comparison_repair,Repair a safety-only corpus city by locating an overlapping ordinary non-safety agreement; this is also the corpus's strongest current comparator-evidence anchor.,CLM-2026-07-12-03; CLM-2026-07-12-06; CLM-2026-07-12-07; H5; H8,ordinary non-safety unit in an overlapping cycle (clerical_admin/public_works/library); comparator or impasse material,"After scouting, verify exact employer, official/union provenance, 2014-2024 cycle dates, and a safety/non-safety overlap before promotion; scout output remains unverified.",ready_for_scout
NWMS-2026-07-16-01,3,MA,Newton,ma_newton,166452,CITY OF NEWTON,municipal,place,88415,1,no,Middlesex County [25017; county; government-units-primary=yes; basis=2020_place_by_county],no,not_scouted,yes,matched_comparison_repair,Repair a safety-only corpus city by locating an overlapping ordinary non-safety agreement.,CLM-2026-07-12-03; CLM-2026-07-12-06; H8,ordinary non-safety unit in an overlapping cycle (clerical_admin/public_works/library),"After scouting, verify exact employer, official/union provenance, 2014-2024 cycle dates, and a safety/non-safety overlap before promotion; scout output remains unverified.",ready_for_scout
NWMS-2026-07-16-01,4,TX,Austin,tx_austin,176394,CITY OF AUSTIN,municipal,place,979882,4,yes,Bastrop County [48021; county; government-units-primary=no; basis=2020_place_by_county] | Hays County [48209; county; government-units-primary=no; basis=2020_place_by_county] | Travis County [48453; county; government-units-primary=yes; basis=2020_place_by_county] | Williamson County [48491; county; government-units-primary=no; basis=2020_place_by_county],no,not_scouted,yes,matched_comparison_repair,Replace the current safety-adjacent EMS comparison with an ordinary general-municipal comparator.,CLM-2026-07-12-02; CLM-2026-07-12-04; CLM-2026-07-12-08; H1; H3; H4; H6,ordinary general-municipal non-safety unit distinct from EMS (clerical_admin/public_works/sanitation),"After scouting, verify exact employer, official/union provenance, 2014-2024 cycle dates, and a safety/non-safety overlap before promotion; scout output remains unverified. Retain every county relationship shown in county_context_summary; do not use a primary-county shortcut.",ready_for_scout
NWMS-2026-07-16-01,5,NJ,Newark,nj_newark,130835,CITY OF NEWARK,municipal,place,304960,1,no,Essex County [34013; county; government-units-primary=yes; basis=2020_place_by_county],no,not_scouted,yes,matched_comparison_repair,Find a current fire leg overlapping Newark's existing police/non-safety cycle so the design becomes a genuine triad.,CLM-2026-07-12-01; CLM-2026-07-12-04; CLM-2026-07-12-05; CLM-2026-07-12-06; CLM-2026-07-12-07; H1; H2; H3; H4; H5; H7,current fire CBA or award first; then repeat-cycle police and ordinary non-safety sources,"After scouting, verify exact employer, official/union provenance, 2014-2024 cycle dates, and a safety/non-safety overlap before promotion; scout output remains unverified. Use the PERC employer index as a verification route, but do not treat an index entry or decision synopsis as the CBA itself.",ready_for_scout
NWMS-2026-07-16-01,6,MA,Boston,ma_boston,128108,CITY OF BOSTON,municipal,place,653833,1,no,Suffolk County [25025; county; government-units-primary=yes; basis=2020_place_by_county],no,not_scouted,yes,matched_comparison_repair,"Complete the existing matched pair with a fire source, a high-value large-department mechanism test.",CLM-2026-07-12-03; CLM-2026-07-12-04; H4; H8,fire CBA or impasse/arbitration source overlapping the existing pair,"After scouting, verify exact employer, official/union provenance, 2014-2024 cycle dates, and a safety/non-safety overlap before promotion; scout output remains unverified.",ready_for_scout
NWMS-2026-07-16-01,7,MA,Worcester,ma_worcester,106079,CITY OF WORCESTER,municipal,place,207621,1,no,Worcester County [25027; county; government-units-primary=yes; basis=2020_place_by_county],no,not_scouted,yes,matched_comparison_repair,Complete the existing fire/non-safety pair with a police leg; favor a base CBA over another amendment-only document.,CLM-2026-07-12-03; H1; H7; H8,police base CBA in an overlapping cycle; full non-safety base CBA if available,"After scouting, verify exact employer, official/union provenance, 2014-2024 cycle dates, and a safety/non-safety overlap before promotion; scout output remains unverified.",ready_for_scout
NWMS-2026-07-16-01,8,MA,Arlington,ma_arlington,166519,TOWN OF ARLINGTON,township,county_subdivision,46111,1,no,Middlesex County [25017; county; government-units-primary=yes; basis=2024_county_subdivision_geoid],no,not_scouted,yes,matched_comparison_repair,Complete the exact-cycle fire/public-works pair with police and test the city's currently symmetric impasse pattern.,CLM-2026-07-12-03; CLM-2026-07-12-06; H1; H2; H7; H8,police CBA or formal impasse source overlapping the existing exact-cycle pair,"After scouting, verify exact employer, official/union provenance, 2014-2024 cycle dates, and a safety/non-safety overlap before promotion; scout output remains unverified. Confirm the township government—not a same-name city, county, school district, or statistical place—is the employer. Confirm that the government actually has paid public-safety bargaining units; universe inclusion alone does not prove unit availability.",ready_for_scout
NWMS-2026-07-16-01,9,MA,Georgetown,ma_georgetown,166487,TOWN OF GEORGETOWN,township,county_subdivision,8444,1,no,Essex County [25009; county; government-units-primary=yes; basis=2024_county_subdivision_geoid],no,not_scouted,yes,matched_comparison_repair,"Complete the existing matched pair with a fire leg, if a paid or call department has a written agreement.",CLM-2026-07-12-03; H8,fire agreement or authoritative evidence that no municipal fire bargaining agreement exists,"After scouting, verify exact employer, official/union provenance, 2014-2024 cycle dates, and a safety/non-safety overlap before promotion; scout output remains unverified. Confirm the township government—not a same-name city, county, school district, or statistical place—is the employer. Confirm that the government actually has paid public-safety bargaining units; universe inclusion alone does not prove unit availability.",ready_for_scout
NWMS-2026-07-16-01,10,NJ,Jersey City,nj_jersey,193734,CITY OF JERSEY CITY,municipal,place,291657,1,no,Hudson County [34017; county; government-units-primary=yes; basis=2020_place_by_county],no,not_scouted,no,matched_comparison_repair,"Resolve the documented vintage problem by finding current-cycle successors for the known police, fire, and non-safety agreement set.",CLM-2026-07-12-01; CLM-2026-07-12-04; CLM-2026-07-12-05; CLM-2026-07-12-06; CLM-2026-07-12-07; H1; H2; H3; H4; H5; H7,current-cycle police; fire; ordinary non-safety successors; public award/factfinding material,"After scouting, verify exact employer, official/union provenance, 2014-2024 cycle dates, and a safety/non-safety overlap before promotion; scout output remains unverified. Use the PERC employer index as a verification route, but do not treat an index entry or decision synopsis as the CBA itself.",ready_for_scout
