hypothesis_id,hypothesis_name,mechanism_family,current_recommendation,report_role,main_groups,rationale,evidence_status,source_need,merge_with,notes
H1,labor scarcity and recruitment pressure,labor_market,keep_central,central,"police, fire, teacher, DPW","Real, calibrated finding (police 68% hard-to-fill, but mental health 83%/nursing 77%/corrections 74% rank higher nationally); the cross-occupation comparison itself is the value",strong_current_corpus,"Same-city, same-period vacancy comparison across all groups, not yet built",,
H2,post-2020 policing climate shock,political_legitimacy,demote,supporting,police,Real but narrow and police-specific; must not anchor a general non-safety narrative; needs disentangling from COVID/retirement/Great-Resignation channels,plausible_but_under_sourced,"Comparative quit-rate analysis vs. non-safety municipal hiring, same period",,
H3,compensating differentials for risk stress and hours,working_conditions,merge,supporting,"police, fire, sanitation, dispatchers",Near-duplicate of H12 (risk/liability/legal exposure); both describe hazard-based wage-pressure claims,plausible_but_under_sourced,BLS/NIOSH injury-rate data by occupation,H12,
H4,overtime staffing spiral,staffing_dynamics,keep_central,central,"police, fire, DPW, dispatchers",DPW's version is structurally different (contractor-substitution option); dispatchers' Arlington minimum-coverage rule is a new corpus-confirmed instance,strong_current_corpus,Police/fire minimum-staffing clause text not yet directly reviewed; dispatcher wage data not yet extracted,,
H5,comparator ratchet,comparability,keep_supporting,supporting,"police, teacher",Confirmed in current corpus for police (Somerville JLMC awards); teacher CBA not yet reviewed for comparator language; DPW/clerical-admin confirmed absent,moderate_current_corpus,Seekonk teacher CBA review for comparator language,,
H6,arbitration or impasse backstop,institutions,keep_central,central,"police, fire, teacher, DPW, clerical_admin, library, sanitation, transit","Now a 3-regime finding for Massachusetts (JLMC, Chapter 150E, MBTA c.161A); citation-audited multi-state pattern with Iowa/Wisconsin complications; dispatcher status not yet independently re-verified",strong_current_corpus,Dispatchers' binding_arbitration_statute field not yet checked,,
H7,political salience and public safety premium,politics,keep_supporting,caveat,"police, fire, nurse_health",Untested empirically for any group; nurse_health's crisis-episodic (not persistent) salience is a new distinct profile,plausible_but_under_sourced,"Comparative local-news-coverage-volume study across occupation classes, not attempted",,
H8,union power or institutional privilege,labor_institutions,keep_supporting,supporting,"police, fire",Difficult to separate from fiscal capacity and labor scarcity; not independently tested,plausible_but_under_sourced,Statutory leverage documentation compared across occupation classes,,
H9,budget capacity and property tax base,fiscal_capacity,keep_central,central,"teacher, library, all groups (context)",Teacher's two-sided Chapter 70/Prop 2.5 constraint is the sharpest occupation-specific instance; library's MBLC MAR is a weaker analog; general version is a candidate confound for every group,strong_current_corpus,"Cross-occupation, within-city fiscal-capacity correlation test, not yet built",,
H10,credentialing and training barriers,training_credentials,keep_central,central,"DPW, library, teacher, dispatchers",DPW's CDL/hoisting/water-operator linkage is richly confirmed; library's MLS/MLIS is real but uneven; dispatchers' 560 CMR 5.00 certification not yet linked to pay,strong_current_corpus,Nurse_health and custodial credential-to-pay linkage not yet tested,,
H11,volunteer to career transition pressure,fire_structure,keep_supporting,supporting,fire,"Now nationally quantified (NFPA: 897,750 in 1984 to 676,900 in 2020); mostly fire-specific, non-safety comparison via service model not direct wage setting",strong_current_corpus,Whether volunteer-to-career transition is detectable in this project's own city set,,
H12,risk liability and legal exposure,exposure_liability,merge,supporting,"police, fire, sanitation, dispatchers",Near-duplicate of H3; both describe hazard/liability-based wage pressure claims and should be read together in any report,plausible_but_under_sourced,Workers-comp/disability-retirement/claims data by occupation,H3,
H13,teacher supply and recruitment pressure,labor_market,defer,supporting,teacher,"Strong external evidence (NCES: 74% hard-to-fill 2024-25) but this project's own corpus has only 1 teacher row, insufficient to test corpus-side",external_context_only,Massachusetts-specific applicant-count series,,
H14,teacher shortage buffering without wage adjustment,staffing_dynamics,defer,supporting,teacher,"Buffering channels (substitutes, emergency certification) are structurally not wage-adjacent; corpus cannot yet test this with 1 row",external_context_only,Long-term substitute usage data for this project's cities,,
H15,teacher composition effect on observed average wages,measurement_composition,demote,caveat,teacher,"A measurement-discipline caution, not a substantive finding in its own right; important but should not be reported as a central mechanism",strong_current_corpus,Grade/subject composition data for this project's cities,,
H16,teacher salary schedule rigidity and shortage-area pay,institutions,demote,caveat,teacher,National base rate (3/4 districts per NCTQ) already established; this project's own cities not yet tested,external_context_only,Whether Seekonk's own CBA has shortage-area stipend language,,
H17,non-safety wage restraint via institutional/budget translation,institutions,keep_central,central,"teacher, clerical_admin, DPW, library, sanitation, transit",The umbrella hypothesis unifying every non-safety mechanism memo; sharpened by Iowa's distinct scope/criteria-restriction lever and transit's governance-distance version,strong_current_corpus,"Matched wage-growth-by-occupation-class data, not yet built",,
H18,DPW operational essentiality as the strongest operational non-safety comparison,operational_comparison,keep_central,central,DPW,Strongest available operational (vs. credentialing/salience) non-safety comparison; snow/storm overtime confirmed corpus-wide,strong_current_corpus,Vacancy duration by DPW classification,,
H19,DPW CDL and equipment operator scarcity,labor_market,keep_central,central,"DPW, sanitation, transit",CDL 'shortage' contradicted at the national labor-economics level (BLS 2019); water/wastewater operator scarcity is the stronger genuine case; parallels sanitation's SN03 and transit's mechanic discussion,strong_current_corpus,Municipal CDL-classification wage growth vs. other job classes,,
H20,DPW contractor substitution,institutions,keep_central,central,"DPW, sanitation, transit","MA prevailing wage law is a real DPW-specific wrinkle; sanitation's version (H33) and transit's version (H38) are structurally deeper, state-law-mandated analogs",strong_current_corpus,Prevailing-wage-coverage status by contract type,,
