run_id,state,municipality_count,parseable_count,failed_count,candidate_row_count,input_tokens_total,reasoning_tokens_total,output_tokens_total,total_tokens_total,estimated_input_cost,estimated_output_cost,estimated_total_cost,estimate_only
all_2026-07-23_221645,AK,4,4,0,9,129715,6118,9716,139431,0.0259430,0.01214500,0.03808800,true
all_2026-07-23_221645,AL,1,1,0,0,26607,886,917,27524,0.0053214,0.00114625,0.00646765,true
all_2026-07-23_221645,CA,37,37,0,104,1041150,52295,95097,1136247,0.2082300,0.11887125,0.32710125,true
all_2026-07-23_221645,DE,4,4,0,9,117947,5553,9217,127164,0.0235894,0.01152125,0.03511065,true
all_2026-07-23_221645,ID,2,2,0,3,50056,1540,2760,52816,0.0100112,0.00345000,0.01346120,true
all_2026-07-23_221645,KS,4,4,0,8,127190,4777,8048,135238,0.0254380,0.01006000,0.03549800,true
all_2026-07-23_221645,LA,6,6,0,11,165330,6230,10651,175981,0.0330660,0.01331375,0.04637975,true
all_2026-07-23_221645,MA,2,2,0,2,49587,2063,3099,52686,0.0099174,0.00387375,0.01379115,true
all_2026-07-23_221645,MD,13,13,0,15,335675,14597,20722,356397,0.0671350,0.02590250,0.09303750,true
all_2026-07-23_221645,ME,9,9,0,23,241129,10649,19521,260650,0.0482258,0.02440125,0.07262705,true
all_2026-07-23_221645,MN,18,18,0,25,490545,19829,30366,520911,0.0981090,0.03795750,0.13606650,true
all_2026-07-23_221645,MO,10,10,0,11,250479,11930,16897,267376,0.0500958,0.02112125,0.07121705,true
all_2026-07-23_221645,MS,15,15,0,8,364257,12312,15788,380045,0.0728514,0.01973500,0.09258640,true
all_2026-07-23_221645,MT,8,8,0,21,221115,9806,18713,239828,0.0442230,0.02339125,0.06761425,true
all_2026-07-23_221645,NE,1,1,0,1,20664,1729,2214,22878,0.0041328,0.00276750,0.00690030,true
all_2026-07-23_221645,NH,8,8,0,18,221177,9867,17066,238243,0.0442354,0.02133250,0.06556790,true
all_2026-07-23_221645,NM,8,8,0,8,211713,8498,11943,223656,0.0423426,0.01492875,0.05727135,true
all_2026-07-23_221645,NV,4,4,0,11,102549,4570,9154,111703,0.0205098,0.01144250,0.03195230,true
all_2026-07-23_221645,NY,11,11,0,18,292693,13544,21555,314248,0.0585386,0.02694375,0.08548235,true
all_2026-07-23_221645,OH,83,82,1,178,2398818,98795,174398,2573216,0.4797636,0.21799750,0.69776110,true
all_2026-07-23_221645,PA,8,8,0,7,173462,6880,9933,183395,0.0346924,0.01241625,0.04710865,true
all_2026-07-23_221645,RI,2,2,0,8,60150,2742,5818,65968,0.0120300,0.00727250,0.01930250,true
all_2026-07-23_221645,SD,11,11,0,18,298482,12459,20377,318859,0.0596964,0.02547125,0.08516765,true
all_2026-07-23_221645,TN,3,3,0,2,71302,2561,3550,74852,0.0142604,0.00443750,0.01869790,true
all_2026-07-23_221645,UT,1,1,0,0,22597,852,884,23481,0.0045194,0.00110500,0.00562440,true
all_2026-07-23_221645,VA,3,3,0,2,67672,2151,3116,70788,0.0135344,0.00389500,0.01742940,true
all_2026-07-23_221645,VT,2,2,0,2,52306,2423,3252,55558,0.0104612,0.00406500,0.01452620,true
all_2026-07-23_221645,WI,14,14,0,21,364413,16694,25563,389976,0.0728826,0.03195375,0.10483635,true
all_2026-07-23_221645,WV,5,5,0,1,123030,4626,5198,128228,0.0246060,0.00649750,0.03110350,true
all_2026-07-23_221645,WY,3,3,0,4,73123,3197,5036,78159,0.0146246,0.00629500,0.02091960,true
