claim_id,evidence_id,contract_id,state,city,occupation_class,safety_group,attribute,attribute_label,excerpt,excerpt_location,source_grounding_status,evidence_role,reasoning_note
CLM-2026-07-12-01,codify_20260709_oh_columbus_fire_2023_interest_arbitration_or_formal_impasse_backstop_0,oh_columbus_fire_2023,OH,Columbus,fire,safety,interest_arbitration_or_formal_impasse_backstop,Interest arbitration / formal impasse backstop,"Upon request by the City, the parties shall jointly request from the Federal Mediation and Conciliation Service (FMCS) a list of seven (7) arbitrators and the parties shall select a single arbitrator from the list by alternate striking of names to serve as the conciliator. A coin toss shall determine",,grounded,primary_support,Ohio safety evidence shows formal impasse/interest-arbitration language; non-safety evidence supplies the matched contrast through classification or grievance channels.
CLM-2026-07-12-01,codify_20260709_oh_columbus_police_2023_interest_arbitration_or_formal_impasse_backstop_0,oh_columbus_police_2023,OH,Columbus,police,safety,interest_arbitration_or_formal_impasse_backstop,Interest arbitration / formal impasse backstop,"agree that the 2026 negotiations for a contract to succeed this Contract shall be conducted in accordance with the dispute settlement procedure set forth in Ohio Revised Code Chapter 4117. Should fact-finding, conciliation, or arbitration become necessary in order to establish any of the terms of such successor contract, including wages, both parties reserve the right to contest the legal validity of the recommendations and/or findings of the fact-finder, conciliator, ...",,grounded,primary_support,Ohio safety evidence shows formal impasse/interest-arbitration language; non-safety evidence supplies the matched contrast through classification or grievance channels.
CLM-2026-07-12-01,codify_20260709_oh_cleveland_police_2025_interest_arbitration_or_formal_impasse_backstop_0,oh_cleveland_police_2025,OH,Cleveland,police,safety,interest_arbitration_or_formal_impasse_backstop,Interest arbitration / formal impasse backstop,during the negotiations and/or interest arbitration which resulted in this Contract each had the unlimited right and opportunity to make demands and proposals with respect to any subject or matter not removed by law or regulation from,,grounded,primary_support,Ohio safety evidence shows formal impasse/interest-arbitration language; non-safety evidence supplies the matched contrast through classification or grievance channels.
CLM-2026-07-12-01,codify_20260710_oh_toledo_police_2024_interest_arbitration_or_formal_impasse_backstop_0,oh_toledo_police_2024,OH,Toledo,police,safety,interest_arbitration_or_formal_impasse_backstop,Interest arbitration / formal impasse backstop,"If no agreement is reached, the matter shall be subject to an interest arbitration.",,grounded,primary_support,Ohio safety evidence shows formal impasse/interest-arbitration language; non-safety evidence supplies the matched contrast through classification or grievance channels.
CLM-2026-07-12-01,codify_20260709_oh_columbus_other_2024_classification_reclassification_or_grade_structure_0,oh_columbus_other_2024,OH,Columbus,other,non_safety,classification_reclassification_or_grade_structure,"Classification, reclassification, or wage-grade structure","Classification / reclassification / wage schedule [page 2] ---
............................................................ 6 Section 4.2. Bargaining Unit. ............................................................................................... 7 Section 4.3. Job Classifications.",Section 16.5,grounded,secondary_support,Ohio safety evidence shows formal impasse/interest-arbitration language; non-safety evidence supplies the matched contrast through classification or grievance channels.
CLM-2026-07-12-01,codify_20260709_oh_cleveland_other_2022_classification_reclassification_or_grade_structure_0,oh_cleveland_other_2022,OH,Cleveland,other,non_safety,classification_reclassification_or_grade_structure,"Classification, reclassification, or wage-grade structure","forth for purposes of establishing rates o f pay, wages, homs, and other conditions o f' employment. 3. T he Union's exc lusive ba1·gaining unit shall inclt1de al l of the employees in the fo llowing job classifications and the City will not recognize any other union, organization or person as the represenMive",,grounded,secondary_support,Ohio safety evidence shows formal impasse/interest-arbitration language; non-safety evidence supplies the matched contrast through classification or grievance channels.
CLM-2026-07-12-01,codify_20260710_oh_cincinnati_other_2025_grievance_or_contract_interpretation_arbitration_0,oh_cincinnati_other_2025,OH,Cincinnati,other,non_safety,grievance_or_contract_interpretation_arbitration,Grievance or contract-interpretation arbitration,"When a grievance is moved to mediation the Human Resources Director or designee(s), along with departmental management shall meet with the Union",,grounded,secondary_support,Ohio safety evidence shows formal impasse/interest-arbitration language; non-safety evidence supplies the matched contrast through classification or grievance channels.
CLM-2026-07-12-01,codify_20260710_oh_cincinnati_other_2025_interest_arbitration_or_formal_impasse_backstop_0,oh_cincinnati_other_2025,OH,Cincinnati,other,non_safety,interest_arbitration_or_formal_impasse_backstop,Interest arbitration / formal impasse backstop,,,not_applicable,limitation,"Not_found in the Cincinnati non-safety window is treated as a limitation/contrast, not proof of absence in the full contract."
CLM-2026-07-12-01,codify_20260710_oh_toledo_other_2024_interest_arbitration_or_formal_impasse_backstop_0,oh_toledo_other_2024,OH,Toledo,other,non_safety,interest_arbitration_or_formal_impasse_backstop,Interest arbitration / formal impasse backstop,,,not_applicable,limitation,Not_found in the Toledo non-safety window is a bounded contrast only because codify ran on curated windows.
CLM-2026-07-12-02,codify_20260709_tx_houston_other_2024_interest_arbitration_or_formal_impasse_backstop_0,tx_houston_other_2024,TX,Houston,other,non_safety,interest_arbitration_or_formal_impasse_backstop,Interest arbitration / formal impasse backstop,"HOPE and the City shall select a mediator through a process of mutual agreement from the Federal Mediation and Conciliation Service (FMCS). B. Should HOPE elect to proceed directly to arbitration, the City and HOPE will select an arbitrator by immediately requesting a list of seven (7) arbitrators from the FMCS and alternatively striking the names ...",,grounded,primary_support,"Texas evidence shows different statutory/institutional channels by city and occupation, while source inventory shows only Houston as a fully matched Texas triad."
