state,city,target_priority,source_role,desired_occupation_class,source_type_target,search_terms,candidate_url,candidate_title,source_owner,expected_cycle_years,matched_design_value,institutional_value,status,notes
TX,San Antonio,1,police,police,cba,San Antonio police collective bargaining agreement meet and confer,https://www.sanantonio.gov/Portals/0/Files/Atty/CollectiveBargaining/Police/Collective%20Bargaining%20Agreement%202022-2026.pdf,"Collective Bargaining Agreement between City of San Antonio and San Antonio Police Officers Association, 2022-2026",sanantonio.gov (official),2022-2026,low (no confirmed non-safety San Antonio source this session -- unmatched),"high -- full Chapter 174 bargaining without any population-triggered compulsory-arbitration exception (San Antonio pop. ~1.4M, below both TX thresholds); direct contrast to Houston Fire's Sec.174.1535 compulsion",selected,"Verified live 2026-07-10 via curl HEAD (200 OK, application/pdf, 28.2MB, last-modified 2022-06-08). Confirmed in texas_ohio_multicity_pre_ingestion_scan_2026-07-08.md as a strong backup TX city."
TX,San Antonio,1,fire,fire,cba,San Antonio fire fighters collective bargaining agreement,http://www.sanantonio.gov/Portals/0/Files/EmployeeInformation/Relations/Commissions/CBA-SAFD.pdf,Collective Bargaining Agreement between City of San Antonio and San Antonio Fire Fighters Association / IAFF Local 624,sanantonio.gov (official),~2024-2027 (to be confirmed from document text),low (unmatched -- see police row above),"high -- same Ch.174-without-compulsion contrast as police row, plus completes the fire/police institutional-split pattern already confirmed in Houston/Austin/Fort Worth",selected,"Verified live 2026-07-10 via curl HEAD (200 OK, application/pdf, 1.9MB, last-modified 2024-11-26 -- most recently modified of 4 candidate fire-CBA URLs found, treated as the current version)."
TX,San Antonio,1,non_safety_general,other,cba,San Antonio AFSCME SEIU municipal civilian employees collective bargaining agreement,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_found,"Re-checked live 2026-07-10 (fresh web search, not just the 2026-07-08 scan): found only a description of AFSCME San Antonio periodically 'selecting representatives to sit at the table with management' -- reads as a non-binding consultation/representation process, not a signed, negotiated CBA. No specific document, date, or URL located. Confirms the prior scan's finding: San Antonio has no confirmed non-safety statutory bargaining channel. Not force-added per this run's design principles."
TX,Dallas,2,police_fire_joint,police,cba,Dallas police fire meet and confer team agreement,lris.com / Ballotpedia-hosted copies (no official dallascityhall.com PDF confirmed),Dallas joint Police/Fire Meet and Confer Team Agreement,"aggregator (lris.com, Ballotpedia) -- not city-hosted","unknown, not confirmed this session",medium (joint police+fire in one document -- would need a decision on how to represent as 1 or 2 contracts.csv rows),"medium -- a structurally distinct joint police+fire meet-and-confer model, contrasting with every other scanned Texas city's split police/fire agreements",deferred,"Not re-searched live this session; relying on texas_ohio_multicity_pre_ingestion_scan_2026-07-08.md's finding that no official city-hosted full-text copy was confirmed. Do not ingest an aggregator-hosted copy without a confirmed official source and clear provenance, per this run's search rules."
TX,Dallas,2,non_safety_general,other,cba,Dallas AFSCME NTAPE CWA municipal employees agreement,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_found,"Per prior scan: Dallas non-safety wage-setting runs through a civil-service classification/pay system (1,100+ classifications, 8 salary schedules), not a negotiated CBA. NTAPE Local 9487 (USW) and CWA Local 6215 exist but neither confirmed to have Chapter-146-equivalent statutory bargaining status. Not selected -- would be a budget/pay-plan document, excluded by this run's design principles."
TX,Fort Worth,3,police,police,cba,Fort Worth police meet and confer agreement FWPOA,apps.fortworthtexas.gov (2017-2020 predecessor found; current-cycle official copy not directly located),Fort Worth Police Officers Association Meet and Confer Agreement,"fortworthtexas.gov (official, but current-cycle URL unconfirmed)",unknown current cycle,low (no non-safety FW source identified),medium-high -- independently confirms the fire/police institutional split pattern in a third Texas city,deferred,Not re-searched live this session; current-cycle full CBA text not directly located per the prior scan. A strong backup for a future session with a dedicated Fort Worth search.
TX,Fort Worth,3,fire,fire,cba,Fort Worth fire collective bargaining agreement professional firefighters,"fortworthtexas.gov/departments/citysecretary/events/collective-bargaining-fire-2024 (event page, full text not directly located)",Fort Worth Fire Collective Bargaining Contract,"fortworthtexas.gov (official, but direct PDF unconfirmed)",2024-cycle (approximate),low,medium-high (see police row),deferred,Same as Fort Worth police row -- deferred pending a dedicated follow-up search for the direct PDF.
TX,Fort Worth,3,non_safety_general,other,cba,Fort Worth general employees agreement AFSCME,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_found,"Per prior scan: non-civil-service employees receive pay via a 'Pay for Performance Program,' not a negotiated agreement; citywide salary schedules exist but are budget/pay-plan documents, excluded by this run's design principles."
TX,El Paso,4,police,police,cba,El Paso police officers association collective bargaining agreement,"CLEAT-hosted copy (union umbrella org, not official elpasotexas.gov)",El Paso Municipal Police Officers' Association CBA 2023-2027,CLEAT (union umbrella organization) -- not city-hosted,2023-2027,low,low-medium -- institutional status (Chapter 174 adoption) rests on secondary sourcing only,deferred,"Not re-searched live this session. Union-hosted copy only; an official city-hosted copy should be located before treating as acquisition-ready, per this run's provenance preference for official sources."
TX,El Paso,4,fire_and_non_safety,not_applicable,not_applicable,El Paso fire non-safety agreement,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_explored,Not explored in this or the prior session. Lowest priority per this run's target-city ordering (El Paso listed last).
OH,Cincinnati,1,police_non_supervisors,police,cba,Cincinnati FOP Queen City Lodge collective bargaining agreement non-supervisors,https://www.cincinnati-oh.gov/hr/labor-relations/police-contract-non-supervisors-2024-2027/,"Labor Agreement between City of Cincinnati and FOP Queen City Lodge No. 69 (non-supervisors), 2024-2027",cincinnati-oh.gov (official),2024-2027,high -- completes a full police+fire+non-safety matched triad in one city,"high -- ORC 4117/SERB framework, directly comparable to Columbus/Cleveland",selected,"Verified live 2026-07-10 via curl HEAD (200 OK, application/pdf, 773KB, last-modified 2025-03-20)."
OH,Cincinnati,1,police_supervisors,police,cba,Cincinnati FOP Queen City Lodge collective bargaining agreement supervisors,https://www.cincinnati-oh.gov/hr/labor-relations/police-contract-supervisors-2024-2027/,"Labor Agreement between City of Cincinnati and FOP Queen City Lodge No. 69 (supervisors: Sergeant through Lieutenant Colonel/Assistant Chief), 2024-2027",cincinnati-oh.gov (official),2024-2027,"bonus -- a rank-vs-supervisor police split, paralleling this project's existing Franklin Police Sergeants precedent",high,selected,"Verified live 2026-07-10 via curl HEAD (200 OK, application/pdf, 813KB, last-modified 2025-03-20). Same bargaining unit type as police_non_supervisors; both added to enrich the rank-structure comparison, not required for the core matched triad."
OH,Cincinnati,1,fire,fire,cba,Cincinnati IAFF Local 48 fire collective bargaining agreement,https://www.cincinnati-oh.gov/hr/labor-relations/fire-contract-2023-2026/,"Labor-Management Agreement between City of Cincinnati and IAFF Local 48, 2023-2026",cincinnati-oh.gov (official),2023-2026,high,high,selected,"Verified live 2026-07-10 via curl HEAD (200 OK, application/pdf, 1.0MB, last-modified 2025-01-15)."
