issue_id,file,row_identifier,field,current_value,proposed_value,proposed_action,rationale,evidence_checked,confidence,production_edit_needed,analysis_impact,notes
MC01,data/contracts.csv,ma_arlington_public_works_2015,comparability_referent,,workers' compensation / line-of-duty medical-provider comparability (non-wage),add_clarifying_note,"comparability_text captures a workers'-comp medical-provider clause, not peer-jurisdiction wage comparability; comparability_referent is currently blank and is the schema-intended place to record what the clause pegs the unit to.",direct data/contracts.csv read; corroborated by non_safety_dpw_existing_corpus_scan_2026-07-04.md §3,high,yes,prevents future misreading of comparability_clause_flag=1 as peer-wage comparator evidence for this row,Companion row ma_arlington_public_works_2018 has the identical issue; see next row.
MC01,data/contracts.csv,ma_arlington_public_works_2018,comparability_referent,,workers' compensation / line-of-duty medical-provider comparability (non-wage),add_clarifying_note,"Identical comparability_text to the 2015 cycle (same bargaining unit, successor contract); same non-wage workers'-comp clause.",direct data/contracts.csv read,high,yes,prevents future misreading of comparability_clause_flag=1 as peer-wage comparator evidence for this row,See ma_arlington_public_works_2015 row above.
MC01,data/contracts.csv,ma_arlington_public_works_2015; ma_arlington_public_works_2018,comparability_clause_flag,1,(unchanged pending schema decision),needs_followup,"Whether the flag should require wage-specific 'comparable' language, or remain a generic any-comparable-clause flag with disambiguation pushed to comparability_referent, is a project-level schema decision (see audit memo §5/§7), not a row-level correction.",docs/schema.md field definition (no wage-specific qualifier currently stated),medium,needs_followup,affects whether any comparability_clause_flag=1 row in the current corpus would remain flagged after a scope change,Same decision also governs MC08's 5 non-Somerville rows.
MC02,data/contracts.csv,ma_boston_clerical_admin_2023,longevity_detail,Full base CBA. City-wide administrative/clerical unit; merged units include SENA 9158E (Public Facilities/DND) and 9158F (BCYF). Has no-strike and binding arbitration clauses.,(blank — no longevity-specific text was found in the extracted contract text; longevity_pay_flag is also blank/unset for this row),clear_misplaced_value,"This is a general unit-description note, not longevity-pay detail; it appears to belong in total_comp_note per docs/schema.md ('free text for non-base items not forced into columns').",direct field-by-field csv.DictReader read of this row against docs/schema.md column definitions,high,yes,corrects field so longevity_detail is not misread as describing longevity pay,Proposed swap target: this content -> total_comp_note (see next row).
MC02,data/contracts.csv,ma_boston_clerical_admin_2023,total_comp_note,MA G.L. c. 1078 (JLMC),Full base CBA. City-wide administrative/clerical unit; merged units include SENA 9158E (Public Facilities/DND) and 9158F (BCYF). Has no-strike and binding arbitration clauses.,swap_with_longevity_detail,"A bare JLMC statute citation in this field could be misread as evidence of JLMC coverage; clerical/admin is confirmed JLMC-ineligible (MMA Select Board Handbook, per ma_clerical_admin_bargaining_impasse_context_2026-07-05.md) and this row's own arbitration_clause_text contains no JLMC reference at all.",direct csv read; ma_clerical_admin_bargaining_impasse_context_2026-07-05.md §3,high,yes,removes a false-positive JLMC signal from a clerical/admin row,Paired with the longevity_detail edit above as a single swap.
MC02,data/contracts.csv,ma_boston_clerical_admin_2023,binding_arbitration_statute,clean,MA G.L. c. 150E (RECOMMEND DIRECT PDF RE-VERIFICATION BEFORE WRITING),correct_value_pending_verification,"'clean' is a text_quality-vocabulary value, not a statute name, and clearly does not belong in this field. 'MA G.L. c. 150E' matches every other clerical_admin/public_works row's pattern and is consistent with this row's own arbitration_clause_text opening reference to 'Chapter I SOE, Section 8', a plausible OCR/typo rendering of 'Chapter 150E, Section 8'.",direct csv read; cross-row pattern check across all clerical_admin and public_works rows; in-row textual clue in arbitration_clause_text,medium-high (the field is clearly wrong; the specific proposed replacement value should be re-verified against the source PDF before writing),yes,removes a clearly invalid statute-name value and replaces it with the corpus-consistent value pending final PDF check,Do not write this value without first re-opening corpus/ma_boston/ma_boston_clerical_sena9158_cba_2023_2027.pdf to confirm the exact statute citation.
MC02,data/contracts.csv,ma_boston_clerical_admin_2023,interest_arbitration_flag,1,0,correct_flag,"arbitration_clause_text for this row is pure grievance-procedure definitional language (Grievance Form, Grievant, Grievance, day-counting) with no interest-arbitration content; clerical/admin is externally confirmed JLMC-ineligible.",direct csv read of full arbitration_clause_text field; ma_clerical_admin_bargaining_impasse_context_2026-07-05.md,high,yes,prevents this row from appearing as a false positive in any future 'has interest arbitration' query,Same MC06 pattern as the three public_works rows below.
MC06,data/contracts.csv,ma_arlington_public_works_2015,interest_arbitration_flag,1,0,correct_flag,"arbitration_clause_text describes civil-service suspension/dismissal/removal grievance arbitration, not wage-setting interest arbitration.",direct csv read of arbitration_clause_text,high,yes,prevents false positive in any future interest-arbitration query,Same pattern as ma_arlington_public_works_2018.
MC06,data/contracts.csv,ma_arlington_public_works_2018,interest_arbitration_flag,1,0,correct_flag,"Identical arbitration_clause_text to the 2015 cycle; same civil-service grievance arbitration, not interest arbitration.",direct csv read of arbitration_clause_text,high,yes,prevents false positive in any future interest-arbitration query,Same pattern as ma_arlington_public_works_2015.
MC06,data/contracts.csv,ma_seekonk_public_works_2023,interest_arbitration_flag,1,0,correct_flag,"arbitration_clause_text states verbatim: 'Final binding arbitration will prevail on grievances only' -- an explicit, unambiguous grievance-only scope in the union's own contract language.",direct csv read of arbitration_clause_text,high,yes,prevents false positive in any future interest-arbitration query; also already cited correctly as grievance-only in non_safety_dpw_existing_corpus_scan_2026-07-04.md §4,"This row's own clause text is the clearest, most self-evident case in the whole audit."
