municipality,state,municipality_id,unit_type,document_title,union_name,employer,contract_years,source_url,source_owner_type,document_type,document_completeness,comparator_role,wrong_employer_risk,context_only_flag,visible_year_evidence,overlap_with_anchor_cycle,duplicate_risk,blocked_or_unreadable_flag,cycle_match_notes,why_relevant,confidence,candidate_stage,needs_verification_reason,scout_stage_status,verification_priority,verification_notes
Lombard,IL,cog_2025_194697,police,"Agreement Between the Village of Lombard and the Illinois Fraternal Order of Police Labor Council (Council 31, Local 89)","Illinois Fraternal Order of Police Labor Council (Council 31, Local 89)",Village of Lombard,2016-2019,https://www.villageoflombard.org/DocumentCenter/View/1204,city,cba,full_document,safety_target,possible,no,cover_or_title,no_anchor_supplied,none,no,"Title page shows operative period as January 1, 2016 through December 31, 2019 (visible_year_evidence=cover_or_title).",Police CBA for Lombard municipal employer with operative dates in the 2014-2024 window.,medium,qualifying_candidate,Scout-stage lead: confirm bargaining unit is police (sworn police only) for the Village of Lombard and verify exact paid-unit identity and that the document is a collective bargaining agreement for the intended police bargaining unit.,unverified_scout_candidate,high,"Later coordinated verification must confirm the exact municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate."
Lombard,IL,cog_2025_194697,police,Agreement Between the Village of Lombard and the Illinois Fraternal Order of Police Labor Council,Illinois Fraternal Order of Police Labor Council,Village of Lombard,2020-2022,https://villageoflombard.org/DocumentCenter/View/4575/FOP-Contract---Police-Officer-2020-2022-PDF,city,cba,full_document,safety_target,possible,no,cover_or_title,no_anchor_supplied,none,no,Cover shows contract period labeled '2020-2022' (visible_year_evidence=cover_or_title).,Police CBA for Lombard municipal employer with operative dates in the 2014-2024 window.,medium,qualifying_candidate,Scout-stage lead: verify this is the police CBA for the intended police bargaining unit (sworn police) and confirm exact paid-unit identity and operative duration language in the agreement.,unverified_scout_candidate,high,"Later coordinated verification must confirm the exact municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate."
Lombard,IL,cog_2025_194697,fire,"Agreement between the Village of Lombard and Lombard Firefighters' Union, Local 3009","Lombard Firefighters' Union, Local 3009",Village of Lombard,2019-2022,https://villageoflombard.org/DocumentCenter/View/1196,city,cba,full_document,safety_target,possible,no,cover_or_title,no_anchor_supplied,none,no,"Title page shows 'January 1, 2019 through December 31, 2022' (visible_year_evidence=cover_or_title).",Fire CBA for Lombard municipal employer with operative dates in the 2014-2024 window.,medium,qualifying_candidate,Scout-stage lead: confirm firefighter bargaining unit scope (firefighters/paramedics if applicable) and verify exact paid-unit identity and mutual cycle overlap with any later supplied anchor cycle.,unverified_scout_candidate,high,"Later coordinated verification must confirm the exact municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate."
Lombard,IL,cog_2025_194697,fire,"Agreement between the Village of Lombard and Lombard Firefighters' Union, Local 3009","Lombard Firefighters' Union, Local 3009",Village of Lombard,2023-2025,https://villageoflombard.org/DocumentCenter/View/8526/Fire-Union-Contract-2023-2025-PDF,city,cba,full_document,safety_target,possible,no,cover_or_title,no_anchor_supplied,none,no,"Title page shows 'January 1, 2023 through December 31, 2025' (visible_year_evidence=cover_or_title).",Fire CBA for Lombard municipal employer with operative dates in the 2014-2024 window (partial).,medium,qualifying_candidate,"Scout-stage lead: verify the bargaining unit is firefighters (and related positions, if included) and confirm operative wage-setting/compensation terms within the document.",unverified_scout_candidate,high,"Later coordinated verification must confirm the exact municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate."
Lombard,IL,cog_2025_194697,non_safety,"Agreement Between the Village of Lombard and SEIU Local 73, Service Employees International Union, CTW","SEIU Local 73, Service Employees International Union, CTW",Village of Lombard,2013-2015,https://villageoflombard.org/DocumentCenter/View/1194,city,cba,full_document,ordinary_non_safety_comparator,possible,no,cover_or_title,no_anchor_supplied,none,no,Title page shows '2013-2015' (visible_year_evidence=cover_or_title).,Non-safety (ordinary municipal/civilian) CBA for Lombard municipal employer within the requested time range.,medium,qualifying_candidate,Scout-stage lead: confirm this SEIU unit is ordinary general-municipal/non-safety (not police or fire) and verify the specific bargaining unit classifications and wage-setting provisions.,unverified_scout_candidate,medium,"Later coordinated verification must confirm the exact municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate."
Lombard,IL,cog_2025_194697,non_safety,"Agreement Between the Village of Lombard and SEIU Local 73, Service Employees International Union, CTW","SEIU Local 73, Service Employees International Union, CTW",Village of Lombard,2016-2020,https://villageoflombard.org/DocumentCenter/View/1195,city,cba,full_document,ordinary_non_safety_comparator,possible,no,cover_or_title,no_anchor_supplied,none,no,Title page shows '2016-2020' (visible_year_evidence=cover_or_title).,Non-safety (ordinary municipal/civilian) CBA for Lombard municipal employer within the requested time range.,medium,qualifying_candidate,Scout-stage lead: confirm the SEIU bargaining group corresponds to ordinary general-municipal non-safety employees (not safety-related) and identify the wage/compensation schedule mechanism within the agreement.,unverified_scout_candidate,high,"Later coordinated verification must confirm the exact municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate."
Buffalo Grove,IL,cog_2025_207784,police,"Agreement between the Village of Buffalo Grove and the Metropolitan Alliance of Police, Buffalo Grove Police Patrol Officer Chapter #672","Metropolitan Alliance of Police (MAP), Buffalo Grove Police Patrol Officer Chapter #672","Village of Buffalo Grove, Illinois","January 1, 2024 - December 31, 2026",https://www.vbg.org/DocumentCenter/View/982,city,cba,partial_document,safety_target,possible,no,cover_or_title,no_anchor_supplied,none,no,"Contract term shown on cover page screenshot as January 1, 2024 - December 31, 2026 (visible_year_evidence=cover_or_title). Anchor-cycle overlap cannot be confirmed because no anchor-cycle dates were supplied in the request.",Direct police CBA document from the Village of Buffalo Grove (target employer) with an operative term that overlaps the 2014-2024 window via the year 2024.,medium,qualifying_candidate,"Scout-stage lead only: must verify the bargaining unit identity (police patrol officers), that the agreement is the operative CBA for the Buffalo Grove municipal unit, and that this is tied to the Village employer (not another entity) for the Census ID 207784.",unverified_scout_candidate,medium,"Later coordinated verification must confirm the exact municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate."
Buffalo Grove,IL,cog_2025_207784,fire,"Agreement between the Village of Buffalo Grove and the Buffalo Grove Professional Firefighter/Paramedic Association, Local 3177, IAFF, AFL-CIO, CLC","Buffalo Grove Professional Firefighter/Paramedic Association, Local 3177, IAFF, AFL-CIO, CLC","Village of Buffalo Grove, Illinois","May 1, 2023 through April 30, 2025",https://www.vbg.org/DocumentCenter/View/677/IAFF-Signed-CBA-2023-2025-1?bidId=,city,cba,full_document,safety_target,possible,no,cover_or_title,no_anchor_supplied,none,no,"Contract term shown on PDF opening pages as May 1, 2023 through April 30, 2025 (visible_year_evidence=cover_or_title). Anchor-cycle overlap cannot be confirmed because no anchor-cycle dates were supplied in the request. Includes arbitration provisions and related grievance machinery (mechanism details exist within the CBA text).","Direct fire CBA document from the Village of Buffalo Grove (target employer) covering 2023-2024, thus overlapping the requested 2014-2024 range.",high,qualifying_candidate,Scout-stage lead only: must verify exact local/unit mapping and whether any wage-setting mechanism material should be extracted for the requested 2014-2024 overlap cycle repair; also confirm this CBA corresponds to the Village employer tied to Census government ID 207784.,unverified_scout_candidate,high,"Later coordinated verification must confirm the exact municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate."
Park Ridge,IL,cog_2025_124895,police,COLLECTIVE BARGAINING AGREEMENT (ICOPS FINAL 2023-2025),Illinois Council of Police and Sheriffs (ICOPS),City of Park Ridge,2023-2025,https://cms9files.revize.com/parkridgeil/ICOPS%20FINAL%202023-2025.pdf,city,cba,full_document,safety_target,possible,no,cover_or_title,overlap,none,no,Operative year evidence shown via filename/title includes 2023-2025; overlaps anchor window 2014-2024 via the 2023-2024 portion. No anchor-cycle years supplied beyond the requested 2014-2024 overlap condition.,Publicly available police CBA document for Park Ridge with contract term overlapping 2014-2024 (at least 2023-2024).,medium,qualifying_candidate,"Scout-stage lead: must verify this document is for the City of Park Ridge, IL (Census government ID 124895), and confirm the bargaining unit scope aligns to sworn police under the City’s police bargaining unit for the relevant years.",unverified_scout_candidate,high,"Later coordinated verification must confirm the exact municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate."
Park Ridge,IL,cog_2025_124895,fire,AGREEMENT BETWEEN CITY OF PARK RIDGE AND IAFF (FINAL CBA 2021-2024 SIGNED),IAFF Local 2697 (Park Ridge Local #2697 referenced in document),City of Park Ridge,2021-2024,https://cms9files.revize.com/parkridgeil/IAFF%20FINAL%20CBA%202021-2024%20SIGNED.pdf,city,cba,full_document,safety_target,possible,no,cover_or_title,overlap,none,no,Operative year evidence shown via filename/title includes 2021-2024; overlaps anchor window 2014-2024 via the 2021-2024 portion.,Publicly available fire CBA document for Park Ridge with contract term overlapping 2014-2024 (2021-2024).,medium,qualifying_candidate,"Scout-stage lead: must verify this document is executed/binding for the Park Ridge fire bargaining unit for the City employer (Census government ID 124895), and confirm the represented classifications (firefighters/fire bargaining unit) match the requested 'fire' unit.",unverified_scout_candidate,high,"Later coordinated verification must confirm the exact municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate."
