run_id,state,municipality_count,parseable_count,failed_count,candidate_row_count,input_tokens_total,reasoning_tokens_total,output_tokens_total,total_tokens_total,estimated_input_cost,estimated_output_cost,estimated_total_cost,estimate_only
all_2026-07-23_222540,AK,3,3,0,6,89331,3776,6450,95781,0.0178662,0.00806250,0.02592870,true
all_2026-07-23_222540,AL,4,4,0,3,88847,3913,5356,94203,0.0177694,0.00669500,0.02446440,true
all_2026-07-23_222540,AR,3,3,0,2,70023,2851,3578,73601,0.0140046,0.00447250,0.01847710,true
all_2026-07-23_222540,AZ,1,1,0,1,23145,1105,1527,24672,0.0046290,0.00190875,0.00653775,true
all_2026-07-23_222540,CA,68,68,0,183,1893236,85992,160813,2054049,0.3786472,0.20101625,0.57966345,true
all_2026-07-23_222540,CO,1,1,0,0,27476,987,1022,28498,0.0054952,0.00127750,0.00677270,true
all_2026-07-23_222540,CT,1,1,0,0,22016,619,649,22665,0.0044032,0.00081125,0.00521445,true
all_2026-07-23_222540,IA,3,3,0,7,55141,3038,5783,60924,0.0110282,0.00722875,0.01825695,true
all_2026-07-23_222540,ID,1,1,0,2,28229,877,1664,29893,0.0056458,0.00208000,0.00772580,true
all_2026-07-23_222540,KS,5,5,0,7,123955,5396,8230,132185,0.0247910,0.01028750,0.03507850,true
all_2026-07-23_222540,LA,6,6,0,2,152496,5859,6938,159434,0.0304992,0.00867250,0.03917170,true
all_2026-07-23_222540,MA,1,1,0,4,44153,1560,3086,47239,0.0088306,0.00385750,0.01268810,true
all_2026-07-23_222540,MD,6,6,0,8,136644,5468,8733,145377,0.0273288,0.01091625,0.03824505,true
all_2026-07-23_222540,ME,6,6,0,13,186330,8697,13674,200004,0.0372660,0.01709250,0.05435850,true
all_2026-07-23_222540,MN,18,18,0,28,485153,21377,33503,518656,0.0970306,0.04187875,0.13890935,true
all_2026-07-23_222540,MO,13,13,0,20,412948,17490,26578,439526,0.0825896,0.03322250,0.11581210,true
all_2026-07-23_222540,MS,6,6,0,0,141151,4587,4773,145924,0.0282302,0.00596625,0.03419645,true
all_2026-07-23_222540,MT,4,4,0,4,80747,3503,5496,86243,0.0161494,0.00687000,0.02301940,true
all_2026-07-23_222540,ND,3,3,0,7,76436,2859,5778,82214,0.0152872,0.00722250,0.02250970,true
all_2026-07-23_222540,NE,1,1,0,4,24986,1294,2982,27968,0.0049972,0.00372750,0.00872470,true
all_2026-07-23_222540,NM,6,6,0,1,147940,5180,5795,153735,0.0295880,0.00724375,0.03683175,true
all_2026-07-23_222540,NY,14,14,0,25,412613,19656,29999,442612,0.0825226,0.03749875,0.12002135,true
all_2026-07-23_222540,OH,30,30,0,29,731335,27476,40844,772179,0.1462670,0.05105500,0.19732200,true
all_2026-07-23_222540,PA,19,19,0,9,439957,16022,20210,460167,0.0879914,0.02526250,0.11325390,true
all_2026-07-23_222540,SC,1,1,0,0,18427,472,493,18920,0.0036854,0.00061625,0.00430165,true
all_2026-07-23_222540,SD,4,4,0,9,125549,6059,9856,135405,0.0251098,0.01232000,0.03742980,true
all_2026-07-23_222540,TN,6,6,0,2,135293,4478,5455,140748,0.0270586,0.00681875,0.03387735,true
all_2026-07-23_222540,UT,16,16,0,13,423933,14801,20796,444729,0.0847866,0.02599500,0.11078160,true
all_2026-07-23_222540,VA,6,6,0,8,173683,8374,11626,185309,0.0347366,0.01453250,0.04926910,true
all_2026-07-23_222540,VT,4,4,0,10,82660,3451,7400,90060,0.0165320,0.00925000,0.02578200,true
all_2026-07-23_222540,WI,31,31,0,41,901961,37778,55654,957615,0.1803922,0.06956750,0.24995970,true
all_2026-07-23_222540,WV,4,4,0,7,84104,4660,7931,92035,0.0168208,0.00991375,0.02673455,true
all_2026-07-23_222540,WY,5,5,0,1,119009,3966,4586,123595,0.0238018,0.00573250,0.02953430,true
