municipality,state,municipality_id,unit_type,document_title,union_name,employer,contract_years,source_url,source_owner_type,document_type,document_completeness,comparator_role,wrong_employer_risk,context_only_flag,visible_year_evidence,overlap_with_anchor_cycle,duplicate_risk,blocked_or_unreadable_flag,cycle_match_notes,why_relevant,confidence,candidate_stage,needs_verification_reason,scout_stage_status,verification_priority,verification_notes
Irvine,CA,cog_2025_161229,police,"Memorandum of Understanding between Irvine Police Management Association and City of Irvine, August 11, 2015 – August 10, 2017",Irvine Police Management Association (IPMA),City of Irvine,2015-2017,https://irvine.granicus.com/MetaViewer.php?event_id=1104&meta_id=72361&view_id=,city,cba,full_document,safety_target,possible,no,duration_clause,no_anchor_supplied,possible,no,"Visible in attached MOU text as “AUGUST 11, 2015 TO AUGUST 10, 2017.” Anchor-cycle overlap cannot be assessed because no anchor cycle was supplied.",Sworn police (IPMA) municipal MOU with visible contract period; potentially useful for police wage-setting cycle overlap/comparison for 2014-2024 coverage.,medium,qualifying_candidate,Scout-stage lead: agenda/attachment bundle may include multiple police units; needs later verification that the document text is the exact IPMA unit for City of Irvine and that it is not superseded for the relevant anchor-cycle repair/comparison.,unverified_scout_candidate,medium,"Later coordinated verification must confirm the exact California municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate; do not initiate a public-records request."
Irvine,CA,cog_2025_161229,non_safety,"Memorandum of Understanding between Irvine City Employees Association and City of Irvine, November 12, 2022 to June 30, 2029",Irvine City Employees Association (ICEA),City of Irvine,2022-2029,https://cityofirvine.gov/sites/default/files/legacy-documents/civica-35761-icea-mou-aug-2025.pdf,city,cba,full_document,ordinary_non_safety_comparator,possible,no,cover_or_title,no_anchor_supplied,possible,no,"Visible contract term in document header/title as “NOVEMBER 12, 2022 TO JUNE 30, 2029.” Partially overlaps calendar years within 2014-2024 only in the sense that the agreement begins after 2014; anchor-cycle overlap cannot be assessed because no anchor cycle was supplied.",Non-safety municipal/civilian labor agreement (ICEA) with a visible multi-year contract term; may serve as an ordinary municipal civilian comparison for wage-setting mechanisms.,medium,qualifying_candidate,Scout-stage lead: later verification is needed to confirm ICEA unit scope is ordinary non-safety municipal/civilian (and not containing safety classifications) and to validate the exact bargaining unit identity and wage-setting provisions relevant to the requested comparison.,unverified_scout_candidate,medium,"Later coordinated verification must confirm the exact California municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate; do not initiate a public-records request."
Santa Ana,CA,cog_2025_100711,police,"Memorandum of Understanding Between the City of Santa Ana and the Santa Ana Police Officers Association (City of Santa Ana’s Last, Best and Final Offer – September 8, 2022) ",Santa Ana Police Officers Association,City of Santa Ana,"January 1, 2022 – December 31, 2022",https://publicdocs.santa-ana.org/WebLink/1/doc/137880/Page2.aspx,city,cba,full_document,safety_target,possible,no,cover_or_title,no_anchor_supplied,none,no,"Police safety CBA/MOU with an operative term explicitly shown on the document title/cover as January 1, 2022 – December 31, 2022. Anchor-cycle overlap cannot be determined because no anchor cycle was supplied.",Explicit municipal police bargaining agreement terms and wage schedule exhibit for a cycle that overlaps 2014-2024.,medium,qualifying_candidate,Scout-stage lead URL; later verification must confirm exact represented police unit scope and that the document is complete/executed as intended by the coordinator’s rules.,unverified_scout_candidate,high,"Later coordinated verification must confirm the exact California municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate; do not initiate a public-records request."
Santa Ana,CA,cog_2025_100711,police,Memorandum of Understanding Between the City of Santa Ana and the Santa Ana Police Officers Association (Fiscal Years 2013-14 Through 2014-15),Santa Ana Police Officers Association,City of Santa Ana,Fiscal Years 2013-14 through 2014-15,https://cc-publicdocs.santa-ana.org/WebLink/1/doc/76166/Page29.aspx,city,cba,full_document,safety_target,possible,no,cover_or_title,no_anchor_supplied,none,no,Police safety MOU with the agreement duration shown in the document header/title as Fiscal Years 2013-14 through 2014-15. Anchor-cycle overlap cannot be determined because no anchor cycle was supplied.,Municipal police wage-setting agreement with years that overlap the requested 2014-2024 comparison window.,low,qualifying_candidate,Scout-stage lead URL; later verification must confirm the full document/exhibit content and that it is an executed CBA for the Santa Ana police bargaining unit (not a partial/secondary reference).,unverified_scout_candidate,medium,"Later coordinated verification must confirm the exact California municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate; do not initiate a public-records request."
Santa Ana,CA,cog_2025_100711,non_safety,Memorandum of Understanding City of Santa Ana & SEIU Full-Time Employees Unit (2022-2025 MOU),Service Employees International Union Local 721 (SEIU Local 721),City of Santa Ana,"July 1, 2022 – June 30, 2025",https://storage.googleapis.com/proudcity/santaanaca/uploads/2023/09/SEIU-FT-2022-2025-MOU-Final.pdf,city,cba,full_document,ordinary_non_safety_comparator,possible,no,cover_or_title,no_anchor_supplied,none,no,"Non-safety / ordinary municipal civilian wage-setting lead: SEIU full-time employees unit MOU. The term is visible on the document cover as July 1, 2022 – June 30, 2025. Anchor-cycle overlap cannot be determined because no anchor cycle was supplied.",Provides an ordinary municipal civilian wage-setting agreement that overlaps the 2014-2024 window (2022-2024).,medium,qualifying_candidate,Scout-stage lead; later verification must confirm the represented job classifications are ordinary non-safety (civilian) and that no safety classifications are included in a way that would invalidate the comparator use.,unverified_scout_candidate,high,"Later coordinated verification must confirm the exact California municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate; do not initiate a public-records request."
Huntington Beach,CA,cog_2025_100709,police,Memorandum of Understanding Between Huntington Beach Police Management Association and City of Huntington Beach,Huntington Beach Police Management Association (PMA),City of Huntington Beach,"July 1, 2023 – June 30, 2026",https://huntingtonbeach.legistar.com/View.ashx?GUID=37C5ECF5-A97A-4B4A-966B-ED47769370F7&ID=12118761&M=F,city,cba,full_document,safety_target,possible,no,cover_or_title,no_anchor_supplied,none,no,"Visible term on document title/first pages shows July 1, 2023 through June 30, 2026.","Provides binding municipal police bargaining terms (wages/benefits) for the 2023-2026 cycle, usable for municipal police safety comparison.",high,qualifying_candidate,Scout-stage lead: later verification must confirm this is the intended Huntington Beach municipal police unit and confirm mutual overlap with the supplied anchor cycle (none provided here).,unverified_scout_candidate,high,"Later coordinated verification must confirm the exact California municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate; do not initiate a public-records request."
Huntington Beach,CA,cog_2025_100709,fire,Memorandum of Understanding Between The Huntington Beach Firefighters' Association and The City of Huntington Beach,Huntington Beach Firefighters' Association (HBFA),City of Huntington Beach,"January 1, 2024 – December 31, 2026",https://cms3.revize.com/revize/huntingtonbeachca/Documents/Departments/Human%20Resources/MOUs/HBFA-MOU-2024-through-2026.pdf,city,cba,full_document,safety_target,possible,no,cover_or_title,no_anchor_supplied,none,no,"Visible term on the resolution cover and MOU heading shows January 1, 2024 through December 31, 2026.","Provides binding municipal fire bargaining terms (wages/benefits) for the 2024-2026 cycle, usable for municipal fire safety comparison or safety overlap context.",high,qualifying_candidate,Scout-stage lead: later verification must confirm employer/unit match to the City of Huntington Beach fire bargaining unit and confirm mutual overlap with the supplied anchor cycle (none provided here).,unverified_scout_candidate,high,"Later coordinated verification must confirm the exact California municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate; do not initiate a public-records request."
Glendale,CA,cog_2025_161170,police,"Glendale Police Officers’ Association Memorandum of Understanding July 1, 2024 – June 30, 2027",Glendale Police Officers’ Association,City of Glendale,"July 1, 2024 – June 30, 2027",https://www.glendaleca.gov/home/showpublisheddocument/77674/638773728546100000,city,cba,full_document,safety_target,possible,no,cover_or_title,no_anchor_supplied,none,no,No anchor cycle was supplied. This police MOU term is visibly stated on the document title/operative term; overlap with any 2014-2024 anchor cannot be confirmed beyond the fact it includes calendar year 2024.,Direct municipal police wage-setting labor agreement for the target employer and a 2014-2024-overlap opportunity via calendar year 2024.,high,qualifying_candidate,Scout-stage lead: later verification must confirm the agreement covers City of Glendale police classifications (not cross-assigned units) and includes the needed wage-setting terms.,unverified_scout_candidate,high,"Later coordinated verification must confirm the exact California municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate; do not initiate a public-records request."
Glendale,CA,cog_2025_161170,fire,"Glendale Firefighters’ Association Memorandum of Understanding July 1, 2024 – June 30, 2027",Glendale Fire Fighters' Association,City of Glendale,"July 1, 2024 – June 30, 2027",https://www.glendaleca.gov/home/showpublisheddocument/76612/638681262612630000,city,cba,full_document,safety_target,possible,no,cover_or_title,no_anchor_supplied,none,no,No anchor cycle was supplied. This fire MOU term is visibly stated on the document title/operative term; overlap with any 2014-2024 anchor cannot be confirmed beyond the fact it includes calendar year 2024.,Direct municipal fire wage-setting labor agreement for the target employer with calendar-year 2024 overlap potential.,high,qualifying_candidate,Scout-stage lead: later verification must confirm the fire bargaining unit is for City of Glendale (not a shared-service employer) and confirm wage schedules/compensation terms are present as needed.,unverified_scout_candidate,high,"Later coordinated verification must confirm the exact California municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate; do not initiate a public-records request."
Glendale,CA,cog_2025_161170,non_safety,"Glendale City Employees’ Association Memorandum of Understanding July 1, 2024 – June 30, 2027",Glendale City Employees’ Association (GCEA),City of Glendale,"July 1, 2024 – June 30, 2027",https://www.glendaleca.gov/home/showpublisheddocument/75754/638578501285800000,city,cba,full_document,ordinary_non_safety_comparator,possible,no,cover_or_title,no_anchor_supplied,none,no,No anchor cycle was supplied. This non-safety (general municipal/civilian) MOU term is visibly stated on the document title/operative sections; overlap with any 2014-2024 anchor cannot be confirmed beyond the fact it includes calendar year 2024.,"Ordinary non-safety municipal labor MOU for the target employer, suitable for a civilian comparator role.",high,qualifying_candidate,Scout-stage lead: later verification must confirm represented classifications are ordinary municipal/civilian employees (not safety) and that wage-setting provisions are included for comparison.,unverified_scout_candidate,high,"Later coordinated verification must confirm the exact California municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate; do not initiate a public-records request."
